ticker,date,open,high,low,close
LINK,2002-01-02,16.72,18.0,16.4,16.88
LINK,2002-01-03,16.84,17.56,16.84,17.4
LINK,2002-01-04,17.96,19.6,17.88,19.0
LINK,2002-01-07,18.0,19.36,18.0,19.2
LINK,2002-01-08,19.2,19.4,18.12,19.12
LINK,2002-01-09,18.52,19.4,18.0,18.2
LINK,2002-01-10,18.0,18.4,17.0,17.6
LINK,2002-01-11,17.28,17.8,16.92,17.6
LINK,2002-01-14,17.32,18.6,17.2,18.24
LINK,2002-01-15,18.76,18.76,16.4,16.6
LINK,2002-01-16,17.2,17.2,15.44,16.6
LINK,2002-01-17,16.8,16.8,16.0,16.0
LINK,2002-01-18,16.32,16.8,16.0,16.8
LINK,2002-01-22,16.8,16.8,15.4,15.4
LINK,2002-01-23,15.44,16.0,15.24,15.4
LINK,2002-01-24,15.9,17.2,15.6,16.0
LINK,2002-01-25,16.0,16.2,15.6,16.0
LINK,2002-01-28,16.54,16.54,15.4,16.04
LINK,2002-01-29,15.92,15.92,14.4,15.16
LINK,2002-01-30,15.2,15.2,13.6,14.12
LINK,2002-01-31,14.12,16.2,13.6,16.2
LINK,2002-02-01,15.64,16.96,14.44,16.4
LINK,2002-02-04,16.16,17.4,16.12,16.6
LINK,2002-02-05,17.2,17.2,15.0,15.72
LINK,2002-02-06,15.12,15.4,14.8,15.0
LINK,2002-02-07,16.32,16.32,15.04,15.24
LINK,2002-02-08,15.2,16.2,14.0,14.16
LINK,2002-02-11,14.0,16.0,14.0,15.04
LINK,2002-02-12,15.0,15.04,14.2,14.36
LINK,2002-02-13,14.24,14.24,12.6,13.0
LINK,2002-02-14,13.4,16.0,13.0,14.0
LINK,2002-02-15,14.0,14.0,13.0,13.12
LINK,2002-02-19,13.0,13.16,12.0,12.36
LINK,2002-02-20,12.4,12.96,11.0,11.96
LINK,2002-02-21,12.08,12.08,11.4,11.44
LINK,2002-02-22,11.28,12.48,11.24,12.48
LINK,2002-02-25,12.4,12.92,12.0,12.92
LINK,2002-02-26,12.92,12.92,12.2,12.4
LINK,2002-02-27,12.08,12.96,12.0,12.84
LINK,2002-02-28,12.8,12.8,12.4,12.4
LINK,2002-03-01,12.44,12.82,12.44,12.82
LINK,2002-03-04,12.68,14.4,12.68,13.8
LINK,2002-03-05,13.78,16.6,13.6,15.8
LINK,2002-03-06,15.28,16.64,15.24,16.6
LINK,2002-03-07,16.52,18.4,16.48,18.4
LINK,2002-03-08,18.6,18.6,16.48,17.0
LINK,2002-03-11,17.4,18.2,16.8,18.02
LINK,2002-03-12,17.2,18.0,16.84,17.8
LINK,2002-03-13,17.2,17.87,17.2,17.6
LINK,2002-03-14,18.0,18.6,17.6,17.96
LINK,2002-03-15,18.44,19.6,18.0,19.6
LINK,2002-03-18,19.2,22.36,18.0,21.72
LINK,2002-03-19,22.28,23.4,20.92,23.0
LINK,2002-03-20,22.68,23.0,21.4,21.64
LINK,2002-03-21,21.6,22.68,20.8,22.68
LINK,2002-03-22,22.08,23.2,22.08,23.0
LINK,2002-03-25,23.76,25.4,22.84,23.6
LINK,2002-03-26,22.96,24.8,22.96,24.52
LINK,2002-03-27,24.52,24.92,24.0,24.72
LINK,2002-03-28,24.2,25.0,23.08,24.16
LINK,2002-04-01,24.1,24.12,21.0,23.56
LINK,2002-04-02,22.8,23.0,22.0,22.88
LINK,2002-04-03,22.4,22.4,21.0,21.56
LINK,2002-04-04,20.64,21.36,20.52,21.36
LINK,2002-04-05,21.24,21.52,20.48,21.4
LINK,2002-04-08,21.78,21.78,20.0,20.52
LINK,2002-04-09,20.2,22.72,20.0,22.6
LINK,2002-04-10,22.84,22.84,21.48,21.48
LINK,2002-04-11,21.36,21.6,20.0,20.0
LINK,2002-04-12,20.08,21.2,20.04,20.3
LINK,2002-04-15,20.2,21.6,19.24,21.56
LINK,2002-04-16,21.52,23.4,21.2,23.4
LINK,2002-04-17,23.76,24.8,21.28,24.16
LINK,2002-04-18,25.44,26.0,24.92,25.2
LINK,2002-04-19,25.56,25.8,24.32,24.85
LINK,2002-04-22,24.8,25.8,20.6,23.0
LINK,2002-04-23,23.52,27.96,23.4,27.48
LINK,2002-04-24,27.92,28.24,25.12,26.4
LINK,2002-04-25,25.2,26.48,25.2,26.2
LINK,2002-04-26,26.04,26.6,24.2,26.6
LINK,2002-04-29,25.8,26.8,24.8,25.4
LINK,2002-04-30,25.08,27.44,25.08,26.56
LINK,2002-05-01,27.4,27.4,24.64,25.28
LINK,2002-05-02,25.72,27.0,25.44,26.24
LINK,2002-05-03,26.36,27.0,24.6,26.76
LINK,2002-05-06,25.96,27.4,25.16,25.16
LINK,2002-05-07,24.84,25.16,22.44,24.67
LINK,2002-05-08,23.52,25.4,23.52,25.12
LINK,2002-05-09,24.84,25.32,23.44,23.44
LINK,2002-05-10,23.44,24.16,21.12,21.48
LINK,2002-05-13,21.2,22.0,21.2,21.72
LINK,2002-05-14,21.4,24.36,21.4,23.96
LINK,2002-05-15,24.84,24.88,23.0,24.0
LINK,2002-05-16,24.0,24.8,23.84,24.76
LINK,2002-05-17,24.06,25.56,24.0,24.64
LINK,2002-05-20,24.0,25.16,23.6,24.32
LINK,2002-05-21,24.48,24.72,23.4,24.2
LINK,2002-05-22,24.0,24.0,22.8,23.24
LINK,2002-05-23,23.6,23.6,22.0,23.08
LINK,2002-05-24,22.32,23.56,22.32,22.8
LINK,2002-05-28,22.0,22.4,21.7,21.88
LINK,2002-05-29,21.36,22.72,19.48,20.8
LINK,2002-05-30,19.84,22.4,19.84,21.2
LINK,2002-05-31,21.2,22.0,20.8,21.56
LINK,2002-06-03,21.6,21.6,20.64,20.72
LINK,2002-06-04,20.84,23.0,20.68,21.44
LINK,2002-06-05,21.64,22.4,20.0,20.76
LINK,2002-06-06,20.8,21.0,20.0,21.0
LINK,2002-06-07,20.6,20.6,19.2,20.0
LINK,2002-06-10,19.72,20.2,19.0,19.72
LINK,2002-06-11,19.4,19.76,17.6,17.6
LINK,2002-06-12,18.0,19.0,17.32,18.4
LINK,2002-06-13,19.0,19.0,17.8,18.16
LINK,2002-06-14,17.24,19.0,17.24,17.96
LINK,2002-06-17,17.08,19.6,17.0,19.44
LINK,2002-06-18,19.88,20.0,18.44,19.52
LINK,2002-06-19,19.6,19.6,17.72,17.76
LINK,2002-06-20,19.56,19.56,17.4,17.88
LINK,2002-06-21,19.08,20.28,17.56,18.96
LINK,2002-06-24,19.4,19.4,16.6,17.92
LINK,2002-06-25,17.92,18.36,17.16,18.2
LINK,2002-06-26,16.48,18.8,16.04,18.4
LINK,2002-06-27,18.4,18.6,17.4,17.88
LINK,2002-06-28,17.92,18.2,16.0,18.2
LINK,2002-07-01,18.56,18.56,16.0,16.4
LINK,2002-07-02,16.2,17.52,12.96,14.2
LINK,2002-07-03,14.6,14.6,12.52,13.6
LINK,2002-07-05,14.4,14.4,13.2,14.2
LINK,2002-07-08,14.52,15.2,12.6,14.0
LINK,2002-07-09,14.6,14.6,12.6,13.96
LINK,2002-07-10,14.56,14.56,12.6,13.04
LINK,2002-07-11,13.44,13.6,11.96,12.4
LINK,2002-07-12,12.4,13.12,12.08,12.6
LINK,2002-07-15,12.4,13.8,10.76,13.4
LINK,2002-07-16,13.4,14.0,12.72,13.56
LINK,2002-07-17,13.68,14.56,12.0,13.2
LINK,2002-07-18,13.04,13.44,12.8,12.92
LINK,2002-07-19,12.88,13.08,11.8,12.8
LINK,2002-07-22,12.8,12.8,11.8,12.52
LINK,2002-07-23,11.84,12.4,10.2,10.84
LINK,2002-07-24,12.36,12.36,10.2,11.8
LINK,2002-07-25,12.0,12.0,11.0,11.8
LINK,2002-07-26,12.12,13.8,12.09,12.6
LINK,2002-07-29,14.0,14.0,11.64,13.8
LINK,2002-07-30,13.8,14.0,12.65,14.0
LINK,2002-07-31,14.0,14.16,13.2,13.96
LINK,2002-08-01,13.4,14.0,12.2,12.24
LINK,2002-08-02,12.44,12.6,12.0,12.0
LINK,2002-08-05,11.84,12.44,11.6,12.0
LINK,2002-08-06,12.87,15.52,12.52,12.52
LINK,2002-08-07,12.44,13.44,11.88,13.44
LINK,2002-08-08,13.08,14.0,12.8,14.0
LINK,2002-08-09,13.64,14.0,13.24,13.28
LINK,2002-08-12,13.24,13.4,12.48,12.96
LINK,2002-08-13,12.92,13.0,11.84,13.0
LINK,2002-08-14,12.04,12.76,12.0,12.0
LINK,2002-08-15,12.48,12.48,11.76,12.4
LINK,2002-08-16,12.1,12.56,12.04,12.56
LINK,2002-08-19,12.44,12.52,12.2,12.4
LINK,2002-08-20,13.36,13.36,12.4,12.44
LINK,2002-08-21,12.28,12.8,12.0,12.32
LINK,2002-08-22,13.0,13.64,12.0,13.64
