ticker,date,open,high,low,close
MACI,2024-07-18,9.98,9.98,9.96,9.96
MACI,2024-07-19,9.95,9.95,9.95,9.95
MACI,2024-07-22,9.95,9.95,9.95,9.95
MACI,2024-07-23,9.96,9.96,9.9501,9.9501
MACI,2024-07-25,9.96,9.98,9.96,9.98
MACI,2024-07-29,9.9823,9.9823,9.9823,9.9823
MACI,2024-07-30,9.98,9.9821,9.97,9.98
MACI,2024-07-31,9.97,9.98,9.96,9.98
MACI,2024-08-01,9.99,9.99,9.99,9.99
MACI,2024-08-07,9.97,9.97,9.97,9.97
MACI,2024-08-08,9.99,10.005,9.99,10.0
MACI,2024-08-09,9.99,9.99,9.97,9.98
MACI,2024-08-12,9.98,9.98,9.975,9.975
MACI,2024-08-13,9.97,9.985,9.97,9.985
MACI,2024-08-14,9.98,9.985,9.98,9.985
MACI,2024-08-15,9.98,10.0,9.98,9.99
MACI,2024-08-21,9.987,9.987,9.98,9.98
MACI,2024-08-22,9.99,9.99,9.99,9.99
MACI,2024-08-23,9.99,9.99,9.99,9.99
MACI,2024-08-27,9.99,9.99,9.96,9.96
MACI,2024-08-28,9.96,9.97,9.96,9.96
MACI,2024-08-29,9.97,9.97,9.965,9.97
MACI,2024-08-30,9.97,9.98,9.97,9.98
MACI,2024-09-03,9.98,9.98,9.97,9.97
MACI,2024-09-04,9.98,9.99,9.975,9.98
MACI,2024-09-05,9.98,10.0,9.97,9.98
MACI,2024-09-06,9.98,9.985,9.98,9.98
MACI,2024-09-09,9.99,9.99,9.98,9.98
MACI,2024-09-10,9.98,9.98,9.975,9.98
MACI,2024-09-11,9.98,10.0,9.975,9.98
MACI,2024-09-12,9.97,9.98,9.97,9.98
MACI,2024-09-13,9.97,9.97,9.97,9.97
MACI,2024-09-17,9.99,9.99,9.99,9.99
MACI,2024-09-18,9.9793,9.99,9.9793,9.99
MACI,2024-09-20,9.98,9.98,9.98,9.98
MACI,2024-09-23,10.0,10.0,10.0,10.0
MACI,2024-09-24,9.9737,9.9737,9.9737,9.9737
MACI,2024-09-25,9.9801,9.99,9.98,9.985
MACI,2024-09-26,9.99,9.99,9.99,9.99
MACI,2024-09-30,9.99,9.995,9.99,9.995
MACI,2024-10-02,10.0,10.0,10.0,10.0
