ticker,date,open,high,low,close
MAGH,2025-08-18,1.36,1.3685,1.0,1.19
MAGH,2025-08-19,1.01,1.21,1.01,1.15
MAGH,2025-08-20,1.08,1.14,1.0301,1.06
MAGH,2025-08-21,1.14,1.18,1.06,1.08
MAGH,2025-08-22,1.07,1.105,1.04,1.05
MAGH,2025-08-25,1.05,1.35,1.05,1.24
MAGH,2025-08-26,1.18,1.36,1.12,1.32
MAGH,2025-08-27,1.24,1.3,1.16,1.19
MAGH,2025-08-28,1.23,1.3092,1.17,1.24
MAGH,2025-08-29,1.22,1.2673,1.1804,1.21
MAGH,2025-09-02,1.19,1.3,1.1614,1.28
MAGH,2025-09-03,1.25,1.31,1.16,1.18
MAGH,2025-09-04,1.2,1.2377,1.1,1.14
MAGH,2025-09-05,1.1,1.14,0.99,1.04
MAGH,2025-09-08,1.15,1.17,1.067,1.11
MAGH,2025-09-09,1.06,1.18,1.06,1.16
MAGH,2025-09-10,1.09,1.3,1.09,1.24
MAGH,2025-09-11,1.2,1.2565,1.2,1.2131
MAGH,2025-09-12,1.2,1.5,1.16,1.405
MAGH,2025-09-15,1.39,1.4399,1.26,1.4
MAGH,2025-09-16,1.41,1.6,1.3902,1.57
MAGH,2025-09-17,1.576,1.6,1.31,1.435
MAGH,2025-09-18,1.51,1.51,1.37,1.43
MAGH,2025-09-19,1.38,1.4492,1.37,1.37
MAGH,2025-09-22,1.41,1.46,1.34,1.38
MAGH,2025-09-23,1.4,1.4996,1.38,1.4
MAGH,2025-09-24,1.42,1.5325,1.38,1.42
MAGH,2025-09-25,1.38,1.425,1.35,1.35
MAGH,2025-09-26,1.35,1.4,1.35,1.39
MAGH,2025-09-29,1.4,1.43,1.3096,1.38
MAGH,2025-09-30,1.4,1.43,1.3,1.41
MAGH,2025-10-01,1.39,1.52,1.34,1.4
