ticker,date,open,high,low,close
MATW,1994-07-20,4.0,4.0,3.56,3.62
MATW,1994-07-21,3.69,3.75,3.56,3.73
MATW,1994-07-22,3.75,3.81,3.69,3.69
MATW,1994-07-25,3.81,3.81,3.69,3.75
MATW,1994-07-26,3.88,3.88,3.69,3.69
MATW,1994-07-27,3.88,4.0,3.75,3.81
MATW,1994-07-28,4.0,4.06,3.81,3.88
MATW,1994-07-29,4.06,4.06,3.81,3.88
MATW,1994-08-01,4.0,4.06,3.81,4.06
MATW,1994-08-02,4.06,4.06,3.88,4.06
MATW,1994-08-03,4.06,4.12,3.88,3.94
MATW,1994-08-04,4.06,4.06,3.94,3.94
MATW,1994-08-05,4.0,4.06,3.88,3.88
MATW,1994-08-08,4.06,4.06,3.88,3.88
MATW,1994-08-09,3.88,4.0,3.88,4.0
MATW,1994-08-10,4.0,4.0,3.75,3.75
MATW,1994-08-11,3.75,4.0,3.75,3.81
MATW,1994-08-12,3.94,3.94,3.75,3.94
MATW,1994-08-15,3.94,3.94,3.75,3.78
MATW,1994-08-16,3.94,3.94,3.75,3.75
MATW,1994-08-17,3.78,3.94,3.75,3.94
MATW,1994-08-18,3.94,3.94,3.81,3.81
MATW,1994-08-19,3.81,4.0,3.81,3.88
MATW,1994-08-22,3.75,4.0,3.75,3.88
MATW,1994-08-23,3.75,4.0,3.75,3.75
MATW,1994-08-24,4.0,4.03,3.75,4.03
MATW,1994-08-25,3.94,4.12,3.94,4.12
MATW,1994-08-26,3.94,4.12,3.94,3.94
MATW,1994-08-29,4.06,4.06,3.88,4.06
MATW,1994-08-30,4.06,4.06,3.81,3.81
MATW,1994-08-31,4.0,4.0,3.88,3.94
MATW,1994-09-01,4.0,4.0,4.0,4.0
MATW,1994-09-02,3.75,3.75,3.75,3.75
MATW,1994-09-06,3.75,3.75,3.75,3.75
MATW,1994-09-07,4.0,4.0,3.75,3.75
MATW,1994-09-08,3.75,3.88,3.75,3.88
MATW,1994-09-09,3.78,3.94,3.75,3.75
MATW,1994-09-12,3.75,3.75,3.75,3.75
MATW,1994-09-13,3.75,3.94,3.75,3.94
MATW,1994-09-14,3.94,3.94,3.81,3.81
MATW,1994-09-15,3.91,3.91,3.81,3.81
MATW,1994-09-16,3.75,3.75,3.75,3.75
MATW,1994-09-19,3.91,3.91,3.75,3.75
MATW,1994-09-20,3.75,3.94,3.75,3.94
MATW,1994-09-21,3.94,3.94,3.75,3.75
MATW,1994-09-22,3.75,3.94,3.75,3.78
MATW,1994-09-23,3.88,3.88,3.69,3.69
MATW,1994-09-26,3.69,3.78,3.69,3.78
MATW,1994-09-27,3.69,3.69,3.69,3.69
MATW,1994-09-28,3.69,3.88,3.69,3.69
MATW,1994-09-29,3.69,3.88,3.69,3.69
MATW,1994-09-30,3.88,3.88,3.75,3.78
MATW,1994-10-03,3.88,3.88,3.69,3.69
MATW,1994-10-04,3.69,3.75,3.69,3.69
MATW,1994-10-05,3.88,3.88,3.69,3.81
MATW,1994-10-06,3.69,3.69,3.69,3.69
MATW,1994-10-07,3.69,3.69,3.69,3.69
MATW,1994-10-10,3.69,3.69,3.69,3.69
MATW,1994-10-11,3.78,3.78,3.69,3.69
MATW,1994-10-12,3.69,3.69,3.69,3.69
MATW,1994-10-13,3.69,3.81,3.62,3.62
MATW,1994-10-14,3.62,3.62,3.62,3.62
MATW,1994-10-17,3.81,3.81,3.75,3.75
MATW,1994-10-18,3.69,3.69,3.62,3.62
MATW,1994-10-19,3.62,3.75,3.62,3.69
MATW,1994-10-20,3.62,3.62,3.62,3.62
MATW,1994-10-21,3.62,3.75,3.62,3.75
MATW,1994-10-24,3.62,3.69,3.62,3.69
MATW,1994-10-25,3.62,3.75,3.62,3.75
MATW,1994-10-26,3.62,3.62,3.62,3.62
MATW,1994-10-27,3.62,3.75,3.62,3.62
MATW,1994-10-28,3.62,3.75,3.62,3.72
MATW,1994-10-31,3.81,3.81,3.62,3.81
MATW,1994-11-01,3.81,3.81,3.62,3.75
MATW,1994-11-02,3.62,3.62,3.62,3.62
MATW,1994-11-03,3.62,3.72,3.62,3.72
MATW,1994-11-04,3.62,3.62,3.62,3.62
MATW,1994-11-07,3.62,3.62,3.62,3.62
MATW,1994-11-08,3.81,3.81,3.62,3.62
MATW,1994-11-09,3.69,3.69,3.62,3.62
MATW,1994-11-10,3.62,3.88,3.62,3.62
MATW,1994-11-11,3.75,3.75,3.62,3.75
MATW,1994-11-14,3.62,3.66,3.62,3.62
MATW,1994-11-15,3.69,3.88,3.62,3.88
MATW,1994-11-16,3.62,3.81,3.62,3.62
MATW,1994-11-17,3.75,3.75,3.62,3.66
MATW,1994-11-18,3.62,3.88,3.62,3.81
MATW,1994-11-21,3.81,3.88,3.69,3.78
MATW,1994-11-22,3.81,3.81,3.69,3.69
MATW,1994-11-23,3.69,3.69,3.69,3.69
MATW,1994-11-25,3.69,3.69,3.69,3.69
MATW,1994-11-28,3.66,3.69,3.66,3.66
MATW,1994-11-29,3.66,3.75,3.66,3.75
MATW,1994-11-30,3.75,3.88,3.66,3.88
MATW,1994-12-01,3.66,3.78,3.62,3.62
MATW,1994-12-02,3.75,3.75,3.75,3.75
MATW,1994-12-05,3.62,3.81,3.62,3.81
MATW,1994-12-06,3.62,3.69,3.56,3.62
MATW,1994-12-07,3.56,3.69,3.56,3.56
MATW,1994-12-08,3.56,3.56,3.5,3.5
MATW,1994-12-09,3.5,3.62,3.5,3.5
MATW,1994-12-12,3.5,3.69,3.5,3.69
MATW,1994-12-13,3.5,3.62,3.5,3.5
MATW,1994-12-14,3.5,3.62,3.47,3.47
MATW,1994-12-15,3.44,3.44,3.44,3.44
MATW,1994-12-16,3.44,3.5,3.44,3.44
MATW,1994-12-19,3.44,3.44,3.44,3.44
MATW,1994-12-20,3.44,3.44,3.44,3.44
MATW,1994-12-21,3.44,3.56,3.44,3.56
MATW,1994-12-22,3.44,3.44,3.44,3.44
MATW,1994-12-23,3.44,3.56,3.44,3.44
MATW,1994-12-27,3.44,3.56,3.44,3.44
MATW,1994-12-28,3.56,3.56,3.5,3.56
MATW,1994-12-29,3.56,3.56,3.56,3.56
MATW,1994-12-30,3.44,3.44,3.44,3.44
MATW,1995-01-03,3.44,3.44,3.44,3.44
MATW,1995-01-04,3.44,3.53,3.44,3.53
MATW,1995-01-05,3.56,3.56,3.44,3.44
MATW,1995-01-06,3.56,3.56,3.5,3.5
MATW,1995-01-09,3.44,3.56,3.44,3.56
MATW,1995-01-10,3.44,3.56,3.44,3.47
MATW,1995-01-11,3.44,3.44,3.44,3.44
MATW,1995-01-12,3.44,3.56,3.44,3.47
MATW,1995-01-13,3.44,3.56,3.38,3.38
MATW,1995-01-16,3.56,3.56,3.38,3.38
MATW,1995-01-17,3.38,3.44,3.12,3.25
MATW,1995-01-18,3.38,3.44,3.25,3.25
MATW,1995-01-19,3.25,3.38,3.25,3.25
MATW,1995-01-20,3.44,3.44,3.25,3.25
MATW,1995-01-23,3.28,3.44,3.28,3.34
MATW,1995-01-24,3.25,3.44,3.25,3.25
MATW,1995-01-25,3.25,3.25,3.25,3.25
MATW,1995-01-26,3.44,3.44,3.25,3.34
MATW,1995-01-27,3.5,3.5,3.38,3.41
MATW,1995-01-30,3.56,3.56,3.38,3.56
MATW,1995-01-31,3.47,3.56,3.38,3.38
MATW,1995-02-01,3.38,3.38,3.38,3.38
MATW,1995-02-02,3.62,3.62,3.44,3.44
MATW,1995-02-03,3.5,3.59,3.44,3.59
MATW,1995-02-06,3.44,3.5,3.44,3.44
MATW,1995-02-07,3.44,3.44,3.44,3.44
MATW,1995-02-08,3.62,3.62,3.5,3.5
MATW,1995-02-09,3.44,3.53,3.44,3.44
MATW,1995-02-10,3.5,3.62,3.47,3.47
MATW,1995-02-13,3.5,3.62,3.5,3.62
