ticker,date,open,high,low,close
MBWM,1999-07-20,12.03,12.03,11.8,11.8
MBWM,1999-07-21,11.8,11.8,11.8,11.8
MBWM,1999-07-22,11.85,11.94,11.85,11.85
MBWM,1999-07-23,11.75,11.94,11.75,11.94
MBWM,1999-07-26,11.47,11.57,11.47,11.57
MBWM,1999-07-27,11.94,12.03,11.57,12.03
MBWM,1999-07-28,12.03,12.03,12.03,12.03
MBWM,1999-07-29,11.47,11.75,11.38,11.75
MBWM,1999-07-30,11.47,11.47,11.01,11.01
MBWM,1999-08-02,11.01,11.38,11.01,11.38
MBWM,1999-08-03,11.01,11.19,11.01,11.01
MBWM,1999-08-04,11.19,11.19,11.19,11.19
MBWM,1999-08-05,11.05,11.05,11.05,11.05
MBWM,1999-08-06,11.19,11.19,11.19,11.19
MBWM,1999-08-09,11.05,11.05,11.05,11.05
MBWM,1999-08-10,11.05,11.61,11.05,11.19
MBWM,1999-08-11,11.19,11.19,11.19,11.19
MBWM,1999-08-12,11.19,11.19,11.19,11.19
MBWM,1999-08-13,11.19,11.29,11.19,11.19
MBWM,1999-08-16,11.29,11.29,11.1,11.1
MBWM,1999-08-17,11.1,11.1,10.82,10.82
MBWM,1999-08-18,10.73,10.82,10.73,10.82
MBWM,1999-08-19,11.1,11.19,11.1,11.19
MBWM,1999-08-20,10.63,10.63,10.63,10.63
MBWM,1999-08-23,10.63,10.63,10.63,10.63
MBWM,1999-08-24,11.01,11.01,11.01,11.01
MBWM,1999-08-25,11.19,11.19,11.01,11.05
MBWM,1999-08-26,11.19,11.19,11.19,11.19
MBWM,1999-08-27,11.19,11.19,11.01,11.05
MBWM,1999-08-30,11.01,11.01,11.01,11.01
MBWM,1999-08-31,11.01,11.19,11.01,11.01
MBWM,1999-09-01,11.01,11.01,10.82,10.82
MBWM,1999-09-02,10.82,11.01,10.63,10.63
MBWM,1999-09-03,10.82,11.01,10.82,11.01
MBWM,1999-09-07,11.19,11.19,10.82,10.82
MBWM,1999-09-08,10.82,10.82,10.73,10.73
MBWM,1999-09-09,10.73,10.73,10.73,10.73
MBWM,1999-09-10,10.91,10.91,10.91,10.91
MBWM,1999-09-13,10.91,10.91,10.73,10.82
MBWM,1999-09-14,10.63,10.82,10.45,10.54
MBWM,1999-09-15,10.49,10.82,10.49,10.63
MBWM,1999-09-16,10.54,10.54,10.54,10.54
MBWM,1999-09-17,10.63,10.68,10.63,10.63
MBWM,1999-09-20,10.54,10.82,10.54,10.63
MBWM,1999-09-21,10.45,10.54,10.45,10.54
MBWM,1999-09-22,10.54,10.63,10.54,10.63
MBWM,1999-09-23,10.63,10.63,10.63,10.63
MBWM,1999-09-24,10.82,11.19,10.82,11.19
MBWM,1999-09-27,10.82,10.82,10.82,10.82
MBWM,1999-09-28,11.19,11.19,11.19,11.19
MBWM,1999-09-29,10.82,10.82,10.45,10.45
MBWM,1999-09-30,11.19,11.19,11.19,11.19
MBWM,1999-10-01,10.63,10.63,10.63,10.63
MBWM,1999-10-04,10.63,10.63,10.63,10.63
MBWM,1999-10-05,10.45,10.45,10.26,10.26
MBWM,1999-10-06,10.63,10.63,10.26,10.26
MBWM,1999-10-07,10.26,10.45,10.07,10.07
MBWM,1999-10-08,10.35,10.35,10.35,10.35
MBWM,1999-10-11,10.26,10.45,9.51,10.07
MBWM,1999-10-12,10.45,10.45,10.26,10.35
MBWM,1999-10-13,10.54,11.1,10.49,11.01
MBWM,1999-10-14,10.82,11.19,10.82,10.82
MBWM,1999-10-15,10.63,11.29,10.63,11.29
MBWM,1999-10-18,11.38,11.57,11.29,11.57
MBWM,1999-10-19,11.19,11.57,11.1,11.26
MBWM,1999-10-20,11.57,11.57,11.38,11.38
MBWM,1999-10-21,11.57,11.57,11.38,11.38
MBWM,1999-10-22,11.47,11.52,11.38,11.38
MBWM,1999-10-25,11.01,11.38,10.54,11.38
MBWM,1999-10-26,11.38,11.52,11.38,11.52
MBWM,1999-10-27,11.52,11.52,11.19,11.52
MBWM,1999-10-28,11.57,11.57,11.57,11.57
MBWM,1999-10-29,11.57,11.61,11.05,11.29
MBWM,1999-11-01,11.66,11.66,11.29,11.33
MBWM,1999-11-02,11.66,11.66,11.47,11.57
MBWM,1999-11-03,11.38,11.38,11.38,11.38
MBWM,1999-11-04,11.38,11.38,11.38,11.38
MBWM,1999-11-05,11.57,11.57,11.52,11.57
MBWM,1999-11-08,11.52,11.52,11.52,11.52
MBWM,1999-11-09,11.52,11.57,11.38,11.57
MBWM,1999-11-10,11.57,11.57,11.57,11.57
MBWM,1999-11-11,11.19,11.19,11.19,11.19
MBWM,1999-11-12,11.38,11.38,11.19,11.19
MBWM,1999-11-15,11.19,11.38,10.73,10.82
MBWM,1999-11-16,11.01,11.01,10.45,10.45
MBWM,1999-11-17,11.01,11.01,10.45,10.54
MBWM,1999-11-18,10.54,10.54,10.26,10.45
MBWM,1999-11-19,10.35,10.35,10.35,10.35
MBWM,1999-11-22,10.45,10.45,10.35,10.35
MBWM,1999-11-23,10.35,10.45,10.35,10.45
MBWM,1999-11-24,10.63,10.63,10.63,10.63
MBWM,1999-11-26,10.63,10.63,10.63,10.63
MBWM,1999-11-29,10.26,10.26,10.26,10.26
MBWM,1999-11-30,10.26,10.82,10.26,10.45
MBWM,1999-12-01,10.63,10.63,10.26,10.26
MBWM,1999-12-02,10.26,10.45,10.26,10.45
MBWM,1999-12-03,10.35,10.45,10.35,10.45
MBWM,1999-12-06,10.35,10.45,10.26,10.45
MBWM,1999-12-07,10.07,10.07,9.98,10.03
MBWM,1999-12-08,10.07,10.07,9.98,9.98
MBWM,1999-12-09,9.98,10.26,9.98,10.07
MBWM,1999-12-10,10.07,10.26,9.98,10.26
MBWM,1999-12-13,9.98,10.45,9.98,10.45
MBWM,1999-12-14,9.98,10.35,9.98,10.35
MBWM,1999-12-15,10.07,10.07,9.98,10.03
MBWM,1999-12-16,10.45,10.45,9.98,9.98
MBWM,1999-12-17,10.26,10.26,10.03,10.03
MBWM,1999-12-20,10.45,10.45,10.03,10.31
MBWM,1999-12-21,9.98,10.26,9.98,10.26
MBWM,1999-12-22,9.89,9.93,9.14,9.14
MBWM,1999-12-23,9.61,10.07,9.33,9.84
MBWM,1999-12-27,9.98,10.35,9.89,10.26
MBWM,1999-12-28,9.89,10.07,9.61,9.61
MBWM,1999-12-29,9.61,10.07,9.61,9.7
MBWM,1999-12-30,10.07,10.07,9.7,9.79
MBWM,1999-12-31,9.7,9.7,9.51,9.51
MBWM,2000-01-03,9.79,9.79,9.14,9.61
MBWM,2000-01-04,9.61,9.61,9.61,9.61
MBWM,2000-01-05,9.33,9.7,9.23,9.33
MBWM,2000-01-06,9.23,9.42,9.23,9.42
MBWM,2000-01-07,9.23,9.98,9.23,9.51
MBWM,2000-01-10,9.51,9.7,9.51,9.61
MBWM,2000-01-11,9.42,9.51,9.33,9.51
MBWM,2000-01-12,9.7,9.7,9.7,9.7
MBWM,2000-01-13,9.33,9.7,9.33,9.7
MBWM,2000-01-14,9.7,9.7,9.23,9.33
MBWM,2000-01-18,9.23,9.7,9.23,9.7
MBWM,2000-01-19,9.51,9.51,9.23,9.28
MBWM,2000-01-20,9.23,9.7,9.23,9.51
MBWM,2000-01-21,9.7,9.7,9.33,9.37
MBWM,2000-01-24,9.37,9.37,9.37,9.37
MBWM,2000-01-25,9.42,9.61,9.42,9.42
MBWM,2000-01-26,9.51,9.51,9.23,9.33
MBWM,2000-01-27,9.33,9.33,9.23,9.23
MBWM,2000-01-28,9.23,9.33,9.23,9.33
MBWM,2000-01-31,9.23,9.23,9.23,9.23
MBWM,2000-02-01,9.23,9.33,9.14,9.33
MBWM,2000-02-02,9.14,9.14,9.14,9.14
MBWM,2000-02-03,9.42,9.42,9.42,9.42
MBWM,2000-02-04,9.14,9.14,9.14,9.14
MBWM,2000-02-07,9.42,9.42,9.42,9.42
MBWM,2000-02-08,9.51,9.51,9.33,9.42
MBWM,2000-02-09,9.14,9.51,9.14,9.14
MBWM,2000-02-10,9.05,9.05,9.05,9.05
MBWM,2000-02-11,9.05,9.05,9.05,9.05
MBWM,2000-02-14,9.14,9.14,9.14,9.14
MBWM,2000-02-15,9.14,9.33,9.14,9.23
MBWM,2000-02-16,9.51,9.51,9.33,9.33
MBWM,2000-02-17,9.33,9.33,8.95,8.95
MBWM,2000-02-18,9.0,9.0,9.0,9.0
MBWM,2000-02-22,8.95,9.14,8.95,9.14
MBWM,2000-02-23,8.95,9.33,8.95,8.95
MBWM,2000-02-24,9.33,9.33,8.77,8.95
MBWM,2000-02-25,8.77,8.86,8.77,8.81
MBWM,2000-02-28,8.77,9.33,8.77,8.77
MBWM,2000-02-29,8.77,8.77,8.77,8.77
MBWM,2000-03-01,8.77,8.77,8.67,8.67
MBWM,2000-03-02,8.77,8.77,8.67,8.67
MBWM,2000-03-03,8.67,8.67,8.67,8.67
MBWM,2000-03-06,8.67,8.72,8.3,8.67
MBWM,2000-03-07,8.58,8.58,8.21,8.21
MBWM,2000-03-08,8.12,8.12,8.12,8.12
MBWM,2000-03-09,8.02,8.21,8.02,8.02
MBWM,2000-03-10,8.12,8.21,7.84,7.84
MBWM,2000-03-13,7.84,8.21,7.84,7.84
