ticker,date,open,high,low,close
MCHX,2004-03-31,7.52,9.75,7.5,8.88
MCHX,2004-04-01,9.28,9.65,8.5,9.5
MCHX,2004-04-02,9.9,10.68,9.0,10.35
MCHX,2004-04-05,10.5,12.0,10.4,11.99
MCHX,2004-04-06,13.5,14.1,10.88,11.37
MCHX,2004-04-07,11.99,11.99,10.46,10.75
MCHX,2004-04-08,11.25,11.75,11.1,11.65
MCHX,2004-04-12,11.66,12.95,11.48,12.21
MCHX,2004-04-13,12.92,12.98,11.51,11.52
MCHX,2004-04-14,11.75,12.25,10.51,12.0
MCHX,2004-04-15,11.84,12.5,11.69,11.79
MCHX,2004-04-16,11.75,12.45,11.26,12.05
MCHX,2004-04-19,12.49,12.49,11.9,12.02
MCHX,2004-04-20,11.98,12.3,11.83,11.92
MCHX,2004-04-21,11.93,12.25,11.25,11.53
MCHX,2004-04-22,11.53,11.62,10.8,11.36
MCHX,2004-04-23,11.36,11.67,11.15,11.6
MCHX,2004-04-26,11.6,12.0,11.5,11.79
MCHX,2004-04-27,11.72,12.1,11.5,12.1
MCHX,2004-04-28,11.88,14.49,11.88,13.1
MCHX,2004-04-29,13.15,13.25,12.4,13.0
MCHX,2004-04-30,12.9,13.09,12.0,13.09
MCHX,2004-05-03,13.7,13.7,12.8,13.28
MCHX,2004-05-04,13.25,13.35,12.1,12.9
MCHX,2004-05-05,13.25,13.25,12.75,13.02
MCHX,2004-05-06,13.0,13.0,12.7,12.79
MCHX,2004-05-07,13.5,13.5,12.78,12.9
MCHX,2004-05-10,12.89,12.9,11.15,11.61
MCHX,2004-05-11,12.0,12.0,11.15,11.31
MCHX,2004-05-12,11.3,12.03,11.06,11.58
MCHX,2004-05-13,11.7,11.7,11.3,11.5
MCHX,2004-05-14,11.05,12.4,11.05,11.92
MCHX,2004-05-17,11.85,11.85,11.56,11.66
MCHX,2004-05-18,11.56,11.58,11.49,11.5
MCHX,2004-05-19,11.55,11.85,11.4,11.5
MCHX,2004-05-20,11.55,11.55,10.5,11.0
MCHX,2004-05-21,11.0,11.0,10.51,10.9
MCHX,2004-05-24,10.75,10.91,10.65,10.9
MCHX,2004-05-25,11.0,11.1,10.65,10.95
MCHX,2004-05-26,10.95,11.01,10.24,10.57
MCHX,2004-05-27,10.26,10.76,10.26,10.75
MCHX,2004-05-28,10.75,11.05,10.5,10.5
MCHX,2004-06-01,10.69,10.7,10.31,10.46
MCHX,2004-06-02,10.25,10.45,10.18,10.38
MCHX,2004-06-03,10.19,10.85,10.1,10.57
MCHX,2004-06-04,10.6,10.81,10.6,10.76
MCHX,2004-06-07,10.7,10.9,10.6,10.74
MCHX,2004-06-08,10.66,10.74,10.57,10.67
MCHX,2004-06-09,10.67,10.76,10.6,10.73
MCHX,2004-06-10,10.7,10.75,10.29,10.31
MCHX,2004-06-14,10.7,10.75,10.51,10.73
MCHX,2004-06-15,10.75,12.0,10.67,11.7
MCHX,2004-06-16,12.05,12.5,11.69,12.5
MCHX,2004-06-17,12.1,12.5,12.1,12.45
MCHX,2004-06-18,12.28,12.45,11.76,11.9
MCHX,2004-06-21,11.76,12.7,11.0,12.45
MCHX,2004-06-22,12.5,12.54,11.51,12.25
MCHX,2004-06-23,12.25,12.72,12.25,12.64
MCHX,2004-06-24,12.5,12.68,12.08,12.65
MCHX,2004-06-25,12.65,13.0,11.41,11.6
MCHX,2004-06-28,12.25,12.25,11.06,11.47
MCHX,2004-06-29,11.59,11.65,11.15,11.25
MCHX,2004-06-30,11.15,11.5,11.01,11.18
MCHX,2004-07-01,11.07,11.26,10.91,11.0
MCHX,2004-07-02,10.9,11.0,10.52,10.94
MCHX,2004-07-06,10.8,10.93,10.45,10.88
MCHX,2004-07-07,10.8,10.8,10.41,10.48
MCHX,2004-07-08,10.06,10.38,9.72,9.86
MCHX,2004-07-09,9.9,10.62,9.87,10.13
MCHX,2004-07-12,10.05,10.1,9.9,10.0
MCHX,2004-07-13,10.1,10.1,9.8,9.99
MCHX,2004-07-14,10.01,10.16,9.92,9.93
MCHX,2004-07-15,9.92,10.02,9.65,9.93
MCHX,2004-07-16,9.8,10.3,9.1,9.42
MCHX,2004-07-19,9.15,9.53,8.8,8.99
MCHX,2004-07-20,9.08,9.3,8.91,9.3
MCHX,2004-07-21,9.75,10.3,9.51,9.93
MCHX,2004-07-22,10.05,10.05,9.65,9.69
MCHX,2004-07-23,9.87,9.87,9.24,9.35
MCHX,2004-07-26,9.5,9.84,9.25,9.39
MCHX,2004-07-27,9.06,9.75,9.06,9.63
MCHX,2004-07-28,9.75,9.75,9.03,9.1
MCHX,2004-07-29,9.4,10.49,9.4,10.1
MCHX,2004-07-30,10.24,10.3,9.3,9.36
MCHX,2004-08-02,9.2,9.59,9.18,9.56
MCHX,2004-08-03,9.93,9.93,8.88,9.36
MCHX,2004-08-04,9.26,9.71,9.25,9.6
MCHX,2004-08-05,9.75,9.9,9.41,9.64
MCHX,2004-08-06,9.51,9.77,8.85,9.1
MCHX,2004-08-09,8.95,8.98,8.53,8.76
MCHX,2004-08-10,8.95,8.95,8.81,8.82
MCHX,2004-08-11,8.73,8.75,8.5,8.74
MCHX,2004-08-12,8.59,8.64,8.28,8.56
MCHX,2004-08-13,8.69,9.47,8.69,9.26
MCHX,2004-08-16,9.3,9.39,9.21,9.23
MCHX,2004-08-17,9.3,9.3,8.78,8.9
MCHX,2004-08-18,8.83,9.15,8.83,9.05
MCHX,2004-08-19,8.98,9.5,8.93,9.06
MCHX,2004-08-20,9.13,9.13,8.8,9.04
MCHX,2004-08-23,9.04,9.3,8.98,9.23
MCHX,2004-08-24,9.41,9.41,9.25,9.4
MCHX,2004-08-25,9.45,9.45,9.3,9.4
MCHX,2004-08-26,9.63,9.63,9.03,9.15
MCHX,2004-08-27,9.24,9.29,9.01,9.25
MCHX,2004-08-30,9.23,9.37,9.1,9.34
MCHX,2004-08-31,9.25,9.25,9.15,9.2
MCHX,2004-09-01,9.25,9.58,9.01,9.15
MCHX,2004-09-02,9.15,9.31,9.06,9.28
MCHX,2004-09-03,9.31,9.65,9.16,9.64
MCHX,2004-09-07,9.65,10.18,9.28,10.03
MCHX,2004-09-08,10.05,10.65,10.05,10.37
MCHX,2004-09-09,10.4,10.65,10.3,10.54
MCHX,2004-09-10,10.65,11.92,10.4,11.25
MCHX,2004-09-13,11.6,11.6,11.0,11.11
MCHX,2004-09-14,11.29,11.6,11.0,11.49
MCHX,2004-09-15,11.45,11.45,10.9,11.3
