ticker,date,open,high,low,close
MDBH,2023-09-21,16.0,21.67,12.5,12.5
MDBH,2023-09-22,11.75,11.9195,10.15,10.51
MDBH,2023-09-25,10.75,14.01,10.6619,11.95
MDBH,2023-09-26,11.1,11.7999,11.0501,11.76
MDBH,2023-09-27,11.18,12.032,11.18,11.5
MDBH,2023-09-28,11.31,12.375,11.31,11.33
MDBH,2023-09-29,11.25,11.98,11.25,11.465
MDBH,2023-10-02,11.28,11.99,11.28,11.35
MDBH,2023-10-03,11.36,11.65,11.25,11.345
MDBH,2023-10-04,11.34,11.565,10.6501,10.68
MDBH,2023-10-05,10.71,10.7792,10.52,10.59
MDBH,2023-10-06,10.55,11.1859,10.55,10.61
MDBH,2023-10-09,10.55,11.05,10.55,10.56
MDBH,2023-10-10,10.55,10.77,10.25,10.44
MDBH,2023-10-11,10.35,10.74,10.3101,10.5356
MDBH,2023-10-12,10.55,10.74,10.4,10.63
MDBH,2023-10-13,10.4501,10.53,10.4,10.4
MDBH,2023-10-16,10.6,11.4,10.57,10.58
MDBH,2023-10-17,10.5,10.99,10.5,10.99
MDBH,2023-10-18,10.99,11.29,10.99,11.2
MDBH,2023-10-19,11.68,11.9584,11.495,11.595
MDBH,2023-10-20,11.5,11.5,11.21,11.4899
MDBH,2023-10-23,11.2624,11.2624,10.925,11.13
MDBH,2023-10-24,10.75,11.0,10.7,10.86
MDBH,2023-10-25,10.52,10.75,10.44,10.7
MDBH,2023-10-26,10.99,11.0,10.5129,10.99
MDBH,2023-10-27,10.76,11.1,10.76,10.81
MDBH,2023-10-30,10.73,10.92,10.73,10.8
MDBH,2023-10-31,10.5,10.71,10.42,10.4301
MDBH,2023-11-01,10.41,10.845,10.41,10.55
MDBH,2023-11-02,10.73,10.98,10.64,10.9799
MDBH,2023-11-03,10.758,10.8,10.52,10.54
MDBH,2023-11-06,10.52,10.99,10.52,10.99
MDBH,2023-11-07,10.775,10.94,10.57,10.94
MDBH,2023-11-08,10.89,10.9,10.6,10.89
MDBH,2023-11-09,10.6,10.755,10.37,10.39
MDBH,2023-11-10,10.46,10.46,10.415,10.43
MDBH,2023-11-13,10.37,10.58,10.37,10.3801
MDBH,2023-11-14,10.39,10.5848,10.37,10.44
MDBH,2023-11-15,10.4451,10.5,10.37,10.49
MDBH,2023-11-16,10.5,10.5,10.41,10.45
MDBH,2023-11-17,10.37,10.5,10.25,10.26
MDBH,2023-11-20,10.26,10.355,10.26,10.355
MDBH,2023-11-21,10.3863,10.3863,10.2718,10.2718
MDBH,2023-11-22,10.3,10.39,10.26,10.39
MDBH,2023-11-24,10.49,10.49,10.49,10.49
MDBH,2023-11-27,10.445,10.5,10.4,10.5
MDBH,2023-11-28,10.35,10.4,10.3,10.34
MDBH,2023-11-29,10.4095,10.41,10.3972,10.3972
MDBH,2023-11-30,10.35,10.35,10.25,10.25
MDBH,2023-12-01,10.2624,10.34,10.25,10.34
MDBH,2023-12-04,10.25,10.33,10.2,10.33
MDBH,2023-12-05,10.21,10.27,10.15,10.1601
MDBH,2023-12-06,10.15,10.31,10.11,10.19
MDBH,2023-12-07,10.19,10.19,10.0,10.0392
MDBH,2023-12-08,10.01,10.265,10.01,10.05
MDBH,2023-12-11,10.0579,10.1866,10.0,10.1332
MDBH,2023-12-12,10.0346,10.47,9.5101,9.66
MDBH,2023-12-13,9.51,9.61,8.27,9.24
MDBH,2023-12-14,9.5,10.43,9.5,9.65
MDBH,2023-12-15,9.6253,9.8185,9.6253,9.65
MDBH,2023-12-18,9.65,9.6799,8.2743,8.5
MDBH,2023-12-19,8.5,8.5,8.12,8.12
MDBH,2023-12-20,8.1,8.1,7.35,7.5001
MDBH,2023-12-21,7.8472,8.25,7.65,7.87
MDBH,2023-12-22,8.21,10.43,7.86,10.22
MDBH,2023-12-26,11.0,11.75,11.0,11.15
MDBH,2023-12-27,11.35,11.74,11.28,11.62
MDBH,2023-12-28,11.65,11.65,11.42,11.51
MDBH,2023-12-29,11.5,11.62,11.41,11.535
MDBH,2024-01-02,11.62,11.74,11.58,11.74
MDBH,2024-01-03,11.54,11.74,11.1,11.1
MDBH,2024-01-04,11.24,11.24,10.02,10.06
MDBH,2024-01-05,10.049,10.5,9.57,10.5
MDBH,2024-01-08,10.05,11.54,10.05,10.563
MDBH,2024-01-09,10.4019,10.895,10.4001,10.6964
MDBH,2024-01-10,10.5433,10.72,10.05,10.05
MDBH,2024-01-11,10.4,10.8399,10.4,10.8399
MDBH,2024-01-12,10.48,10.7981,10.15,10.7603
MDBH,2024-01-16,10.85,12.75,10.85,12.0855
MDBH,2024-01-17,12.08,12.49,11.85,11.94
MDBH,2024-01-18,12.15,12.2459,11.91,12.13
MDBH,2024-01-19,12.15,12.4,12.0,12.1
MDBH,2024-01-22,12.2,12.2,11.95,11.955
MDBH,2024-01-23,12.0,12.275,12.0,12.1
MDBH,2024-01-24,12.0,12.2999,11.85,12.0
MDBH,2024-01-25,11.95,12.0,11.63,11.63
MDBH,2024-01-26,11.66,11.775,11.53,11.53
MDBH,2024-01-29,11.51,11.89,11.51,11.564
MDBH,2024-01-30,11.725,11.725,11.55,11.558
MDBH,2024-01-31,11.51,11.6899,11.27,11.27
MDBH,2024-02-01,11.5417,11.86,11.0,11.05
MDBH,2024-02-02,11.25,11.58,11.25,11.36
MDBH,2024-02-05,11.3731,11.3731,11.15,11.37
MDBH,2024-02-06,11.275,11.31,11.25,11.31
MDBH,2024-02-07,11.3673,11.37,11.1256,11.14
MDBH,2024-02-08,11.1,11.25,10.9172,10.96
MDBH,2024-02-09,10.9003,10.9537,10.9,10.95
MDBH,2024-02-12,11.21,11.27,10.9,10.9
MDBH,2024-02-13,11.05,11.05,10.8,10.955
MDBH,2024-02-14,10.94,11.19,10.94,11.19
MDBH,2024-02-15,11.18,11.9,11.0101,11.89
MDBH,2024-02-16,11.99,13.25,11.91,12.8243
MDBH,2024-02-20,12.9,12.9,12.5001,12.6
MDBH,2024-02-21,12.6,12.85,12.25,12.25
