ticker,date,open,high,low,close
MDIA,2020-01-06,1.1,1.92,1.1,1.92
MDIA,2020-01-07,4.04,16.9999,4.04,9.5
MDIA,2020-01-08,10.45,14.83,9.24,9.52
MDIA,2020-01-09,7.9,8.9,7.05,7.65
MDIA,2020-01-10,7.26,7.26,5.8878,5.8878
MDIA,2020-01-13,5.14,5.14,4.73,4.75
MDIA,2020-01-14,4.01,5.12,4.01,4.7
MDIA,2020-01-15,4.71,5.01,4.38,4.7441
MDIA,2020-01-16,4.25,4.6004,4.25,4.5
MDIA,2020-01-17,4.1001,4.7,4.1001,4.55
MDIA,2020-01-21,4.15,4.5,3.5,4.38
MDIA,2020-01-22,4.2,4.95,4.2,4.4641
MDIA,2020-01-23,4.35,4.9,4.35,4.36
MDIA,2020-01-24,4.4,6.45,4.4,5.9
MDIA,2020-01-27,5.8,6.11,5.23,5.26
MDIA,2020-01-28,5.1,5.94,5.04,5.4
MDIA,2020-01-29,5.25,6.82,5.25,6.82
MDIA,2020-01-30,7.21,7.31,6.17,7.0
MDIA,2020-01-31,6.9,7.35,6.01,7.2269
MDIA,2020-02-03,6.92,7.61,6.34,7.21
MDIA,2020-02-04,6.8,6.92,6.36,6.41
MDIA,2020-02-05,6.42,7.0005,6.42,6.59
MDIA,2020-02-06,6.65,7.0,6.6,6.8
MDIA,2020-02-07,6.95,7.0,6.8,6.89
MDIA,2020-02-10,6.875,7.05,6.5,7.0
MDIA,2020-02-11,7.02,7.05,7.02,7.05
MDIA,2020-02-12,7.19,7.48,6.51,7.0
MDIA,2020-02-13,6.9,6.98,6.5,6.98
MDIA,2020-02-14,6.63,7.0,6.63,7.0
MDIA,2020-02-18,7.05,7.05,6.61,6.61
MDIA,2020-02-19,6.7,6.85,6.53,6.85
MDIA,2020-02-20,6.6,6.8,6.55,6.63
MDIA,2020-02-21,6.6,6.62,5.94,6.61
MDIA,2020-02-24,6.45,6.72,6.12,6.6485
MDIA,2020-02-25,6.6,6.6,6.0,6.25
MDIA,2020-02-26,6.2,6.24,6.0,6.24
MDIA,2020-02-27,6.0,6.19,5.5009,6.18
MDIA,2020-02-28,6.15,6.75,5.75,6.75
MDIA,2020-03-02,6.29,6.5,6.15,6.15
MDIA,2020-03-03,5.9,5.95,5.7,5.85
MDIA,2020-03-04,5.56,5.75,5.56,5.56
MDIA,2020-03-05,5.75,6.0,5.58,5.91
MDIA,2020-03-06,5.75,5.75,5.5,5.74
MDIA,2020-03-09,5.75,5.75,4.75,5.5
MDIA,2020-03-10,5.29,5.73,5.29,5.5
MDIA,2020-03-11,5.08,5.23,4.61,5.23
MDIA,2020-03-12,5.23,5.42,4.92,5.36
MDIA,2020-03-13,5.36,5.36,5.36,5.36
MDIA,2020-03-16,5.0,5.0,4.82,4.82
MDIA,2020-03-17,4.9,5.0,4.5,4.75
MDIA,2020-03-18,4.28,4.46,3.4,4.0
MDIA,2020-03-19,3.36,3.69,3.35,3.5
MDIA,2020-03-20,3.4,3.5,3.25,3.42
MDIA,2020-03-23,3.1902,3.68,3.15,3.15
MDIA,2020-03-24,3.01,3.58,3.01,3.58
MDIA,2020-03-25,3.03,3.83,3.03,3.5
MDIA,2020-03-26,3.59,4.0,3.5,4.0
MDIA,2020-03-27,4.0,4.0,4.0,4.0
MDIA,2020-03-30,3.5,3.85,3.16,3.3
MDIA,2020-03-31,3.4,4.24,3.37,4.24
MDIA,2020-04-01,4.0,4.0,3.896,3.9
MDIA,2020-04-02,3.5,3.8,3.5,3.8
MDIA,2020-04-03,3.5442,4.0,3.5442,4.0
MDIA,2020-04-06,3.55,3.75,3.37,3.6
MDIA,2020-04-07,3.31,3.7,3.31,3.6
