ticker,date,open,high,low,close
MGRT,2025-07-16,3.99,4.0,3.39,3.81
MGRT,2025-07-17,3.5,3.64,3.395,3.44
MGRT,2025-07-18,3.43,3.74,3.43,3.47
MGRT,2025-07-21,3.59,3.6599,3.23,3.23
MGRT,2025-07-22,3.23,3.62,3.091,3.36
MGRT,2025-07-23,3.79,3.93,3.35,3.49
MGRT,2025-07-24,3.4,3.54,2.68,3.21
MGRT,2025-07-25,3.2611,3.53,3.099,3.33
MGRT,2025-07-28,3.06,3.1,1.5001,2.28
MGRT,2025-07-29,2.2,3.6,2.2,2.8
MGRT,2025-07-30,2.7,3.2,2.63,2.63
MGRT,2025-07-31,2.7,2.84,2.3302,2.46
MGRT,2025-08-01,2.37,3.6,2.3103,3.26
MGRT,2025-08-04,3.16,3.2608,2.71,3.04
MGRT,2025-08-05,2.99,3.1838,2.91,2.92
MGRT,2025-08-06,2.73,3.92,2.73,3.84
MGRT,2025-08-07,3.87,3.875,3.59,3.69
MGRT,2025-08-08,3.51,3.64,2.655,2.85
MGRT,2025-08-11,2.94,3.0196,2.85,2.85
MGRT,2025-08-12,2.73,3.29,2.73,3.01
MGRT,2025-08-13,3.1,3.3,2.8565,3.17
MGRT,2025-08-14,2.9852,3.21,2.9692,3.02
MGRT,2025-08-15,3.12,3.56,3.025,3.45
MGRT,2025-08-18,3.15,3.58,3.062,3.38
MGRT,2025-08-19,3.25,3.6,2.92,3.44
MGRT,2025-08-20,3.38,3.4,3.2519,3.26
MGRT,2025-08-21,3.11,3.399,3.11,3.2
MGRT,2025-08-22,3.3,3.33,3.21,3.33
MGRT,2025-08-25,3.06,3.4,3.06,3.38
MGRT,2025-08-26,3.38,3.4,3.3006,3.38
MGRT,2025-08-27,3.26,3.6205,3.26,3.55
MGRT,2025-08-28,3.36,3.7,3.2879,3.63
MGRT,2025-08-29,3.51,3.575,3.318,3.5
MGRT,2025-09-02,3.33,3.5364,3.32,3.47
MGRT,2025-09-03,3.69,3.69,3.32,3.32
MGRT,2025-09-04,3.4229,3.5479,3.08,3.5
MGRT,2025-09-05,3.37,3.6945,3.135,3.38
MGRT,2025-09-08,3.3,3.61,3.3,3.44
MGRT,2025-09-09,3.3164,3.7,3.295,3.6941
MGRT,2025-09-10,3.66,3.74,3.56,3.58
MGRT,2025-09-11,3.58,3.7222,3.52,3.52
MGRT,2025-09-12,3.5994,4.6,3.5994,4.52
MGRT,2025-09-15,4.35,4.57,3.94,4.1
MGRT,2025-09-16,4.15,4.35,4.02,4.215
MGRT,2025-09-17,4.0701,4.2,4.07,4.2
MGRT,2025-09-18,4.0901,4.39,4.0901,4.39
MGRT,2025-09-19,4.39,4.54,4.01,4.11
MGRT,2025-09-22,4.09,4.2,3.72,3.9
MGRT,2025-09-23,3.95,4.08,3.9,4.05
MGRT,2025-09-24,4.24,4.4993,3.9,4.38
MGRT,2025-09-25,4.27,4.61,4.19,4.6
MGRT,2025-09-26,4.46,4.58,4.2,4.2
MGRT,2025-09-29,4.2037,4.55,4.2037,4.4768
MGRT,2025-09-30,4.46,4.71,4.18,4.67
MGRT,2025-10-01,4.96,5.0,4.46,4.57
