ticker,date,open,high,low,close
MKTX,2004-11-05,12.75,17.61,12.75,17.49
MKTX,2004-11-08,17.13,18.88,16.5,18.7
MKTX,2004-11-09,18.74,19.6,17.32,18.57
MKTX,2004-11-10,18.35,21.24,18.02,20.15
MKTX,2004-11-11,20.7,24.41,20.37,21.0
MKTX,2004-11-12,22.15,22.5,21.0,21.4
MKTX,2004-11-15,21.65,23.1,20.59,21.61
MKTX,2004-11-16,22.19,22.47,20.95,22.2
MKTX,2004-11-17,21.8,23.25,21.8,22.0
MKTX,2004-11-18,21.81,21.99,20.51,20.84
MKTX,2004-11-19,20.8,21.75,19.49,21.5
MKTX,2004-11-22,21.13,22.99,21.08,22.22
MKTX,2004-11-23,22.85,22.85,20.65,21.19
MKTX,2004-11-24,21.5,21.56,20.25,21.05
MKTX,2004-11-26,21.15,21.25,20.9,21.0
MKTX,2004-11-29,21.7,21.75,19.71,20.23
MKTX,2004-11-30,20.43,20.76,19.51,19.6
MKTX,2004-12-01,19.89,20.1,19.25,20.04
MKTX,2004-12-02,20.0,22.47,20.0,21.64
MKTX,2004-12-03,21.65,22.87,21.08,21.44
MKTX,2004-12-06,21.66,22.07,20.44,20.5
MKTX,2004-12-07,20.99,21.0,18.54,19.44
MKTX,2004-12-08,19.4,19.68,18.7,19.4
MKTX,2004-12-09,19.45,20.4,18.85,20.0
MKTX,2004-12-10,20.2,20.84,20.05,20.41
MKTX,2004-12-13,20.16,20.37,19.25,19.4
MKTX,2004-12-14,19.4,19.9,17.95,18.29
MKTX,2004-12-15,18.25,18.38,17.05,17.21
MKTX,2004-12-16,17.03,17.25,15.67,16.09
MKTX,2004-12-17,16.24,16.96,15.72,15.93
MKTX,2004-12-20,16.25,16.85,15.85,16.12
MKTX,2004-12-21,16.05,17.46,16.05,16.97
MKTX,2004-12-22,17.15,17.15,16.75,16.94
MKTX,2004-12-23,16.99,17.32,16.86,17.19
MKTX,2004-12-27,17.19,17.31,16.32,16.98
MKTX,2004-12-28,17.05,17.05,16.5,16.91
MKTX,2004-12-29,16.75,17.2,16.55,16.76
MKTX,2004-12-30,16.94,17.18,16.81,17.18
MKTX,2004-12-31,17.13,17.13,16.71,17.01
MKTX,2005-01-03,16.75,17.15,15.94,15.95
MKTX,2005-01-04,16.15,16.27,15.3,15.56
MKTX,2005-01-05,15.42,16.41,15.29,15.6
MKTX,2005-01-06,15.5,15.73,15.12,15.28
MKTX,2005-01-07,15.25,16.18,15.22,15.5
MKTX,2005-01-10,15.5,16.0,15.06,15.5
MKTX,2005-01-11,15.5,16.01,15.39,15.92
MKTX,2005-01-12,15.8,15.93,15.41,15.88
MKTX,2005-01-13,15.5,15.74,14.97,15.08
MKTX,2005-01-14,14.95,15.33,14.95,15.2
MKTX,2005-01-18,15.35,15.45,14.94,14.99
MKTX,2005-01-19,15.1,15.1,14.75,14.93
MKTX,2005-01-20,14.7,14.87,14.4,14.68
MKTX,2005-01-21,14.46,14.77,13.61,14.54
MKTX,2005-01-24,14.15,15.27,14.1,14.1
MKTX,2005-01-25,14.22,14.49,14.1,14.4
MKTX,2005-01-26,14.58,14.63,14.15,14.35
MKTX,2005-01-27,14.25,14.5,14.16,14.22
MKTX,2005-01-28,14.15,14.4,14.15,14.23
MKTX,2005-01-31,14.1,14.41,13.87,13.98
MKTX,2005-02-01,13.86,14.25,13.85,13.96
MKTX,2005-02-02,13.95,13.97,13.62,13.82
MKTX,2005-02-03,13.6,13.6,12.09,12.09
MKTX,2005-02-04,11.99,12.45,10.83,11.5
MKTX,2005-02-07,11.25,12.15,11.25,11.4
MKTX,2005-02-08,11.31,11.9,11.25,11.35
MKTX,2005-02-09,12.6,12.88,11.42,11.97
MKTX,2005-02-10,12.79,13.0,12.4,12.5
MKTX,2005-02-11,12.73,12.73,12.4,12.48
MKTX,2005-02-14,12.55,12.55,12.04,12.2
MKTX,2005-02-15,12.1,13.32,12.1,13.05
MKTX,2005-02-16,13.45,13.75,13.2,13.7
MKTX,2005-02-17,13.88,14.05,12.79,12.94
MKTX,2005-02-18,13.13,13.68,13.12,13.16
MKTX,2005-02-22,13.3,13.3,12.85,13.0
MKTX,2005-02-23,13.14,13.14,12.81,12.81
MKTX,2005-02-24,12.75,12.81,12.21,12.64
MKTX,2005-02-25,10.745,10.8693,10.3949,10.7689
MKTX,2005-02-28,10.8435,10.8435,10.1841,10.2259
MKTX,2005-03-01,10.4814,10.4814,10.3104,10.3532
MKTX,2005-03-02,10.3532,10.3621,10.2507,10.3532
MKTX,2005-03-03,10.1761,10.3442,9.82507,9.85888
MKTX,2005-03-04,9.79225,10.0091,9.79225,9.85888
MKTX,2005-03-07,9.92254,9.97421,9.77434,9.83302
MKTX,2005-03-08,9.7833,10.0876,9.43173,9.58837
