ticker,date,open,high,low,close
MLYS,2023-02-10,21.1,21.98,18.44,18.44
MLYS,2023-02-13,18.25,18.98,17.58,18.54
MLYS,2023-02-14,18.29,18.38,17.48,18.01
MLYS,2023-02-15,17.61,18.638,17.37,18.03
MLYS,2023-02-16,17.78,18.8,17.5,17.75
MLYS,2023-02-17,17.75,18.39,17.75,17.93
MLYS,2023-02-21,17.91,18.27,17.62,18.05
MLYS,2023-02-22,18.2,18.255,17.85,18.0
MLYS,2023-02-23,17.75,18.3763,17.74,18.11
MLYS,2023-02-24,18.01,18.07,17.71,17.9
MLYS,2023-02-27,18.12,18.15,17.0,17.13
MLYS,2023-02-28,17.02,17.99,17.02,17.78
MLYS,2023-03-01,17.68,17.88,17.31,17.76
MLYS,2023-03-02,17.61,17.75,17.21,17.21
MLYS,2023-03-03,17.38,19.32,17.07,19.14
MLYS,2023-03-06,19.4,20.1,18.56,18.96
MLYS,2023-03-07,19.7,19.93,17.7438,17.84
MLYS,2023-03-08,18.23,18.39,17.56,17.94
MLYS,2023-03-09,18.0,18.1199,16.69,16.87
MLYS,2023-03-10,16.87,17.6851,15.04,16.28
MLYS,2023-03-13,16.3,17.248,16.0,16.2
MLYS,2023-03-14,16.22,17.575,16.0,16.93
MLYS,2023-03-15,16.53,16.88,16.0,16.35
MLYS,2023-03-16,16.37,16.77,15.26,15.38
MLYS,2023-03-17,15.46,15.86,15.01,15.44
MLYS,2023-03-20,15.37,15.98,14.7117,14.85
MLYS,2023-03-21,14.79,15.1,13.52,14.43
MLYS,2023-03-22,14.48,14.92,14.25,14.36
MLYS,2023-03-23,14.29,15.52,14.29,15.44
MLYS,2023-03-24,15.25,15.43,14.76,15.13
MLYS,2023-03-27,15.13,16.125,15.13,15.97
MLYS,2023-03-28,15.86,16.22,14.61,14.87
MLYS,2023-03-29,15.07,15.25,14.25,14.85
MLYS,2023-03-30,14.76,15.79,14.3915,15.65
MLYS,2023-03-31,15.4125,15.83,15.07,15.66
MLYS,2023-04-03,15.58,15.88,15.29,15.36
MLYS,2023-04-04,15.23,15.575,14.23,14.43
MLYS,2023-04-05,14.41,14.49,13.56,13.94
MLYS,2023-04-06,14.0,14.05,13.27,13.56
MLYS,2023-04-10,13.38,14.99,13.18,14.67
MLYS,2023-04-11,14.6,15.11,13.35,13.56
MLYS,2023-04-12,13.51,13.87,12.755,13.59
MLYS,2023-04-13,13.69,13.82,13.09,13.44
MLYS,2023-04-14,13.53,13.545,12.75,13.2
MLYS,2023-04-17,13.19,13.6,12.8668,13.55
MLYS,2023-04-18,13.48,13.68,13.06,13.62
MLYS,2023-04-19,13.6,14.795,13.27,14.49
MLYS,2023-04-20,14.49,14.6,13.58,13.77
MLYS,2023-04-21,13.62,14.4,13.5,14.23
MLYS,2023-04-24,14.3,14.3,13.65,13.7
MLYS,2023-04-25,13.85,13.85,13.31,13.42
MLYS,2023-04-26,13.32,13.41,12.77,12.86
MLYS,2023-04-27,12.91,13.355,12.75,13.08
MLYS,2023-04-28,12.62,13.775,12.62,13.45
MLYS,2023-05-01,13.51,13.82,13.33,13.66
MLYS,2023-05-02,13.65,13.74,13.36,13.53
MLYS,2023-05-03,13.29,14.35,13.12,14.2
MLYS,2023-05-04,14.15,15.23,13.6552,14.65
MLYS,2023-05-05,14.83,16.1438,14.77,15.67
MLYS,2023-05-08,15.77,16.295,15.58,16.16
MLYS,2023-05-09,16.0,17.45,15.95,16.74
MLYS,2023-05-10,17.09,17.7,15.94,16.1
MLYS,2023-05-11,16.01,16.21,15.6,16.04
MLYS,2023-05-12,16.0,17.0,15.74,16.15
MLYS,2023-05-15,16.48,16.56,15.82,16.19
MLYS,2023-05-16,16.97,16.97,15.0015,15.45
MLYS,2023-05-17,15.75,16.43,15.32,16.02
MLYS,2023-05-18,16.03,16.06,15.32,15.86
MLYS,2023-05-19,16.21,16.21,15.26,15.51
MLYS,2023-05-22,15.7,16.275,15.48,15.85
MLYS,2023-05-23,15.83,16.23,15.465,15.68
MLYS,2023-05-24,15.64,15.81,15.105,15.23
MLYS,2023-05-25,15.17,15.17,13.85,14.12
MLYS,2023-05-26,14.2,14.425,13.815,14.08
MLYS,2023-05-30,14.23,14.945,13.84,14.31
MLYS,2023-05-31,14.58,15.08,13.8,14.54
MLYS,2023-06-01,14.445,14.86,14.14,14.47
MLYS,2023-06-02,14.76,14.83,14.04,14.72
MLYS,2023-06-05,14.64,14.93,14.42,14.61
MLYS,2023-06-06,14.35,15.38,14.34,15.26
MLYS,2023-06-07,15.38,16.02,14.65,15.12
MLYS,2023-06-08,14.825,15.435,14.795,15.34
MLYS,2023-06-09,15.41,15.69,14.63,14.82
MLYS,2023-06-12,14.9,15.29,14.65,14.97
MLYS,2023-06-13,15.13,16.22,15.01,15.82
MLYS,2023-06-14,15.98,16.17,15.4,15.95
MLYS,2023-06-15,16.25,16.25,14.94,15.58
MLYS,2023-06-16,15.91,15.99,15.2,15.75
MLYS,2023-06-20,15.7,16.31,15.345,16.0
MLYS,2023-06-21,15.89,16.6,15.39,16.42
MLYS,2023-06-22,16.21,16.96,15.84,16.09
MLYS,2023-06-23,15.97,16.6,15.6,15.95
MLYS,2023-06-26,15.74,15.8,14.61,15.3
MLYS,2023-06-27,15.32,16.21,14.34,16.14
MLYS,2023-06-28,16.12,17.35,15.94,17.1
MLYS,2023-06-29,17.11,17.29,15.87,16.57
MLYS,2023-06-30,16.65,17.44,16.5,17.05
MLYS,2023-07-03,17.0,17.05,15.47,15.97
MLYS,2023-07-05,15.9,16.654,15.6,15.76
MLYS,2023-07-06,15.47,15.83,14.34,15.5
MLYS,2023-07-07,15.36,15.755,14.935,15.51
MLYS,2023-07-10,15.51,15.8,15.075,15.37
MLYS,2023-07-11,15.32,15.43,14.79,15.25
MLYS,2023-07-12,15.41,15.66,14.95,15.55
MLYS,2023-07-13,15.59,15.904,15.45,15.54
MLYS,2023-07-14,15.5,16.207,15.1,15.52
MLYS,2023-07-17,15.5,15.76,14.805,14.99
MLYS,2023-07-18,14.87,15.51,14.8,14.92
MLYS,2023-07-19,14.92,15.11,14.445,14.99
MLYS,2023-07-20,14.99,15.1796,14.61,14.84
MLYS,2023-07-21,14.84,15.18,14.72,15.11
MLYS,2023-07-24,15.15,15.17,14.835,14.92
MLYS,2023-07-25,14.89,15.03,14.53,14.77
MLYS,2023-07-26,14.73,15.025,14.3172,14.85
MLYS,2023-07-27,14.94,14.94,13.81,13.98
MLYS,2023-07-28,14.09,14.81,14.09,14.53
MLYS,2023-07-31,14.48,14.59,14.02,14.13
MLYS,2023-08-01,14.05,14.21,13.8,13.85
MLYS,2023-08-02,13.78,13.97,13.49,13.65
MLYS,2023-08-03,13.54,14.13,13.44,13.64
MLYS,2023-08-04,13.69,14.075,13.27,13.3
MLYS,2023-08-07,13.03,13.11,12.01,12.5
MLYS,2023-08-08,12.44,13.6,12.33,13.37
MLYS,2023-08-09,13.4,13.7287,12.83,13.23
MLYS,2023-08-10,13.25,13.4,13.0,13.12
MLYS,2023-08-11,13.06,13.26,12.39,12.81
MLYS,2023-08-14,13.01,13.35,12.6,13.25
MLYS,2023-08-15,13.09,13.235,12.31,12.47
MLYS,2023-08-16,12.48,12.58,12.15,12.22
MLYS,2023-08-17,12.22,12.48,12.02,12.18
MLYS,2023-08-18,12.18,12.63,12.05,12.18
MLYS,2023-08-21,12.21,12.3,11.96,11.99
MLYS,2023-08-22,12.04,13.14,12.02,13.05
MLYS,2023-08-23,13.18,13.32,12.91,12.97
MLYS,2023-08-24,12.99,13.065,12.86,12.93
MLYS,2023-08-25,12.99,13.13,12.85,13.0
MLYS,2023-08-28,13.155,13.16,12.8,12.97
MLYS,2023-08-29,12.93,13.02,12.48,12.58
MLYS,2023-08-30,12.69,13.2399,12.69,12.85
MLYS,2023-08-31,12.85,13.06,12.75,12.84
MLYS,2023-09-01,13.01,13.03,12.78,12.92
MLYS,2023-09-05,13.0,13.0,12.17,12.2
MLYS,2023-09-06,12.19,12.34,11.7,12.12
MLYS,2023-09-07,12.06,12.34,11.3,11.72
MLYS,2023-09-08,11.85,12.25,11.69,11.85
MLYS,2023-09-11,11.91,12.24,11.54,12.0
MLYS,2023-09-12,11.86,13.0,11.86,12.01
MLYS,2023-09-13,12.03,12.56,11.81,12.02
MLYS,2023-09-14,12.16,12.49,11.81,11.95
MLYS,2023-09-15,11.98,12.14,11.2301,11.51
MLYS,2023-09-18,11.49,11.49,10.685,10.94
MLYS,2023-09-19,11.0,11.02,10.61,10.68
MLYS,2023-09-20,10.61,11.1295,10.04,10.16
MLYS,2023-09-21,10.01,10.86,9.96,10.72
MLYS,2023-09-22,10.74,11.24,10.61,10.74
MLYS,2023-09-25,10.62,10.805,9.825,10.22
MLYS,2023-09-26,10.19,10.78,9.94,10.1
MLYS,2023-09-27,10.15,10.28,9.7,9.85
MLYS,2023-09-28,9.67,9.845,8.87,9.3
MLYS,2023-09-29,9.37,9.73,9.37,9.51
MLYS,2023-10-02,9.5,10.094,8.87,9.13
MLYS,2023-10-03,9.07,9.36,8.72,9.23
MLYS,2023-10-04,9.25,9.28,8.785,9.27
MLYS,2023-10-05,9.32,10.005,9.24,9.84
MLYS,2023-10-06,9.89,10.05,9.31,9.76
MLYS,2023-10-09,9.55,9.55,9.05,9.39
MLYS,2023-10-10,9.43,9.9,9.105,9.69
MLYS,2023-10-11,9.61,9.8,9.31,9.38
MLYS,2023-10-12,9.29,9.3,8.42,8.58
MLYS,2023-10-13,8.55,9.18,8.22,9.06
MLYS,2023-10-16,9.23,9.618,8.98,9.53
MLYS,2023-10-17,9.36,9.505,8.98,9.36
MLYS,2023-10-18,9.23,9.23,8.91,8.92
MLYS,2023-10-19,8.93,8.93,7.98,8.15
MLYS,2023-10-20,8.17,8.48,8.02,8.36
MLYS,2023-10-23,8.36,8.57,8.0085,8.41
MLYS,2023-10-24,8.41,8.88,8.41,8.77
MLYS,2023-10-25,8.77,8.98,8.09,8.18
MLYS,2023-10-26,8.17,8.39,7.96,8.05
MLYS,2023-10-27,8.03,8.075,7.44,7.6
MLYS,2023-10-30,7.86,8.11,7.63,8.07
MLYS,2023-10-31,7.95,8.19,7.61,7.73
MLYS,2023-11-01,7.82,7.83,7.52,7.75
MLYS,2023-11-02,7.81,7.9,7.5,7.8
MLYS,2023-11-03,8.03,8.92,7.97,8.31
MLYS,2023-11-06,8.31,8.5113,7.65,8.1
MLYS,2023-11-07,8.16,9.03,8.11,8.75
MLYS,2023-11-08,8.75,8.84,7.58,8.16
MLYS,2023-11-09,8.2,8.44,7.39,7.4
MLYS,2023-11-10,7.4,7.4,6.4,6.45
MLYS,2023-11-13,6.42,6.5,6.14,6.36
MLYS,2023-11-14,6.68,7.69,6.515,7.15
MLYS,2023-11-15,7.19,7.425,6.74,6.78
MLYS,2023-11-16,6.76,6.87,6.53,6.71
MLYS,2023-11-17,6.74,6.99,6.576,6.83
MLYS,2023-11-20,6.87,6.95,6.39,6.43
MLYS,2023-11-21,6.37,6.425,5.935,6.02
MLYS,2023-11-22,6.15,6.15,5.85,5.96
MLYS,2023-11-24,6.06,6.46,6.06,6.27
MLYS,2023-11-27,6.24,6.52,6.12,6.44
MLYS,2023-11-28,6.51,6.77,6.23,6.65
MLYS,2023-11-29,6.69,7.0299,6.62,6.75
MLYS,2023-11-30,6.91,7.01,6.5,6.66
MLYS,2023-12-01,6.62,7.235,6.62,7.2
MLYS,2023-12-04,7.2,7.33,6.73,6.74
MLYS,2023-12-05,6.7,6.94,6.54,6.8
MLYS,2023-12-06,6.97,6.97,6.51,6.53
MLYS,2023-12-07,6.63,6.9,6.378,6.9
MLYS,2023-12-08,6.89,7.23,6.65,7.18
MLYS,2023-12-11,7.19,7.23,6.83,7.02
MLYS,2023-12-12,7.05,7.2697,6.99,7.09
MLYS,2023-12-13,7.18,8.07,7.0501,8.04
MLYS,2023-12-14,8.16,8.72,8.05,8.25
MLYS,2023-12-15,8.48,8.52,7.71,8.06
MLYS,2023-12-18,8.0,8.08,7.66,7.86
MLYS,2023-12-19,7.92,8.22,7.725,8.0
MLYS,2023-12-20,7.88,8.025,7.56,7.6
MLYS,2023-12-21,7.77,7.84,7.29,7.47
MLYS,2023-12-22,7.63,8.565,7.37,8.09
MLYS,2023-12-26,8.15,8.28,7.8645,8.16
MLYS,2023-12-27,8.27,8.4,8.05,8.34
MLYS,2023-12-28,8.33,8.7199,8.27,8.57
MLYS,2023-12-29,8.48,8.75,8.365,8.6
MLYS,2024-01-02,8.49,9.075,8.49,8.68
MLYS,2024-01-03,8.68,8.8,8.5,8.55
MLYS,2024-01-04,8.61,8.8779,8.5,8.63
MLYS,2024-01-05,8.72,8.9899,8.47,8.65
MLYS,2024-01-08,8.62,9.15,8.48,9.12
MLYS,2024-01-09,8.98,9.31,8.9,9.06
MLYS,2024-01-10,9.03,9.51,8.96,9.23
MLYS,2024-01-11,9.23,9.44,8.96,9.02
MLYS,2024-01-12,9.2,9.44,8.92,9.3
MLYS,2024-01-16,9.2,9.35,8.6,8.68
MLYS,2024-01-17,8.42,8.81,8.27,8.71
MLYS,2024-01-18,8.83,8.83,7.95,8.27
MLYS,2024-01-19,8.35,8.875,8.275,8.77
MLYS,2024-01-22,8.7,9.04,8.485,8.95
MLYS,2024-01-23,9.16,9.46,8.975,9.45
MLYS,2024-01-24,9.66,10.33,9.32,10.01
MLYS,2024-01-25,10.15,10.8,10.0,10.64
MLYS,2024-01-26,10.72,10.93,10.23,10.3
MLYS,2024-01-29,10.3,11.09,9.78,10.94
MLYS,2024-01-30,10.88,11.15,10.7493,10.85
MLYS,2024-01-31,10.8,11.2,10.66,10.91
MLYS,2024-02-01,10.97,12.75,10.97,12.7
MLYS,2024-02-02,13.1,13.38,12.06,12.16
MLYS,2024-02-05,11.92,12.29,11.41,12.03
MLYS,2024-02-06,11.92,12.545,11.4683,12.28
MLYS,2024-02-07,12.34,12.81,12.18,12.47
MLYS,2024-02-08,14.5,15.3,13.96,14.03
MLYS,2024-02-09,14.15,15.0,14.02,14.73
MLYS,2024-02-12,14.86,15.0105,14.7,14.72
MLYS,2024-02-13,13.96,14.605,13.81,14.25
MLYS,2024-02-14,14.47,14.68,14.3,14.54
MLYS,2024-02-15,14.97,15.16,14.47,14.98
MLYS,2024-02-16,14.93,15.55,14.53,15.48
MLYS,2024-02-20,15.28,15.57,15.16,15.3
MLYS,2024-02-21,15.33,15.38,14.73,15.25
MLYS,2024-02-22,15.13,15.96,15.13,15.66
MLYS,2024-02-23,15.6,15.93,15.3301,15.88
