ticker,date,open,high,low,close
MNTK,2021-01-22,13.0,14.93,10.37,11.73
MNTK,2021-01-25,11.37,13.06,10.7006,10.86
MNTK,2021-01-26,11.19,11.71,10.25,11.7
MNTK,2021-01-27,11.0,11.47,9.8906,11.47
MNTK,2021-01-28,10.76,11.45,10.5,11.38
MNTK,2021-01-29,10.83,11.06,9.65,10.03
MNTK,2021-02-01,10.17,10.6804,9.81,10.5
MNTK,2021-02-02,10.4,10.4,10.01,10.32
MNTK,2021-02-03,10.39,11.41,10.16,11.4
MNTK,2021-02-04,11.22,11.367,10.59,10.94
MNTK,2021-02-05,10.98,11.25,10.8681,11.17
MNTK,2021-02-08,11.34,13.08,11.245,12.66
MNTK,2021-02-09,12.5,13.4327,12.2101,13.38
MNTK,2021-02-10,13.25,13.57,12.9,13.0
MNTK,2021-02-11,13.0,13.4799,12.67,13.0
MNTK,2021-02-12,12.88,13.25,12.6701,12.96
MNTK,2021-02-16,13.26,13.81,13.0,13.71
MNTK,2021-02-17,13.63,14.79,12.96,13.95
MNTK,2021-02-18,13.93,14.34,13.48,13.78
MNTK,2021-02-19,14.14,14.29,13.01,13.65
MNTK,2021-02-22,13.55,13.7033,13.1,13.26
MNTK,2021-02-23,12.95,13.02,11.96,12.46
MNTK,2021-02-24,12.79,13.45,12.25,13.06
MNTK,2021-02-25,13.17,13.495,12.33,12.87
MNTK,2021-02-26,12.55,13.4943,12.24,12.8
MNTK,2021-03-01,12.97,13.786,12.7,13.61
MNTK,2021-03-02,13.68,13.68,11.94,12.2
MNTK,2021-03-03,12.12,12.35,11.68,11.77
MNTK,2021-03-04,11.73,12.36,9.8,9.88
MNTK,2021-03-05,10.0,11.4,10.0,10.71
MNTK,2021-03-08,10.86,11.4499,9.9,10.52
MNTK,2021-03-09,11.5,12.36,11.45,11.92
MNTK,2021-03-10,12.12,12.12,11.0648,11.6
MNTK,2021-03-11,11.59,12.3027,11.51,12.3
MNTK,2021-03-12,11.91,11.98,11.66,11.75
MNTK,2021-03-15,11.81,12.45,11.7138,12.27
MNTK,2021-03-16,12.23,12.44,11.51,12.2
MNTK,2021-03-17,11.94,12.12,11.25,11.25
MNTK,2021-03-18,12.02,12.2399,11.25,11.25
MNTK,2021-03-19,11.32,12.025,11.27,11.32
MNTK,2021-03-22,11.56,12.5,11.4175,12.5
MNTK,2021-03-23,12.53,13.55,12.5,13.0
MNTK,2021-03-24,12.78,13.0,12.2,12.2
MNTK,2021-03-25,12.18,12.542,11.35,11.46
MNTK,2021-03-26,11.985,12.37,11.365,11.83
MNTK,2021-03-29,12.05,12.1366,11.28,11.51
MNTK,2021-03-30,11.33,12.03,11.25,11.44
MNTK,2021-03-31,11.68,12.59,11.2,12.08
MNTK,2021-04-01,12.32,12.32,11.58,12.12
MNTK,2021-04-05,11.61,12.03,11.46,11.52
MNTK,2021-04-06,11.52,11.8529,11.18,11.35
MNTK,2021-04-07,11.39,11.5813,10.77,10.94
MNTK,2021-04-08,11.06,11.23,10.57,10.7
MNTK,2021-04-09,10.58,11.1,10.46,10.46
MNTK,2021-04-12,10.57,10.57,10.06,10.31
MNTK,2021-04-13,10.42,10.42,10.015,10.14
MNTK,2021-04-14,10.25,10.6,9.88,10.15
MNTK,2021-04-15,10.06,10.49,10.06,10.4
MNTK,2021-04-16,10.36,10.45,9.85,10.31
MNTK,2021-04-19,10.0,10.0399,9.26,9.85
MNTK,2021-04-20,9.79,9.79,8.87,9.0
MNTK,2021-04-21,8.89,9.5,8.575,9.44
MNTK,2021-04-22,9.33,9.9999,9.1245,9.67
MNTK,2021-04-23,9.65,10.3,9.65,10.12
MNTK,2021-04-26,10.1,10.365,10.0,10.36
MNTK,2021-04-27,10.37,10.485,9.96,10.06
MNTK,2021-04-28,9.98,10.08,9.82,10.0
MNTK,2021-04-29,9.86,9.95,9.65,9.83
MNTK,2021-04-30,9.75,9.8,9.1,9.19
MNTK,2021-05-03,9.17,9.665,9.14,9.41
MNTK,2021-05-04,9.18,9.38,8.86,9.12
MNTK,2021-05-05,9.255,9.305,9.0,9.11
MNTK,2021-05-06,9.15,9.2,8.955,9.12
MNTK,2021-05-07,9.18,9.59,9.0,9.51
MNTK,2021-05-10,9.72,9.92,8.9,9.04
MNTK,2021-05-11,8.73,9.47,8.5,8.61
MNTK,2021-05-12,8.65,9.65,8.48,8.65
MNTK,2021-05-13,8.76,9.26,8.5101,8.8
MNTK,2021-05-14,8.98,9.43,8.92,9.43
MNTK,2021-05-17,9.28,9.31,9.06,9.21
MNTK,2021-05-18,9.32,10.14,9.32,9.97
MNTK,2021-05-19,9.82,9.82,9.58,9.68
MNTK,2021-05-20,9.96,9.96,9.46,9.48
MNTK,2021-05-21,9.52,9.66,9.5,9.66
MNTK,2021-05-24,9.85,9.93,9.665,9.8
MNTK,2021-05-25,9.87,9.87,9.65,9.75
MNTK,2021-05-26,9.75,9.75,9.53,9.53
MNTK,2021-05-27,9.61,10.0,9.56,9.95
MNTK,2021-05-28,9.7209,9.939,9.7,9.7
MNTK,2021-06-01,9.87,10.19,9.755,9.97
MNTK,2021-06-02,10.02,10.15,9.91,9.91
MNTK,2021-06-03,9.84,10.1,9.72,10.1
MNTK,2021-06-04,10.17,10.17,9.71,9.9
MNTK,2021-06-07,9.89,9.89,9.66,9.69
MNTK,2021-06-08,9.865,9.865,9.6,9.7
MNTK,2021-06-09,9.7,9.83,9.54,9.64
MNTK,2021-06-10,9.66,9.66,9.53,9.53
MNTK,2021-06-11,9.55,9.74,9.53,9.72
MNTK,2021-06-14,9.71,9.92,9.44,9.51
MNTK,2021-06-15,9.66,9.81,9.36,9.67
MNTK,2021-06-16,9.59,9.7261,9.27,9.27
MNTK,2021-06-17,9.42,9.45,8.8527,9.23
MNTK,2021-06-18,9.01,9.089,8.45,8.6
MNTK,2021-06-21,8.65,8.968,8.48,8.64
MNTK,2021-06-22,8.65,8.72,8.6,8.72
MNTK,2021-06-23,8.66,8.715,8.31,8.44
MNTK,2021-06-24,8.46,8.5908,8.385,8.49
MNTK,2021-06-25,8.5,8.6099,8.445,8.47
