ticker,date,open,high,low,close
MOB,2022-08-25,4.0,6.66,3.7,5.47
MOB,2022-08-26,4.38,4.75,3.11,3.3
MOB,2022-08-29,2.85,3.14,2.59,2.7399
MOB,2022-08-30,2.7,2.86,2.33,2.44
MOB,2022-08-31,3.06,3.62,2.87,3.12
MOB,2022-09-01,2.87,2.88,2.52,2.69
MOB,2022-09-02,2.59,2.74,2.5,2.68
MOB,2022-09-06,2.61,2.61,2.25,2.31
MOB,2022-09-07,2.25,2.28,2.1,2.16
MOB,2022-09-08,2.22,2.44,2.21,2.33
MOB,2022-09-09,2.32,2.32,2.11,2.15
MOB,2022-09-12,2.13,2.25,2.0503,2.19
MOB,2022-09-13,2.14,2.17,2.08,2.09
MOB,2022-09-14,2.08,2.16,2.05,2.14
MOB,2022-09-15,2.14,2.19,2.0,2.06
MOB,2022-09-16,1.98,2.02,1.85,1.86
MOB,2022-09-19,1.86,1.9,1.83,1.84
MOB,2022-09-20,1.82,1.86,1.76,1.79
MOB,2022-09-21,1.83,2.06,1.78,1.92
MOB,2022-09-22,1.93,2.05,1.77,1.83
MOB,2022-09-23,1.77,1.8099,1.65,1.7
MOB,2022-09-26,1.69,1.72,1.62,1.71
MOB,2022-09-27,1.71,1.9336,1.66,1.88
MOB,2022-09-28,1.86,1.96,1.73,1.93
MOB,2022-09-29,1.84,2.1999,1.78,1.95
MOB,2022-09-30,1.92,1.97,1.7738,1.8
MOB,2022-10-03,1.88,1.96,1.79,1.84
MOB,2022-10-04,1.8891,1.91,1.74,1.81
MOB,2022-10-05,1.8,1.85,1.75,1.84
MOB,2022-10-06,1.8406,1.85,1.76,1.81
MOB,2022-10-07,1.78,1.83,1.68,1.71
MOB,2022-10-10,1.79,1.79,1.52,1.53
MOB,2022-10-11,1.53,1.6,1.39,1.45
MOB,2022-10-12,1.49,1.55,1.42,1.51
MOB,2022-10-13,1.45,1.55,1.4238,1.46
MOB,2022-10-14,1.52,1.5899,1.43,1.55
MOB,2022-10-17,1.55,1.57,1.43,1.46
MOB,2022-10-18,1.46,1.54,1.44,1.5
MOB,2022-10-19,1.46,1.4763,1.345,1.42
MOB,2022-10-20,1.4,1.51,1.34,1.39
MOB,2022-10-21,1.39,1.44,1.35,1.4
MOB,2022-10-24,1.38,1.5,1.31,1.5
MOB,2022-10-25,1.66,1.8,1.38,1.5
MOB,2022-10-26,1.43,1.54,1.4206,1.53
MOB,2022-10-27,1.47,1.59,1.4401,1.57
MOB,2022-10-28,1.59,1.59,1.52,1.53
MOB,2022-10-31,1.63,1.68,1.57,1.68
MOB,2022-11-01,1.69,1.69,1.6001,1.67
MOB,2022-11-02,1.6301,1.6401,1.55,1.55
MOB,2022-11-03,1.57,1.57,1.5,1.54
MOB,2022-11-04,1.54,1.56,1.42,1.42
MOB,2022-11-07,1.36,1.54,1.36,1.52
MOB,2022-11-08,1.52,1.52,1.44,1.44
MOB,2022-11-09,1.44,1.45,1.38,1.385
MOB,2022-11-10,1.55,1.55,1.38,1.39
MOB,2022-11-11,1.39,1.48,1.35,1.39
MOB,2022-11-14,1.41,1.45,1.36,1.41
MOB,2022-11-15,1.42,1.44,1.3658,1.38
MOB,2022-11-16,1.41,1.4364,1.35,1.36
MOB,2022-11-17,1.31,1.42,1.31,1.37
MOB,2022-11-18,1.375,1.43,1.36,1.4299
MOB,2022-11-21,1.38,1.46,1.35,1.405
MOB,2022-11-22,1.4,1.4399,1.36,1.38
MOB,2022-11-23,1.41,1.5,1.36,1.37
MOB,2022-11-25,1.405,1.45,1.36,1.39
MOB,2022-11-28,1.47,1.49,1.41,1.4127
MOB,2022-11-29,1.42,1.44,1.38,1.44
MOB,2022-11-30,1.41,1.45,1.38,1.4
MOB,2022-12-01,1.47,1.47,1.3992,1.44
MOB,2022-12-02,1.42,1.54,1.42,1.51
MOB,2022-12-05,1.51,1.5399,1.4236,1.51
MOB,2022-12-06,1.5,1.5,1.4162,1.46
MOB,2022-12-07,1.4864,1.4864,1.26,1.385
MOB,2022-12-08,1.34,1.37,1.28,1.3258
MOB,2022-12-09,1.27,1.35,1.21,1.35
MOB,2022-12-12,1.33,1.36,1.28,1.31
MOB,2022-12-13,1.31,1.3399,1.25,1.25
MOB,2022-12-14,1.28,1.3188,1.2502,1.2632
MOB,2022-12-15,1.24,1.24,1.16,1.21
MOB,2022-12-16,1.21,1.21,0.94,1.1
MOB,2022-12-19,1.19,1.19,1.0403,1.06
