ticker,date,open,high,low,close
MRSN,2017-06-28,14.25,14.7,14.0,14.0
MRSN,2017-06-29,13.85,13.9,12.71,13.52
MRSN,2017-06-30,13.5,14.25,13.1434,13.97
MRSN,2017-07-03,13.94,14.0,13.085,13.82
MRSN,2017-07-05,13.78,14.09,13.1837,13.99
MRSN,2017-07-06,14.3,14.3,13.065,13.35
MRSN,2017-07-07,13.54,13.67,13.05,13.29
MRSN,2017-07-10,13.29,13.4853,13.03,13.27
MRSN,2017-07-11,13.14,13.8293,13.1,13.81
MRSN,2017-07-12,13.99,14.05,13.61,14.03
MRSN,2017-07-13,14.1499,14.1499,13.75,14.1
MRSN,2017-07-14,14.1,14.25,13.8196,14.04
MRSN,2017-07-17,14.1,14.2689,13.85,14.15
MRSN,2017-07-18,14.01,14.25,13.8539,14.15
MRSN,2017-07-19,14.0,14.28,13.82,14.25
MRSN,2017-07-20,14.1,14.2317,13.85,14.19
MRSN,2017-07-21,14.1593,14.18,13.95,14.05
MRSN,2017-07-24,14.08,15.87,14.08,15.0
MRSN,2017-07-25,15.01,15.645,15.01,15.01
MRSN,2017-07-26,15.0,15.06,14.5,14.99
MRSN,2017-07-27,15.12,15.25,14.14,15.1
MRSN,2017-07-28,15.0,15.0,14.0811,14.6
MRSN,2017-07-31,14.63,14.95,13.867,14.9
MRSN,2017-08-01,14.98,15.1,13.831,14.85
MRSN,2017-08-02,14.95,14.9947,14.04,14.8
MRSN,2017-08-03,15.0,15.0,14.0922,14.76
MRSN,2017-08-04,14.81,15.37,14.63,15.01
MRSN,2017-08-07,15.13,15.13,14.85,15.1
MRSN,2017-08-08,15.22,15.25,14.83,15.16
MRSN,2017-08-09,15.25,15.35,14.9674,15.03
MRSN,2017-08-10,15.21,15.21,15.11,15.15
MRSN,2017-08-11,15.01,15.45,15.01,15.42
MRSN,2017-08-14,15.5,15.74,15.48,15.74
MRSN,2017-08-15,15.76,15.76,15.3,15.55
MRSN,2017-08-16,15.43,15.68,15.08,15.35
MRSN,2017-08-17,15.2,16.08,15.02,15.62
MRSN,2017-08-18,15.46,16.25,15.22,16.21
MRSN,2017-08-21,16.135,16.76,15.6478,16.55
MRSN,2017-08-22,16.6,16.75,15.75,16.12
MRSN,2017-08-23,15.97,16.825,15.97,16.35
MRSN,2017-08-24,16.8742,16.8742,15.78,16.12
MRSN,2017-08-25,16.0,16.46,15.501,15.84
MRSN,2017-08-28,15.85,16.63,15.73,16.4
MRSN,2017-08-29,16.265,16.78,16.265,16.6
MRSN,2017-08-30,16.46,18.48,16.45,17.88
MRSN,2017-08-31,17.85,18.0522,17.3,17.51
MRSN,2017-09-01,17.8,18.2799,17.5,17.55
MRSN,2017-09-05,17.84,17.85,17.28,17.5
MRSN,2017-09-06,17.575,18.23,17.45,17.65
MRSN,2017-09-07,17.65,18.07,17.43,17.75
MRSN,2017-09-08,17.75,18.48,17.45,17.75
MRSN,2017-09-11,17.88,18.0,17.18,17.9
MRSN,2017-09-12,17.85,17.85,17.18,17.5
MRSN,2017-09-13,17.65,17.6854,16.77,16.93
MRSN,2017-09-14,17.0,17.385,16.8,17.18
MRSN,2017-09-15,16.99,17.21,16.2,16.2
MRSN,2017-09-18,16.17,16.76,15.49,15.92
MRSN,2017-09-19,15.92,16.2,15.17,15.34
MRSN,2017-09-20,15.35,17.03,15.2,16.78
MRSN,2017-09-21,16.28,17.88,15.98,17.58
MRSN,2017-09-22,17.44,18.18,16.69,18.06
MRSN,2017-09-25,17.44,17.97,17.24,17.76
MRSN,2017-09-26,17.39,17.93,17.3,17.79
MRSN,2017-09-27,17.95,18.33,17.7301,18.0
MRSN,2017-09-28,18.0,18.0,17.35,17.46
MRSN,2017-09-29,17.86,17.89,17.2,17.29
MRSN,2017-10-02,17.43,20.01,17.09,19.84
MRSN,2017-10-03,19.41,21.01,19.41,19.9
MRSN,2017-10-04,19.9,19.94,19.398,19.74
MRSN,2017-10-05,19.84,19.97,18.9,19.35
MRSN,2017-10-06,19.25,19.75,18.8601,18.925
MRSN,2017-10-09,18.85,19.199,18.62,18.79
MRSN,2017-10-10,18.96,18.96,18.11,18.31
MRSN,2017-10-11,18.1,18.335,17.88,18.01
MRSN,2017-10-12,18.1,18.1,17.62,17.75
MRSN,2017-10-13,16.61,17.45,15.84,16.13
MRSN,2017-10-16,16.04,18.4,15.85,18.12
MRSN,2017-10-17,18.05,18.8,17.07,18.42
MRSN,2017-10-18,18.79,18.79,17.03,17.11
MRSN,2017-10-19,17.01,17.1051,16.5,16.75
MRSN,2017-10-20,16.83,17.595,16.7,17.46
MRSN,2017-10-23,16.8,18.1,16.8,17.76
MRSN,2017-10-24,17.65,17.79,16.95,17.27
MRSN,2017-10-25,17.17,17.685,16.775,16.83
MRSN,2017-10-26,16.85,18.48,15.11,15.3
MRSN,2017-10-27,15.46,15.91,14.9,14.95
MRSN,2017-10-30,15.1,16.3,14.5005,15.97
