ticker,date,open,high,low,close
MSTR,1998-06-11,80.0,122.5,79.38,105.62
MSTR,1998-06-12,116.88,121.88,100.0,104.38
MSTR,1998-06-15,102.5,107.5,93.75,102.19
MSTR,1998-06-16,102.5,106.88,100.62,103.75
MSTR,1998-06-17,105.62,115.31,103.75,114.38
MSTR,1998-06-18,115.62,133.75,115.0,130.0
MSTR,1998-06-19,134.06,148.75,130.0,140.62
MSTR,1998-06-22,149.38,155.0,139.38,140.0
MSTR,1998-06-23,138.75,140.0,129.38,130.0
MSTR,1998-06-24,131.25,133.75,121.25,126.88
MSTR,1998-06-25,126.88,130.0,126.88,129.38
MSTR,1998-06-26,130.0,137.5,127.5,136.88
MSTR,1998-06-29,134.38,142.5,133.75,142.5
MSTR,1998-06-30,137.5,146.25,137.5,141.25
MSTR,1998-07-01,140.94,143.12,138.75,138.75
MSTR,1998-07-02,140.94,140.94,128.75,131.25
MSTR,1998-07-06,135.62,142.5,135.0,141.25
MSTR,1998-07-07,141.56,143.12,131.25,137.19
MSTR,1998-07-08,138.75,141.25,137.5,139.38
MSTR,1998-07-09,140.62,141.88,136.88,140.31
MSTR,1998-07-10,141.25,156.25,137.5,156.25
MSTR,1998-07-13,165.0,203.12,159.38,196.25
MSTR,1998-07-14,213.12,222.5,186.88,195.0
MSTR,1998-07-15,197.5,197.5,175.0,183.75
MSTR,1998-07-16,182.81,182.81,167.19,168.12
MSTR,1998-07-17,175.0,175.62,165.0,167.5
MSTR,1998-07-20,172.5,195.0,171.88,188.44
MSTR,1998-07-21,193.75,201.25,185.0,191.25
MSTR,1998-07-22,190.62,193.12,180.62,185.0
MSTR,1998-07-23,182.5,204.69,182.5,195.0
MSTR,1998-07-24,200.0,201.25,176.25,190.0
MSTR,1998-07-27,187.5,189.06,172.5,180.0
MSTR,1998-07-28,181.25,190.0,175.0,181.25
MSTR,1998-07-29,187.19,187.19,175.0,175.0
MSTR,1998-07-30,188.75,202.5,179.38,193.75
MSTR,1998-07-31,195.0,195.0,180.0,180.0
MSTR,1998-08-03,180.0,185.62,178.12,178.12
MSTR,1998-08-04,181.25,181.56,157.5,170.62
MSTR,1998-08-05,169.38,172.5,163.75,170.62
MSTR,1998-08-06,170.62,190.0,170.0,186.88
MSTR,1998-08-07,190.0,195.0,183.12,185.0
MSTR,1998-08-10,186.88,200.0,185.0,192.5
MSTR,1998-08-11,191.25,191.25,170.0,183.75
MSTR,1998-08-12,185.0,197.5,185.0,196.25
MSTR,1998-08-13,190.0,195.62,190.0,194.38
MSTR,1998-08-14,198.12,201.25,194.38,196.88
MSTR,1998-08-17,194.38,195.62,182.5,189.38
MSTR,1998-08-18,194.06,199.38,187.5,197.5
