ticker,date,open,high,low,close
NCMI,2007-02-07,85.6614,85.6614,85.6614,85.6614
NCMI,2007-02-08,104.006,108.088,101.241,104.688
NCMI,2007-02-09,103.229,109.719,103.229,106.043
NCMI,2007-02-12,106.091,107.425,100.599,106.043
NCMI,2007-02-13,104.199,105.802,104.064,104.899
NCMI,2007-02-14,104.132,106.043,103.373,105.985
NCMI,2007-02-15,106.043,107.079,105.629,106.484
NCMI,2007-02-16,106.043,111.668,105.773,110.141
NCMI,2007-02-20,111.092,113.791,109.268,112.695
NCMI,2007-02-21,112.187,114.222,111.746,114.05
NCMI,2007-02-22,114.222,115.134,113.185,113.608
NCMI,2007-02-23,113.099,114.222,112.283,112.974
NCMI,2007-02-26,112.792,112.974,111.189,111.668
NCMI,2007-02-27,110.881,111.553,105.687,107.665
NCMI,2007-02-28,107.117,107.665,105.581,106.926
NCMI,2007-03-01,105.534,105.85,103.622,105.072
NCMI,2007-03-02,104.199,104.4,102.173,103.622
NCMI,2007-03-05,102.26,102.855,101.549,102.365
NCMI,2007-03-06,101.971,105.687,101.971,104.525
NCMI,2007-03-07,105.476,109.585,103.959,108.126
NCMI,2007-03-08,108.778,111.88,107.041,111.044
NCMI,2007-03-09,111.746,112.148,106.56,109.844
NCMI,2007-03-12,108.856,108.856,105.226,105.985
NCMI,2007-03-13,105.226,107.041,104.563,104.688
NCMI,2007-03-14,104.458,105.351,103.69,104.266
NCMI,2007-03-15,104.899,106.091,104.4,105.773
NCMI,2007-03-16,106.043,106.484,104.4,105.802
NCMI,2007-03-19,113.387,113.791,109.585,110.18
NCMI,2007-03-20,106.043,107.847,104.995,107.155
NCMI,2007-03-21,106.254,107.117,105.226,106.56
NCMI,2007-03-22,104.343,106.532,103.767,104.151
NCMI,2007-03-23,104.006,104.899,103.133,104.631
NCMI,2007-03-26,104.199,105.908,102.769,104.669
NCMI,2007-03-27,105.313,105.985,104.006,104.995
NCMI,2007-03-28,104.064,108.088,104.006,107.626
NCMI,2007-03-29,107.626,109.902,107.501,109.268
NCMI,2007-03-30,109.988,117.093,108.088,108.894
NCMI,2007-04-02,108.414,109.489,102.999,104.832
NCMI,2007-04-03,105.313,107.665,104.939,105.581
NCMI,2007-04-04,105.351,107.348,105.034,106.186
NCMI,2007-04-05,106.781,109.095,105.879,108.894
NCMI,2007-04-09,108.894,109.681,106.33,107.376
NCMI,2007-04-10,106.091,107.271,105.428,106.868
NCMI,2007-04-11,106.33,106.33,104.688,105.399
NCMI,2007-04-12,104.688,107.117,104.631,106.926
NCMI,2007-04-13,106.56,109.681,106.043,108.49
NCMI,2007-04-16,109.307,109.624,106.091,107.348
NCMI,2007-04-17,106.138,106.656,105.034,106.656
NCMI,2007-04-18,106.138,108.308,105.629,107.348
NCMI,2007-04-19,105.985,106.781,104.899,106.206
NCMI,2007-04-20,107.704,109.767,105.802,109.585
NCMI,2007-04-23,109.105,112.35,108.088,111.418
NCMI,2007-04-24,111.746,111.746,108.356,109.96
NCMI,2007-04-25,110.391,111.611,108.73,108.98
NCMI,2007-04-26,108.98,110.141,108.894,109.518
NCMI,2007-04-27,109.307,110.756,109.105,109.681
NCMI,2007-04-30,108.894,110.823,107.041,107.213
NCMI,2007-05-01,106.435,109.96,105.504,106.811
NCMI,2007-05-02,105.581,111.418,105.581,107.704
NCMI,2007-05-03,107.915,109.767,104.525,105.773
NCMI,2007-05-04,105.534,109.393,104.563,106.656
NCMI,2007-05-07,106.656,109.988,106.6,106.656
NCMI,2007-05-08,106.33,107.348,105.399,107.3
NCMI,2007-05-09,107.079,108.663,106.435,108.529
NCMI,2007-05-10,107.885,108.039,106.656,107.271
NCMI,2007-05-11,107.809,108.73,107.271,108.039
NCMI,2007-05-14,107.704,108.49,107.117,107.626
NCMI,2007-05-15,107.3,109.681,105.773,106.206
NCMI,2007-05-16,106.733,107.041,105.85,106.656
NCMI,2007-05-17,106.186,107.271,105.687,106.484
NCMI,2007-05-18,106.532,110.257,105.773,109.105
NCMI,2007-05-21,109.393,114.491,108.615,114.222
NCMI,2007-05-22,114.069,114.981,112.052,114.251
NCMI,2007-05-23,114.05,117.477,112.792,116.123
NCMI,2007-05-24,115.758,117.131,113.608,114.674
NCMI,2007-05-25,114.395,115.989,114.011,114.165
NCMI,2007-05-29,114.559,115.557,113.791,115.134
NCMI,2007-05-30,114.107,117.189,113.521,116.277
NCMI,2007-05-31,115.931,117.189,115.394,116.431
NCMI,2007-06-01,117.246,119.608,116.383,118.36
NCMI,2007-06-04,117.477,119.186,115.615,118.495
NCMI,2007-06-05,117.889,121.539,117.861,120.674
NCMI,2007-06-06,119.407,119.608,116.767,118.005
NCMI,2007-06-07,117.678,118.225,115.019,115.24
NCMI,2007-06-08,114.981,119.464,112.734,119.023
NCMI,2007-06-11,118.36,119.829,117.294,118.879
NCMI,2007-06-12,118.168,118.168,115.192,115.758
NCMI,2007-06-13,116.238,118.13,115.086,118.005
NCMI,2007-06-14,117.861,119.878,117.861,118.83
NCMI,2007-06-15,120.309,120.54,118.687,119.282
NCMI,2007-06-18,119.282,119.282,115.394,118.274
NCMI,2007-06-19,117.515,118.322,114.28,117.093
NCMI,2007-06-20,118.225,119.339,113.713,114.28
NCMI,2007-06-21,113.713,114.674,110.929,114.328
NCMI,2007-06-22,113.838,114.529,111.38,113.013
NCMI,2007-06-25,112.005,118.005,111.38,114.011
NCMI,2007-06-26,114.434,114.606,110.823,112.936
NCMI,2007-06-27,112.005,115.096,111.746,115.096
NCMI,2007-06-28,114.895,117.064,113.867,114.895
NCMI,2007-06-29,115.557,116.027,114.165,114.251
NCMI,2007-07-02,114.895,118.225,114.28,117.861
NCMI,2007-07-03,118.178,118.495,116.431,117.573
NCMI,2007-07-05,117.439,117.439,113.905,116.238
NCMI,2007-07-06,116.795,118.005,114.856,116.93
NCMI,2007-07-09,116.728,118.274,116.67,117.035
NCMI,2007-07-10,116.383,116.383,114.356,114.606
NCMI,2007-07-11,114.559,114.606,112.792,112.898
NCMI,2007-07-12,113.56,116.564,112.82,116.238
NCMI,2007-07-13,115.758,116.767,113.387,114.674
NCMI,2007-07-16,114.069,118.101,114.069,115.883
NCMI,2007-07-17,116.353,117.803,115.691,115.758
NCMI,2007-07-18,115.557,115.931,112.283,114.606
NCMI,2007-07-19,115.691,115.758,113.982,114.722
NCMI,2007-07-20,114.434,114.895,109.393,111.189
NCMI,2007-07-23,111.38,117.064,111.38,114.75
NCMI,2007-07-24,113.627,114.05,107.77,109.144
NCMI,2007-07-25,109.393,111.794,107.473,109.095
NCMI,2007-07-26,107.473,108.337,101.271,103.181
NCMI,2007-07-27,102.039,103.69,99.0244,99.4753
NCMI,2007-07-30,99.3122,101.328,96.1437,100.685
NCMI,2007-07-31,100.599,104.4,98.0926,101.549
NCMI,2007-08-01,101.126,108.577,100.905,106.532
NCMI,2007-08-02,106.926,112.936,104.995,106.186
NCMI,2007-08-03,105.802,107.626,94.5019,94.7035
NCMI,2007-08-06,97.0653,99.2827,91.1848,92.0056
NCMI,2007-08-07,92.0537,100.262,91.9481,100.137
NCMI,2007-08-08,101.904,110.929,98.2749,100.905
NCMI,2007-08-09,98.3712,103.795,97.1133,97.7182
NCMI,2007-08-10,95.7692,95.7692,85.5529,93.0426
NCMI,2007-08-13,97.9199,101.971,95.8748,100.013
NCMI,2007-08-14,100.137,101.549,93.2729,93.2729
NCMI,2007-08-15,93.4746,98.1214,91.9001,92.2937
NCMI,2007-08-16,93.0426,98.4478,88.9046,92.2169
NCMI,2007-08-17,96.7005,99.3505,93.7147,97.4014
NCMI,2007-08-20,98.1598,100.137,92.4281,99.9074
NCMI,2007-08-21,103.901,107.704,101.328,101.703
NCMI,2007-08-22,103.229,104.832,101.126,102.173
NCMI,2007-08-23,102.855,102.96,100.483,101.492
NCMI,2007-08-24,103.181,103.767,100.762,103.767
NCMI,2007-08-27,103.229,104.064,101.549,102.365
NCMI,2007-08-28,102.039,103.622,101.078,101.51
NCMI,2007-08-29,101.971,102.729,100.551,102.173
NCMI,2007-08-30,100.954,103.594,99.0244,100.8
NCMI,2007-08-31,102.5,102.5,99.6383,100.464
NCMI,2007-09-04,99.9359,101.856,98.0255,98.5824
NCMI,2007-09-05,98.1598,99.6864,96.9022,98.6787
NCMI,2007-09-06,99.5234,101.549,98.0255,100.599
NCMI,2007-09-07,98.6787,101.126,97.8527,100.167
NCMI,2007-09-10,101.126,101.674,95.9036,98.2366
NCMI,2007-09-11,98.9566,101.549,98.1598,101.078
NCMI,2007-09-12,100.839,101.126,98.6787,99.7631
NCMI,2007-09-13,100.167,100.262,97.5166,98.3329
NCMI,2007-09-14,90.2247,93.4266,87.8887,92.4761
NCMI,2007-09-17,92.3705,93.081,90.2631,92.9178
NCMI,2007-09-18,93.2154,98.3997,91.0907,97.9678
NCMI,2007-09-19,98.5824,100.8,97.4878,98.4478
NCMI,2007-09-20,98.1598,98.7071,96.1821,97.8046
NCMI,2007-09-21,98.7356,99.0244,97.4398,97.4398
NCMI,2007-09-24,97.315,97.7566,92.6298,93.3306
NCMI,2007-09-25,92.9178,94.9627,90.3754,92.1496
NCMI,2007-09-26,92.9465,95.5484,92.4761,93.8971
NCMI,2007-09-27,94.5595,94.5595,91.2568,91.9481
NCMI,2007-09-28,92.3705,95.126,90.6298,91.3624
NCMI,2007-10-01,91.1848,94.2235,90.7144,94.0219
NCMI,2007-10-02,94.2043,101.971,94.2043,101.549
NCMI,2007-10-03,100.762,111.668,98.9949,108.778
NCMI,2007-10-04,108.894,110.344,104.832,106.484
NCMI,2007-10-05,107.915,110.141,107.704,109.796
NCMI,2007-10-08,109.767,109.767,107.77,108.778
NCMI,2007-10-09,107.501,107.809,103.594,104.4
NCMI,2007-10-10,103.795,107.155,100.685,104.4
NCMI,2007-10-11,105.072,107.155,103.114,105.226
NCMI,2007-10-12,104.995,110.141,104.995,109.268
NCMI,2007-10-15,109.365,110.459,106.435,107.271
NCMI,2007-10-16,107.376,107.915,105.687,107.117
NCMI,2007-10-17,108.529,108.856,104.563,108.203
NCMI,2007-10-18,107.915,110.67,105.936,109.767
NCMI,2007-10-19,109.624,109.624,104.939,105.715
NCMI,2007-10-22,104.669,111.303,103.738,109.624
NCMI,2007-10-23,110.141,114.05,107.704,113.713
NCMI,2007-10-24,112.398,115.96,110.632,115.883
NCMI,2007-10-25,116.172,118.879,113.56,117.678
NCMI,2007-10-26,118.687,121.116,116.526,119.916
NCMI,2007-10-29,120.27,120.54,113.56,114.434
NCMI,2007-10-30,114.165,116.431,111.553,111.88
NCMI,2007-10-31,112.561,112.561,107.473,109.796
NCMI,2007-11-01,108.452,110.085,106.186,107.704
NCMI,2007-11-02,109.268,109.268,102.96,106.186
NCMI,2007-11-05,104.525,108.49,104.132,105.879
NCMI,2007-11-06,105.581,109.719,102.769,109.719
NCMI,2007-11-07,108.203,108.73,103.901,104.132
NCMI,2007-11-08,105.534,107.704,103.411,105.534
NCMI,2007-11-09,103.94,110.929,103.441,108.039
NCMI,2007-11-12,107.704,110.085,97.6414,98.1598
NCMI,2007-11-13,98.9085,103.556,98.9085,103.133
NCMI,2007-11-14,103.825,104.832,101.703,104.046
NCMI,2007-11-15,103.373,105.85,101.923,104.046
NCMI,2007-11-16,103.959,118.83,103.959,117.439
NCMI,2007-11-19,115.691,115.758,105.399,112.1
NCMI,2007-11-20,111.63,112.936,107.271,109.144
NCMI,2007-11-21,109.537,109.796,101.453,101.645
NCMI,2007-11-23,102.96,104.151,100.262,100.954
