ticker,date,open,high,low,close
NMIH,2013-11-08,14.0,14.5,13.26,14.0
NMIH,2013-11-11,14.0,14.45,13.98,14.04
NMIH,2013-11-12,14.0,14.24,13.5,14.0
NMIH,2013-11-13,13.99,15.24,13.9,14.0
NMIH,2013-11-14,14.1,14.16,13.91,13.94
NMIH,2013-11-15,14.35,14.35,13.95,14.0
NMIH,2013-11-18,14.25,14.49,13.95,14.1
NMIH,2013-11-19,13.96,14.1,13.96,14.05
NMIH,2013-11-20,13.96,14.0,13.5,13.82
NMIH,2013-11-21,13.77,13.77,13.75,13.75
NMIH,2013-11-22,13.5,14.4,13.49,13.83
NMIH,2013-11-25,13.83,14.1,13.76,14.0
NMIH,2013-11-26,14.13,14.15,13.96,13.98
NMIH,2013-11-27,13.95,14.15,13.95,14.15
NMIH,2013-11-29,14.15,14.49,13.99,14.04
NMIH,2013-12-02,13.82,14.397,13.8,14.02
NMIH,2013-12-03,14.08,14.38,13.82,13.9
NMIH,2013-12-04,14.11,14.11,13.77,13.77
NMIH,2013-12-05,13.78,13.9,13.75,13.76
NMIH,2013-12-06,13.93,13.94,13.1,13.1
NMIH,2013-12-09,13.5,13.52,13.0,13.48
NMIH,2013-12-10,13.3,13.45,12.65,12.65
NMIH,2013-12-11,12.66,12.68,12.0,12.19
NMIH,2013-12-12,13.45,13.45,12.24,12.24
NMIH,2013-12-13,12.17,13.2,11.55,12.0
NMIH,2013-12-16,12.61,12.88,12.11,12.88
NMIH,2013-12-17,12.67,13.15,12.05,12.3
NMIH,2013-12-18,12.45,13.45,12.45,12.84
NMIH,2013-12-19,12.63,12.89,12.24,12.37
NMIH,2013-12-20,12.86,12.86,12.13,12.13
NMIH,2013-12-23,12.13,13.3,12.09,12.76
NMIH,2013-12-24,12.67,12.7,12.45,12.45
NMIH,2013-12-26,12.45,12.68,12.43,12.5
NMIH,2013-12-27,12.5,12.65,12.22,12.55
NMIH,2013-12-30,12.44,12.725,12.21,12.5
NMIH,2013-12-31,11.92,12.75,11.48,12.73
NMIH,2014-01-02,12.59,12.59,12.09,12.465
NMIH,2014-01-03,12.52,12.575,12.146,12.26
NMIH,2014-01-06,12.46,12.5,12.24,12.34
NMIH,2014-01-07,12.32,12.49,12.04,12.22
NMIH,2014-01-08,12.47,12.49,12.12,12.35
NMIH,2014-01-09,12.3,13.0,12.3,12.4
