ticker,date,open,high,low,close
NNE,2024-05-08,3.6,6.27,3.51,5.19
NNE,2024-05-09,5.0,5.44,4.09,5.05
NNE,2024-05-10,4.99,5.0899,4.45,4.51
NNE,2024-05-13,4.78,4.78,4.0,4.13
NNE,2024-05-14,4.02,4.25,3.25,3.26
NNE,2024-05-15,3.58,4.2,3.45,4.12
NNE,2024-05-16,4.2,4.2795,3.78,4.08
NNE,2024-05-17,4.1,4.565,3.8001,3.92
NNE,2024-05-20,4.02,4.18,3.83,3.83
NNE,2024-05-21,3.91,3.99,3.85,3.86
NNE,2024-05-22,3.97,4.0,3.8599,3.93
NNE,2024-05-23,3.91,4.15,3.81,3.98
NNE,2024-05-24,3.97,4.49,3.95,4.4
NNE,2024-05-28,4.98,5.96,4.58,5.49
NNE,2024-05-29,5.31,7.2357,5.0208,6.91
NNE,2024-05-30,6.88,9.49,6.75,8.75
NNE,2024-05-31,9.24,10.71,6.57,7.47
NNE,2024-06-03,7.4,7.7499,6.08,6.4
NNE,2024-06-04,6.19,7.0,6.15,6.7
NNE,2024-06-05,6.99,8.1,6.74,7.77
NNE,2024-06-06,8.15,8.69,7.52,7.65
NNE,2024-06-07,7.6,7.65,6.6,6.75
NNE,2024-06-10,6.96,7.47,6.6105,7.39
NNE,2024-06-11,7.46,7.9,7.0102,7.49
NNE,2024-06-12,7.74,7.81,7.05,7.1
NNE,2024-06-13,7.21,7.41,6.69,7.06
NNE,2024-06-14,7.11,9.5,7.11,9.37
NNE,2024-06-17,10.02,10.38,8.25,9.41
NNE,2024-06-18,9.6,11.75,9.41,11.6
NNE,2024-06-20,13.12,16.5,11.55,15.22
NNE,2024-06-21,14.87,16.0,12.5,15.73
NNE,2024-06-24,16.54,22.48,16.16,20.875
NNE,2024-06-25,24.1,37.51,21.8,29.1
NNE,2024-06-26,30.08,31.68,20.59,24.02
NNE,2024-06-27,20.97,21.22,16.1,16.22
NNE,2024-06-28,15.85,25.68,15.41,23.44
NNE,2024-07-01,27.7,32.39,23.2,28.1
NNE,2024-07-02,28.22,29.0,25.0,25.93
NNE,2024-07-03,24.98,25.6,23.0,23.65
NNE,2024-07-05,25.47,29.49,25.47,28.4
NNE,2024-07-08,30.0,34.0,28.3,29.8
NNE,2024-07-09,27.72,29.16,26.01,26.5
NNE,2024-07-10,27.74,27.78,24.5,25.3
NNE,2024-07-11,26.04,28.39,25.56,26.14
NNE,2024-07-12,23.94,26.5,22.14,25.36
NNE,2024-07-15,25.3,26.49,23.1,24.035
NNE,2024-07-16,24.22,24.3434,21.77,22.7
NNE,2024-07-17,22.33,24.25,22.33,22.71
NNE,2024-07-18,22.82,23.4,18.0,19.1
NNE,2024-07-19,19.15,20.2999,16.6401,19.16
NNE,2024-07-22,18.67,18.67,14.2401,15.97
NNE,2024-07-23,16.05,16.48,14.75,15.49
NNE,2024-07-24,15.0,15.25,13.65,14.37
NNE,2024-07-25,13.69,14.24,12.29,13.72
NNE,2024-07-26,14.28,16.79,13.9,15.99
NNE,2024-07-29,16.68,16.84,13.37,13.77
NNE,2024-07-30,14.16,15.99,12.51,12.805
NNE,2024-07-31,12.85,13.25,11.61,11.78
NNE,2024-08-01,11.23,11.74,9.6,9.82
NNE,2024-08-02,9.38,9.82,8.5,9.61
NNE,2024-08-05,7.62,8.7743,7.54,7.95
NNE,2024-08-06,9.085,9.48,7.9202,9.11
NNE,2024-08-07,9.5,9.8,7.77,7.77
NNE,2024-08-08,8.1,8.44,7.45,8.065
NNE,2024-08-09,8.11,9.0,7.63,8.84
NNE,2024-08-12,9.07,9.4,7.95,8.06
NNE,2024-08-13,8.23,8.23,6.302,6.65
NNE,2024-08-14,6.85,8.96,6.66,7.95
NNE,2024-08-15,7.96,8.75,7.2001,8.39
NNE,2024-08-16,8.17,9.24,7.78,8.7
NNE,2024-08-19,8.8,11.45,8.41,11.07
NNE,2024-08-20,11.74,13.75,9.64,10.91
NNE,2024-08-21,11.01,11.3999,10.26,11.2
NNE,2024-08-22,11.48,12.388,10.1284,10.44
NNE,2024-08-23,10.6,10.6,9.56,10.2
NNE,2024-08-26,10.32,11.575,9.83,11.23
NNE,2024-08-27,11.45,11.48,10.15,10.72
NNE,2024-08-28,10.93,11.45,9.75,10.1
NNE,2024-08-29,10.02,11.54,10.02,10.74
NNE,2024-08-30,11.01,11.23,10.04,10.12
NNE,2024-09-03,10.12,10.2,8.19,8.63
NNE,2024-09-04,8.52,9.2,8.1,8.39
NNE,2024-09-05,8.31,8.46,7.16,7.275
NNE,2024-09-06,7.4,7.4539,6.52,6.97
NNE,2024-09-09,7.1,8.43,7.01,7.4
NNE,2024-09-10,8.64,9.35,7.87,8.79
NNE,2024-09-11,8.93,11.69,8.8,10.78
NNE,2024-09-12,11.1,13.45,10.97,11.7
NNE,2024-09-13,12.4,16.21,12.0,15.23
NNE,2024-09-16,16.16,16.32,12.13,14.15
NNE,2024-09-17,14.43,14.5098,11.55,12.39
NNE,2024-09-18,12.33,12.48,10.63,10.96
NNE,2024-09-19,11.68,11.87,10.35,10.59
NNE,2024-09-20,11.25,13.31,11.05,13.05
NNE,2024-09-23,13.49,15.39,12.11,14.17
NNE,2024-09-24,14.47,15.25,13.33,13.78
NNE,2024-09-25,13.48,14.34,12.36,12.64
NNE,2024-09-26,13.13,15.14,13.0,15.08
NNE,2024-09-27,16.26,17.5453,14.3,14.99
NNE,2024-09-30,14.42,15.22,13.61,14.35
NNE,2024-10-01,14.18,17.01,13.61,16.5
NNE,2024-10-02,16.5,18.08,15.032,17.58
NNE,2024-10-03,18.01,18.06,16.0,16.81
NNE,2024-10-04,16.8,19.96,16.4,19.39
