ticker,date,open,high,low,close
NOTV,1997-11-25,8.5,8.5,8.125,8.25
NOTV,1997-11-26,8.25,8.25,8.125,8.125
NOTV,1997-11-28,8.125,8.5,8.125,8.375
NOTV,1997-12-01,8.375,8.5,8.375,8.5
NOTV,1997-12-02,8.75,8.875,8.5,8.625
NOTV,1997-12-03,8.5,8.75,8.0,8.0
NOTV,1997-12-04,8.0,8.25,8.0,8.25
NOTV,1997-12-05,8.25,8.25,8.0,8.0625
NOTV,1997-12-08,8.375,8.375,8.0,8.0
NOTV,1997-12-09,8.125,8.25,8.0,8.125
NOTV,1997-12-10,8.0625,8.125,8.0,8.0625
NOTV,1997-12-11,8.125,8.125,8.0,8.0
NOTV,1997-12-12,8.0,8.0,8.0,8.0
NOTV,1997-12-15,8.125,8.125,8.0625,8.0625
NOTV,1997-12-16,8.125,8.125,8.0,8.0
NOTV,1997-12-17,8.0,8.0,8.0,8.0
NOTV,1997-12-18,8.0,8.125,8.0,8.125
NOTV,1997-12-19,8.0,8.125,7.75,8.125
NOTV,1997-12-22,8.0625,8.0625,7.75,8.0625
NOTV,1997-12-23,8.0,8.0625,7.875,8.0625
NOTV,1997-12-24,8.0625,8.0625,8.0625,8.0625
NOTV,1997-12-26,7.875,7.875,7.875,7.875
NOTV,1997-12-29,7.8125,8.0,7.75,7.75
NOTV,1997-12-30,8.0,8.0,7.75,7.9375
NOTV,1997-12-31,7.75,7.75,7.625,7.625
NOTV,1998-01-02,7.625,7.625,7.625,7.625
NOTV,1998-01-05,8.0,8.0,7.625,7.625
NOTV,1998-01-06,7.625,7.625,7.625,7.625
NOTV,1998-01-07,7.625,7.625,7.375,7.375
NOTV,1998-01-08,7.75,7.75,7.25,7.25
NOTV,1998-01-09,7.125,7.5,7.0,7.5
NOTV,1998-01-12,6.75,7.375,6.75,7.375
NOTV,1998-01-13,7.125,7.125,7.125,7.125
NOTV,1998-01-14,7.125,7.125,7.125,7.125
NOTV,1998-01-15,7.125,7.125,7.125,7.125
NOTV,1998-01-16,7.0,7.0,7.0,7.0
NOTV,1998-01-20,7.0,7.0,7.0,7.0
NOTV,1998-01-21,7.25,7.25,7.25,7.25
NOTV,1998-01-22,6.875,7.25,6.875,7.25
NOTV,1998-01-23,6.875,7.25,6.875,7.25
NOTV,1998-01-26,7.25,7.25,7.0,7.0
NOTV,1998-01-27,7.0,7.0,6.875,6.875
NOTV,1998-01-28,6.875,7.0,6.875,7.0
NOTV,1998-01-29,7.0,7.0,6.875,7.0
NOTV,1998-01-30,7.25,7.25,7.25,7.25
NOTV,1998-02-02,7.0,7.0,7.0,7.0
NOTV,1998-02-03,7.3125,7.375,7.125,7.125
NOTV,1998-02-04,7.375,7.375,7.125,7.25
NOTV,1998-02-05,7.25,7.4375,7.25,7.4375
NOTV,1998-02-06,7.4375,7.4375,7.0,7.25
NOTV,1998-02-09,7.25,7.5,7.25,7.5
NOTV,1998-02-10,7.5,7.625,7.5,7.625
NOTV,1998-02-11,7.375,7.625,7.375,7.625
NOTV,1998-02-12,7.75,7.75,7.5,7.5
NOTV,1998-02-13,7.75,8.0,7.75,8.0
NOTV,1998-02-17,8.0,8.0,7.75,8.0
NOTV,1998-02-18,8.0625,8.0625,7.5,7.75
NOTV,1998-02-19,7.5,8.0,7.5,8.0
NOTV,1998-02-20,8.0,8.0,8.0,8.0
NOTV,1998-02-23,7.75,8.0625,7.75,8.0625
NOTV,1998-02-24,7.75,8.0625,7.75,7.75
NOTV,1998-02-25,7.75,8.0,7.75,8.0
NOTV,1998-02-26,8.0,8.0,8.0,8.0
NOTV,1998-02-27,8.0,8.25,7.875,8.0625
NOTV,1998-03-02,8.0,8.5,8.0,8.125
NOTV,1998-03-03,8.625,8.875,8.25,8.875
NOTV,1998-03-04,8.875,9.0,8.5625,9.0
NOTV,1998-03-05,8.75,8.75,8.5,8.75
NOTV,1998-03-06,8.75,9.0,8.75,8.9375
NOTV,1998-03-09,8.75,9.25,8.75,9.25
NOTV,1998-03-10,9.0,9.5,8.875,9.375
NOTV,1998-03-11,9.375,9.6875,9.25,9.6875
NOTV,1998-03-12,9.6875,10.25,9.5,10.0
NOTV,1998-03-13,10.0,10.1875,10.0,10.1875
NOTV,1998-03-16,10.25,10.25,9.75,9.875
NOTV,1998-03-17,9.875,10.125,9.75,10.125
NOTV,1998-03-18,10.0,10.0,9.75,9.75
NOTV,1998-03-19,9.875,9.875,9.0,9.25
NOTV,1998-03-20,9.25,9.625,9.125,9.5
NOTV,1998-03-23,9.625,9.75,9.25,9.5
NOTV,1998-03-24,9.375,9.625,9.375,9.625
NOTV,1998-03-25,9.625,9.625,9.625,9.625
NOTV,1998-03-26,9.625,9.625,9.25,9.625
NOTV,1998-03-27,9.25,9.625,9.25,9.25
NOTV,1998-03-30,9.0,9.0,9.0,9.0
NOTV,1998-03-31,8.875,8.875,8.6875,8.6875
NOTV,1998-04-01,9.0,9.0,8.0,8.3906
NOTV,1998-04-02,8.625,8.625,8.625,8.625
NOTV,1998-04-03,8.0,8.75,8.0,8.75
NOTV,1998-04-06,8.75,8.75,8.75,8.75
NOTV,1998-04-07,8.875,8.875,8.375,8.375
NOTV,1998-04-08,8.5,8.875,8.0,8.875
NOTV,1998-04-09,8.875,8.875,8.25,8.625
NOTV,1998-04-13,8.875,8.875,8.25,8.5
NOTV,1998-04-14,8.75,8.75,8.0,8.5
NOTV,1998-04-15,8.5,8.75,8.0,8.625
NOTV,1998-04-16,8.0625,8.625,8.0,8.625
NOTV,1998-04-17,8.625,8.625,8.0625,8.625
NOTV,1998-04-20,8.625,8.625,8.5,8.5
NOTV,1998-04-21,8.5,8.5,8.25,8.25
NOTV,1998-04-22,7.875,8.5,7.875,7.875
NOTV,1998-04-23,7.875,8.375,7.875,8.25
NOTV,1998-04-24,8.25,8.25,7.875,8.25
NOTV,1998-04-27,8.25,8.25,8.0,8.0
NOTV,1998-04-28,8.125,8.125,8.125,8.125
NOTV,1998-04-29,8.125,8.125,8.0,8.0
NOTV,1998-04-30,8.125,8.125,8.0,8.0
NOTV,1998-05-01,8.125,8.125,8.0,8.125
NOTV,1998-05-04,8.125,8.125,8.0,8.125
NOTV,1998-05-05,7.875,7.875,7.875,7.875
NOTV,1998-05-06,7.75,8.0,7.625,7.6875
NOTV,1998-05-07,8.0,8.125,7.875,7.875
NOTV,1998-05-08,8.0,8.0,7.875,7.875
NOTV,1998-05-11,8.0,8.0,7.8125,8.0
NOTV,1998-05-12,8.0625,8.0625,7.75,8.0
NOTV,1998-05-13,7.625,8.0,7.625,7.625
NOTV,1998-05-14,7.5,7.5,7.5,7.5
NOTV,1998-05-15,7.5,7.875,7.5,7.5
NOTV,1998-05-18,7.875,7.875,7.5,7.5
NOTV,1998-05-19,7.75,7.75,7.75,7.75
NOTV,1998-05-20,7.75,7.75,7.75,7.75
NOTV,1998-05-21,7.875,8.0,7.75,7.75
NOTV,1998-05-22,7.75,7.75,7.75,7.75
NOTV,1998-05-26,8.0,8.0,7.75,8.0
NOTV,1998-05-27,7.75,8.0,7.125,7.25
NOTV,1998-05-28,7.125,7.5,7.125,7.5
NOTV,1998-05-29,7.5,7.75,7.1875,7.75
NOTV,1998-06-01,7.75,7.9375,7.75,7.9375
NOTV,1998-06-02,8.0,8.0,7.5,7.5
NOTV,1998-06-03,7.5,8.0,7.5,7.875
NOTV,1998-06-04,7.875,7.875,7.875,7.875
NOTV,1998-06-05,8.0,8.0,7.5,7.5
NOTV,1998-06-08,7.875,7.875,7.5,7.625
NOTV,1998-06-09,7.625,7.625,7.625,7.625
