ticker,date,open,high,low,close
NRDS,2021-11-04,23.5,34.44,23.4,28.3
NRDS,2021-11-05,27.91,29.1499,25.0,25.89
NRDS,2021-11-08,25.41,25.41,23.13,23.54
NRDS,2021-11-09,23.02,24.7211,23.0,24.49
NRDS,2021-11-10,24.49,24.66,22.99,23.49
NRDS,2021-11-11,23.12,25.49,23.02,25.04
NRDS,2021-11-12,25.12,25.66,24.5,24.95
NRDS,2021-11-15,24.55,25.51,24.5,25.0
NRDS,2021-11-16,25.26,26.01,24.53,25.37
NRDS,2021-11-17,25.32,27.22,24.75,27.09
NRDS,2021-11-18,27.18,27.93,26.01,27.5
NRDS,2021-11-19,27.5,27.7,26.6101,27.39
NRDS,2021-11-22,27.12,27.49,25.33,27.22
NRDS,2021-11-23,27.0,27.25,25.105,25.43
NRDS,2021-11-24,25.4,25.645,21.7301,22.59
NRDS,2021-11-26,22.01,23.31,21.95,22.62
NRDS,2021-11-29,23.8791,23.98,20.5,20.65
NRDS,2021-11-30,20.55,20.73,17.7,18.08
NRDS,2021-12-01,18.74,19.405,16.8201,17.72
NRDS,2021-12-02,17.72,17.7699,14.6,16.18
NRDS,2021-12-03,16.2,16.84,14.33,14.54
NRDS,2021-12-06,15.01,15.25,14.0,14.81
NRDS,2021-12-07,15.25,16.2,14.93,16.1
NRDS,2021-12-08,16.02,16.4554,15.3201,16.11
NRDS,2021-12-09,16.13,16.6858,15.36,16.02
NRDS,2021-12-10,15.99,16.3,15.5218,16.18
NRDS,2021-12-13,16.13,16.1618,14.15,14.24
NRDS,2021-12-14,14.3,15.385,14.0,15.11
NRDS,2021-12-15,14.82,15.95,14.37,15.46
NRDS,2021-12-16,15.63,15.94,14.37,14.54
NRDS,2021-12-17,14.37,15.5,13.88,15.07
NRDS,2021-12-20,15.02,15.51,14.36,15.32
NRDS,2021-12-21,15.34,16.01,14.78,14.96
NRDS,2021-12-22,14.96,15.5,14.61,15.01
NRDS,2021-12-23,14.94,15.45,14.67,15.13
NRDS,2021-12-27,15.05,15.23,14.7,14.83
NRDS,2021-12-28,14.9,14.9,14.33,14.6
NRDS,2021-12-29,14.39,14.98,14.2,14.83
NRDS,2021-12-30,14.77,15.7,14.55,15.56
NRDS,2021-12-31,15.47,15.85,15.11,15.55
NRDS,2022-01-03,15.72,16.215,15.25,15.95
NRDS,2022-01-04,15.91,16.0,14.5,15.21
NRDS,2022-01-05,15.01,15.32,14.33,14.56
NRDS,2022-01-06,14.5,15.06,14.05,14.88
NRDS,2022-01-07,15.07,15.25,14.42,14.93
NRDS,2022-01-10,14.67,15.09,14.04,14.5
NRDS,2022-01-11,14.51,14.97,14.38,14.75
NRDS,2022-01-12,14.85,14.969,14.26,14.31
NRDS,2022-01-13,14.27,14.43,13.68,13.75
NRDS,2022-01-14,13.501,13.72,13.025,13.34
NRDS,2022-01-18,13.11,13.3,12.11,12.45
NRDS,2022-01-19,12.58,13.25,12.15,12.83
NRDS,2022-01-20,12.94,13.25,12.77,12.84
NRDS,2022-01-21,12.62,13.31,12.44,13.12
NRDS,2022-01-24,12.91,13.49,12.57,13.37
NRDS,2022-01-25,13.35,13.84,13.09,13.6
NRDS,2022-01-26,13.9,14.3405,13.39,13.67
