ticker,date,open,high,low,close
NXST,2003-11-25,13.25,13.64,12.32,13.35
NXST,2003-11-26,13.45,13.75,13.29,13.4
NXST,2003-11-28,13.55,13.88,13.55,13.78
NXST,2003-12-01,13.89,13.89,13.25,13.7
NXST,2003-12-02,13.79,13.89,13.25,13.64
NXST,2003-12-03,13.52,13.52,13.0,13.24
NXST,2003-12-04,13.17,13.52,13.05,13.1
NXST,2003-12-05,13.06,13.8,12.99,13.67
NXST,2003-12-08,13.6,13.8,13.48,13.75
NXST,2003-12-09,13.75,13.76,13.03,13.03
NXST,2003-12-10,13.15,13.4,12.08,12.36
NXST,2003-12-11,12.18,13.41,12.18,13.0
NXST,2003-12-12,12.98,13.34,12.85,13.25
NXST,2003-12-15,13.38,13.48,13.08,13.16
NXST,2003-12-16,13.03,13.49,13.0,13.41
NXST,2003-12-17,13.35,13.6,13.0,13.36
NXST,2003-12-18,12.92,13.61,12.88,13.44
NXST,2003-12-19,13.52,13.6,13.25,13.45
NXST,2003-12-22,13.52,13.7,13.36,13.45
NXST,2003-12-23,13.38,13.68,13.38,13.6
NXST,2003-12-24,13.49,13.8,13.35,13.62
NXST,2003-12-26,13.75,13.8,13.65,13.65
NXST,2003-12-29,13.65,13.69,13.5,13.65
NXST,2003-12-30,13.54,13.75,13.52,13.75
NXST,2003-12-31,13.83,13.83,13.55,13.71
NXST,2004-01-02,13.65,13.76,13.65,13.75
NXST,2004-01-05,13.96,14.0,13.63,13.9
NXST,2004-01-06,13.75,13.96,13.68,13.75
NXST,2004-01-07,13.8,14.45,13.8,14.4
NXST,2004-01-08,14.34,14.41,14.05,14.1
NXST,2004-01-09,14.14,14.19,13.8,14.1
NXST,2004-01-12,14.44,14.44,13.5,13.88
NXST,2004-01-13,13.84,14.36,13.84,14.15
NXST,2004-01-14,14.27,14.46,14.14,14.43
NXST,2004-01-15,14.22,14.5,14.05,14.17
NXST,2004-01-16,14.25,14.45,13.86,14.07
NXST,2004-01-20,13.9,14.05,13.5,13.99
NXST,2004-01-21,14.07,14.5,13.87,14.24
NXST,2004-01-22,14.15,14.5,14.15,14.25
NXST,2004-01-23,14.21,14.5,14.01,14.15
NXST,2004-01-26,14.0,14.0,12.91,13.65
NXST,2004-01-27,13.41,13.89,13.2,13.71
NXST,2004-01-28,13.93,13.95,13.36,13.5
NXST,2004-01-29,13.41,13.52,13.31,13.5
NXST,2004-01-30,13.39,14.0,13.39,13.42
NXST,2004-02-02,13.49,13.55,13.3,13.38
NXST,2004-02-03,13.45,13.46,13.05,13.25
NXST,2004-02-04,13.09,13.25,12.97,13.0
NXST,2004-02-05,12.97,13.11,12.41,12.73
NXST,2004-02-06,12.77,12.8,12.45,12.79
NXST,2004-02-09,12.8,12.96,12.66,12.77
NXST,2004-02-10,12.77,13.46,12.68,13.21
NXST,2004-02-11,13.02,14.1,13.02,13.6
NXST,2004-02-12,13.6,13.7,13.55,13.65
NXST,2004-02-13,13.6,13.65,13.43,13.5
NXST,2004-02-17,12.83,13.6,12.83,13.5
NXST,2004-02-18,13.5,13.5,13.38,13.39
NXST,2004-02-19,13.5,13.5,13.37,13.4
NXST,2004-02-20,13.4,13.53,13.31,13.4
NXST,2004-02-23,13.37,13.44,13.3,13.32
NXST,2004-02-24,13.22,13.25,12.82,12.83
NXST,2004-02-25,12.8,13.06,12.8,13.05
NXST,2004-02-26,13.05,13.1,12.94,13.1
NXST,2004-02-27,13.14,13.2,12.4,12.86
NXST,2004-03-01,12.85,13.14,12.85,13.0
NXST,2004-03-02,13.11,13.11,12.75,12.8
NXST,2004-03-03,12.9,13.07,12.89,12.98
NXST,2004-03-04,13.0,13.05,12.95,12.95
NXST,2004-03-05,13.0,13.0,12.77,12.86
NXST,2004-03-08,12.98,13.05,12.9,12.99
NXST,2004-03-09,12.94,13.0,12.84,12.86
NXST,2004-03-10,12.85,12.98,12.83,12.95
NXST,2004-03-11,12.91,12.97,12.5,12.75
NXST,2004-03-12,12.88,13.1,12.57,12.72
NXST,2004-03-15,12.84,12.84,12.34,12.35
NXST,2004-03-16,12.62,12.75,12.35,12.43
NXST,2004-03-17,12.5,12.62,12.36,12.5
NXST,2004-03-18,12.38,12.74,12.25,12.4
NXST,2004-03-19,12.5,12.5,12.32,12.45
NXST,2004-03-22,12.6,12.6,12.23,12.29
NXST,2004-03-23,12.42,12.45,11.98,12.09
NXST,2004-03-24,12.0,12.12,11.58,11.71
NXST,2004-03-25,11.49,11.55,10.63,10.7
NXST,2004-03-26,10.91,11.29,10.85,11.0
NXST,2004-03-29,11.0,11.4,10.89,10.89
NXST,2004-03-30,10.88,11.4,10.73,11.2
NXST,2004-03-31,11.2,11.83,10.97,11.69
NXST,2004-04-01,11.8,11.85,11.55,11.78
NXST,2004-04-02,11.8,11.8,11.6,11.7
NXST,2004-04-05,11.77,11.96,11.77,11.88
NXST,2004-04-06,11.88,12.01,11.86,11.98
NXST,2004-04-07,12.01,12.02,11.86,12.01
