ticker,date,open,high,low,close
OBIO,2020-08-04,11.41,11.81,11.31,11.4
OBIO,2020-08-05,11.75,12.5,11.5,12.15
OBIO,2020-08-06,12.13,12.5,11.9,12.39
OBIO,2020-08-07,12.35,12.35,11.82,11.9
OBIO,2020-08-10,11.83,11.9999,11.68,11.68
OBIO,2020-08-11,11.685,11.9652,11.26,11.46
OBIO,2020-08-12,11.7,11.7,11.275,11.49
OBIO,2020-08-13,11.25,11.355,11.25,11.26
OBIO,2020-08-14,11.26,11.4067,11.26,11.4
OBIO,2020-08-17,11.4999,11.4999,11.26,11.45
OBIO,2020-08-18,11.49,11.6,11.27,11.5
OBIO,2020-08-19,11.79,11.79,10.83,10.84
OBIO,2020-08-20,11.21,11.5499,11.2,11.24
OBIO,2020-08-21,11.25,11.25,11.14,11.25
OBIO,2020-08-24,11.22,11.2296,11.14,11.2
OBIO,2020-08-25,10.96,11.6,10.83,11.0
OBIO,2020-08-26,11.0001,11.17,11.0,11.05
OBIO,2020-08-27,11.25,11.25,11.0,11.0
OBIO,2020-08-28,11.0,11.16,11.0,11.16
OBIO,2020-08-31,11.45,11.45,11.0,11.2
OBIO,2020-09-01,11.005,11.5073,11.0,11.1
OBIO,2020-09-02,11.0,11.15,11.0,11.05
OBIO,2020-09-03,11.05,11.3199,11.0,11.1
OBIO,2020-09-04,11.15,11.5,11.1,11.15
OBIO,2020-09-08,11.11,11.2,11.11,11.2
OBIO,2020-09-09,11.2,11.25,11.15,11.25
OBIO,2020-09-10,11.15,11.35,11.08,11.08
OBIO,2020-09-11,11.1,11.4553,11.1,11.1
OBIO,2020-09-14,11.41,11.41,11.02,11.08
OBIO,2020-09-15,11.15,11.26,11.12,11.15
OBIO,2020-09-16,11.24,11.78,11.0,11.0
OBIO,2020-09-17,11.03,11.165,11.03,11.1
OBIO,2020-09-18,11.11,11.22,11.0,11.1
OBIO,2020-09-21,11.1,11.19,11.1,11.1
OBIO,2020-09-22,11.2,11.23,11.01,11.1
OBIO,2020-09-23,11.1,11.1,10.85,10.92
OBIO,2020-09-24,10.83,11.12,10.83,10.86
OBIO,2020-09-25,11.2,11.225,10.95,11.05
OBIO,2020-09-28,10.99,11.0,10.95,10.95
OBIO,2020-09-29,11.0,11.0,10.83,10.92
OBIO,2020-09-30,10.85,11.15,10.83,11.0
OBIO,2020-10-01,10.95,11.15,10.88,11.01
OBIO,2020-10-02,11.08,11.09,10.76,11.08
OBIO,2020-10-05,10.8101,11.14,10.8101,11.14
OBIO,2020-10-06,11.09,11.09,10.82,11.05
OBIO,2020-10-07,11.04,11.0962,10.99,11.04
OBIO,2020-10-08,11.0,11.05,10.91,11.01
OBIO,2020-10-09,11.0,11.0659,10.96,10.96
OBIO,2020-10-12,11.0,11.15,11.0,11.0
OBIO,2020-10-13,11.13,11.3,10.95,10.95
OBIO,2020-10-14,11.0,11.1026,11.0,11.0
OBIO,2020-10-15,11.05,11.05,11.05,11.05
OBIO,2020-10-16,11.0,11.15,11.0,11.01
OBIO,2020-10-19,11.01,11.22,11.01,11.22
OBIO,2020-10-20,11.09,11.1,11.0582,11.07
OBIO,2020-10-21,11.1001,11.3,10.9597,10.9597
OBIO,2020-10-22,10.98,11.3,10.98,11.0
OBIO,2020-10-23,10.95,10.95,10.78,10.95
OBIO,2020-10-26,10.8001,10.95,10.8,10.95
OBIO,2020-10-27,11.005,11.205,10.85,11.05
OBIO,2020-10-28,11.1112,11.29,10.85,11.0
OBIO,2020-10-29,11.0663,11.0663,10.9,10.9
OBIO,2020-10-30,10.91,10.995,10.89,10.995
OBIO,2020-11-02,11.0,11.295,11.0,11.145
OBIO,2020-11-03,10.9,10.95,10.851,10.851
OBIO,2020-11-04,10.89,11.235,10.49,10.61
OBIO,2020-11-05,11.0,11.0,10.91,11.0
OBIO,2020-11-06,11.0,11.0,10.9,10.9
OBIO,2020-11-09,11.0,11.22,10.95,11.025
OBIO,2020-11-10,11.19,11.19,10.97,11.0048
OBIO,2020-11-11,11.0,11.0,10.955,11.0
OBIO,2020-11-12,11.0,11.03,10.91,10.945
OBIO,2020-11-13,11.025,11.1,10.95,11.0
OBIO,2020-11-16,11.07,11.07,10.98,10.98
OBIO,2020-11-17,11.0,11.27,11.0,11.12
OBIO,2020-11-18,11.37,11.37,11.2279,11.2375
OBIO,2020-11-19,11.39,11.9342,11.209,11.6
OBIO,2020-11-20,11.5,12.29,11.5,11.63
OBIO,2020-11-23,11.75,11.755,11.73,11.75
OBIO,2020-11-24,11.9499,11.95,11.4,11.45
OBIO,2020-11-25,11.63,11.7046,11.55,11.59
OBIO,2020-11-27,11.7166,11.7166,11.5,11.5001
OBIO,2020-11-30,11.6,11.71,11.3,11.65
OBIO,2020-12-01,11.45,11.65,11.45,11.645
OBIO,2020-12-02,11.74,11.74,11.5,11.6707
OBIO,2020-12-03,11.5,11.7,11.5,11.7
OBIO,2020-12-04,11.1101,11.7986,11.11,11.7
OBIO,2020-12-07,11.75,11.75,11.5675,11.75
OBIO,2020-12-08,11.8688,11.87,11.7722,11.7999
OBIO,2020-12-09,11.7,12.2,11.12,11.76
OBIO,2020-12-10,11.95,12.4999,11.95,12.3845
OBIO,2020-12-11,12.3293,12.4,12.1101,12.2
OBIO,2020-12-14,12.2,12.2,11.97,12.0
OBIO,2020-12-15,12.0,12.0,11.81,11.95
OBIO,2020-12-16,11.8,11.9,11.6352,11.85
OBIO,2020-12-17,11.8,11.8,11.7,11.8
OBIO,2020-12-18,11.662,11.96,11.662,11.96
OBIO,2020-12-21,11.89,11.895,11.75,11.75
OBIO,2020-12-22,11.9,11.9,11.75,11.75
OBIO,2020-12-23,11.8,11.82,11.5,11.52
OBIO,2020-12-24,12.0,12.0,11.8,11.8
OBIO,2020-12-28,11.8,11.8875,11.67,11.78
OBIO,2020-12-29,11.79,12.75,11.79,12.34
OBIO,2020-12-30,12.34,13.0,12.34,13.0
OBIO,2020-12-31,12.96,13.0,12.66,12.81
OBIO,2021-01-04,13.29,13.3,12.73,13.0
OBIO,2021-01-05,13.02,13.0338,12.56,12.56
OBIO,2021-01-06,12.88,12.88,12.6501,12.75
OBIO,2021-01-07,12.825,12.87,12.75,12.75
OBIO,2021-01-08,12.99,12.99,12.567,12.6
OBIO,2021-01-11,12.5565,12.6,12.5001,12.6
OBIO,2021-01-12,12.5,12.88,12.5,12.65
OBIO,2021-01-13,12.9,12.95,12.64,12.65
OBIO,2021-01-14,12.65,12.65,12.5519,12.65
OBIO,2021-01-15,12.59,12.65,12.58,12.608
OBIO,2021-01-19,12.43,12.536,12.4,12.5
OBIO,2021-01-20,12.51,12.72,12.425,12.55
OBIO,2021-01-21,12.61,12.62,12.49,12.49
OBIO,2021-01-22,12.4984,12.6,12.42,12.5
OBIO,2021-01-25,12.55,12.65,12.0,12.03
