ticker,date,open,high,low,close
ODYS,2025-02-11,6.5,7.46,6.25,6.5
ODYS,2025-02-12,6.5,6.5,6.05,6.19
ODYS,2025-02-13,6.27,6.39,5.68,5.72
ODYS,2025-02-14,5.72,5.875,5.51,5.72
ODYS,2025-02-18,5.8,6.6,5.8,6.405
ODYS,2025-02-19,6.54,6.54,6.0824,6.5
ODYS,2025-02-20,6.31,6.72,6.184,6.56
ODYS,2025-02-21,6.59,6.59,6.26,6.56
ODYS,2025-02-24,6.59,6.59,6.05,6.45
ODYS,2025-02-25,6.48,6.48,6.115,6.44
ODYS,2025-02-26,6.2,6.505,5.99,6.09
ODYS,2025-02-27,6.3,6.48,6.02,6.43
ODYS,2025-02-28,6.48,6.6,6.1127,6.6
ODYS,2025-03-03,6.57,6.57,6.0887,6.46
ODYS,2025-03-04,6.15,6.1705,6.15,6.1705
ODYS,2025-03-05,6.0,6.12,5.8,6.0
ODYS,2025-03-06,6.0,6.25,6.0,6.24
ODYS,2025-03-07,5.93,6.7,5.93,6.64
ODYS,2025-03-10,6.04,6.7,6.04,6.43
ODYS,2025-03-11,6.5,6.5,6.3,6.5
ODYS,2025-03-12,6.49,6.69,6.0243,6.47
ODYS,2025-03-13,6.15,6.45,6.15,6.45
ODYS,2025-03-14,6.635,6.77,6.59,6.77
ODYS,2025-03-17,6.75,6.75,6.033,6.31
ODYS,2025-03-18,6.31,6.31,6.3,6.31
ODYS,2025-03-19,6.18,6.3,6.1172,6.1172
ODYS,2025-03-20,6.98,6.98,6.06,6.49
ODYS,2025-03-21,6.0,6.5,6.0,6.5
ODYS,2025-03-24,6.5,6.5,6.4,6.5
ODYS,2025-03-25,6.5,6.5,6.36,6.5
ODYS,2025-03-26,6.5,6.5,6.4,6.5
ODYS,2025-03-27,6.5,6.97,6.325,6.5
ODYS,2025-03-28,6.4964,6.8,6.1513,6.8
ODYS,2025-03-31,6.31,7.0,6.31,7.0
ODYS,2025-04-01,7.0,7.0,6.2401,6.4683
ODYS,2025-04-02,6.38,6.38,6.2001,6.38
ODYS,2025-04-03,6.23,6.23,6.23,6.23
ODYS,2025-04-04,6.0,6.23,6.0,6.19
ODYS,2025-04-07,6.0,6.0,6.0,6.0
ODYS,2025-04-08,5.93,6.175,5.8,5.95
ODYS,2025-04-09,5.8652,6.36,5.8382,6.06
ODYS,2025-04-10,6.0,6.0,5.7,5.7
ODYS,2025-04-11,5.63,6.3499,5.53,5.67
ODYS,2025-04-14,5.81,6.1,5.53,5.685
ODYS,2025-04-15,5.55,5.55,5.46,5.55
ODYS,2025-04-16,5.62,5.8,5.25,5.375
ODYS,2025-04-17,5.35,5.35,5.3,5.35
ODYS,2025-04-21,5.75,5.75,5.2,5.27
ODYS,2025-04-22,5.3282,5.8,5.12,5.31
ODYS,2025-04-23,5.5004,5.71,5.22,5.22
ODYS,2025-04-24,5.601,5.61,5.2,5.35
ODYS,2025-04-25,5.45,6.0,5.45,5.55
ODYS,2025-04-28,5.64,5.75,5.14,5.33
ODYS,2025-04-29,5.47,5.82,5.4,5.82
ODYS,2025-04-30,5.51,5.99,5.0101,5.99
ODYS,2025-05-01,5.9,5.9,5.25,5.415
ODYS,2025-05-02,5.87,5.87,5.403,5.44
ODYS,2025-05-05,5.45,5.45,5.15,5.28
ODYS,2025-05-06,5.4,5.4,5.3501,5.3501
ODYS,2025-05-08,5.425,5.425,5.3,5.313
ODYS,2025-05-09,5.5492,5.5492,5.5492,5.5492
ODYS,2025-05-12,5.35,5.485,5.35,5.35
ODYS,2025-05-13,5.3642,5.3642,5.3642,5.3642
ODYS,2025-05-14,5.41,5.6,5.35,5.6
ODYS,2025-05-15,5.5437,5.5437,5.15,5.15
ODYS,2025-05-16,5.43,5.43,5.34,5.43
ODYS,2025-05-19,5.24,5.31,5.24,5.31
ODYS,2025-05-20,5.39,5.4,5.15,5.15
ODYS,2025-05-21,5.275,5.275,5.275,5.275
ODYS,2025-05-22,5.3547,5.3547,5.15,5.15
ODYS,2025-05-23,5.3476,5.3476,5.3476,5.3476
ODYS,2025-05-27,5.35,5.35,5.34,5.34
ODYS,2025-05-28,5.34,5.35,5.33,5.35
ODYS,2025-05-29,5.35,5.35,5.1679,5.18
ODYS,2025-05-30,5.295,5.35,5.29,5.35
ODYS,2025-06-02,5.4,5.4,4.97,5.0
ODYS,2025-06-03,5.15,5.21,4.85,4.9249
ODYS,2025-06-04,4.87,5.18,4.87,4.91
ODYS,2025-06-05,4.84,5.15,4.84,5.15
ODYS,2025-06-06,4.98,5.27,4.94,5.2
ODYS,2025-06-09,4.9,5.25621,4.83,5.25621
ODYS,2025-06-10,5.03,5.3399,5.03,5.3399
ODYS,2025-06-11,5.16,5.25,5.11,5.25
ODYS,2025-06-12,5.06,5.06,5.0324,5.0324
ODYS,2025-06-13,4.8709,5.135,4.851,5.135
ODYS,2025-06-16,5.14,5.3,5.04,5.3
ODYS,2025-06-17,5.41,5.52,5.04,5.04
ODYS,2025-06-18,5.05,5.13,5.04,5.04
ODYS,2025-06-20,4.91,4.91,4.88,4.91
ODYS,2025-06-23,4.34,5.2,4.0,4.82
ODYS,2025-06-24,4.75,5.01,4.7,5.01
ODYS,2025-06-25,4.775,5.0,4.75,4.77
ODYS,2025-06-26,4.92,4.97,4.76,4.97
ODYS,2025-06-27,4.97,7.01,4.7869,7.01
ODYS,2025-06-30,6.45,6.45,4.96,5.08
ODYS,2025-07-01,5.2377,5.2377,4.91,4.95
ODYS,2025-07-02,4.85,5.2468,4.71,4.92
ODYS,2025-07-03,4.95,5.2393,4.85,4.85
ODYS,2025-07-07,5.0,5.075,4.7,4.7
ODYS,2025-07-08,4.77,5.15,4.77,4.78
ODYS,2025-07-09,4.995,4.995,4.86,4.871
ODYS,2025-07-10,4.93,5.03,4.77,4.77
ODYS,2025-07-11,4.801,4.801,4.801,4.801
ODYS,2025-07-14,4.87,4.92,4.7106,4.74
ODYS,2025-07-15,4.99,4.99,4.775,4.83
ODYS,2025-07-16,4.96,4.96,4.72,4.72
ODYS,2025-07-17,4.88,4.9478,4.7676,4.88
ODYS,2025-07-18,4.9,4.9,4.73,4.8
ODYS,2025-07-21,4.8,5.0509,4.73,4.73
ODYS,2025-07-22,4.84,4.8999,4.78,4.79
ODYS,2025-07-23,4.8,4.8,4.7,4.7001
ODYS,2025-07-24,4.7101,4.8569,4.55,4.55
ODYS,2025-07-25,4.6,4.855,4.5705,4.62
ODYS,2025-07-28,4.61,5.07,4.57,4.6
ODYS,2025-07-29,4.675,4.69,4.6,4.675
ODYS,2025-07-30,4.64,4.64,4.51,4.51
ODYS,2025-07-31,4.6,4.6,4.0324,4.35
ODYS,2025-08-01,4.4601,4.7208,4.46,4.46
ODYS,2025-08-04,4.51,4.72,4.34,4.4
ODYS,2025-08-05,4.43,4.5,3.92,4.02
ODYS,2025-08-06,4.22,4.301,4.22,4.3
ODYS,2025-08-07,4.3,4.5451,4.2,4.5451
ODYS,2025-08-08,4.37,4.4,4.19,4.4
ODYS,2025-08-11,4.311,4.311,4.3,4.3
ODYS,2025-08-12,4.37,4.37,3.95,3.95
ODYS,2025-08-13,4.0,4.01,3.86,3.86
ODYS,2025-08-14,4.03,4.08,3.86,3.93
ODYS,2025-08-15,3.94,4.24,3.9337,3.9615
ODYS,2025-08-18,4.0,4.2128,3.86,4.0
ODYS,2025-08-19,3.91,4.25,3.91,3.92
ODYS,2025-08-20,4.0068,4.0068,3.9,3.9
ODYS,2025-08-21,4.1638,4.1999,3.75,3.76
ODYS,2025-08-22,3.86,4.29,3.75,3.75
ODYS,2025-08-25,3.75,3.9861,3.63,3.64
ODYS,2025-08-26,3.69,3.77,3.69,3.75
ODYS,2025-08-27,3.64,3.89,3.64,3.81
ODYS,2025-08-28,3.8522,3.96,3.81,3.81
ODYS,2025-08-29,3.81,3.93,3.81,3.93
ODYS,2025-09-02,3.9469,3.9469,3.81,3.81
ODYS,2025-09-03,3.6912,3.845,3.69,3.785
ODYS,2025-09-05,3.71,3.78,3.71,3.78
ODYS,2025-09-08,4.03,4.03,4.03,4.03
ODYS,2025-09-09,4.0271,4.125,3.9784,3.9784
ODYS,2025-09-11,4.01,4.1031,3.99,3.9901
ODYS,2025-09-12,4.15,4.15,3.9,3.9876
ODYS,2025-09-15,4.0,4.0172,3.98,3.98
ODYS,2025-09-16,3.95,4.3,3.74,3.95
ODYS,2025-09-17,4.0193,4.0193,3.81,3.9719
ODYS,2025-09-18,3.9658,3.9658,3.81,3.81
ODYS,2025-09-19,3.8325,4.0,3.8325,3.95
ODYS,2025-09-22,3.99,4.05,3.99,4.0
ODYS,2025-09-23,3.9,4.3,3.9,4.1643
ODYS,2025-09-24,4.11,4.3105,4.11,4.2963
ODYS,2025-09-25,4.2,5.04,4.0,4.55
ODYS,2025-09-26,4.56,4.56,4.345,4.41
ODYS,2025-09-29,4.5,4.5,4.07,4.36
ODYS,2025-09-30,4.2001,4.5,4.2001,4.5
ODYS,2025-10-01,4.21,4.5,4.0,4.5
