ticker,date,open,high,low,close
OKYO,2022-05-17,4.5,6.11,3.52,3.62
OKYO,2022-05-18,3.59,3.6881,2.87,3.04
OKYO,2022-05-19,2.94,3.67,2.7,3.33
OKYO,2022-05-20,3.33,3.56,2.8,3.0
OKYO,2022-05-23,2.9,3.14,2.52,2.65
OKYO,2022-05-24,2.58,2.63,2.1001,2.22
OKYO,2022-05-25,2.2,2.3744,2.1,2.2
OKYO,2022-05-26,2.2,2.47,2.08,2.1114
OKYO,2022-05-27,2.04,2.15,1.92,2.03
OKYO,2022-05-31,1.9801,2.15,1.9801,2.05
OKYO,2022-06-01,2.09,2.096,1.93,1.97
OKYO,2022-06-02,1.97,2.0752,1.92,1.92
OKYO,2022-06-03,1.88,2.05,1.88,1.92
OKYO,2022-06-06,1.93,2.1999,1.9101,1.93
OKYO,2022-06-07,1.94,2.05,1.94,1.96
OKYO,2022-06-08,2.01,2.1699,2.01,2.08
OKYO,2022-06-09,2.1499,2.15,2.03,2.03
OKYO,2022-06-10,2.04,2.0916,2.04,2.09
OKYO,2022-06-13,1.98,2.14,1.95,2.0
OKYO,2022-06-14,2.11,2.1132,2.0,2.01
OKYO,2022-06-15,1.99,2.6,1.99,2.21
OKYO,2022-06-16,2.1,2.3699,2.1,2.21
OKYO,2022-06-17,2.05,2.2894,2.05,2.15
OKYO,2022-06-21,2.14,2.2543,2.14,2.15
OKYO,2022-06-22,2.2,2.325,2.17,2.18
OKYO,2022-06-23,2.28,2.28,2.17,2.17
OKYO,2022-06-24,2.17,2.24,2.01,2.07
OKYO,2022-06-27,2.35,2.35,2.1,2.1
OKYO,2022-06-28,2.1,2.38,2.1,2.1
OKYO,2022-06-29,2.1001,2.2699,2.1001,2.11
OKYO,2022-06-30,2.12,2.1399,2.1,2.1
OKYO,2022-07-01,2.02,2.2,2.01,2.1999
OKYO,2022-07-05,2.14,2.24,2.1,2.2
OKYO,2022-07-06,2.1001,2.3,2.1001,2.16
OKYO,2022-07-07,2.22,2.22,2.1,2.1209
OKYO,2022-07-08,2.14,2.32,2.06,2.16
OKYO,2022-07-11,2.26,2.305,2.11,2.13
OKYO,2022-07-12,1.99,2.1999,1.99,2.1
OKYO,2022-07-13,2.08,2.0916,2.07,2.07
OKYO,2022-07-14,2.09,2.1103,2.07,2.1103
OKYO,2022-07-15,2.1,2.1425,2.06,2.1425
OKYO,2022-07-18,2.1,2.1,2.1,2.1
OKYO,2022-07-19,2.04,2.115,2.04,2.08
OKYO,2022-07-20,2.1025,2.13,2.0,2.08
OKYO,2022-07-21,2.08,2.08,2.08,2.08
OKYO,2022-07-22,2.08,2.08,1.91,2.01
OKYO,2022-07-25,2.075,2.075,2.075,2.075
OKYO,2022-07-26,2.045,2.045,1.99,2.005
OKYO,2022-07-27,2.0,2.09,1.81,1.95
OKYO,2022-07-28,1.92,2.1,1.92,2.055
OKYO,2022-07-29,2.08,2.97,2.0785,2.3501
OKYO,2022-08-01,2.1438,2.47,2.04,2.37
OKYO,2022-08-02,2.32,2.84,2.2001,2.3375
OKYO,2022-08-03,2.2901,2.4899,1.91,1.96
OKYO,2022-08-04,2.0,2.13,1.91,2.12
OKYO,2022-08-05,2.075,2.18,1.93,2.12
OKYO,2022-08-08,2.12,2.3799,2.1186,2.26
OKYO,2022-08-09,2.26,2.26,2.08,2.09
OKYO,2022-08-10,2.2,2.26,2.12,2.2499
OKYO,2022-08-11,2.21,2.3,2.07,2.08
OKYO,2022-08-12,2.1086,2.2999,2.1,2.2999
OKYO,2022-08-15,2.26,2.3499,1.96,2.12
OKYO,2022-08-16,2.09,2.09,1.875,2.05
OKYO,2022-08-17,2.03,2.35,2.01,2.26
OKYO,2022-08-18,2.3,2.3495,2.08,2.32
OKYO,2022-08-19,2.06,2.14,2.06,2.07
OKYO,2022-08-22,2.075,2.3,2.0,2.03
OKYO,2022-08-23,2.03,2.08,2.03,2.03
OKYO,2022-08-24,2.05,2.16,2.03,2.11
OKYO,2022-08-25,2.2,2.2,2.05,2.05
OKYO,2022-08-26,2.2399,2.2399,2.0,2.0
OKYO,2022-08-29,2.09,2.09,1.99,1.99
OKYO,2022-08-30,2.22,2.46,2.1,2.4361
OKYO,2022-08-31,2.44,2.6199,2.4,2.6199
OKYO,2022-09-01,2.54,2.8499,2.54,2.72
OKYO,2022-09-02,2.85,2.95,2.72,2.8
OKYO,2022-09-06,2.78,2.95,2.72,2.9399
OKYO,2022-09-07,2.78,3.24,2.78,3.11
OKYO,2022-09-08,3.1062,3.1951,2.53,3.17
OKYO,2022-09-09,3.18,3.35,2.9888,3.28
OKYO,2022-09-12,3.31,3.45,3.3,3.4
OKYO,2022-09-13,3.22,3.22,3.01,3.149
OKYO,2022-09-14,3.09,3.2,3.02,3.02
OKYO,2022-09-15,3.02,3.2,3.02,3.075
OKYO,2022-09-16,3.1,3.3078,3.1,3.1
OKYO,2022-09-19,3.15,3.15,3.15,3.15
OKYO,2022-09-20,2.9138,3.02,2.9138,3.01
OKYO,2022-09-21,2.9001,3.0,2.8,2.91
OKYO,2022-09-22,3.0,3.21,2.52,2.67
OKYO,2022-09-23,2.58,2.74,2.39,2.74
OKYO,2022-09-26,2.52,2.72,2.48,2.72
OKYO,2022-09-27,2.65,2.8,2.47,2.75
OKYO,2022-09-28,2.4301,2.7672,2.4301,2.7672
OKYO,2022-09-29,2.44,2.5,2.44,2.5
OKYO,2022-09-30,2.63,2.63,2.63,2.63
OKYO,2022-10-03,2.7,2.7,2.7,2.7
OKYO,2022-10-04,2.67,2.67,2.67,2.67
OKYO,2022-10-05,2.85,2.85,2.51,2.68
OKYO,2022-10-06,2.5999,2.5999,2.53,2.53
OKYO,2022-10-07,2.68,2.68,2.51,2.595
OKYO,2022-10-10,2.8,2.8,2.51,2.65
OKYO,2022-10-11,2.68,2.68,2.41,2.45
OKYO,2022-10-12,2.45,2.79,2.4,2.4
OKYO,2022-10-13,2.08,2.45,1.99,2.32
OKYO,2022-10-14,2.09,2.4188,2.0501,2.2
OKYO,2022-10-17,2.15,2.1501,2.055,2.0883
OKYO,2022-10-18,2.2,2.2,2.2,2.2
OKYO,2022-10-19,2.2,2.2,2.2,2.2
OKYO,2022-10-20,2.01,2.19,2.01,2.19
OKYO,2022-10-21,2.15,2.3,2.05,2.3
OKYO,2022-10-24,2.22,2.22,2.22,2.22
OKYO,2022-10-25,2.17,2.17,2.17,2.17
OKYO,2022-10-26,2.15,2.15,2.15,2.15
OKYO,2022-10-27,2.15,2.15,2.06,2.06
OKYO,2022-10-28,2.15,2.2,2.15,2.2
OKYO,2022-10-31,2.15,2.3,2.1,2.27
OKYO,2022-11-01,2.28,2.38,2.16,2.16
OKYO,2022-11-02,2.2,2.2,2.2,2.2
OKYO,2022-11-03,2.2,2.2,2.2,2.2
OKYO,2022-11-04,2.37,2.39,2.35,2.35
OKYO,2022-11-07,2.39,2.5,2.39,2.4
OKYO,2022-11-08,2.1874,2.25,2.1874,2.25
OKYO,2022-11-09,2.4,2.44,2.14,2.28
OKYO,2022-11-10,2.09,2.15,2.01,2.01
OKYO,2022-11-11,2.01,2.09,1.95,2.02
OKYO,2022-11-14,2.04,2.24,1.827,2.24
OKYO,2022-11-15,1.82,2.25,1.82,2.2
OKYO,2022-11-16,2.0001,2.2,2.0001,2.2
OKYO,2022-11-17,2.02,2.2,1.91,2.2
OKYO,2022-11-18,2.05,2.15,1.8601,2.13
OKYO,2022-11-21,2.15,2.15,1.9,2.1
OKYO,2022-11-22,2.1,2.12,2.1,2.12
OKYO,2022-11-23,2.1,2.14,2.1,2.14
OKYO,2022-11-25,2.15,2.15,2.15,2.15
OKYO,2022-11-28,2.19,2.19,2.19,2.19
OKYO,2022-11-29,1.9553,2.08,1.87,2.08
OKYO,2022-11-30,1.97,1.97,1.97,1.97
OKYO,2022-12-01,1.92,2.02,1.85,2.01
OKYO,2022-12-02,2.111,2.234,2.11,2.234
OKYO,2022-12-05,2.2,2.28,2.19,2.23
OKYO,2022-12-06,2.1,2.165,1.95,2.0
OKYO,2022-12-07,1.83,1.93,1.8,1.9
OKYO,2022-12-08,1.9,1.9,1.87,1.9
