ticker,date,open,high,low,close
OM,2020-09-15,52.0,61.75,49.76,60.68
OM,2020-09-16,54.75,60.03,53.08,60.03
OM,2020-09-17,57.0,65.0,51.97,58.02
OM,2020-09-18,59.86,63.28,59.0,60.01
OM,2020-09-21,58.9,59.9,52.27,55.0
OM,2020-09-22,55.31,56.4,51.9,53.63
OM,2020-09-23,54.43,57.78,53.22,54.35
OM,2020-09-24,53.27,55.7,51.901,51.98
OM,2020-09-25,52.94,53.545,51.35,51.8
OM,2020-09-28,51.74,53.0,51.07,51.73
OM,2020-09-29,51.74,52.525,48.1,49.75
OM,2020-09-30,49.26,50.43,48.6,50.0
OM,2020-10-01,49.45,50.0,45.99,45.99
OM,2020-10-02,44.88,46.28,44.09,45.8
OM,2020-10-05,45.09,46.65,44.6,44.65
OM,2020-10-06,45.17,46.4,43.2501,43.26
OM,2020-10-07,44.0,44.91,42.51,42.6
OM,2020-10-08,43.5,45.77,43.06,44.5
OM,2020-10-09,45.75,45.75,42.5,42.51
OM,2020-10-12,43.76,47.69,43.32,43.83
OM,2020-10-13,44.0,47.3,43.33,45.26
OM,2020-10-14,46.79,47.47,45.46,46.06
OM,2020-10-15,45.55,53.93,45.15,50.02
OM,2020-10-16,51.7746,51.9678,47.65,48.05
OM,2020-10-19,48.25,49.3891,47.52,47.88
OM,2020-10-20,47.83,48.51,46.18,46.31
OM,2020-10-21,46.2,46.9,45.1,45.25
OM,2020-10-22,45.38,49.12,45.32,48.93
OM,2020-10-23,48.69,50.4079,47.75,49.73
OM,2020-10-26,49.02,50.4,46.44,47.91
OM,2020-10-27,47.71,49.82,46.51,49.06
OM,2020-10-28,47.96,48.72,46.585,48.13
OM,2020-10-29,47.91,50.26,47.25,48.93
OM,2020-10-30,48.33,48.8999,46.25,46.47
OM,2020-11-02,47.06,47.1,42.57,44.87
OM,2020-11-03,45.2,46.02,44.01,44.02
OM,2020-11-04,44.53,45.41,43.09,44.73
OM,2020-11-05,45.58,50.325,45.56,48.99
OM,2020-11-06,48.99,49.89,47.54,48.67
OM,2020-11-09,50.3,50.5,48.74,49.04
OM,2020-11-10,48.16,48.99,45.58,46.63
