ticker,date,open,high,low,close
OP,2021-11-30,356.0,1209.0,356.0,522.0
OP,2021-12-01,1840.23,1935.59,1105.44,1177.56
OP,2021-12-02,974.104,1080.33,864.258,981.294
OP,2021-12-03,947.09,968.702,731.034,738.226
OP,2021-12-06,682.026,682.026,572.584,594.176
OP,2021-12-07,606.788,610.346,549.164,554.568
OP,2021-12-08,538.36,538.36,480.158,502.348
OP,2021-12-09,498.752,502.348,466.354,468.142
OP,2021-12-10,477.14,487.946,428.534,435.744
OP,2021-12-13,446.532,487.946,432.13,478.948
OP,2021-12-14,480.756,480.756,423.132,437.532
OP,2021-12-15,441.128,444.742,385.312,412.326
OP,2021-12-16,412.326,423.112,379.91,387.118
OP,2021-12-17,380.544,403.884,370.276,378.122
OP,2021-12-20,378.122,410.518,365.508,396.118
OP,2021-12-21,405.134,450.146,399.732,428.534
OP,2021-12-22,421.324,432.13,408.73,412.326
OP,2021-12-23,408.73,439.34,401.52,410.518
OP,2021-12-27,405.134,424.938,378.122,383.524
OP,2021-12-28,383.524,394.33,361.912,367.314
OP,2021-12-29,376.314,387.118,345.704,351.376
OP,2021-12-30,351.106,387.118,342.108,383.524
OP,2021-12-31,383.524,387.118,356.51,365.508
OP,2022-01-03,374.526,394.33,363.72,387.118
OP,2022-01-04,379.91,392.522,374.526,387.118
OP,2022-01-05,383.524,405.134,372.718,378.122
OP,2022-01-06,374.526,388.926,356.51,360.106
OP,2022-01-07,367.314,370.892,356.51,360.106
OP,2022-01-10,351.106,359.51,343.916,351.106
OP,2022-01-11,347.51,360.106,343.916,351.106
OP,2022-01-12,351.106,417.728,345.704,397.924
OP,2022-01-13,383.524,385.312,351.106,352.01
OP,2022-01-14,347.51,351.106,315.094,322.306
OP,2022-01-18,307.902,313.306,273.678,275.486
OP,2022-01-19,275.486,279.082,266.488,266.488
OP,2022-01-20,248.472,261.086,201.674,212.46
OP,2022-01-21,111.613,118.112,99.0582,100.923
OP,2022-01-24,97.0586,104.442,90.0636,102.808
OP,2022-01-25,103.23,104.442,88.4794,96.924
OP,2022-01-26,98.5006,102.634,94.4206,97.7122
OP,2022-01-27,100.75,100.827,91.8462,96.8278
OP,2022-01-28,97.2316,100.635,93.6284,98.3274
OP,2022-01-31,93.6478,102.634,93.6478,97.0008
OP,2022-02-01,98.1738,102.538,95.43,99.5774
OP,2022-02-02,99.039,101.827,92.9094,93.538
OP,2022-02-03,92.819,92.9266,82.8266,83.7804
OP,2022-02-04,86.247,86.4452,79.1696,79.2254
OP,2022-02-07,79.2254,79.2254,73.4996,73.8226
OP,2022-02-08,72.023,74.7224,70.7808,72.8496
OP,2022-02-09,73.8226,78.5044,70.2404,71.573
OP,2022-02-10,72.023,77.4238,71.1212,77.4066
OP,2022-02-11,75.6242,93.467,75.6242,89.6504
OP,2022-02-14,90.0272,92.5306,84.6262,89.5774
OP,2022-02-15,88.2274,91.3424,86.4258,90.0272
OP,2022-02-16,90.0272,92.5478,87.3278,90.0098
OP,2022-02-17,88.2274,91.8096,88.2274,90.0272
OP,2022-02-18,89.9734,90.0272,86.6066,86.922
OP,2022-02-22,82.8074,89.5234,81.925,85.5454
OP,2022-02-23,87.1642,93.0882,84.4454,87.4182
OP,2022-02-24,84.6262,89.4696,78.414,84.6262
OP,2022-02-25,87.7584,90.929,85.1666,89.685
OP,2022-02-28,86.247,93.0882,84.8954,84.9858
OP,2022-03-01,86.4258,90.0272,84.6436,85.58
OP,2022-03-02,87.7776,104.442,84.807,93.6284
