ticker,date,open,high,low,close
OPRA,2018-07-27,14.34,15.62,12.29,13.11
OPRA,2018-07-30,12.67,12.95,11.85,12.01
OPRA,2018-07-31,12.03,12.3,12.01,12.09
OPRA,2018-08-01,12.19,12.2,12.0,12.14
OPRA,2018-08-02,12.18,12.18,11.98,12.07
OPRA,2018-08-03,12.01,12.14,11.5,11.5
OPRA,2018-08-06,11.52,13.7,11.49,13.41
OPRA,2018-08-07,13.64,14.24,13.03,13.63
OPRA,2018-08-08,13.7,13.969,12.601,13.43
OPRA,2018-08-09,13.64,13.64,12.95,13.49
OPRA,2018-08-10,13.3,13.52,12.76,13.36
OPRA,2018-08-13,13.73,13.73,12.93,13.105
OPRA,2018-08-14,13.16,13.3,12.76,12.89
OPRA,2018-08-15,11.81,12.2,10.22,10.61
OPRA,2018-08-16,10.85,11.5,10.85,11.5
OPRA,2018-08-17,11.56,11.56,10.54,10.97
OPRA,2018-08-20,10.98,11.33,10.95,11.29
OPRA,2018-08-21,11.29,12.419,11.25,12.19
OPRA,2018-08-22,12.72,12.72,12.14,12.61
OPRA,2018-08-23,12.52,12.66,12.33,12.56
OPRA,2018-08-24,12.97,13.5,12.97,13.32
OPRA,2018-08-27,13.42,13.7,13.36,13.57
OPRA,2018-08-28,13.55,13.56,12.32,12.43
OPRA,2018-08-29,12.49,12.98,12.37,12.42
OPRA,2018-08-30,12.43,12.7,11.95,12.19
OPRA,2018-08-31,12.2,12.33,11.76,11.8
OPRA,2018-09-04,11.8,12.19,11.8,12.1
OPRA,2018-09-05,12.03,12.03,11.3941,11.63
OPRA,2018-09-06,11.63,11.71,11.39,11.5
OPRA,2018-09-07,11.48,12.2645,11.1,11.37
OPRA,2018-09-10,11.34,11.4338,11.2,11.29
OPRA,2018-09-11,11.26,11.36,10.98,11.09
OPRA,2018-09-12,11.11,11.11,10.94,11.02
OPRA,2018-09-13,11.11,11.6,11.03,11.45
OPRA,2018-09-14,11.43,11.64,10.97,11.05
OPRA,2018-09-17,11.15,11.15,10.5,10.8
OPRA,2018-09-18,10.76,10.81,10.09,10.14
OPRA,2018-09-19,10.14,10.2599,9.9,9.92
OPRA,2018-09-20,10.0,10.09,9.52,9.99
OPRA,2018-09-21,9.96,9.9791,9.65,9.65
OPRA,2018-09-24,9.6,9.7,9.01,9.06
OPRA,2018-09-25,9.1,9.23,8.82,8.82
OPRA,2018-09-26,8.81,9.3181,8.68,9.11
OPRA,2018-09-27,9.15,9.5,9.0,9.03
OPRA,2018-09-28,8.97,9.1104,8.9,8.99
OPRA,2018-10-01,9.09,9.2161,8.72,8.9
OPRA,2018-10-02,8.85,9.7,8.8366,9.16
OPRA,2018-10-03,9.24,9.72,9.15,9.24
OPRA,2018-10-04,9.16,9.16,8.8,8.95
