ticker,date,open,high,low,close
ORLY,1993-04-23,2.44,2.44,2.34,2.41
ORLY,1993-04-26,2.38,2.41,2.34,2.34
ORLY,1993-04-27,2.38,2.38,2.28,2.31
ORLY,1993-04-28,2.34,2.34,2.28,2.28
ORLY,1993-04-29,2.28,2.34,2.28,2.31
ORLY,1993-04-30,2.34,2.41,2.31,2.34
ORLY,1993-05-03,2.41,2.41,2.31,2.34
ORLY,1993-05-04,2.38,2.41,2.31,2.38
ORLY,1993-05-05,2.38,2.44,2.38,2.44
ORLY,1993-05-06,2.44,2.47,2.38,2.45
ORLY,1993-05-07,2.41,2.47,2.41,2.41
ORLY,1993-05-10,2.47,2.5,2.41,2.44
ORLY,1993-05-11,2.44,2.53,2.44,2.47
ORLY,1993-05-12,2.5,2.53,2.44,2.53
ORLY,1993-05-13,2.53,2.59,2.47,2.59
ORLY,1993-05-14,2.59,2.78,2.53,2.73
ORLY,1993-05-17,2.78,2.78,2.62,2.69
ORLY,1993-05-18,2.62,2.69,2.59,2.66
ORLY,1993-05-19,2.66,2.66,2.56,2.61
ORLY,1993-05-20,2.62,2.62,2.56,2.56
ORLY,1993-05-21,2.56,2.62,2.56,2.59
ORLY,1993-05-24,2.62,2.62,2.56,2.56
ORLY,1993-05-25,2.56,2.62,2.56,2.59
ORLY,1993-05-26,2.62,2.62,2.56,2.56
ORLY,1993-05-27,2.59,2.62,2.56,2.62
ORLY,1993-05-28,2.62,2.66,2.56,2.66
ORLY,1993-06-01,2.66,2.75,2.66,2.66
ORLY,1993-06-02,2.72,2.78,2.66,2.78
ORLY,1993-06-03,2.81,2.81,2.75,2.81
ORLY,1993-06-04,2.81,2.81,2.75,2.75
ORLY,1993-06-07,2.81,2.81,2.75,2.81
ORLY,1993-06-08,2.81,2.81,2.75,2.81
ORLY,1993-06-09,2.75,2.81,2.75,2.81
ORLY,1993-06-10,2.78,2.91,2.78,2.84
ORLY,1993-06-11,2.88,2.91,2.84,2.88
ORLY,1993-06-14,2.91,2.91,2.84,2.84
ORLY,1993-06-15,2.91,2.91,2.75,2.81
ORLY,1993-06-16,2.75,2.81,2.75,2.75
ORLY,1993-06-17,2.75,2.81,2.75,2.75
ORLY,1993-06-18,2.81,2.91,2.75,2.88
ORLY,1993-06-21,2.84,2.94,2.84,2.89
ORLY,1993-06-22,2.94,2.94,2.88,2.94
ORLY,1993-06-23,2.94,2.94,2.88,2.94
ORLY,1993-06-24,2.94,2.94,2.88,2.94
ORLY,1993-06-25,2.94,2.94,2.84,2.94
ORLY,1993-06-28,2.94,2.97,2.84,2.97
ORLY,1993-06-29,2.91,3.12,2.91,3.03
ORLY,1993-06-30,3.09,3.09,2.94,3.0
ORLY,1993-07-01,3.0,3.0,2.91,2.91
ORLY,1993-07-02,2.91,2.97,2.88,2.94
ORLY,1993-07-06,2.94,2.94,2.94,2.94
ORLY,1993-07-07,2.94,2.94,2.88,2.94
ORLY,1993-07-08,2.94,3.0,2.94,2.94
ORLY,1993-07-09,3.0,3.0,2.94,3.0
ORLY,1993-07-12,3.0,3.0,2.94,3.0
ORLY,1993-07-13,2.94,3.0,2.94,2.97
ORLY,1993-07-14,3.0,3.0,3.0,3.0
ORLY,1993-07-15,3.0,3.0,2.94,2.94
ORLY,1993-07-16,3.0,3.0,2.94,2.94
ORLY,1993-07-19,2.94,2.97,2.91,2.91
ORLY,1993-07-20,2.97,2.97,2.91,2.91
ORLY,1993-07-21,2.91,3.0,2.91,3.0
ORLY,1993-07-22,3.0,3.0,2.91,2.91
ORLY,1993-07-23,2.97,2.97,2.91,2.94
ORLY,1993-07-26,2.94,2.97,2.94,2.94
ORLY,1993-07-27,2.94,2.97,2.94,2.94
ORLY,1993-07-28,3.0,3.0,2.94,2.94
ORLY,1993-07-29,3.0,3.0,2.94,2.94
ORLY,1993-07-30,2.94,3.03,2.94,2.97
ORLY,1993-08-02,2.94,2.97,2.91,2.97
ORLY,1993-08-03,2.97,2.97,2.91,2.97
ORLY,1993-08-04,2.97,2.97,2.91,2.91
ORLY,1993-08-05,2.97,2.97,2.91,2.94
ORLY,1993-08-06,2.97,2.97,2.91,2.91
ORLY,1993-08-09,2.88,2.94,2.88,2.89
ORLY,1993-08-10,2.88,2.92,2.88,2.88
ORLY,1993-08-11,2.94,2.94,2.88,2.94
ORLY,1993-08-12,2.88,2.97,2.88,2.97
ORLY,1993-08-13,2.91,3.0,2.91,3.0
ORLY,1993-08-16,3.0,3.0,2.91,2.94
ORLY,1993-08-17,3.0,3.0,2.91,3.0
ORLY,1993-08-18,2.91,3.0,2.91,2.95
ORLY,1993-08-19,2.91,3.0,2.91,2.91
ORLY,1993-08-20,3.0,3.0,2.91,2.91
ORLY,1993-08-23,2.91,2.92,2.91,2.91
ORLY,1993-08-24,2.91,2.97,2.91,2.97
ORLY,1993-08-25,2.97,2.97,2.91,2.92
ORLY,1993-08-26,2.91,2.97,2.91,2.97
ORLY,1993-08-27,2.97,2.97,2.97,2.97
ORLY,1993-08-30,2.91,2.97,2.88,2.88
ORLY,1993-08-31,2.88,2.94,2.88,2.94
ORLY,1993-09-01,2.88,2.92,2.84,2.88
