ticker,date,open,high,low,close
PCT,2020-07-14,10.2,10.2,10.2,10.2
PCT,2020-07-15,10.2,10.2,10.2,10.2
PCT,2020-07-16,10.2,10.2,10.2,10.2
PCT,2020-07-17,10.2,10.2,10.2,10.2
PCT,2020-07-20,9.92,9.92,9.92,9.92
PCT,2020-07-21,9.92,9.92,9.92,9.92
PCT,2020-07-22,9.92,9.92,9.92,9.92
PCT,2020-07-23,9.94,9.94,9.92,9.92
PCT,2020-07-24,9.92,9.92,9.92,9.92
PCT,2020-07-27,9.92,9.92,9.92,9.92
PCT,2020-07-28,9.92,9.92,9.92,9.92
PCT,2020-07-29,9.92,9.92,9.92,9.92
PCT,2020-07-30,9.92,9.92,9.92,9.92
PCT,2020-07-31,9.88,9.955,9.88,9.88
PCT,2020-08-03,9.88,9.88,9.88,9.88
PCT,2020-08-04,9.88,9.88,9.88,9.88
PCT,2020-08-05,9.88,9.88,9.88,9.88
PCT,2020-08-06,9.88,9.88,9.88,9.88
PCT,2020-08-07,9.88,9.88,9.88,9.88
PCT,2020-08-10,9.88,9.88,9.88,9.88
PCT,2020-08-11,9.88,9.88,9.88,9.88
PCT,2020-08-12,9.88,9.88,9.88,9.88
PCT,2020-08-13,9.91,9.9302,9.88,9.88
PCT,2020-08-14,9.88,9.88,9.88,9.88
PCT,2020-08-17,9.88,9.88,9.88,9.88
PCT,2020-08-18,9.88,9.88,9.88,9.88
PCT,2020-08-19,9.94,9.94,9.94,9.94
PCT,2020-08-20,9.88,9.905,9.87,9.87
PCT,2020-08-21,9.84,9.84,9.84,9.84
PCT,2020-08-24,9.84,9.84,9.84,9.84
PCT,2020-08-25,9.78,9.78,9.78,9.78
PCT,2020-08-26,9.78,9.78,9.78,9.78
PCT,2020-08-27,9.78,9.78,9.78,9.78
PCT,2020-08-28,9.78,9.78,9.78,9.78
PCT,2020-08-31,9.9,9.9,9.86,9.9
PCT,2020-09-01,9.825,9.9399,9.825,9.9399
PCT,2020-09-02,9.76,9.95,9.76,9.94
PCT,2020-09-03,9.94,9.98,9.94,9.95
PCT,2020-09-04,9.96,9.96,9.9399,9.95
PCT,2020-09-08,10.0,10.0,9.93,9.93
PCT,2020-09-09,9.93,9.94,9.92,9.92
PCT,2020-09-10,9.94,9.94,9.93,9.93
PCT,2020-09-11,9.93,9.93,9.92,9.92
PCT,2020-09-14,9.96,9.96,9.96,9.96
PCT,2020-09-15,9.93,9.97,9.92,9.97
PCT,2020-09-16,9.93,9.93,9.93,9.93
PCT,2020-09-17,9.93,9.93,9.93,9.93
PCT,2020-09-18,9.93,9.93,9.93,9.93
PCT,2020-09-21,10.0,10.0,10.0,10.0
PCT,2020-09-22,9.95,9.96,9.93,9.93
PCT,2020-09-23,9.93,9.98,9.93,9.98
PCT,2020-09-24,9.95,9.95,9.95,9.95
PCT,2020-09-25,9.95,9.95,9.93,9.94
PCT,2020-09-28,9.94,9.94,9.93,9.93
PCT,2020-09-29,9.93,9.93,9.93,9.93
PCT,2020-09-30,9.95,9.95,9.95,9.95
PCT,2020-10-01,9.94,9.98,9.93,9.95
PCT,2020-10-02,9.95,9.95,9.83,9.93
PCT,2020-10-05,9.93,10.0,9.93,10.0
PCT,2020-10-06,9.96,9.96,9.89,9.89
PCT,2020-10-07,9.9,9.91,9.89,9.89
PCT,2020-10-08,9.94,9.94,9.88,9.88
PCT,2020-10-09,9.88,9.88,9.88,9.88
PCT,2020-10-12,9.98,10.05,9.89,9.89
PCT,2020-10-13,9.89,9.89,9.89,9.89
PCT,2020-10-14,10.08,10.09,10.08,10.09
PCT,2020-10-15,10.06,10.08,10.06,10.08
PCT,2020-10-16,10.08,10.08,10.08,10.08
PCT,2020-10-19,10.08,10.08,10.08,10.08
PCT,2020-10-20,10.02,10.02,9.88,9.88
PCT,2020-10-21,9.88,9.89,9.88,9.88
PCT,2020-10-22,9.88,9.88,9.88,9.88
PCT,2020-10-23,9.95,9.95,9.95,9.95
PCT,2020-10-26,9.95,9.95,9.92,9.92
PCT,2020-10-27,9.92,9.92,9.92,9.92
PCT,2020-10-28,9.9,9.91,9.9,9.9
PCT,2020-10-29,9.85,9.95,9.8,9.88
PCT,2020-10-30,9.88,10.2,9.88,9.88
PCT,2020-11-02,10.07,10.08,9.9,9.9692
PCT,2020-11-03,9.9396,10.0,9.9396,10.0
PCT,2020-11-04,10.0,10.05,10.0,10.03
PCT,2020-11-05,10.08,10.145,10.04,10.08
PCT,2020-11-06,10.02,10.1,10.02,10.09
PCT,2020-11-09,9.99,10.0706,9.99,10.0706
PCT,2020-11-10,10.07,10.07,10.07,10.07
PCT,2020-11-11,10.07,10.07,10.0,10.0
PCT,2020-11-12,10.07,10.35,10.06,10.125
PCT,2020-11-13,10.1,10.1,10.05,10.1
PCT,2020-11-16,10.48,10.55,10.25,10.5
