ticker,date,open,high,low,close
PDFS,2001-07-31,14.75,16.2,14.65,15.83
PDFS,2001-08-01,15.66,16.65,15.57,16.62
PDFS,2001-08-02,16.75,17.04,15.34,15.85
PDFS,2001-08-03,15.36,15.36,14.6,15.11
PDFS,2001-08-06,14.9,15.7,14.8,15.06
PDFS,2001-08-07,15.19,15.25,14.9,14.95
PDFS,2001-08-08,15.04,15.12,14.9,15.05
PDFS,2001-08-09,15.02,15.05,14.9,14.95
PDFS,2001-08-10,14.96,14.99,14.11,14.2
PDFS,2001-08-13,14.35,14.62,14.2,14.61
PDFS,2001-08-14,14.61,16.46,14.6,16.15
PDFS,2001-08-15,16.1,16.25,15.3,15.35
PDFS,2001-08-16,15.3,15.3,14.55,14.55
PDFS,2001-08-17,14.55,14.6,13.82,14.14
PDFS,2001-08-20,14.01,14.01,13.85,13.95
PDFS,2001-08-21,14.04,14.35,14.0,14.3
PDFS,2001-08-22,14.3,14.34,14.1,14.27
PDFS,2001-08-23,14.1,17.42,14.03,14.58
PDFS,2001-08-24,14.61,15.04,13.9,14.05
PDFS,2001-08-27,14.0,14.55,13.9,14.4
PDFS,2001-08-28,14.57,15.0,13.86,14.0
PDFS,2001-08-29,14.25,14.25,13.9,14.25
PDFS,2001-08-30,14.06,14.35,13.9,14.3
PDFS,2001-08-31,14.21,15.0,14.2,14.4
PDFS,2001-09-04,14.5,14.65,14.15,14.15
PDFS,2001-09-05,14.5,14.6,14.25,14.26
PDFS,2001-09-06,14.2,14.4,13.95,14.1
PDFS,2001-09-07,13.95,14.15,13.95,13.98
PDFS,2001-09-10,13.96,14.35,13.96,14.35
PDFS,2001-09-17,14.01,14.11,13.71,13.75
PDFS,2001-09-18,13.71,13.85,12.75,12.75
PDFS,2001-09-19,12.72,12.75,10.15,11.09
PDFS,2001-09-20,11.1,11.66,10.8,11.66
PDFS,2001-09-21,11.07,11.25,10.1,10.5
PDFS,2001-09-24,10.6,10.94,10.5,10.66
PDFS,2001-09-25,10.61,11.05,10.61,10.75
PDFS,2001-09-26,10.8,10.86,10.45,10.8
PDFS,2001-09-27,10.65,10.66,9.65,9.9
PDFS,2001-09-28,9.9,10.3,9.85,10.25
PDFS,2001-10-01,10.25,10.25,10.0,10.0
