ticker,date,open,high,low,close
PMTS,2015-10-08,50.0,50.0,50.0,50.0
PMTS,2015-10-09,55.0,67.0,55.0,60.85
PMTS,2015-10-12,65.25,67.5,63.44,64.35
PMTS,2015-10-13,67.25,67.25,61.75,62.0
PMTS,2015-10-14,63.65,64.2,61.25,62.65
PMTS,2015-10-15,63.0,66.45,62.5,63.7
PMTS,2015-10-16,64.65,64.95,62.3,62.65
PMTS,2015-10-19,62.05,62.5,59.95,60.1
PMTS,2015-10-20,60.05,61.3,57.0,57.3
PMTS,2015-10-21,55.9,57.0,52.45,55.3
PMTS,2015-10-22,55.6,55.6,52.7,53.1
PMTS,2015-10-23,53.1,54.32,52.45,52.65
PMTS,2015-10-26,53.0,54.35,52.65,54.35
PMTS,2015-10-27,55.0,56.45,53.85,54.7
PMTS,2015-10-28,54.55,56.15,54.3,56.1
PMTS,2015-10-29,55.55,56.51,54.41,55.25
PMTS,2015-10-30,55.5,55.6,54.9,55.5
PMTS,2015-11-02,55.0,55.6,54.65,55.15
PMTS,2015-11-03,56.6,58.55,55.58,57.05
PMTS,2015-11-04,57.5,58.65,57.05,58.5
PMTS,2015-11-05,59.85,61.15,59.0,60.65
PMTS,2015-11-06,61.7,61.7,58.3,59.5
PMTS,2015-11-09,61.5,61.5,58.55,59.35
PMTS,2015-11-10,58.8,62.0,58.62,60.55
PMTS,2015-11-11,62.7,62.9,60.8,61.5
PMTS,2015-11-12,62.5,62.5,50.25,58.7
PMTS,2015-11-13,60.0,60.0,48.3,54.55
PMTS,2015-11-16,53.75,54.83,52.6,53.75
PMTS,2015-11-17,52.6,53.2,50.1,51.4
PMTS,2015-11-18,51.4,51.85,50.0,50.5
PMTS,2015-11-19,50.3,50.8,42.1,50.5
PMTS,2015-11-20,50.5,53.6,47.86,53.55
PMTS,2015-11-23,53.75,54.95,51.65,52.1
PMTS,2015-11-24,51.55,53.7,48.9,49.7
PMTS,2015-11-25,49.25,50.7,47.65,48.5
PMTS,2015-11-27,48.7,49.95,47.6,48.3
PMTS,2015-11-30,47.8,50.45,47.8,48.55
PMTS,2015-12-01,48.85,48.85,45.8,47.7
PMTS,2015-12-02,47.3,50.1,47.05,49.7
PMTS,2015-12-03,49.75,49.75,47.5,48.9
PMTS,2015-12-04,49.2,50.25,49.0,49.75
PMTS,2015-12-07,50.55,52.01,49.75,49.85
PMTS,2015-12-08,50.2,50.5,49.8,50.0
PMTS,2015-12-09,50.25,51.0,49.75,49.9
PMTS,2015-12-10,51.0,51.0,49.75,49.95
PMTS,2015-12-11,50.65,51.75,50.1,50.85
PMTS,2015-12-14,51.05,51.45,49.75,49.85
PMTS,2015-12-15,49.75,51.4,49.58,49.9
PMTS,2015-12-16,50.15,51.15,48.6,48.75
PMTS,2015-12-17,48.65,50.15,48.53,49.7
PMTS,2015-12-18,49.85,52.9,48.6,48.6
PMTS,2015-12-21,48.9,50.9,47.55,50.35
PMTS,2015-12-22,51.7,51.7,49.55,50.25
PMTS,2015-12-23,49.9,51.0,49.65,50.45
PMTS,2015-12-24,49.85,53.1,49.7,53.1
PMTS,2015-12-28,52.1,52.95,50.3,52.5
PMTS,2015-12-29,52.25,52.38,50.8,51.85
PMTS,2015-12-30,51.6,53.05,51.0,52.6
PMTS,2015-12-31,52.35,54.45,48.75,53.3
PMTS,2016-01-04,51.95,54.5,51.5,54.5
PMTS,2016-01-05,53.6,55.5,53.6,55.4
PMTS,2016-01-06,54.15,55.33,53.35,53.9
PMTS,2016-01-07,52.5,53.83,50.5,51.5
PMTS,2016-01-08,50.95,52.55,50.8,51.4
PMTS,2016-01-11,52.65,52.65,47.95,51.85
PMTS,2016-01-12,51.15,51.9,48.4,49.4
PMTS,2016-01-13,48.75,49.5,46.35,47.25
PMTS,2016-01-14,47.0,48.5,45.6,47.1
PMTS,2016-01-15,46.15,46.75,43.47,44.85
PMTS,2016-01-19,44.85,45.25,43.4,44.7
PMTS,2016-01-20,45.0,45.0,40.66,44.4
PMTS,2016-01-21,45.5,45.58,38.05,38.5
PMTS,2016-01-22,40.2,43.5,37.6,39.0
PMTS,2016-01-25,37.95,39.75,36.72,39.35
PMTS,2016-01-26,38.85,42.25,38.3,41.4
PMTS,2016-01-27,40.5,42.5,40.5,42.35
PMTS,2016-01-28,42.15,45.25,41.4,43.1
PMTS,2016-01-29,43.45,43.95,40.8,42.05
PMTS,2016-02-01,41.1,43.4,40.4,42.1
PMTS,2016-02-02,42.0,43.95,40.5,40.8
PMTS,2016-02-03,40.95,41.25,39.3,40.25
PMTS,2016-02-04,40.85,41.1,38.95,39.55
PMTS,2016-02-05,39.0,40.65,38.0,39.5
PMTS,2016-02-08,39.1,41.15,39.0,40.65
PMTS,2016-02-09,40.1,41.5,39.75,40.6
PMTS,2016-02-10,41.4,41.4,38.8,39.4
PMTS,2016-02-11,38.35,40.9,37.55,38.95
PMTS,2016-02-12,39.0,39.05,38.3,39.05
PMTS,2016-02-16,40.0,40.0,38.85,39.55
PMTS,2016-02-17,39.3,40.0,38.95,40.0
PMTS,2016-02-18,39.15,40.0,38.65,38.8
PMTS,2016-02-19,38.8,39.95,38.15,39.25
PMTS,2016-02-22,39.05,40.1,38.35,38.55
PMTS,2016-02-23,38.1,40.75,38.08,39.45
PMTS,2016-02-24,38.95,39.55,36.8,37.9
PMTS,2016-02-25,38.0,40.0,36.9,40.0
PMTS,2016-02-26,39.95,40.0,39.05,39.6
PMTS,2016-02-29,39.5,40.0,39.15,39.55
PMTS,2016-03-01,39.75,39.75,38.95,39.45
PMTS,2016-03-02,39.25,39.75,39.15,39.55
PMTS,2016-03-03,39.8,41.75,39.25,40.15
PMTS,2016-03-04,40.5,42.5,39.87,40.15
PMTS,2016-03-07,39.85,42.1,39.85,40.5
PMTS,2016-03-08,40.35,40.97,38.9,39.85
PMTS,2016-03-09,40.15,40.9,39.4,39.5
PMTS,2016-03-10,39.35,40.44,39.0,39.15
PMTS,2016-03-11,39.4,40.2,37.75,38.95
PMTS,2016-03-14,39.55,41.12,38.8,39.9
PMTS,2016-03-15,40.05,40.05,39.15,39.35
PMTS,2016-03-16,39.5,40.2,38.95,39.5
PMTS,2016-03-17,39.8,40.25,38.6,40.0
