ticker,date,open,high,low,close
PN,2025-03-04,3.69,4.45,3.66,4.03
PN,2025-03-05,4.16,4.16,3.85,3.9
PN,2025-03-06,4.09,4.09,3.8,3.81
PN,2025-03-07,3.94,3.94,3.65,3.79
PN,2025-03-10,3.7,3.97,3.69,3.895
PN,2025-03-11,3.8,3.9,3.63,3.74
PN,2025-03-12,3.64,3.75,3.64,3.75
PN,2025-03-13,3.77,4.02,3.7301,3.77
PN,2025-03-14,4.0,4.09,3.62,3.6206
PN,2025-03-17,3.89,3.915,3.7,3.85
PN,2025-03-18,3.975,3.975,3.725,3.7613
PN,2025-03-19,3.73,3.99,3.73,3.88
PN,2025-03-20,3.75,3.84,3.4067,3.75
PN,2025-03-21,3.89,3.9653,3.8,3.91
PN,2025-03-24,3.89,3.89,3.81,3.81
PN,2025-03-25,3.75,3.95,3.6501,3.7
PN,2025-03-26,3.83,3.97,3.78,3.96
PN,2025-03-27,4.0,4.02,3.05,3.05
PN,2025-03-28,3.25,3.39,2.7,3.27
PN,2025-03-31,3.2799,3.7617,3.27,3.4263
PN,2025-04-01,3.72,3.91,3.31,3.91
PN,2025-04-02,3.65,3.8,3.51,3.54
PN,2025-04-03,3.53,3.84,3.4,3.43
PN,2025-04-04,3.1,3.1,3.1,3.1
PN,2025-04-07,2.94,3.1,2.94,3.1
PN,2025-04-08,3.02,3.27,3.02,3.0423
PN,2025-04-09,3.0765,3.25,2.82,3.16
PN,2025-04-10,3.05,3.05,3.05,3.05
PN,2025-04-11,3.03,3.03,2.92,3.03
PN,2025-04-14,2.74,3.17,2.74,2.91
PN,2025-04-15,2.85,3.0,2.6,2.73
PN,2025-04-16,2.5,2.8,2.4,2.52
PN,2025-04-17,2.5553,2.96,2.4999,2.55
PN,2025-04-21,2.4339,2.6456,2.4339,2.59
PN,2025-04-22,2.6,2.6,2.52,2.52
PN,2025-04-23,2.5,2.5,2.5,2.5
PN,2025-04-24,2.51,2.6,2.51,2.55
PN,2025-04-25,2.7,2.7,2.5,2.52
PN,2025-04-28,2.5,2.59,2.41,2.43
PN,2025-04-29,2.42,2.76,2.41,2.41
PN,2025-04-30,2.425,2.425,2.4,2.425
PN,2025-05-01,2.5997,2.5997,2.44,2.44
PN,2025-05-02,2.49,2.59,2.49,2.57
PN,2025-05-05,2.59,2.61,2.5001,2.5001
PN,2025-05-06,2.545,2.545,2.545,2.545
PN,2025-05-07,2.51,2.548,2.47,2.48
PN,2025-05-08,2.53,2.615,2.46,2.48
PN,2025-05-09,2.48,2.5,2.48,2.5
PN,2025-05-12,2.46,2.46,2.44,2.46
PN,2025-05-13,2.41,2.63,2.41,2.51
PN,2025-05-14,2.48,2.5,2.44,2.45
PN,2025-05-15,2.5,2.5,2.41,2.4987
PN,2025-05-16,2.4809,2.5633,2.47,2.5
PN,2025-05-19,2.46,2.64,2.46,2.64
PN,2025-05-20,2.68,2.8068,2.68,2.7
PN,2025-05-21,2.7,2.88,2.6944,2.87
PN,2025-05-22,2.95,2.95,2.6156,2.81
PN,2025-05-23,2.8201,2.9562,2.8201,2.84
PN,2025-05-27,2.96,2.96,2.51,2.73
PN,2025-05-28,2.72,2.95,2.72,2.83
PN,2025-05-29,2.9389,2.94,2.745,2.9
PN,2025-05-30,2.988,2.988,2.8602,2.8602
PN,2025-06-02,2.76,2.88,2.63,2.72
PN,2025-06-03,2.66,2.93,2.66,2.7
PN,2025-06-04,2.81,2.83,2.71,2.71
PN,2025-06-05,2.78,2.99,2.78,2.98
PN,2025-06-06,2.99,2.99,2.86,2.86
PN,2025-06-09,2.45,2.8118,2.45,2.81
PN,2025-06-10,2.86,2.97,2.54,2.76
PN,2025-06-11,2.79,2.79,2.53,2.53
PN,2025-06-12,2.49,2.93,2.49,2.81
PN,2025-06-13,2.82,2.82,2.6501,2.66
PN,2025-06-16,2.69,2.9889,2.69,2.865
PN,2025-06-17,2.53,2.91,2.53,2.83
PN,2025-06-18,2.88,2.88,2.7,2.77
PN,2025-06-20,2.76,2.99,2.62,2.8091
PN,2025-06-23,2.83,2.895,2.81,2.895
PN,2025-06-24,2.85,2.86,2.688,2.688
PN,2025-06-25,2.48,2.87,2.48,2.74
PN,2025-06-26,2.54,2.89,2.54,2.59
PN,2025-06-27,2.69,2.845,2.55,2.59
PN,2025-06-30,2.57,2.79,2.57,2.767
PN,2025-07-01,2.775,3.1,2.41,2.6
PN,2025-07-02,2.71,2.87,2.35,2.372
PN,2025-07-03,2.3,2.76,2.3,2.35
PN,2025-07-07,2.36,2.6169,2.23,2.39
PN,2025-07-08,2.32,2.67,2.25,2.49
PN,2025-07-09,2.33,2.63,2.32,2.4
PN,2025-07-10,2.4,2.7,2.4,2.52
PN,2025-07-11,2.41,2.41,2.41,2.41
PN,2025-07-14,2.41,2.72,2.41,2.53
PN,2025-07-15,2.53,2.5405,2.15,2.209
PN,2025-07-16,2.17,2.315,2.11,2.25
PN,2025-07-17,2.3,2.44,2.27,2.37
PN,2025-07-18,2.41,2.57,2.41,2.44
PN,2025-07-21,2.25,2.98,2.19,2.86
PN,2025-07-22,3.0391,3.215,2.975,3.1
PN,2025-07-23,3.2,3.2,3.0,3.13
PN,2025-07-24,3.01,3.35,3.0,3.0
PN,2025-07-25,3.0,3.37,2.99,3.32
PN,2025-07-28,3.36,4.29,3.35,4.1
PN,2025-07-29,4.37,4.37,3.54,3.82
PN,2025-07-30,3.85,4.19,3.35,3.7
PN,2025-07-31,3.65,3.84,3.53,3.585
PN,2025-08-01,3.57,3.57,3.23,3.28
PN,2025-08-04,3.2,3.555,2.9601,3.4
