ticker,date,open,high,low,close
PRLD,2020-09-25,25.23,29.49,23.6931,26.2
PRLD,2020-09-28,25.36,31.44,25.25,27.79
PRLD,2020-09-29,29.09,30.02,26.03,28.84
PRLD,2020-09-30,28.4,30.31,27.2,30.13
PRLD,2020-10-01,31.45,34.88,30.51,33.5
PRLD,2020-10-02,32.93,36.3273,31.4661,33.01
PRLD,2020-10-05,33.36,35.99,32.3301,34.61
PRLD,2020-10-06,35.0,41.0,33.97,39.53
PRLD,2020-10-07,39.88,50.19,39.52,45.18
PRLD,2020-10-08,46.35,47.2928,42.0,43.23
PRLD,2020-10-09,42.92,48.7699,42.19,43.59
PRLD,2020-10-12,43.65,46.3352,43.63,44.17
PRLD,2020-10-13,46.15,46.15,38.87,38.94
PRLD,2020-10-14,39.92,41.2199,33.825,35.01
PRLD,2020-10-15,34.45,36.55,33.03,34.01
PRLD,2020-10-16,34.05,34.87,31.0,31.0
PRLD,2020-10-19,31.54,34.06,31.54,32.69
PRLD,2020-10-20,32.04,33.45,29.02,29.02
PRLD,2020-10-21,29.19,30.76,28.81,28.81
PRLD,2020-10-22,28.88,30.9999,27.53,29.62
PRLD,2020-10-23,29.86,31.7199,29.7301,30.06
PRLD,2020-10-26,30.1,32.795,30.0301,32.35
PRLD,2020-10-27,32.34,37.99,31.6,36.75
PRLD,2020-10-28,36.1,37.65,33.844,36.0
PRLD,2020-10-29,36.07,36.55,33.905,34.78
PRLD,2020-10-30,34.78,35.81,33.87,35.23
PRLD,2020-11-02,36.76,36.76,33.88,34.79
PRLD,2020-11-03,34.93,36.335,34.1429,36.06
PRLD,2020-11-04,36.41,41.98,36.095,41.27
PRLD,2020-11-05,41.32,49.81,40.5525,46.02
PRLD,2020-11-06,45.01,45.2669,41.16,43.87
PRLD,2020-11-09,44.32,46.48,41.48,41.5
PRLD,2020-11-10,40.5,42.1699,37.84,39.53
PRLD,2020-11-11,39.16,41.89,38.69,40.1
PRLD,2020-11-12,39.65,43.13,39.65,42.53
PRLD,2020-11-13,42.98,48.2999,42.0,47.83
PRLD,2020-11-16,48.0,48.75,45.7402,47.84
PRLD,2020-11-17,47.38,52.63,47.01,51.7
PRLD,2020-11-18,51.7,57.6579,51.7,52.9
PRLD,2020-11-19,52.68,57.67,52.68,54.95
PRLD,2020-11-20,53.38,54.6739,50.88,51.71
PRLD,2020-11-23,52.16,54.1154,47.96,48.64
PRLD,2020-11-24,48.91,51.325,46.3,46.91
PRLD,2020-11-25,46.47,48.4522,44.91,45.35
PRLD,2020-11-27,45.39,48.095,44.6097,47.67
PRLD,2020-11-30,48.07,54.27,47.42,51.47
PRLD,2020-12-01,53.29,54.634,50.74,50.97
PRLD,2020-12-02,50.9267,51.925,49.19,49.96
PRLD,2020-12-03,49.99,52.99,49.0793,50.56
PRLD,2020-12-04,50.81,53.88,50.7399,51.71
PRLD,2020-12-07,50.58,52.9962,49.63,49.97
PRLD,2020-12-08,50.0,51.66,49.27,49.5
PRLD,2020-12-09,49.61,51.925,49.01,50.07
PRLD,2020-12-10,49.87,63.5,48.376,59.5
PRLD,2020-12-11,59.13,64.2,56.83,62.14
PRLD,2020-12-14,63.2,75.0,62.37,72.67
PRLD,2020-12-15,73.2,73.645,66.91,69.92
PRLD,2020-12-16,70.22,72.64,69.31,71.84
PRLD,2020-12-17,72.56,76.97,71.33,76.46
PRLD,2020-12-18,79.05,82.64,73.46,76.1
PRLD,2020-12-21,75.5,78.21,70.02,77.8
PRLD,2020-12-22,78.85,83.39,76.27,82.72
PRLD,2020-12-23,82.38,85.78,80.44,83.47
PRLD,2020-12-24,82.3,89.06,81.99,88.94
PRLD,2020-12-28,88.56,88.65,81.83,83.81
PRLD,2020-12-29,82.39,84.845,79.1906,84.14
PRLD,2020-12-30,84.15,84.89,74.95,75.43
PRLD,2020-12-31,74.24,75.7,71.26,71.55
PRLD,2021-01-04,71.51,73.41,66.2,67.46
PRLD,2021-01-05,65.47,65.66,58.15,59.81
PRLD,2021-01-06,59.25,63.56,53.77,62.82
PRLD,2021-01-07,64.35,71.39,64.115,66.96
PRLD,2021-01-08,66.42,71.49,65.995,66.46
PRLD,2021-01-11,66.09,69.05,62.72,68.22
PRLD,2021-01-12,66.73,72.095,66.0,69.76
PRLD,2021-01-13,69.77,74.24,68.32,70.65
PRLD,2021-01-14,70.66,75.67,70.66,75.17
PRLD,2021-01-15,74.94,76.75,72.035,74.45
PRLD,2021-01-19,74.87,76.2,71.81,74.55
PRLD,2021-01-20,74.04,76.19,72.64,75.68
PRLD,2021-01-21,75.64,79.9699,74.12,76.54
PRLD,2021-01-22,75.64,77.54,71.13,74.43
PRLD,2021-01-25,74.01,77.08,71.855,74.99
PRLD,2021-01-26,75.08,75.08,69.0,69.93
PRLD,2021-01-27,68.25,70.94,62.6,64.68
PRLD,2021-01-28,65.8,69.4499,64.28,66.42
PRLD,2021-01-29,66.95,67.44,62.4,64.95
PRLD,2021-02-01,65.81,69.99,64.575,69.48
PRLD,2021-02-02,70.22,74.51,69.01,74.49
PRLD,2021-02-03,74.92,75.97,72.3256,75.62
PRLD,2021-02-04,75.21,79.61,75.21,79.6
PRLD,2021-02-05,80.0,85.0,79.3,84.21
PRLD,2021-02-08,84.5,86.0,82.005,85.78
PRLD,2021-02-09,85.06,91.79,83.975,90.03
PRLD,2021-02-10,90.06,95.375,90.06,91.68
PRLD,2021-02-11,91.46,91.46,85.26,88.89
PRLD,2021-02-12,87.59,90.79,86.44,88.98
PRLD,2021-02-16,88.86,90.8,85.21,86.05
PRLD,2021-02-17,84.4,86.69,82.12,84.36
PRLD,2021-02-18,82.63,85.05,75.39,76.27
PRLD,2021-02-19,76.37,78.91,74.364,76.96
PRLD,2021-02-22,76.62,76.67,71.19,72.78
PRLD,2021-02-23,71.45,71.61,66.41,68.11
PRLD,2021-02-24,67.94,71.0,66.14,66.72
PRLD,2021-02-25,66.21,70.15,62.38,64.33
PRLD,2021-02-26,65.5,69.6999,61.46,62.33
PRLD,2021-03-01,63.18,68.315,63.18,67.69
PRLD,2021-03-02,67.62,71.82,62.435,62.53
PRLD,2021-03-03,62.19,62.22,58.105,59.53
PRLD,2021-03-04,59.5,59.5,53.12,55.8
PRLD,2021-03-05,55.8,57.2154,50.4312,56.79
PRLD,2021-03-08,56.48,58.6995,52.45,52.88
PRLD,2021-03-09,55.19,60.71,54.62,56.06
PRLD,2021-03-10,57.96,59.32,56.14,57.96
PRLD,2021-03-11,60.11,60.33,56.81,58.7
PRLD,2021-03-12,58.99,58.99,55.565,57.38
PRLD,2021-03-15,57.86,59.64,55.9,57.81
PRLD,2021-03-16,60.36,62.75,55.34,55.85
PRLD,2021-03-17,58.66,59.16,53.61,56.32
PRLD,2021-03-18,56.05,57.29,52.05,52.61
PRLD,2021-03-19,52.99,60.39,52.52,54.67
PRLD,2021-03-22,55.59,59.25,52.585,58.39
PRLD,2021-03-23,58.39,60.03,54.77,55.32
PRLD,2021-03-24,55.0,56.03,49.07,49.44
PRLD,2021-03-25,48.35,48.35,43.59,45.98
PRLD,2021-03-26,46.24,46.24,41.12,42.59
PRLD,2021-03-29,42.0,43.02,38.04,39.31
PRLD,2021-03-30,39.12,40.23,37.01,39.27
PRLD,2021-03-31,39.88,43.64,39.55,43.33
PRLD,2021-04-01,43.98,45.42,40.17,41.25
PRLD,2021-04-05,41.97,42.69,40.88,41.81
PRLD,2021-04-06,41.66,41.66,39.19,39.25
PRLD,2021-04-07,38.96,40.36,38.26,39.25
PRLD,2021-04-08,39.59,40.15,36.36,37.39
PRLD,2021-04-09,36.99,36.99,34.69,35.26
PRLD,2021-04-12,34.96,36.0475,32.51,32.7
PRLD,2021-04-13,32.95,33.98,31.2,32.47
PRLD,2021-04-14,32.61,37.665,32.37,37.05
PRLD,2021-04-15,37.56,37.7747,33.51,33.91
PRLD,2021-04-16,33.79,33.91,32.02,32.24
PRLD,2021-04-19,31.81,32.08,30.22,31.48
PRLD,2021-04-20,31.41,33.62,30.86,33.22
PRLD,2021-04-21,33.0,36.35,31.34,35.5
PRLD,2021-04-22,35.33,37.96,34.2019,37.3
PRLD,2021-04-23,37.41,37.59,33.87,34.59
PRLD,2021-04-26,36.36,37.02,35.0,36.2
PRLD,2021-04-27,36.58,36.58,33.9,35.55
PRLD,2021-04-28,35.39,40.04,35.0,39.48
PRLD,2021-04-29,39.63,41.98,38.64,40.46
PRLD,2021-04-30,39.44,41.88,39.21,41.44
PRLD,2021-05-03,41.07,41.58,39.8,40.48
PRLD,2021-05-04,40.43,40.43,38.635,39.85
PRLD,2021-05-05,40.08,42.15,38.79,40.5
PRLD,2021-05-06,38.4815,42.18,38.4815,40.8
PRLD,2021-05-07,40.77,42.1958,39.75,41.61
PRLD,2021-05-10,41.18,42.28,39.51,40.7
PRLD,2021-05-11,38.75,43.0,38.0001,41.18
PRLD,2021-05-12,40.56,45.33,39.65,44.3
PRLD,2021-05-13,44.65,44.935,38.0197,39.15
PRLD,2021-05-14,40.09,42.61,39.73,42.04
PRLD,2021-05-17,41.5,43.79,40.91,41.78
PRLD,2021-05-18,41.85,42.58,38.26,39.39
PRLD,2021-05-19,38.53,39.62,35.68,36.09
PRLD,2021-05-20,36.29,38.79,36.09,38.79
PRLD,2021-05-21,39.35,39.9,34.525,38.72
PRLD,2021-05-24,39.1,39.1,35.86,36.03
PRLD,2021-05-25,36.73,37.05,32.6,32.91
PRLD,2021-05-26,33.0,34.58,32.74,33.0
PRLD,2021-05-27,33.15,33.47,32.33,33.0
PRLD,2021-05-28,33.03,35.54,33.03,34.76
PRLD,2021-06-01,34.71,35.23,32.86,32.99
PRLD,2021-06-02,32.81,32.81,31.26,31.8
PRLD,2021-06-03,31.62,31.89,30.51,31.03
PRLD,2021-06-04,31.38,31.83,29.57,29.96
PRLD,2021-06-07,30.26,33.36,29.97,32.4
PRLD,2021-06-08,32.76,33.3047,30.23,31.3
PRLD,2021-06-09,31.43,32.96,30.16,30.72
PRLD,2021-06-10,30.76,32.18,30.09,32.04
PRLD,2021-06-11,31.92,32.48,30.63,31.2
PRLD,2021-06-14,31.2,33.95,31.2,33.78
PRLD,2021-06-15,33.42,34.2,30.8,32.23
PRLD,2021-06-16,32.37,33.72,32.2,33.39
