ticker,date,open,high,low,close
PROK,2021-06-30,10.05,10.14,9.99,10.11
PROK,2021-07-01,10.1,10.1299,10.01,10.04
PROK,2021-07-02,10.1,10.1,10.04,10.05
PROK,2021-07-06,10.1,10.115,10.03,10.045
PROK,2021-07-07,10.05,10.05,9.97,9.97
PROK,2021-07-08,9.9,10.0,9.9,9.97
PROK,2021-07-09,10.0,10.0,9.96,9.97
PROK,2021-07-12,10.0,10.0,9.985,9.9882
PROK,2021-07-13,9.92,10.0,9.92,9.98
PROK,2021-07-14,9.96,10.04,9.96,10.01
PROK,2021-07-15,10.01,10.03,10.0,10.01
PROK,2021-07-16,9.99,10.0,9.9,9.9204
PROK,2021-07-19,9.93,9.94,9.87,9.87
PROK,2021-07-20,9.88,9.95,9.88,9.9
PROK,2021-07-21,9.93,9.9399,9.91,9.91
PROK,2021-07-22,9.8821,9.92,9.8801,9.92
PROK,2021-07-23,9.9475,9.9599,9.8849,9.94
PROK,2021-07-26,9.93,9.93,9.84,9.86
PROK,2021-07-27,9.87,9.87,9.8,9.85
PROK,2021-07-28,9.87,9.8763,9.8101,9.85
PROK,2021-07-29,9.86,9.86,9.84,9.84
PROK,2021-07-30,9.86,9.88,9.818,9.85
PROK,2021-08-02,9.84,9.94,9.84,9.885
PROK,2021-08-03,9.85,9.89,9.85,9.89
PROK,2021-08-04,9.858,9.89,9.84,9.88
PROK,2021-08-05,9.88,9.89,9.84,9.85
PROK,2021-08-06,9.85,9.86,9.81,9.84
PROK,2021-08-09,9.86,9.86,9.75,9.85
PROK,2021-08-10,9.85,9.85,9.79,9.84
PROK,2021-08-11,9.8133,9.85,9.78,9.82
PROK,2021-08-12,9.8116,9.828,9.8,9.8111
PROK,2021-08-13,9.81,9.84,9.75,9.825
PROK,2021-08-16,9.83,9.85,9.82,9.85
PROK,2021-08-17,9.81,9.84,9.81,9.8283
PROK,2021-08-18,9.84,9.84,9.82,9.82
PROK,2021-08-19,9.82,9.82,9.75,9.81
PROK,2021-08-20,9.81,9.81,9.71,9.77
PROK,2021-08-23,9.75,9.81,9.75,9.79
PROK,2021-08-24,9.79,9.8,9.7121,9.8
PROK,2021-08-25,9.75,9.75,9.71,9.72
PROK,2021-08-26,9.75,9.75,9.72,9.74
PROK,2021-08-27,9.75,9.75,9.7046,9.72
PROK,2021-08-30,9.721,9.772,9.7,9.71
PROK,2021-08-31,9.75,9.76,9.71,9.75
PROK,2021-09-01,9.75,9.83,9.72,9.82
PROK,2021-09-02,9.82,9.82,9.82,9.82
PROK,2021-09-03,9.77,9.8,9.75,9.75
PROK,2021-09-07,9.8,9.8,9.74,9.74
PROK,2021-09-08,9.7201,9.78,9.72,9.78
PROK,2021-09-09,9.81,9.81,9.7487,9.79
PROK,2021-09-10,9.785,9.79,9.78,9.79
PROK,2021-09-13,9.7879,9.8,9.77,9.8
PROK,2021-09-14,9.74,9.8,9.74,9.75
PROK,2021-09-15,9.75,9.82,9.75,9.82
PROK,2021-09-16,9.82,9.82,9.77,9.8
PROK,2021-09-17,9.81,9.81,9.75,9.8
PROK,2021-09-20,9.83,9.83,9.77,9.8
PROK,2021-09-21,9.82,9.82,9.76,9.79
PROK,2021-09-22,9.79,9.81,9.76,9.8
PROK,2021-09-23,9.81,9.81,9.77,9.8
PROK,2021-09-24,9.77,9.8,9.75,9.78
PROK,2021-09-27,9.75,9.83,9.75,9.82
PROK,2021-09-28,9.8,9.8,9.76,9.76
PROK,2021-09-29,9.8,9.87,9.7,9.77
PROK,2021-09-30,9.8,9.85,9.76,9.8
PROK,2021-10-01,9.8,9.87,9.8,9.87
PROK,2021-10-04,9.86,9.87,9.82,9.87
PROK,2021-10-05,9.85,9.87,9.8,9.85
PROK,2021-10-06,9.8592,9.86,9.8,9.86
PROK,2021-10-07,9.85,9.87,9.8,9.87
PROK,2021-10-08,9.84,9.87,9.7977,9.82
PROK,2021-10-11,9.86,9.86,9.81,9.85
PROK,2021-10-12,9.83,9.85,9.8,9.84
PROK,2021-10-13,9.84,9.86,9.81,9.85
PROK,2021-10-14,9.87,9.87,9.85,9.87
PROK,2021-10-15,9.87,9.87,9.85,9.87
PROK,2021-10-18,9.83,9.87,9.82,9.82
PROK,2021-10-19,9.83,9.87,9.82,9.84
PROK,2021-10-20,9.86,9.87,9.86,9.86
PROK,2021-10-21,9.85,9.87,9.82,9.83
PROK,2021-10-22,9.85,9.87,9.84,9.87
PROK,2021-10-25,9.87,9.89,9.83,9.85
PROK,2021-10-26,9.89,9.92,9.85,9.9
PROK,2021-10-27,9.905,9.91,9.87,9.9
PROK,2021-10-28,9.9,9.92,9.88,9.92
PROK,2021-10-29,9.85,9.92,9.85,9.92
PROK,2021-11-01,9.89,9.97,9.89,9.96
PROK,2021-11-02,9.93,9.97,9.93,9.97
PROK,2021-11-03,9.96,9.97,9.95,9.96
PROK,2021-11-04,9.91,9.97,9.91,9.97
PROK,2021-11-05,9.96,9.9676,9.95,9.95
PROK,2021-11-08,9.96,9.97,9.8989,9.9
PROK,2021-11-09,9.9,9.95,9.9,9.94
PROK,2021-11-10,9.91,9.93,9.9,9.92
PROK,2021-11-11,9.9,9.93,9.9,9.93
PROK,2021-11-12,9.9039,9.93,9.903,9.91
PROK,2021-11-15,9.89,9.955,9.89,9.92
PROK,2021-11-16,9.87,9.97,9.87,9.9
PROK,2021-11-17,9.9,9.9392,9.875,9.9
PROK,2021-11-18,9.9066,9.92,9.9,9.9
PROK,2021-11-19,9.91,9.9198,9.91,9.9198
PROK,2021-11-22,9.91,9.91,9.9,9.9
