ticker,date,open,high,low,close
PRQR,2014-09-18,19.9,21.87,14.2,14.73
PRQR,2014-09-19,14.24,17.28,14.122,16.37
PRQR,2014-09-22,15.86,16.79,15.51,16.05
PRQR,2014-09-23,16.0,16.0,15.23,15.76
PRQR,2014-09-24,15.6,16.95,15.27,16.35
PRQR,2014-09-25,16.1,16.49,15.661,15.75
PRQR,2014-09-26,16.0,16.44,15.89,16.13
PRQR,2014-09-29,15.79,16.24,15.65,15.88
PRQR,2014-09-30,16.01,17.25,15.95,17.19
PRQR,2014-10-01,17.15,17.835,16.316,16.74
PRQR,2014-10-02,16.98,16.98,16.26,16.61
PRQR,2014-10-03,16.22,16.99,15.9,16.67
PRQR,2014-10-06,16.77,16.966,16.04,16.38
PRQR,2014-10-07,16.74,16.74,15.82,16.21
PRQR,2014-10-08,16.15,16.2,15.69,16.13
PRQR,2014-10-09,15.97,16.2,15.785,16.08
PRQR,2014-10-10,16.19,16.19,15.08,15.46
PRQR,2014-10-13,15.5,15.5,12.0,13.0
PRQR,2014-10-14,13.2,14.29,12.2,12.48
PRQR,2014-10-15,12.61,12.62,11.05,11.82
PRQR,2014-10-16,11.65,13.17,11.004,12.51
PRQR,2014-10-17,13.0,13.25,11.05,12.49
PRQR,2014-10-20,12.38,12.86,11.8,12.77
PRQR,2014-10-21,12.63,13.09,12.0,13.02
PRQR,2014-10-22,12.68,13.19,12.325,13.07
PRQR,2014-10-23,13.19,13.48,12.54,13.0
PRQR,2014-10-24,12.87,13.02,12.67,12.96
PRQR,2014-10-27,12.89,12.94,12.16,12.33
PRQR,2014-10-28,12.28,12.86,12.21,12.29
PRQR,2014-10-29,12.35,12.89,12.24,12.72
PRQR,2014-10-30,12.54,12.88,12.2,12.64
PRQR,2014-10-31,12.68,13.45,12.67,12.83
PRQR,2014-11-03,13.13,13.15,12.68,12.88
PRQR,2014-11-04,13.0,13.0,12.42,12.79
PRQR,2014-11-05,12.96,12.978,12.19,12.34
PRQR,2014-11-06,12.19,12.32,11.248,11.83
PRQR,2014-11-07,11.99,12.14,11.05,11.44
PRQR,2014-11-10,11.46,11.91,11.25,11.45
PRQR,2014-11-11,11.53,11.627,11.04,11.48
PRQR,2014-11-12,11.6,11.94,11.45,11.77
PRQR,2014-11-13,11.81,12.43,11.53,12.14
PRQR,2014-11-14,12.4,12.97,11.763,12.86
PRQR,2014-11-17,12.89,12.89,12.06,12.55
PRQR,2014-11-18,12.8,12.91,12.28,12.79
PRQR,2014-11-19,12.25,13.49,11.69,12.97
PRQR,2014-11-20,12.34,14.0,12.22,13.9
PRQR,2014-11-21,13.9,14.91,13.28,14.8
PRQR,2014-11-24,15.48,15.48,13.51,14.93
PRQR,2014-11-25,15.16,15.79,14.54,15.07
PRQR,2014-11-26,15.09,15.27,15.01,15.2
PRQR,2014-11-28,15.07,15.62,14.81,15.17
PRQR,2014-12-01,15.2,15.2,14.12,14.65
PRQR,2014-12-02,14.77,15.2,14.485,15.17
PRQR,2014-12-03,15.17,15.99,15.17,15.75
PRQR,2014-12-04,15.97,16.45,15.44,16.07
PRQR,2014-12-05,16.42,18.58,16.22,18.33
PRQR,2014-12-08,18.47,19.74,17.8,18.3
PRQR,2014-12-09,17.87,18.75,17.52,18.18
PRQR,2014-12-10,18.0,18.17,17.41,17.78
PRQR,2014-12-11,17.59,18.04,16.6,18.0
PRQR,2014-12-12,18.0,19.17,17.34,18.78
PRQR,2014-12-15,18.88,19.19,16.75,16.92
PRQR,2014-12-16,16.94,18.52,16.08,17.74
PRQR,2014-12-17,17.95,18.99,17.19,18.07
PRQR,2014-12-18,18.0,19.5,17.81,18.72
PRQR,2014-12-19,19.0,21.0,18.213,20.25
PRQR,2014-12-22,20.35,20.61,19.025,19.96
PRQR,2014-12-23,20.0,20.0,18.233,19.82
PRQR,2014-12-24,19.2,20.1,18.35,19.68
PRQR,2014-12-26,19.53,19.69,18.76,18.9
PRQR,2014-12-29,19.2,20.23,18.72,19.6
PRQR,2014-12-30,19.25,20.5,18.82,20.45
PRQR,2014-12-31,20.33,23.02,19.69,21.67
PRQR,2015-01-02,21.73,21.91,20.08,20.46
PRQR,2015-01-05,20.1,20.16,19.32,19.65
PRQR,2015-01-06,19.86,20.1,18.72,18.79
PRQR,2015-01-07,19.85,19.85,18.05,18.24
PRQR,2015-01-08,18.45,21.69,18.39,19.58
PRQR,2015-01-09,19.66,20.445,18.57,19.8
PRQR,2015-01-12,19.74,20.768,18.08,19.74
PRQR,2015-01-13,20.04,20.4,18.31,19.81
PRQR,2015-01-14,19.51,20.0,18.5,19.5
PRQR,2015-01-15,18.785,20.8,18.285,20.32
PRQR,2015-01-16,20.08,20.745,19.68,20.36
