ticker,date,open,high,low,close
PRVA,2021-04-28,23.0,23.0,23.0,23.0
PRVA,2021-04-29,30.0,35.9899,29.0,34.75
PRVA,2021-04-30,31.11,37.85,31.11,36.32
PRVA,2021-05-03,36.77,37.2,34.52,35.63
PRVA,2021-05-04,36.08,38.16,34.5225,34.92
PRVA,2021-05-05,36.23,39.58,34.81,38.0
PRVA,2021-05-06,37.59,37.98,31.98,32.81
PRVA,2021-05-07,35.17,35.17,31.81,32.47
PRVA,2021-05-10,31.68,32.45,30.49,30.97
PRVA,2021-05-11,28.05,31.48,28.0001,30.51
PRVA,2021-05-12,30.4,31.95,29.74,30.14
PRVA,2021-05-13,29.88,31.98,28.38,29.18
PRVA,2021-05-14,29.28,29.95,27.15,29.13
PRVA,2021-05-17,28.84,30.36,27.5083,29.71
PRVA,2021-05-18,29.57,31.865,28.77,30.17
PRVA,2021-05-19,30.02,30.46,29.51,30.2
PRVA,2021-05-20,30.15,31.0,29.84,30.08
PRVA,2021-05-21,30.04,32.96,29.651,32.81
PRVA,2021-05-24,33.51,34.569,31.045,32.32
PRVA,2021-05-25,33.0,33.46,32.4,32.77
PRVA,2021-05-26,32.49,33.48,32.49,33.1
PRVA,2021-05-27,33.1,34.35,32.8,34.16
PRVA,2021-05-28,33.8,34.35,32.27,32.73
PRVA,2021-06-01,32.55,33.76,32.44,33.4
PRVA,2021-06-02,33.21,35.2,33.0801,34.39
PRVA,2021-06-03,34.42,35.02,33.46,33.61
PRVA,2021-06-04,33.47,33.85,32.97,33.25
PRVA,2021-06-07,33.6,39.48,33.5015,37.64
PRVA,2021-06-08,38.02,38.46,37.02,37.96
PRVA,2021-06-09,38.14,40.42,37.6475,39.58
PRVA,2021-06-10,39.9,40.1,38.6,39.74
PRVA,2021-06-11,39.54,40.1,39.37,39.91
PRVA,2021-06-14,40.36,41.53,38.3,41.11
PRVA,2021-06-15,41.23,41.88,39.59,40.28
PRVA,2021-06-16,40.37,42.77,40.37,42.47
PRVA,2021-06-17,42.46,43.46,41.26,43.18
PRVA,2021-06-18,43.01,45.54,42.47,45.35
PRVA,2021-06-21,45.35,46.79,44.0,46.25
PRVA,2021-06-22,46.34,47.81,45.47,46.5
PRVA,2021-06-23,46.55,48.59,46.46,46.85
PRVA,2021-06-24,46.94,47.87,44.34,44.86
PRVA,2021-06-25,45.02,46.585,44.3701,46.04
PRVA,2021-06-28,46.1,49.82,46.01,49.25
PRVA,2021-06-29,49.68,50.77,44.19,44.59
PRVA,2021-06-30,44.87,45.36,44.23,44.37
PRVA,2021-07-01,44.37,45.24,43.25,43.3
PRVA,2021-07-02,43.12,45.3863,43.12,44.68
PRVA,2021-07-06,44.98,45.23,43.05,43.99
PRVA,2021-07-07,43.83,45.42,43.24,45.0
PRVA,2021-07-08,43.89,44.4,42.33,42.67
PRVA,2021-07-09,42.69,44.18,42.17,43.89
PRVA,2021-07-12,43.61,44.78,42.67,44.68
PRVA,2021-07-13,44.71,45.08,43.685,44.16
PRVA,2021-07-14,44.4,44.62,41.38,41.49
PRVA,2021-07-15,41.03,42.92,40.81,41.63
PRVA,2021-07-16,42.05,43.985,41.25,42.27
PRVA,2021-07-19,41.78,43.67,40.83,43.62
PRVA,2021-07-20,43.85,45.01,41.78,44.15
PRVA,2021-07-21,44.6,46.47,43.59,46.05
PRVA,2021-07-22,46.02,47.28,45.262,46.78
PRVA,2021-07-23,46.78,47.77,45.935,46.55
PRVA,2021-07-26,46.43,46.89,43.39,43.74
PRVA,2021-07-27,43.43,44.25,42.1,43.77
PRVA,2021-07-28,43.39,43.985,42.24,43.42
PRVA,2021-07-29,43.7,44.4,42.34,42.81
PRVA,2021-07-30,42.81,45.0,41.47,41.5
PRVA,2021-08-02,41.53,43.6075,41.22,41.59
PRVA,2021-08-03,41.68,44.72,38.91,39.07
PRVA,2021-08-04,38.85,40.385,37.26,37.41
PRVA,2021-08-05,37.23,37.52,35.67,36.85
PRVA,2021-08-06,36.87,39.415,36.21,38.05
PRVA,2021-08-09,37.29,37.29,33.25,36.23
PRVA,2021-08-10,36.17,37.82,33.33,34.69
PRVA,2021-08-11,34.65,35.59,33.27,33.51
PRVA,2021-08-12,33.51,34.78,32.5,32.83
PRVA,2021-08-13,32.82,33.075,31.68,32.4
PRVA,2021-08-16,32.4,33.84,31.59,32.45
PRVA,2021-08-17,32.2,32.53,31.01,31.73
PRVA,2021-08-18,31.88,32.69,31.29,31.58
PRVA,2021-08-19,31.46,32.15,30.75,31.6
PRVA,2021-08-20,31.37,32.18,30.32,30.37
PRVA,2021-08-23,30.44,30.9612,29.3,29.46
PRVA,2021-08-24,29.54,30.4,28.73,30.16
PRVA,2021-08-25,30.28,32.45,30.25,32.42
PRVA,2021-08-26,31.88,32.95,31.3014,32.65
PRVA,2021-08-27,32.7,33.115,31.77,31.91
PRVA,2021-08-30,31.89,32.635,30.96,32.57
PRVA,2021-08-31,32.64,33.0,29.57,29.81
PRVA,2021-09-01,29.56,30.55,28.51,29.34
PRVA,2021-09-02,29.96,31.8776,29.45,31.75
PRVA,2021-09-03,31.44,32.33,30.4184,32.04
PRVA,2021-09-07,31.7,32.2,30.92,30.98
PRVA,2021-09-08,31.1,31.5,27.62,27.95
PRVA,2021-09-09,27.79,28.815,26.79,28.45
PRVA,2021-09-10,27.94,29.785,27.94,29.47
PRVA,2021-09-13,29.45,29.45,27.73,28.22
PRVA,2021-09-14,27.92,28.35,26.78,26.86
PRVA,2021-09-15,27.0,27.4,25.54,26.83
PRVA,2021-09-16,26.59,27.1,25.58,26.99
PRVA,2021-09-17,26.29,27.522,25.72,27.06
PRVA,2021-09-20,26.87,27.11,25.97,27.08
PRVA,2021-09-21,27.13,27.13,24.61,26.09
PRVA,2021-09-22,26.03,26.93,25.2624,25.45
PRVA,2021-09-23,25.63,27.015,25.45,26.74
PRVA,2021-09-24,26.73,26.94,25.71,25.8
PRVA,2021-09-27,26.1,26.57,25.26,25.76
PRVA,2021-09-28,25.67,25.91,24.15,24.4
PRVA,2021-09-29,24.71,25.39,23.93,24.01
PRVA,2021-09-30,23.95,25.32,22.591,23.56
PRVA,2021-10-01,24.05,24.46,22.78,23.08
PRVA,2021-10-04,22.84,23.49,21.5,21.75
PRVA,2021-10-05,22.32,22.63,21.54,21.83
PRVA,2021-10-06,21.64,21.88,20.38,21.41
PRVA,2021-10-07,21.47,22.05,21.25,21.47
PRVA,2021-10-08,21.61,22.23,21.08,21.32
PRVA,2021-10-11,21.23,22.0,21.13,21.35
PRVA,2021-10-12,21.35,22.72,21.0,22.62
PRVA,2021-10-13,22.87,23.2,21.5,22.5
PRVA,2021-10-14,22.89,24.295,22.66,23.52
PRVA,2021-10-15,23.28,24.35,23.28,23.51
PRVA,2021-10-18,23.39,23.71,21.55,21.92
PRVA,2021-10-19,22.18,23.3,21.96,22.8
PRVA,2021-10-20,23.07,24.92,23.07,24.76
PRVA,2021-10-21,24.76,25.17,23.87,24.35
PRVA,2021-10-22,24.17,24.44,23.33,23.66
PRVA,2021-10-25,23.66,24.51,23.31,24.12
PRVA,2021-10-26,23.9,24.41,21.63,22.51
PRVA,2021-10-27,22.42,25.03,22.42,23.77
PRVA,2021-10-28,23.71,24.99,23.34,24.92
PRVA,2021-10-29,24.8,26.0,24.25,25.7
PRVA,2021-11-01,25.62,25.9,24.67,25.83
