ticker,date,open,high,low,close
PSNL,2019-06-20,23.7,29.5,23.5,28.49
PSNL,2019-06-21,27.23,31.62,27.23,30.25
PSNL,2019-06-24,30.5,31.88,28.67,29.36
PSNL,2019-06-25,29.0,30.06,27.65,27.8
PSNL,2019-06-26,27.92,28.25,26.75,27.0
PSNL,2019-06-27,27.14,27.95,26.06,27.93
PSNL,2019-06-28,28.05,28.65,27.01,27.15
PSNL,2019-07-01,27.36,27.5917,24.51,24.8
PSNL,2019-07-02,24.9,25.4999,22.3762,23.11
PSNL,2019-07-03,23.14,23.6122,22.58,23.0
PSNL,2019-07-05,22.62,23.3225,21.73,22.3
PSNL,2019-07-08,22.55,23.9,22.03,22.95
PSNL,2019-07-09,22.95,23.3814,22.58,22.84
PSNL,2019-07-10,22.97,24.5,22.5987,23.77
PSNL,2019-07-11,24.17,25.1,23.41,25.01
PSNL,2019-07-12,24.71,25.64,23.93,25.34
PSNL,2019-07-15,24.32,24.66,22.81,23.31
PSNL,2019-07-16,23.27,23.8599,22.15,22.57
PSNL,2019-07-17,22.44,22.75,20.21,20.31
PSNL,2019-07-18,20.52,22.0,20.22,21.4
PSNL,2019-07-19,21.5,22.75,21.5,22.42
PSNL,2019-07-22,22.58,23.32,21.5,22.59
PSNL,2019-07-23,22.3,22.43,21.69,22.04
PSNL,2019-07-24,21.96,22.5,21.19,21.37
PSNL,2019-07-25,21.28,21.74,20.52,20.83
PSNL,2019-07-26,20.77,20.99,19.27,19.33
PSNL,2019-07-29,19.4,19.78,17.58,17.78
PSNL,2019-07-30,17.81,18.81,17.81,18.25
PSNL,2019-07-31,18.55,18.92,17.63,17.91
PSNL,2019-08-01,17.86,18.3514,15.26,15.89
PSNL,2019-08-02,15.5,16.8179,15.316,15.79
PSNL,2019-08-05,15.72,15.7623,14.25,14.64
PSNL,2019-08-06,14.8,15.71,14.3,15.23
PSNL,2019-08-07,16.0,17.61,15.58,16.9
PSNL,2019-08-08,17.03,18.36,16.94,18.27
PSNL,2019-08-09,18.42,18.845,17.5131,18.43
PSNL,2019-08-12,18.29,19.39,18.0348,19.25
PSNL,2019-08-13,19.3,19.97,19.1,19.71
PSNL,2019-08-14,17.33,19.25,16.16,16.25
PSNL,2019-08-15,16.31,18.01,15.81,16.92
PSNL,2019-08-16,17.43,18.6,16.51,18.05
PSNL,2019-08-19,18.28,19.35,17.1708,19.07
PSNL,2019-08-20,20.0,20.74,19.56,19.81
PSNL,2019-08-21,20.0,20.68,19.56,19.99
PSNL,2019-08-22,19.99,20.4172,19.13,19.26
