ticker,date,open,high,low,close
PWM,2023-07-06,4.85,6.13,4.6,5.4
PWM,2023-07-07,10.45,22.45,7.52,19.09
PWM,2023-07-10,16.25,30.92,13.14,25.2
PWM,2023-07-11,27.19,31.88,17.33,18.92
PWM,2023-07-12,20.68,21.6,16.6322,19.07
PWM,2023-07-13,16.7,18.8999,15.3,15.51
PWM,2023-07-14,14.56,14.62,10.7001,11.67
PWM,2023-07-17,10.5,19.5,10.5,17.0
PWM,2023-07-18,18.16,26.51,18.02,18.3
PWM,2023-07-19,18.64,20.98,16.47,17.7
PWM,2023-07-20,16.67,18.88,15.01,15.84
PWM,2023-07-21,16.38,16.7,13.01,14.3
PWM,2023-07-24,14.19,18.57,13.7836,15.69
PWM,2023-07-25,17.06,17.65,16.0,16.79
PWM,2023-07-26,16.06,16.75,15.0501,16.3
PWM,2023-07-27,15.81,16.4377,15.25,15.79
PWM,2023-07-28,15.41,15.8,14.27,15.75
PWM,2023-07-31,15.4,15.9,14.6,14.79
PWM,2023-08-01,14.3,14.51,12.11,12.9
PWM,2023-08-02,12.46,12.75,10.1,10.66
PWM,2023-08-03,12.62,14.5,11.75,12.44
PWM,2023-08-04,12.55,12.6081,10.9,11.39
PWM,2023-08-07,11.3,11.7,10.6,11.0
PWM,2023-08-08,10.6,10.78,9.8,10.1
PWM,2023-08-09,10.02,10.2899,9.52,9.56
PWM,2023-08-10,9.0,9.01,8.0,8.26
PWM,2023-08-11,8.335,10.4899,8.0249,9.14
PWM,2023-08-14,9.3,9.6999,8.4685,8.79
PWM,2023-08-15,8.31,8.753,7.8501,8.18
PWM,2023-08-16,8.02,8.02,6.8101,7.13
PWM,2023-08-17,7.1,7.1,6.2501,6.42
PWM,2023-08-18,6.69,7.15,6.2,6.64
PWM,2023-08-21,6.6,6.7,5.92,6.29
PWM,2023-08-22,6.22,8.7,6.0,7.89
PWM,2023-08-23,7.0,7.4,6.5301,6.81
PWM,2023-08-24,6.6,6.78,6.3,6.46
PWM,2023-08-25,6.51,6.51,5.95,6.2
PWM,2023-08-28,6.27,6.3343,5.725,5.92
PWM,2023-08-29,5.93,5.93,5.43,5.59
PWM,2023-08-30,5.71,6.09,5.55,6.09
PWM,2023-08-31,6.03,6.9999,5.945,6.4
PWM,2023-09-01,6.5,7.22,6.4,6.64
PWM,2023-09-05,6.63,6.84,6.01,6.24
PWM,2023-09-06,6.12,6.2,5.84,6.04
PWM,2023-09-07,5.98,7.47,5.75,5.9
PWM,2023-09-08,5.78,5.88,5.27,5.6
PWM,2023-09-11,5.66,5.69,5.4967,5.5
PWM,2023-09-12,5.6,5.6,4.86,4.94
PWM,2023-09-13,4.8,5.2399,4.75,5.08
PWM,2023-09-14,5.18,5.18,4.83,4.92
PWM,2023-09-15,4.84,4.97,3.91,4.32
PWM,2023-09-18,4.31,4.31,3.68,3.715
PWM,2023-09-19,3.7,3.87,3.33,3.46
PWM,2023-09-20,3.45,4.2,3.1,3.8403
PWM,2023-09-21,3.7,4.0899,3.4,3.68
PWM,2023-09-22,3.87,3.95,3.51,3.65
PWM,2023-09-25,3.65,3.6999,3.413,3.61
PWM,2023-09-26,3.9851,3.9851,3.46,3.505
PWM,2023-09-27,3.75,3.75,3.2,3.23
PWM,2023-09-28,3.31,3.31,3.0,3.15
PWM,2023-09-29,3.15,3.39,3.05,3.32
PWM,2023-10-02,3.48,3.58,3.2,3.25
PWM,2023-10-03,3.13,3.485,3.05,3.3
PWM,2023-10-04,3.2,3.47,3.2,3.38
PWM,2023-10-05,3.38,3.41,3.205,3.25
PWM,2023-10-06,3.1,3.23,3.07,3.2
PWM,2023-10-09,3.23,3.23,3.03,3.13
PWM,2023-10-10,3.06,5.1293,3.0299,4.73
PWM,2023-10-11,4.61,4.94,4.05,4.28
PWM,2023-10-12,4.33,4.55,4.0,4.2001
PWM,2023-10-13,4.15,4.15,2.5,3.0
PWM,2023-10-16,2.91,3.19,2.8,2.8
PWM,2023-10-17,2.97,3.03,2.75,2.89
PWM,2023-10-18,2.825,2.8781,2.13,2.13
PWM,2023-10-19,2.3,2.4749,2.12,2.17
PWM,2023-10-20,2.24,2.39,2.11,2.3
PWM,2023-10-23,2.29,2.4499,2.2,2.31
PWM,2023-10-24,2.2,2.3899,2.11,2.23
PWM,2023-10-25,2.2215,2.4499,2.1,2.36
PWM,2023-10-26,2.3,2.33,2.14,2.21
PWM,2023-10-27,2.212,2.25,2.15,2.24
PWM,2023-10-30,2.18,2.1975,2.0,2.1084
PWM,2023-10-31,2.19,2.19,1.957,2.05
PWM,2023-11-01,2.0092,2.055,1.84,1.87
PWM,2023-11-02,1.935,1.96,1.77,1.86
PWM,2023-11-03,1.97,1.97,1.8701,1.9051
PWM,2023-11-06,1.97,2.55,1.89,2.37
PWM,2023-11-07,2.62,2.88,2.41,2.54
PWM,2023-11-08,2.54,2.595,2.2501,2.46
PWM,2023-11-09,2.36,2.42,2.18,2.26
PWM,2023-11-10,2.33,2.35,2.0401,2.1
PWM,2023-11-13,2.2546,2.26,2.08,2.1
PWM,2023-11-14,2.3,2.3,1.92,2.04
PWM,2023-11-15,2.09,2.12,1.8,1.83
