ticker,date,open,high,low,close
RAIL,2005-04-05,17.422,17.422,17.422,17.422
RAIL,2005-04-06,18.577,20.173,18.449,19.282
RAIL,2005-04-07,19.394,19.935,18.477,19.549
RAIL,2005-04-08,19.374,20.034,19.255,19.868
RAIL,2005-04-11,19.897,20.446,19.558,20.173
RAIL,2005-04-12,20.034,20.291,19.255,19.65
RAIL,2005-04-13,19.484,19.694,18.723,18.963
RAIL,2005-04-14,18.796,18.888,17.718,18.018
RAIL,2005-04-15,17.88,18.009,16.945,17.679
RAIL,2005-04-18,17.631,17.908,17.422,17.871
RAIL,2005-04-19,17.964,18.982,17.964,18.934
RAIL,2005-04-20,19.026,19.071,18.669,18.982
RAIL,2005-04-21,18.796,19.374,18.76,19.374
RAIL,2005-04-22,19.347,19.43,18.524,18.796
RAIL,2005-04-25,18.843,19.971,18.751,19.897
RAIL,2005-04-26,19.943,19.943,19.053,19.694
RAIL,2005-04-27,19.439,19.622,19.207,19.207
RAIL,2005-04-28,19.347,19.347,17.971,17.989
RAIL,2005-04-29,18.356,18.356,17.622,17.797
RAIL,2005-05-02,18.109,18.236,17.422,17.708
RAIL,2005-05-03,17.614,18.117,17.614,18.099
RAIL,2005-05-04,18.099,18.796,17.989,18.401
RAIL,2005-05-05,18.705,18.705,18.109,18.541
RAIL,2005-05-06,18.477,18.705,18.293,18.613
RAIL,2005-05-09,18.751,19.009,18.524,18.916
RAIL,2005-05-10,18.963,19.439,18.487,19.026
RAIL,2005-05-11,19.117,19.117,18.613,18.814
RAIL,2005-05-12,18.796,18.796,17.88,18.072
RAIL,2005-05-13,18.072,18.072,15.138,16.375
RAIL,2005-05-16,16.815,16.962,15.854,16.093
RAIL,2005-05-17,16.32,16.533,15.938,16.165
RAIL,2005-05-18,16.201,16.66,16.182,16.552
RAIL,2005-05-19,16.631,17.284,16.505,17.236
RAIL,2005-05-20,17.109,17.146,16.874,17.055
RAIL,2005-05-23,17.055,17.532,17.055,17.246
RAIL,2005-05-24,17.541,17.55,17.323,17.55
RAIL,2005-05-25,17.173,18.193,17.081,17.88
RAIL,2005-05-26,17.708,18.228,17.708,18.09
RAIL,2005-05-27,17.787,18.184,17.787,18.018
RAIL,2005-05-31,17.88,18.193,17.88,18.045
RAIL,2005-06-01,17.981,18.136,17.669,17.88
RAIL,2005-06-02,17.916,17.916,17.422,17.459
RAIL,2005-06-03,17.323,17.743,17.313,17.512
RAIL,2005-06-06,17.377,17.871,17.191,17.255
RAIL,2005-06-07,17.284,17.679,17.21,17.21
RAIL,2005-06-08,17.21,17.594,16.66,16.936
RAIL,2005-06-09,16.936,17.386,16.744,16.99
RAIL,2005-06-10,16.99,18.109,16.99,17.584
RAIL,2005-06-13,17.88,18.063,17.432,17.916
RAIL,2005-06-14,17.925,18.109,17.331,17.88
RAIL,2005-06-15,17.88,17.88,17.512,17.651
RAIL,2005-06-16,17.815,17.945,17.55,17.778
RAIL,2005-06-17,17.925,17.925,17.191,17.622
RAIL,2005-06-20,17.293,18.346,17.191,18.338
RAIL,2005-06-21,18.384,18.796,18.136,18.659
RAIL,2005-06-22,18.723,18.751,18.156,18.723
RAIL,2005-06-23,18.705,18.751,18.081,18.467
RAIL,2005-06-24,18.467,18.524,18.063,18.32
RAIL,2005-06-27,18.275,18.477,18.146,18.338
RAIL,2005-06-28,18.384,18.384,17.88,18.045
RAIL,2005-06-29,17.908,18.338,17.908,18.338
RAIL,2005-06-30,18.054,18.477,18.037,18.184
RAIL,2005-07-01,18.236,18.236,17.494,17.778
RAIL,2005-07-05,17.541,18.063,17.413,17.88
RAIL,2005-07-06,18.009,18.009,17.651,17.751
RAIL,2005-07-07,17.651,17.834,17.432,17.432
RAIL,2005-07-08,17.708,19.245,17.422,19.071
RAIL,2005-07-11,19.165,20.244,18.843,20.018
RAIL,2005-07-12,20.034,20.272,19.64,20.199
RAIL,2005-07-13,20.081,20.164,19.347,19.539
RAIL,2005-07-14,19.703,19.842,19.311,19.578
RAIL,2005-07-15,19.384,21.868,19.282,20.173
RAIL,2005-07-18,20.272,20.272,19.493,19.613
RAIL,2005-07-19,19.568,20.807,19.568,20.465
RAIL,2005-07-20,20.301,20.943,20.034,20.841
RAIL,2005-07-21,20.586,20.816,20.025,20.044
RAIL,2005-07-22,19.953,20.969,19.42,20.86
RAIL,2005-07-25,20.816,21.071,20.446,20.897
RAIL,2005-07-26,21.109,21.463,20.834,21.463
RAIL,2005-07-27,27.233,27.276,24.07,26.479
RAIL,2005-07-28,26.692,27.259,25.921,26.324
RAIL,2005-07-29,26.324,30.102,26.324,29.396
RAIL,2005-08-01,29.405,30.691,29.405,29.755
RAIL,2005-08-02,29.755,30.159,28.772,28.854
RAIL,2005-08-03,29.141,29.141,28.029,28.379
RAIL,2005-08-04,28.158,28.883,28.114,28.275
RAIL,2005-08-05,28.644,28.737,28.003,28.24
RAIL,2005-08-08,27.912,29.892,27.912,29.012
RAIL,2005-08-09,29.36,29.755,29.131,29.35
RAIL,2005-08-10,29.314,29.534,28.901,29.489
RAIL,2005-08-11,29.572,30.121,28.607,29.259
RAIL,2005-08-12,29.332,29.946,29.332,29.434
RAIL,2005-08-15,29.516,29.954,29.205,29.763
RAIL,2005-08-16,29.911,32.083,28.874,30.378
RAIL,2005-08-17,30.45,31.066,29.938,30.617
RAIL,2005-08-18,30.627,31.57,30.598,31.211
RAIL,2005-08-19,31.671,33.743,31.45,33.631
RAIL,2005-08-22,33.586,35.218,33.276,34.357
RAIL,2005-08-23,34.375,34.439,32.851,33.772
RAIL,2005-08-24,33.532,33.999,33.249,33.429
RAIL,2005-08-25,33.429,33.458,33.092,33.448
RAIL,2005-08-26,33.466,34.385,33.24,33.513
RAIL,2005-08-29,33.145,33.925,32.799,33.466
RAIL,2005-08-30,33.649,33.649,33.173,33.414
RAIL,2005-08-31,33.276,35.567,33.063,35.073
RAIL,2005-09-01,35.073,35.668,34.456,34.825
RAIL,2005-09-02,34.887,35.247,34.705,34.825
RAIL,2005-09-06,34.896,35.028,34.532,34.878
RAIL,2005-09-07,34.138,34.523,32.551,33.698
RAIL,2005-09-08,33.283,33.962,33.019,33.88
RAIL,2005-09-09,33.734,34.156,33.734,33.925
RAIL,2005-09-12,34.148,36.336,33.504,35.265
RAIL,2005-09-13,35.358,35.42,34.896,35.0
RAIL,2005-09-14,34.906,36.053,34.447,34.953
RAIL,2005-09-15,34.861,35.358,34.714,35.046
RAIL,2005-09-16,35.33,35.989,35.303,35.924
RAIL,2005-09-19,36.128,37.144,35.989,36.906
RAIL,2005-09-20,37.183,38.171,36.677,37.474
RAIL,2005-09-21,37.614,38.125,36.265,37.299
RAIL,2005-09-22,37.595,38.281,36.742,36.961
RAIL,2005-09-23,36.695,36.906,36.079,36.605
RAIL,2005-09-26,36.852,37.116,36.485,36.979
RAIL,2005-09-27,36.879,37.265,36.336,36.814
RAIL,2005-09-28,37.365,37.365,35.303,36.128
RAIL,2005-09-29,36.036,36.861,35.808,36.713
RAIL,2005-09-30,36.768,37.916,36.677,37.392
RAIL,2005-10-03,37.694,38.153,37.219,38.053
RAIL,2005-10-04,38.437,41.012,38.411,39.151
RAIL,2005-10-05,39.161,39.373,37.308,37.474
RAIL,2005-10-06,37.026,38.795,36.164,36.796
RAIL,2005-10-07,36.796,37.703,36.547,37.392
RAIL,2005-10-10,37.997,39.749,37.888,38.326
RAIL,2005-10-11,38.484,39.592,37.841,38.063
RAIL,2005-10-12,38.262,38.262,35.98,36.585
RAIL,2005-10-13,35.895,36.485,34.036,35.879
RAIL,2005-10-14,36.319,36.466,35.274,35.853
RAIL,2005-10-17,35.933,36.677,35.567,36.246
RAIL,2005-10-18,36.466,36.466,35.513,36.182
RAIL,2005-10-19,35.999,36.079,35.126,35.933
RAIL,2005-10-20,36.026,36.246,33.631,34.32
RAIL,2005-10-21,34.138,34.385,31.696,32.504
RAIL,2005-10-24,32.367,34.439,31.972,34.118
RAIL,2005-10-25,33.935,35.009,33.925,34.523
RAIL,2005-10-26,34.724,35.065,34.357,34.523
RAIL,2005-10-27,37.08,38.326,36.098,37.044
RAIL,2005-10-28,36.961,38.749,36.814,38.402
RAIL,2005-10-31,38.767,40.39,38.685,40.105
RAIL,2005-11-01,39.887,40.905,39.619,40.18
RAIL,2005-11-02,40.161,40.72,39.08,40.53
RAIL,2005-11-03,41.031,41.26,40.373,40.582
RAIL,2005-11-04,41.26,41.72,39.464,41.481
RAIL,2005-11-07,41.547,42.894,41.144,42.692
RAIL,2005-11-08,42.491,42.491,40.803,41.299
RAIL,2005-11-09,40.521,42.271,40.521,42.04
RAIL,2005-11-10,42.407,42.407,41.125,41.242
RAIL,2005-11-11,40.984,41.985,40.417,41.6
RAIL,2005-11-14,41.6,42.637,41.088,41.391
RAIL,2005-11-15,41.125,41.6,40.599,41.07
RAIL,2005-11-16,41.491,42.001,39.995,40.548
RAIL,2005-11-17,40.354,41.675,40.244,41.391
RAIL,2005-11-18,41.701,42.335,41.05,42.001
RAIL,2005-11-21,42.068,42.617,41.107,42.335
RAIL,2005-11-22,42.608,43.673,42.232,42.416
RAIL,2005-11-23,42.838,43.012,42.424,42.831
RAIL,2005-11-25,43.048,43.048,42.187,42.424
RAIL,2005-11-28,42.803,42.874,41.914,42.335
RAIL,2005-11-29,42.308,44.094,42.308,43.727
RAIL,2005-11-30,43.195,44.901,43.195,44.251
RAIL,2005-12-01,44.608,44.919,43.782,44.323
RAIL,2005-12-02,44.471,45.343,43.819,44.929
RAIL,2005-12-05,45.25,45.6,44.901,45.432
RAIL,2005-12-06,45.946,46.093,45.416,45.416
RAIL,2005-12-07,45.407,45.516,44.195,44.305
RAIL,2005-12-08,44.288,44.698,43.417,44.471
RAIL,2005-12-09,44.259,45.067,42.728,44.728
RAIL,2005-12-12,45.049,45.38,44.399,44.839
RAIL,2005-12-13,44.929,45.075,44.259,44.865
RAIL,2005-12-14,44.956,45.801,44.37,44.644
RAIL,2005-12-15,44.644,44.882,42.177,44.399
RAIL,2005-12-16,44.882,44.882,43.875,44.507
RAIL,2005-12-19,44.698,44.698,43.096,43.791
RAIL,2005-12-20,43.398,43.636,42.776,43.427
RAIL,2005-12-21,43.408,44.342,43.077,43.303
RAIL,2005-12-22,43.526,44.075,42.977,44.057
RAIL,2005-12-23,44.278,44.288,43.096,43.978
RAIL,2005-12-27,43.755,44.839,43.582,43.829
RAIL,2005-12-28,43.7,44.342,43.012,44.122
RAIL,2005-12-29,44.408,44.718,43.801,44.04
RAIL,2005-12-30,44.122,45.891,43.563,44.084
RAIL,2006-01-03,43.93,44.013,42.939,43.149
RAIL,2006-01-04,42.848,43.921,42.364,43.534
RAIL,2006-01-05,43.195,44.177,43.067,43.997
RAIL,2006-01-06,44.013,44.966,43.534,44.516
RAIL,2006-01-09,44.882,44.929,44.122,44.288
RAIL,2006-01-10,44.454,45.571,44.454,44.839
RAIL,2006-01-11,44.554,47.734,44.223,47.349
RAIL,2006-01-12,48.322,48.899,47.275,47.597
RAIL,2006-01-13,48.092,48.433,46.671,47.873
RAIL,2006-01-17,47.597,49.366,45.937,49.055
RAIL,2006-01-18,49.47,49.47,47.294,47.78
RAIL,2006-01-19,47.708,49.816,47.708,49.789
RAIL,2006-01-20,49.972,50.284,49.193,49.881
RAIL,2006-01-23,50.375,51.513,49.982,51.082
RAIL,2006-01-24,51.432,51.778,50.843,51.264
RAIL,2006-01-25,51.632,52.356,50.825,51.072
RAIL,2006-01-26,51.395,53.346,51.172,52.971
RAIL,2006-01-27,53.364,53.364,52.559,53.199
RAIL,2006-01-30,53.327,53.327,51.76,53.025
RAIL,2006-01-31,52.897,52.988,50.768,52.642
RAIL,2006-02-01,52.722,54.529,52.347,54.1
RAIL,2006-02-02,53.861,54.265,53.776,53.871
RAIL,2006-02-03,53.383,53.383,51.95,52.264
RAIL,2006-02-06,52.42,53.584,51.926,53.364
RAIL,2006-02-07,56.848,57.856,56.024,56.664
RAIL,2006-02-08,57.307,57.712,55.245,56.371
RAIL,2006-02-09,56.391,56.391,55.638,55.93
RAIL,2006-02-10,55.575,56.436,55.575,55.987
RAIL,2006-02-13,56.225,58.959,56.206,57.436
RAIL,2006-02-14,57.74,60.296,57.199,59.975
RAIL,2006-02-15,60.517,60.747,59.629,59.93
RAIL,2006-02-16,55.959,59.49,55.93,59.206
RAIL,2006-02-17,59.48,59.957,58.721,59.314
RAIL,2006-02-21,59.251,60.359,58.134,60.051
RAIL,2006-02-22,60.454,62.497,60.196,62.258
RAIL,2006-02-23,62.351,62.627,60.811,61.533
RAIL,2006-02-24,61.665,64.111,61.453,63.972
RAIL,2006-02-27,64.167,65.753,64.001,64.624
RAIL,2006-02-28,64.699,64.862,63.726,64.643
