ticker,date,open,high,low,close
RANG,2025-01-27,9.94,9.94,9.93,9.94
RANG,2025-01-28,9.94,9.95,9.94,9.95
RANG,2025-01-29,9.95,9.95,9.95,9.95
RANG,2025-01-30,9.95,9.95,9.95,9.95
RANG,2025-01-31,9.94,9.95,9.94,9.95
RANG,2025-02-04,9.955,9.9556,9.95,9.9501
RANG,2025-02-05,9.9582,9.96,9.95,9.95
RANG,2025-02-06,9.9584,9.96,9.95,9.95
RANG,2025-02-07,9.96,9.96,9.96,9.96
RANG,2025-02-10,9.96,9.96,9.96,9.96
RANG,2025-02-11,9.96,9.97,9.96,9.96
RANG,2025-02-12,9.96,9.97,9.96,9.965
RANG,2025-02-13,10.3741,10.3741,9.96,9.98
RANG,2025-02-14,9.98,9.9802,9.975,9.98
RANG,2025-02-18,10.3977,10.64,9.97,9.99
RANG,2025-02-20,10.0,10.0404,9.9951,10.0404
RANG,2025-02-21,10.0,10.1,9.99,10.01
RANG,2025-02-25,9.99,9.99,9.99,9.99
RANG,2025-02-26,10.01,10.01,10.01,10.01
RANG,2025-02-27,10.0146,10.0302,10.0,10.0
RANG,2025-03-06,10.0105,10.0253,10.0,10.0
RANG,2025-03-07,10.01,10.01,10.01,10.01
RANG,2025-03-10,10.0195,10.02,10.01,10.0199
RANG,2025-03-12,10.0446,10.0654,10.011,10.02
RANG,2025-03-13,10.02,10.02,10.02,10.02
RANG,2025-03-14,10.02,10.02,10.02,10.02
RANG,2025-03-19,10.033,10.033,10.033,10.033
RANG,2025-03-20,10.02,10.02,10.01,10.02
RANG,2025-03-24,10.02,10.02,10.02,10.02
RANG,2025-03-26,10.03,10.03,10.02,10.02
RANG,2025-03-27,10.03,10.03,10.03,10.03
RANG,2025-03-28,10.03,10.03,10.03,10.03
RANG,2025-03-31,10.04,10.04,10.03,10.03
RANG,2025-04-01,10.04,10.04,10.04,10.04
RANG,2025-04-02,10.045,10.05,10.045,10.05
RANG,2025-04-08,10.04,10.04,10.04,10.04
RANG,2025-04-09,10.04,10.04,10.04,10.04
RANG,2025-04-10,10.05,10.05,10.05,10.05
RANG,2025-04-14,10.0374,10.04,10.025,10.04
RANG,2025-04-15,10.04,10.09,10.04,10.09
RANG,2025-04-22,10.05,10.0702,10.05,10.0702
RANG,2025-04-24,10.07,10.07,10.07,10.07
RANG,2025-04-25,10.07,10.1,10.07,10.1
RANG,2025-04-28,10.08,10.08,10.08,10.08
RANG,2025-04-30,10.0991,10.0991,10.0991,10.0991
RANG,2025-05-01,10.1,10.12,10.1,10.12
RANG,2025-05-02,10.1127,10.1127,10.1127,10.1127
RANG,2025-05-08,10.3,10.3,10.125,10.125
RANG,2025-05-13,10.1,10.1,10.1,10.1
RANG,2025-05-14,10.1307,10.1524,10.1,10.15
RANG,2025-05-19,10.13,10.13,10.13,10.13
RANG,2025-05-27,10.13,10.13,10.13,10.13
RANG,2025-05-28,10.13,10.13,10.13,10.13
RANG,2025-05-29,10.12,10.12,10.12,10.12
RANG,2025-05-30,10.14,10.17,10.14,10.14
RANG,2025-06-02,10.17,10.18,10.17,10.18
RANG,2025-06-03,10.1801,10.1802,10.1801,10.1802
RANG,2025-06-04,10.25,10.4,10.2,10.25
RANG,2025-06-09,10.45,10.45,10.45,10.45
RANG,2025-06-16,10.25,10.25,10.2,10.25
RANG,2025-06-17,10.2,10.2,10.2,10.2
RANG,2025-06-18,10.2,10.2,10.2,10.2
RANG,2025-06-20,10.21,10.21,10.2,10.2
RANG,2025-06-30,10.2774,10.2774,10.2,10.2
RANG,2025-07-01,10.24,10.24,10.24,10.24
RANG,2025-07-02,10.22,10.3,10.19,10.22
RANG,2025-07-07,10.21,10.21,10.21,10.21
RANG,2025-07-08,10.29,10.29,10.24,10.24
RANG,2025-07-09,10.22,10.2208,10.22,10.2208
RANG,2025-07-10,10.5,10.5,10.25,10.2508
RANG,2025-07-11,10.25,10.25,10.23,10.23
RANG,2025-07-14,10.25,10.25,10.25,10.25
RANG,2025-07-15,10.5,10.5,10.26,10.26
RANG,2025-07-17,10.5,10.5,10.2654,10.3
RANG,2025-07-18,10.26,10.26,10.26,10.26
RANG,2025-07-21,10.3,10.3,10.3,10.3
RANG,2025-07-23,10.24,10.24,10.24,10.24
RANG,2025-07-24,10.3,10.3,10.3,10.3
RANG,2025-07-31,10.25,10.25,10.25,10.25
RANG,2025-08-01,10.25,10.25,10.25,10.25
RANG,2025-08-04,10.25,10.25,10.25,10.25
RANG,2025-08-05,10.25,10.25,10.25,10.25
RANG,2025-08-07,10.3,10.3,10.25,10.25
RANG,2025-08-08,10.26,10.26,10.26,10.26
RANG,2025-08-12,10.24,10.24,10.24,10.24
RANG,2025-08-13,10.24,10.25,10.24,10.25
RANG,2025-08-14,10.25,10.25,10.25,10.25
RANG,2025-08-15,10.24,10.24,10.24,10.24
RANG,2025-08-18,10.28,10.28,10.28,10.28
RANG,2025-08-22,10.25,10.25,10.25,10.25
RANG,2025-08-28,10.25,10.25,10.25,10.25
RANG,2025-09-05,10.25,10.25,10.25,10.25
RANG,2025-09-10,10.26,10.26,10.26,10.26
RANG,2025-09-15,10.26,10.26,10.26,10.26
RANG,2025-09-23,10.29,10.29,10.27,10.27
RANG,2025-09-24,10.29,10.29,10.29,10.29
RANG,2025-10-01,10.36,10.38,10.35,10.37
