ticker,date,open,high,low,close
RANI,2021-07-30,11.26,12.2499,10.5,11.0
RANI,2021-08-02,12.25,12.25,9.24,10.75
RANI,2021-08-03,10.26,11.2,10.0,10.7
RANI,2021-08-04,11.0,12.0,10.75,11.83
RANI,2021-08-05,11.9,11.9,11.282,11.81
RANI,2021-08-06,11.99,13.1077,11.3313,11.8
RANI,2021-08-09,12.01,12.8,11.99,12.4
RANI,2021-08-10,12.31,14.4,12.035,13.8
RANI,2021-08-11,14.45,29.4,14.01,20.74
RANI,2021-08-12,20.05,21.5,15.68,17.43
RANI,2021-08-13,17.51,19.0,16.39,18.61
RANI,2021-08-16,18.3,18.3,15.0,15.48
RANI,2021-08-17,15.39,18.7,15.01,17.98
RANI,2021-08-18,17.73,18.2999,17.07,17.28
RANI,2021-08-19,17.05,17.8253,16.6,17.07
RANI,2021-08-20,17.3,17.65,15.265,16.04
RANI,2021-08-23,16.14,17.43,16.13,17.13
RANI,2021-08-24,16.81,18.125,16.81,17.76
RANI,2021-08-25,18.3,19.2299,17.46,19.07
RANI,2021-08-26,19.31,24.5099,18.37,20.48
RANI,2021-08-27,20.67,23.7999,19.5705,20.0
RANI,2021-08-30,22.5758,22.5758,17.16,17.66
RANI,2021-08-31,17.49,19.15,17.49,18.44
RANI,2021-09-01,18.22,19.44,17.64,18.15
RANI,2021-09-02,18.15,19.4,18.15,19.24
RANI,2021-09-03,19.42,20.1,18.9501,19.8
RANI,2021-09-07,20.0,20.0,18.52,18.91
RANI,2021-09-08,18.71,19.55,17.51,19.29
RANI,2021-09-09,19.01,21.5,18.91,19.56
RANI,2021-09-10,19.65,20.97,19.5976,20.18
RANI,2021-09-13,20.22,21.5,19.452,21.43
RANI,2021-09-14,22.0,22.77,18.66,19.47
RANI,2021-09-15,19.81,20.4595,18.51,19.23
RANI,2021-09-16,19.5,20.295,18.8,19.41
RANI,2021-09-17,19.22,20.53,18.75,18.75
RANI,2021-09-20,18.75,19.68,18.49,18.82
RANI,2021-09-21,18.7,19.7037,18.63,19.3
RANI,2021-09-22,19.39,19.6273,17.51,17.66
RANI,2021-09-23,17.65,18.3,17.11,18.06
RANI,2021-09-24,18.21,19.0,18.0,18.08
RANI,2021-09-27,18.0,18.53,18.0,18.37
RANI,2021-09-28,18.47,18.65,16.67,16.9
RANI,2021-09-29,17.03,18.35,17.0,17.44
RANI,2021-09-30,17.58,18.48,17.58,17.82
RANI,2021-10-01,17.96,18.7499,17.6501,18.14
RANI,2021-10-04,18.19,18.3671,17.51,18.09
RANI,2021-10-05,18.2,18.22,17.77,18.0
RANI,2021-10-06,18.0,18.0,16.09,16.09
RANI,2021-10-07,16.22,18.5,16.22,17.83
RANI,2021-10-08,17.94,20.2,17.835,20.2
RANI,2021-10-11,20.06,20.35,19.5101,19.69
RANI,2021-10-12,19.5,19.79,19.0,19.25
RANI,2021-10-13,19.14,20.44,19.14,19.94
RANI,2021-10-14,19.9,20.04,19.59,19.59
RANI,2021-10-15,20.73,20.73,19.5801,19.71
RANI,2021-10-18,19.58,20.41,19.58,19.91
RANI,2021-10-19,20.28,20.28,19.695,20.025
RANI,2021-10-20,19.88,20.4,19.6708,20.28
RANI,2021-10-21,20.5,20.5,19.6,20.26
RANI,2021-10-22,20.44,20.45,18.1,18.52
RANI,2021-10-25,18.37,20.0,18.37,19.94
RANI,2021-10-26,20.46,20.46,19.4736,20.24
RANI,2021-10-27,21.32,25.9164,20.04,22.94
RANI,2021-10-28,23.34,26.45,22.97,25.54
RANI,2021-10-29,25.41,25.9999,22.038,23.0
RANI,2021-11-01,22.57,24.69,22.52,23.64
RANI,2021-11-02,24.07,27.15,23.7631,26.28
RANI,2021-11-03,26.06,28.3299,24.9501,28.0
RANI,2021-11-04,28.18,34.99,27.3144,31.78
RANI,2021-11-05,30.0,31.06,24.0,26.33
RANI,2021-11-08,26.52,27.9025,25.0,26.26
RANI,2021-11-09,26.26,27.6,24.51,26.28
RANI,2021-11-10,26.32,26.8,25.15,26.78
RANI,2021-11-11,26.19,29.46,25.7202,28.57
RANI,2021-11-12,28.22,29.17,27.2001,29.07
RANI,2021-11-15,33.0,36.27,30.1,30.1
RANI,2021-11-16,29.89,31.98,29.11,31.21
RANI,2021-11-17,31.58,33.0,30.1273,32.6
RANI,2021-11-18,34.99,35.4967,33.3393,35.0
RANI,2021-11-19,35.91,36.05,33.0,34.06
RANI,2021-11-22,34.74,34.99,25.455,26.21
RANI,2021-11-23,26.38,30.31,26.38,26.95
RANI,2021-11-24,26.7,32.5,26.0001,31.5
RANI,2021-11-26,31.18,31.37,30.1085,30.75
RANI,2021-11-29,31.87,32.1417,29.05,29.59
RANI,2021-11-30,30.0,31.3745,28.0,29.64
RANI,2021-12-01,29.45,30.4925,25.57,26.65
RANI,2021-12-02,26.67,28.55,25.64,25.68
RANI,2021-12-03,26.38,26.5541,21.34,21.76
RANI,2021-12-06,22.63,24.1,21.17,21.8
RANI,2021-12-07,21.8,23.95,21.8,23.5
RANI,2021-12-08,23.5,24.1056,18.845,19.65
RANI,2021-12-09,20.0,21.819,18.27,18.83
RANI,2021-12-10,18.97,20.99,17.67,19.5
RANI,2021-12-13,19.65,19.65,17.51,17.92
RANI,2021-12-14,17.58,18.9999,17.01,17.04
RANI,2021-12-15,17.01,18.515,15.0,16.32
RANI,2021-12-16,16.57,17.7,15.63,16.94
RANI,2021-12-17,16.53,17.85,15.84,17.78
RANI,2021-12-20,17.78,18.0,16.75,16.95
RANI,2021-12-21,17.38,17.68,16.46,17.07
RANI,2021-12-22,17.13,18.8,16.93,18.45
RANI,2021-12-23,18.71,19.78,18.29,18.6
RANI,2021-12-27,18.4,21.5,18.0,20.69
RANI,2021-12-28,20.69,22.95,19.13,19.25
RANI,2021-12-29,19.19,20.06,17.93,18.31
RANI,2021-12-30,18.31,19.49,17.38,17.66
RANI,2021-12-31,17.66,19.1589,16.35,16.35
RANI,2022-01-03,16.74,17.7518,16.59,17.0
RANI,2022-01-04,17.0,17.15,15.49,15.81
RANI,2022-01-05,15.9,17.48,15.9,15.95
RANI,2022-01-06,15.7,16.75,15.7,16.29
RANI,2022-01-07,16.76,17.8292,15.49,16.61
RANI,2022-01-10,16.61,18.954,16.0575,18.14
RANI,2022-01-11,18.0,20.95,17.7,20.4
RANI,2022-01-12,20.79,22.1843,19.7,20.49
RANI,2022-01-13,20.17,21.65,19.3936,19.56
RANI,2022-01-14,19.49,21.3661,19.35,20.67
RANI,2022-01-18,20.1,20.92,20.0101,20.32
RANI,2022-01-19,20.66,22.325,20.5269,21.94
RANI,2022-01-20,22.03,22.44,21.01,21.04
RANI,2022-01-21,20.83,20.885,18.33,18.88
RANI,2022-01-24,18.1,19.38,18.05,18.37
RANI,2022-01-25,18.62,19.8697,18.46,19.35
RANI,2022-01-26,19.91,27.13,19.18,23.14
RANI,2022-01-27,23.97,24.0,17.83,18.99
RANI,2022-01-28,18.55,20.0,18.49,19.61
RANI,2022-01-31,19.35,20.73,18.783,20.73
RANI,2022-02-01,20.56,20.56,19.84,20.28
RANI,2022-02-02,20.73,20.73,19.51,20.23
RANI,2022-02-03,20.63,22.0,20.0059,20.58
RANI,2022-02-04,21.28,22.46,18.3,19.25
RANI,2022-02-07,18.0,19.15,17.0001,18.61
RANI,2022-02-08,18.4,18.575,16.21,17.28
RANI,2022-02-09,17.57,19.39,17.57,17.92
RANI,2022-02-10,17.61,17.78,16.66,17.01
RANI,2022-02-11,17.0,17.8,16.0,16.5
RANI,2022-02-14,16.38,16.72,15.9,16.19
RANI,2022-02-15,16.81,16.81,14.904,15.5
RANI,2022-02-16,15.42,15.84,14.5,15.51
RANI,2022-02-17,15.63,17.0,15.27,16.49
RANI,2022-02-18,16.36,16.47,15.0,15.08
RANI,2022-02-22,15.49,16.0,12.43,13.34
RANI,2022-02-23,13.8,14.985,11.478,12.21
RANI,2022-02-24,12.21,13.0,11.6601,12.87
RANI,2022-02-25,12.8,15.12,12.78,14.02
RANI,2022-02-28,13.98,16.69,13.7,16.69
RANI,2022-03-01,15.91,17.92,15.91,16.69
RANI,2022-03-02,16.79,16.79,15.58,16.07
RANI,2022-03-03,16.08,16.44,15.11,15.76
RANI,2022-03-04,15.72,16.27,15.27,15.75
RANI,2022-03-07,15.82,16.02,14.25,14.25
RANI,2022-03-08,14.24,14.24,13.36,13.47
RANI,2022-03-09,13.69,15.31,13.69,15.06
RANI,2022-03-10,14.5,15.8987,14.5,14.92
RANI,2022-03-11,14.91,15.43,14.45,14.76
RANI,2022-03-14,14.21,15.03,13.98,14.01
RANI,2022-03-15,14.69,14.69,13.565,13.89
RANI,2022-03-16,14.46,15.19,13.51,13.81
RANI,2022-03-17,14.37,14.995,14.04,14.2
RANI,2022-03-18,14.33,15.15,13.7811,14.46
RANI,2022-03-21,14.94,14.94,13.53,13.76
RANI,2022-03-22,14.14,14.37,13.21,13.21
RANI,2022-03-23,13.04,13.83,13.04,13.44
RANI,2022-03-24,13.53,13.92,13.19,13.52
RANI,2022-03-25,13.5,14.05,13.35,13.92
RANI,2022-03-28,14.0,14.26,13.45,14.12
RANI,2022-03-29,14.4048,14.47,13.42,14.02
RANI,2022-03-30,14.0,14.36,13.26,13.43
RANI,2022-03-31,14.08,14.08,13.49,13.5
RANI,2022-04-01,13.42,14.2659,13.34,13.59
RANI,2022-04-04,14.0,14.48,13.81,14.1
RANI,2022-04-05,13.89,14.4299,13.5301,14.15
RANI,2022-04-06,14.19,14.19,12.7,12.86
RANI,2022-04-07,13.0,13.4918,12.84,13.18
RANI,2022-04-08,13.165,13.3498,12.82,12.82
RANI,2022-04-11,13.0,13.911,12.36,12.9
RANI,2022-04-12,13.19,13.19,12.7,13.01
RANI,2022-04-13,13.0,13.62,12.64,13.47
RANI,2022-04-14,13.2,13.76,12.6716,13.0
RANI,2022-04-18,13.26,13.8,12.79,13.65
RANI,2022-04-19,13.31,14.9,13.3,14.25
RANI,2022-04-20,14.31,14.31,12.54,13.01
RANI,2022-04-21,12.8,13.44,12.8,13.13
RANI,2022-04-22,13.32,13.32,12.965,13.12
RANI,2022-04-25,13.04,13.44,12.8,13.1
RANI,2022-04-26,13.17,13.415,12.6,13.0
RANI,2022-04-27,13.02,13.57,10.25,10.44
RANI,2022-04-28,11.25,12.73,10.8,11.97
RANI,2022-04-29,11.77,12.23,10.81,12.23
RANI,2022-05-02,12.23,12.785,11.5,12.77
RANI,2022-05-03,12.59,12.87,11.5198,11.98
RANI,2022-05-04,11.96,12.395,11.352,12.27
RANI,2022-05-05,12.78,12.78,11.405,11.58
RANI,2022-05-06,11.51,12.43,11.06,11.72
RANI,2022-05-09,11.43,11.9,10.56,10.58
RANI,2022-05-10,10.71,11.09,10.55,10.98
RANI,2022-05-11,10.95,11.2,10.55,10.6
RANI,2022-05-12,10.55,10.55,9.741,9.99
RANI,2022-05-13,10.37,11.185,9.94,11.0
RANI,2022-05-16,11.0,11.23,10.8,10.89
RANI,2022-05-17,11.01,11.5,10.96,11.5
RANI,2022-05-18,11.11,11.7924,10.74,10.82
RANI,2022-05-19,10.85,11.79,10.85,11.18
RANI,2022-05-20,11.26,11.97,10.6,11.4
RANI,2022-05-23,11.32,11.6,10.77,11.13
RANI,2022-05-24,10.76,11.3,10.05,10.56
RANI,2022-05-25,10.11,10.89,10.0,10.89
RANI,2022-05-26,10.71,11.27,10.44,10.77
RANI,2022-05-27,10.97,12.0,10.676,11.32
RANI,2022-05-31,11.2,11.875,10.08,11.4
RANI,2022-06-01,11.56,11.56,11.02,11.29
RANI,2022-06-02,11.1,11.31,10.41,10.52
RANI,2022-06-03,10.36,10.75,10.0,10.5
RANI,2022-06-06,10.7,10.7,9.475,10.0
RANI,2022-06-07,10.01,10.0825,9.1,9.51
RANI,2022-06-08,9.59,9.75,9.32,9.32
RANI,2022-06-09,9.44,9.71,9.4,9.5
RANI,2022-06-10,9.53,9.77,9.0646,9.4
RANI,2022-06-13,9.96,10.01,8.0,8.0
RANI,2022-06-14,8.1,8.501,8.0,8.11
RANI,2022-06-15,8.11,9.245,8.1,8.83
RANI,2022-06-16,8.77,10.7399,8.51,10.19
RANI,2022-06-17,10.4,11.71,10.07,11.25
RANI,2022-06-21,11.18,11.95,11.0,11.03
RANI,2022-06-22,11.05,13.44,11.05,11.71
RANI,2022-06-23,11.55,12.63,11.19,12.43
RANI,2022-06-24,12.43,12.9268,12.0,12.37
RANI,2022-06-27,12.25,12.375,11.0,11.0
RANI,2022-06-28,10.82,11.53,10.07,10.32
RANI,2022-06-29,10.47,10.7663,9.22,9.71
RANI,2022-06-30,9.46,10.3552,9.46,10.33
RANI,2022-07-01,10.49,11.6499,10.01,10.63
RANI,2022-07-05,10.63,11.55,10.23,11.0
RANI,2022-07-06,10.65,11.99,10.65,11.65
RANI,2022-07-07,11.81,12.37,11.71,12.14
RANI,2022-07-08,11.88,12.4,11.43,12.4
RANI,2022-07-11,12.36,12.72,11.91,12.2
RANI,2022-07-12,11.98,12.24,11.2586,12.07
RANI,2022-07-13,11.73,12.3665,10.73,12.02
RANI,2022-07-14,11.35,12.175,11.2,12.12
RANI,2022-07-15,11.91,12.2399,11.3001,12.14
RANI,2022-07-18,12.05,12.05,11.33,11.39
RANI,2022-07-19,12.23,12.2445,11.56,12.18
RANI,2022-07-20,12.3,12.756,11.56,12.32
RANI,2022-07-21,12.21,12.4,11.88,12.1
RANI,2022-07-22,12.35,12.59,11.96,12.01
RANI,2022-07-25,12.11,12.23,11.8,11.9
RANI,2022-07-26,11.89,12.5,11.8,11.8
RANI,2022-07-27,12.2,12.51,10.87,11.56
RANI,2022-07-28,11.56,11.56,10.4,10.51
RANI,2022-07-29,10.89,11.38,10.635,11.25
RANI,2022-08-01,11.18,11.25,10.1,11.03
RANI,2022-08-02,11.17,12.805,10.9694,12.4
RANI,2022-08-03,12.0,12.4,11.65,12.16
RANI,2022-08-04,12.3,12.38,11.75,12.38
RANI,2022-08-05,12.35,12.89,11.9,12.0
RANI,2022-08-08,12.16,12.37,11.5247,12.0
RANI,2022-08-09,11.99,12.22,11.0,11.0
RANI,2022-08-10,11.42,11.51,11.03,11.105
RANI,2022-08-11,10.51,10.68,8.205,8.23
RANI,2022-08-12,9.53,12.0,9.375,11.32
RANI,2022-08-15,11.74,11.74,10.7195,11.44
RANI,2022-08-16,11.25,12.2,10.62,11.95
RANI,2022-08-17,11.66,12.24,10.39,11.01
RANI,2022-08-18,10.91,11.698,10.7,11.06
RANI,2022-08-19,10.77,11.64,10.77,11.02
RANI,2022-08-22,10.7,10.87,10.1804,10.8
RANI,2022-08-23,10.65,11.17,9.58,10.0
RANI,2022-08-24,10.01,10.49,9.92,10.24
RANI,2022-08-25,10.4,10.62,9.79,10.0
RANI,2022-08-26,9.89,10.32,9.3,9.4
RANI,2022-08-29,9.42,9.795,8.88,8.91
RANI,2022-08-30,8.98,9.16,8.81,8.87
RANI,2022-08-31,9.26,9.4,8.62,8.9
RANI,2022-09-01,9.01,9.65,8.815,9.39
RANI,2022-09-02,9.5,9.7364,9.17,9.63
RANI,2022-09-06,9.5,10.3599,9.3705,9.58
RANI,2022-09-07,9.6,10.29,9.47,9.92
RANI,2022-09-08,9.82,10.55,9.48,9.62
RANI,2022-09-09,9.63,10.165,9.63,9.89
RANI,2022-09-12,9.15,9.7,8.55,8.55
RANI,2022-09-13,8.57,9.67,8.5,9.54
RANI,2022-09-14,9.38,9.5152,8.65,9.0
RANI,2022-09-15,8.8,9.15,8.65,9.11
RANI,2022-09-16,8.82,8.96,8.331,8.87
RANI,2022-09-19,8.71,9.15,8.6175,9.15
RANI,2022-09-20,8.93,9.35,8.6987,9.31
RANI,2022-09-21,9.22,9.49,8.53,9.25
RANI,2022-09-22,9.05,9.48,8.93,9.3
RANI,2022-09-23,9.03,9.225,9.01,9.18
RANI,2022-09-26,9.0997,9.21,8.8867,9.2
RANI,2022-09-27,9.055,9.19,8.94,9.08
RANI,2022-09-28,9.08,9.375,8.9,9.31
RANI,2022-09-29,9.15,9.63,9.15,9.26
RANI,2022-09-30,9.41,10.41,9.41,9.58
RANI,2022-10-03,9.74,10.7999,9.74,10.02
RANI,2022-10-04,10.1,10.7434,9.97,9.97
RANI,2022-10-05,9.95,10.07,9.51,9.51
RANI,2022-10-06,9.59,10.32,9.59,9.79
RANI,2022-10-07,9.81,9.9209,6.96,7.11
RANI,2022-10-10,7.54,7.9511,6.732,7.0
RANI,2022-10-11,7.37,9.2,6.74,8.0
RANI,2022-10-12,8.12,8.455,7.51,8.04
RANI,2022-10-13,7.5,8.8,7.3,8.65
RANI,2022-10-14,8.56,8.6145,7.05,7.08
RANI,2022-10-17,7.4,7.46,6.915,7.44
RANI,2022-10-18,7.24,7.87,6.946,7.73
RANI,2022-10-19,7.82,7.82,6.77,7.01
RANI,2022-10-20,6.91,7.4999,6.54,6.92
RANI,2022-10-21,7.04,7.16,6.7,7.08
RANI,2022-10-24,7.0,7.0,6.17,6.37
RANI,2022-10-25,6.42,6.905,5.81,6.13
RANI,2022-10-26,6.23,6.67,5.7,5.81
RANI,2022-10-27,5.97,6.03,5.6201,6.03
RANI,2022-10-28,5.9,6.09,5.77,6.09
RANI,2022-10-31,6.21,6.235,5.81,6.1
RANI,2022-11-01,6.11,6.41,5.78,6.23
RANI,2022-11-02,6.11,6.57,6.01,6.38
RANI,2022-11-03,6.42,7.09,6.34,7.06
RANI,2022-11-04,7.11,7.11,6.25,6.56
RANI,2022-11-07,6.64,6.79,6.31,6.53
RANI,2022-11-08,7.0,7.0,6.34,6.51
RANI,2022-11-09,6.36,6.65,6.15,6.24
RANI,2022-11-10,6.0,6.74,6.0,6.35
RANI,2022-11-11,6.59,6.95,6.38,6.49
RANI,2022-11-14,6.81,7.15,6.2367,7.0
RANI,2022-11-15,7.0,8.34,7.0,7.64
RANI,2022-11-16,7.5,7.75,7.09,7.53
RANI,2022-11-17,7.25,7.67,6.81,7.46
RANI,2022-11-18,7.48,7.82,7.2246,7.39
RANI,2022-11-21,7.24,8.9899,7.24,8.09
RANI,2022-11-22,8.02,8.26,6.96,7.37
RANI,2022-11-23,7.32,8.72,7.32,7.89
RANI,2022-11-25,7.74,8.4,7.52,8.0
