ticker,date,open,high,low,close
RAY,2024-05-15,5.05,6.04,4.02,4.23
RAY,2024-05-16,4.4,5.77,4.23,4.38
RAY,2024-05-17,4.7,5.16,3.6314,4.19
RAY,2024-05-20,4.32,4.4799,3.61,3.65
RAY,2024-05-21,3.77,3.9,3.31,3.55
RAY,2024-05-22,3.51,3.6871,3.21,3.52
RAY,2024-05-23,3.5,4.28,3.4001,4.06
RAY,2024-05-24,4.06,4.46,3.93,4.1584
RAY,2024-05-28,4.02,4.1,3.65,3.735
RAY,2024-05-29,3.73,3.8,3.42,3.7
RAY,2024-05-30,3.56,3.75,3.5,3.5897
RAY,2024-05-31,3.59,3.75,3.4,3.44
RAY,2024-06-03,3.53,3.7,3.3859,3.675
RAY,2024-06-04,3.7,3.96,3.4351,3.6539
RAY,2024-06-05,3.93,3.93,3.68,3.72
RAY,2024-06-06,3.8,3.82,3.52,3.6181
RAY,2024-06-07,3.61,3.89,3.394,3.84
RAY,2024-06-10,3.7784,3.7784,3.5937,3.7784
RAY,2024-06-11,3.62,3.7925,3.4,3.7536
RAY,2024-06-12,3.54,3.7219,3.53,3.7219
RAY,2024-06-13,3.61,3.7834,3.56,3.73
RAY,2024-06-14,3.65,3.778,3.55,3.55
RAY,2024-06-17,3.756,3.756,3.41,3.6299
RAY,2024-06-18,3.67,3.67,3.3,3.42
RAY,2024-06-20,3.3,3.5997,3.2,3.4222
RAY,2024-06-21,3.35,3.54,3.04,3.2
RAY,2024-06-24,3.17,3.5,3.0,3.45
RAY,2024-06-25,3.35,3.66,3.23,3.66
RAY,2024-06-26,3.69,3.8,3.54,3.8
RAY,2024-06-27,3.75,3.8192,3.68,3.75
RAY,2024-06-28,3.78,3.86,3.65,3.83
RAY,2024-07-01,3.8999,4.18,3.83,3.85
RAY,2024-07-02,3.9808,4.1,3.9,4.0
RAY,2024-07-03,3.86,4.27,3.86,4.2
RAY,2024-07-05,4.24,4.64,4.0801,4.34
RAY,2024-07-08,4.57,4.6,3.6501,3.81
RAY,2024-07-09,3.95,4.3,3.54,3.61
RAY,2024-07-10,3.7,3.75,3.4594,3.5
RAY,2024-07-11,3.81,3.9,3.35,3.395
RAY,2024-07-12,3.48,3.53,3.05,3.07
RAY,2024-07-15,3.15,3.6,3.11,3.26
RAY,2024-07-16,3.38,3.45,3.11,3.26
RAY,2024-07-17,3.39,3.4,3.12,3.3
RAY,2024-07-18,3.37,3.37,3.005,3.12
RAY,2024-07-19,3.14,3.8,3.12,3.58
RAY,2024-07-22,3.73,3.78,3.5,3.58
RAY,2024-07-23,3.57,3.6,3.2,3.295
RAY,2024-07-24,3.2,3.49,3.1,3.44
RAY,2024-07-25,3.34,3.35,3.28,3.3059
RAY,2024-07-26,3.31,3.33,3.31,3.33
RAY,2024-07-29,3.39,3.436,3.3301,3.436
RAY,2024-07-30,3.39,3.4499,3.35,3.44
RAY,2024-07-31,3.45,3.5884,3.4,3.5112
RAY,2024-08-01,3.5098,3.6,3.1,3.21
RAY,2024-08-02,3.25,3.58,3.21,3.21
RAY,2024-08-05,3.2,3.48,3.03,3.3
RAY,2024-08-06,3.31,3.35,3.16,3.32
RAY,2024-08-07,3.2,3.33,2.94,2.94
RAY,2024-08-08,3.41,3.41,2.77,2.81
RAY,2024-08-09,2.83,2.9,2.48,2.5
RAY,2024-08-12,2.54,2.87,2.1501,2.35
RAY,2024-08-13,2.47,2.685,2.36,2.43
RAY,2024-08-14,2.44,2.47,2.2,2.2
RAY,2024-08-15,2.13,2.23,1.17,1.56
RAY,2024-08-16,1.79,1.9971,1.64,1.76
RAY,2024-08-19,1.82,1.85,1.11,1.31
RAY,2024-08-20,1.3,1.56,1.25,1.54
RAY,2024-08-21,1.56,1.74,1.555,1.65
RAY,2024-08-22,1.6,1.73,1.6,1.65
RAY,2024-08-23,1.66,1.7677,1.6,1.69
RAY,2024-08-26,1.6303,1.816,1.48,1.5
RAY,2024-08-27,1.49,1.6399,1.4562,1.54
RAY,2024-08-28,1.48,1.64,1.4412,1.49
RAY,2024-08-29,1.65,2.49,1.601,2.08
RAY,2024-08-30,1.94,2.3,1.91,1.92
RAY,2024-09-03,1.92,2.16,1.62,1.67
RAY,2024-09-04,1.62,1.98,1.62,1.77
RAY,2024-09-05,1.72,1.85,1.6426,1.782
RAY,2024-09-06,1.86,1.86,1.64,1.65
RAY,2024-09-09,1.65,1.9,1.61,1.69
RAY,2024-09-10,1.8,1.89,1.6576,1.72
RAY,2024-09-11,1.75,1.75,1.56,1.69
RAY,2024-09-12,1.99,2.45,1.82,2.1
RAY,2024-09-13,2.0,2.0096,1.85,2.0
RAY,2024-09-16,1.94,1.996,1.93,1.96
RAY,2024-09-17,2.01,2.01,1.832,1.9
RAY,2024-09-18,2.0,2.0,1.89,1.89
RAY,2024-09-19,1.97,1.99,1.83,1.91
RAY,2024-09-20,1.94,1.94,1.85,1.89
RAY,2024-09-23,1.89,1.89,1.75,1.8398
RAY,2024-09-24,1.84,1.94,1.8,1.91
RAY,2024-09-25,1.8601,1.97,1.8,1.81
RAY,2024-09-26,1.86,1.899,1.817,1.8535
RAY,2024-09-27,1.89,1.98,1.8521,1.9
RAY,2024-09-30,1.9,2.2,1.85,2.019
RAY,2024-10-01,2.07,2.07,1.9105,1.94
RAY,2024-10-02,1.88,1.88,1.8,1.88
RAY,2024-10-03,1.81,1.85,1.62,1.71
