ticker,date,open,high,low,close
RAYA,2022-12-14,3.7,3.75,3.21,3.37
RAYA,2022-12-15,3.12,3.35,2.51,2.58
RAYA,2022-12-16,2.35,2.5,2.1,2.19
RAYA,2022-12-19,1.92,1.9918,1.72,1.83
RAYA,2022-12-20,1.89,2.7,1.76,2.7
RAYA,2022-12-21,2.64,3.69,2.42,3.57
RAYA,2022-12-22,3.45,3.8864,3.05,3.3
RAYA,2022-12-23,3.29,3.3399,3.05,3.0953
RAYA,2022-12-27,3.06,3.06,2.5,2.555
RAYA,2022-12-28,2.7,2.8,2.2169,2.38
RAYA,2022-12-29,2.1,2.19,1.98,2.08
RAYA,2022-12-30,2.02,2.04,1.81,1.99
RAYA,2023-01-03,2.04,2.25,2.04,2.15
RAYA,2023-01-04,2.15,2.1714,2.01,2.08
RAYA,2023-01-05,2.08,2.15,1.9001,2.14
RAYA,2023-01-06,2.14,2.14,2.0113,2.07
RAYA,2023-01-09,1.95,2.09,1.9175,2.09
RAYA,2023-01-10,2.0,2.77,1.933,2.68
RAYA,2023-01-11,2.84,2.84,2.2755,2.44
RAYA,2023-01-12,2.45,2.6,2.33,2.49
RAYA,2023-01-13,2.42,2.55,2.2601,2.5
RAYA,2023-01-17,2.33,2.49,2.13,2.3101
RAYA,2023-01-18,2.39,2.4599,2.1205,2.2001
RAYA,2023-01-19,2.2,2.2,2.1099,2.2
RAYA,2023-01-20,2.21,2.2797,2.11,2.19
RAYA,2023-01-23,2.28,2.3899,2.1501,2.355
RAYA,2023-01-24,2.35,2.76,2.3,2.54
RAYA,2023-01-25,2.57,2.57,2.33,2.5
RAYA,2023-01-26,2.54,2.56,2.36,2.49
RAYA,2023-01-27,2.4087,2.69,2.4,2.62
RAYA,2023-01-30,2.63,2.633,2.5,2.5501
RAYA,2023-01-31,2.51,2.8,2.5,2.7201
RAYA,2023-02-01,2.82,2.85,2.65,2.81
RAYA,2023-02-02,2.85,3.16,2.7004,2.96
RAYA,2023-02-03,2.96,3.2499,2.85,3.21
RAYA,2023-02-06,3.18,3.4,3.18,3.33
RAYA,2023-02-07,3.38,3.39,2.87,3.07
RAYA,2023-02-08,2.99,3.22,2.91,3.06
RAYA,2023-02-09,3.0898,3.1,2.8,2.89
RAYA,2023-02-10,2.99,3.0199,2.85,2.95
RAYA,2023-02-13,3.21,3.21,2.85,2.99
RAYA,2023-02-14,2.88,2.88,2.51,2.67
RAYA,2023-02-15,2.52,2.75,2.52,2.73
RAYA,2023-02-16,2.7,2.87,2.6508,2.84
RAYA,2023-02-17,2.73,2.95,2.73,2.85
RAYA,2023-02-21,2.7995,2.97,2.75,2.87
RAYA,2023-02-22,2.87,2.9251,2.7505,2.9
RAYA,2023-02-23,2.76,2.95,2.76,2.89
RAYA,2023-02-24,2.708,2.87,2.7001,2.79
RAYA,2023-02-27,2.71,2.71,2.6016,2.68
RAYA,2023-02-28,2.6,2.73,2.6,2.73
RAYA,2023-03-01,2.82,3.18,2.38,2.54
RAYA,2023-03-02,2.54,2.55,2.26,2.52
RAYA,2023-03-03,2.6868,2.6868,2.4001,2.56
RAYA,2023-03-06,2.41,2.73,2.41,2.655
RAYA,2023-03-07,2.72,2.72,2.41,2.62
RAYA,2023-03-08,2.4087,2.64,2.4087,2.64
RAYA,2023-03-09,2.56,2.72,2.41,2.7
RAYA,2023-03-10,2.575,2.75,2.4,2.66
RAYA,2023-03-13,2.59,2.62,2.1494,2.285
RAYA,2023-03-14,2.19,2.47,2.16,2.42
RAYA,2023-03-15,2.37,2.39,2.155,2.25
RAYA,2023-03-16,2.31,2.31,1.92,2.0
RAYA,2023-03-17,2.0,2.11,1.85,1.94
RAYA,2023-03-20,1.92,2.1,1.75,2.04
RAYA,2023-03-21,2.1,2.1,1.8,1.99
RAYA,2023-03-22,1.95,1.95,1.76,1.79
RAYA,2023-03-23,1.8,1.8,1.51,1.55
RAYA,2023-03-24,1.58,2.06,1.58,1.85
RAYA,2023-03-27,1.8,1.935,1.72,1.9
RAYA,2023-03-28,1.75,1.91,1.63,1.9099
RAYA,2023-03-29,1.85,1.9,1.65,1.78
RAYA,2023-03-30,1.71,1.79,1.515,1.68
RAYA,2023-03-31,1.75,2.0,1.75,2.0
RAYA,2023-04-03,1.95,2.08,1.72,1.91
RAYA,2023-04-04,1.95,2.17,1.67,2.04
RAYA,2023-04-05,1.98,2.18,1.89,2.06
RAYA,2023-04-06,1.97,2.08,1.7429,2.01
RAYA,2023-04-10,1.82,2.08,1.71,1.98
RAYA,2023-04-11,1.7592,1.8612,1.71,1.83
RAYA,2023-04-12,1.87,1.87,1.7,1.8
RAYA,2023-04-13,1.725,1.82,1.66,1.77
RAYA,2023-04-14,1.681,1.8,1.681,1.77
RAYA,2023-04-17,1.72,1.78,1.65,1.74
RAYA,2023-04-18,1.76,1.79,1.64,1.79
