ticker,date,open,high,low,close
RCEL,2012-05-14,26.65,26.65,25.0,25.0
RCEL,2012-05-15,27.45,27.45,26.25,26.25
RCEL,2012-05-16,26.0,26.0,24.75,25.75
RCEL,2012-05-17,26.0,27.15,26.0,27.15
RCEL,2012-05-18,25.4,25.4,24.0,24.0
RCEL,2012-05-21,25.3,25.55,25.3,25.3
RCEL,2012-05-22,25.7,25.7,24.5,25.25
RCEL,2012-05-23,23.05,23.05,21.25,22.25
RCEL,2012-05-24,22.25,22.25,22.25,22.25
RCEL,2012-05-25,23.2,23.2,22.75,22.75
RCEL,2012-05-29,22.2,22.2,20.15,22.2
RCEL,2012-05-30,21.0,21.0,20.5,21.0
RCEL,2012-05-31,21.5,21.5,21.5,21.5
RCEL,2012-06-01,20.85,20.85,20.0,20.5
RCEL,2012-06-04,19.55,19.55,18.0,18.0
RCEL,2012-06-05,18.05,19.5,18.05,19.5
RCEL,2012-06-06,20.5,20.65,20.1,20.65
RCEL,2012-06-07,20.75,21.05,20.75,21.05
RCEL,2012-06-08,21.5,22.2,21.5,22.2
RCEL,2012-06-11,21.8,21.8,21.8,21.8
RCEL,2012-06-12,21.1,21.1,20.85,21.0
RCEL,2012-06-13,21.2,21.2,20.25,20.4
RCEL,2012-06-14,20.6,20.6,20.5,20.5
RCEL,2012-06-15,21.15,21.15,21.1,21.1
RCEL,2012-06-18,20.5,21.0,20.4,21.0
RCEL,2012-06-19,20.7,20.7,20.7,20.7
RCEL,2012-06-20,20.0,20.0,20.0,20.0
RCEL,2012-06-21,20.0,20.0,20.0,20.0
RCEL,2012-06-22,20.0,20.0,20.0,20.0
RCEL,2012-06-25,17.6,19.5,17.6,19.5
RCEL,2012-06-26,19.5,19.5,19.5,19.5
RCEL,2012-06-27,19.5,19.5,19.5,19.5
RCEL,2012-06-28,19.0,19.5,19.0,19.5
RCEL,2012-06-29,20.0,20.65,20.0,20.65
RCEL,2012-07-02,19.95,19.95,19.95,19.95
RCEL,2012-07-03,19.95,19.95,19.95,19.95
RCEL,2012-07-05,20.25,20.25,20.0,20.0
RCEL,2012-07-06,19.5,19.5,19.25,19.25
RCEL,2012-07-09,18.85,20.4,18.85,20.4
RCEL,2012-07-10,20.4,20.4,20.4,20.4
RCEL,2012-07-11,20.4,20.4,20.4,20.4
RCEL,2012-07-12,19.4,19.4,18.55,18.55
RCEL,2012-07-13,18.95,20.0,18.95,20.0
RCEL,2012-07-16,20.0,20.0,20.0,20.0
RCEL,2012-07-17,20.0,20.0,20.0,20.0
RCEL,2012-07-18,20.0,20.0,20.0,20.0
RCEL,2012-07-19,19.95,19.95,19.95,19.95
RCEL,2012-07-20,19.75,19.75,19.65,19.65
RCEL,2012-07-23,19.95,19.95,19.95,19.95
RCEL,2012-07-24,19.95,19.95,19.95,19.95
RCEL,2012-07-25,19.95,19.95,19.95,19.95
RCEL,2012-07-26,18.55,18.55,18.25,18.25
RCEL,2012-07-27,18.5,18.5,18.0,18.45
RCEL,2012-07-30,18.1,18.6,18.1,18.6
RCEL,2012-07-31,17.75,18.0,17.75,18.0
RCEL,2012-08-01,18.0,18.0,18.0,18.0
RCEL,2012-08-02,17.4,17.6,17.4,17.6
RCEL,2012-08-03,17.75,17.75,17.75,17.75
RCEL,2012-08-06,17.75,17.75,17.0,17.0
RCEL,2012-08-07,17.0,17.0,16.05,16.05
RCEL,2012-08-08,16.25,16.25,16.1,16.1
RCEL,2012-08-09,15.9,16.0,15.9,15.95
RCEL,2012-08-10,15.0,15.05,14.5,14.8
RCEL,2012-08-13,14.05,14.75,14.05,14.75
RCEL,2012-08-14,14.75,16.6,14.75,16.3
RCEL,2012-08-15,13.9,13.9,13.9,13.9
RCEL,2012-08-16,15.0,15.0,15.0,15.0
RCEL,2012-08-17,15.0,15.0,15.0,15.0
RCEL,2012-08-20,13.4,13.45,13.4,13.45
RCEL,2012-08-21,15.75,15.75,15.75,15.75
RCEL,2012-08-22,13.4,16.25,13.4,16.25
RCEL,2012-08-23,15.7,15.7,15.7,15.7
RCEL,2012-08-24,15.7,15.7,15.7,15.7
RCEL,2012-08-27,14.6,14.6,14.6,14.6
RCEL,2012-08-28,14.75,14.75,14.75,14.75
RCEL,2012-08-29,14.75,14.75,14.75,14.75
RCEL,2012-08-30,14.6,14.6,14.6,14.6
RCEL,2012-08-31,14.6,14.8,14.6,14.8
RCEL,2012-09-04,15.1,15.1,15.1,15.1
RCEL,2012-09-05,13.6,13.6,12.45,12.45
RCEL,2012-09-06,12.25,14.1,12.25,14.0
RCEL,2012-09-07,13.25,13.25,12.25,12.25
RCEL,2012-09-10,12.25,12.25,12.25,12.25
RCEL,2012-09-11,12.25,14.2,12.25,14.0
RCEL,2012-09-12,14.0,14.0,12.5,12.5
RCEL,2012-09-13,13.9,13.9,13.9,13.9
RCEL,2012-09-14,14.0,14.25,13.85,13.85
RCEL,2012-09-17,13.75,13.75,13.75,13.75
RCEL,2012-09-18,13.6,14.0,13.6,14.0
RCEL,2012-09-19,13.3,13.4,13.3,13.3
RCEL,2012-09-20,13.3,13.3,13.3,13.3
RCEL,2012-09-21,13.5,13.5,13.35,13.35
RCEL,2012-09-24,13.85,13.85,13.85,13.85
RCEL,2012-09-25,12.65,12.65,12.65,12.65
RCEL,2012-09-26,13.85,13.85,13.0,13.0
RCEL,2012-09-27,13.0,13.0,13.0,13.0
RCEL,2012-09-28,13.0,13.0,13.0,13.0
RCEL,2012-10-01,13.85,14.2,13.6,13.6
RCEL,2012-10-02,13.9,13.9,13.5,13.5
RCEL,2012-10-03,14.25,14.6,14.25,14.55
RCEL,2012-10-04,13.95,13.95,13.75,13.75
RCEL,2012-10-05,13.75,13.75,13.75,13.75
RCEL,2012-10-08,13.75,13.75,13.15,13.15
RCEL,2012-10-09,13.8,13.8,13.75,13.75
RCEL,2012-10-10,14.4,14.4,14.4,14.4
RCEL,2012-10-11,14.4,14.4,14.4,14.4
RCEL,2012-10-12,15.2,15.2,15.2,15.2
RCEL,2012-10-15,14.5,14.95,14.5,14.75
RCEL,2012-10-16,15.1,15.1,15.0,15.0
RCEL,2012-10-17,15.4,15.4,14.5,14.5
RCEL,2012-10-18,14.5,14.5,14.25,14.25
RCEL,2012-10-19,13.65,14.4,13.65,14.0
RCEL,2012-10-22,14.3,14.3,13.65,13.65
RCEL,2012-10-23,15.5,15.5,14.25,14.25
RCEL,2012-10-24,14.25,14.25,14.25,14.25
RCEL,2012-10-25,14.25,14.25,14.25,14.25
RCEL,2012-10-26,14.15,14.15,13.5,13.5
RCEL,2012-10-31,13.6,13.6,13.5,13.5
RCEL,2012-11-01,13.5,13.5,13.5,13.5
RCEL,2012-11-02,14.65,14.65,14.65,14.65
RCEL,2012-11-05,14.0,14.0,13.0,13.9
RCEL,2012-11-06,13.35,13.35,12.9,13.25
RCEL,2012-11-07,13.1,13.1,12.85,12.85
RCEL,2012-11-08,13.5,13.5,12.75,12.75
RCEL,2012-11-09,13.1,13.1,13.05,13.05
RCEL,2012-11-12,13.0,13.0,13.0,13.0
RCEL,2012-11-13,12.75,13.0,12.5,12.6
RCEL,2012-11-14,12.55,12.55,11.9,12.4
RCEL,2012-11-15,11.6,11.6,11.6,11.6
RCEL,2012-11-16,12.25,12.5,12.15,12.15
RCEL,2012-11-19,12.7,12.9,12.5,12.9
RCEL,2012-11-20,12.25,13.0,12.25,13.0
RCEL,2012-11-21,13.0,13.0,13.0,13.0
RCEL,2012-11-23,13.0,13.0,13.0,13.0
RCEL,2012-11-26,13.0,13.0,12.95,12.95
RCEL,2012-11-27,12.7,12.7,12.65,12.65
RCEL,2012-11-28,13.0,13.0,13.0,13.0
RCEL,2012-11-29,14.5,14.5,14.5,14.5
RCEL,2012-11-30,14.5,14.5,14.5,14.5
RCEL,2012-12-03,14.35,14.5,14.3,14.3
RCEL,2012-12-04,14.25,14.25,13.5,13.5
RCEL,2012-12-05,13.85,13.85,13.85,13.85
RCEL,2012-12-06,13.85,13.85,13.85,13.85
RCEL,2012-12-07,13.35,13.65,13.35,13.65
RCEL,2012-12-10,13.6,13.65,13.6,13.65
RCEL,2012-12-11,13.45,13.45,13.45,13.45
RCEL,2012-12-12,13.5,13.6,13.5,13.6
RCEL,2012-12-13,13.45,13.75,13.45,13.75
RCEL,2012-12-14,13.35,13.75,13.35,13.75
RCEL,2012-12-17,13.75,13.75,13.75,13.75
RCEL,2012-12-18,13.35,13.35,13.3,13.3
RCEL,2012-12-19,12.9,12.9,12.8,12.85
RCEL,2012-12-20,12.85,12.85,12.85,12.85
RCEL,2012-12-21,12.8,12.8,12.65,12.8
RCEL,2012-12-24,12.65,12.65,12.65,12.65
RCEL,2012-12-26,12.95,13.05,12.85,13.05
RCEL,2012-12-27,12.75,12.95,12.7,12.95
RCEL,2012-12-28,12.65,12.65,12.5,12.5
RCEL,2012-12-31,12.5,12.5,12.5,12.5
RCEL,2013-01-02,12.65,12.65,12.65,12.65
RCEL,2013-01-03,12.5,12.5,12.5,12.5
RCEL,2013-01-04,12.85,12.85,12.8,12.8
RCEL,2013-01-07,12.3,12.45,12.3,12.45
RCEL,2013-01-08,11.3,12.75,11.3,12.75
RCEL,2013-01-09,12.85,12.85,12.85,12.85
RCEL,2013-01-10,12.4,12.4,12.4,12.4
RCEL,2013-01-11,12.4,12.4,12.4,12.4
RCEL,2013-01-14,12.3,12.35,12.3,12.35
RCEL,2013-01-15,12.35,12.5,12.35,12.5
RCEL,2013-01-16,12.3,12.3,12.3,12.3
RCEL,2013-01-17,12.45,12.5,12.45,12.5
RCEL,2013-01-18,12.35,12.45,12.25,12.45
RCEL,2013-01-22,12.4,12.4,12.25,12.25
RCEL,2013-01-23,12.3,12.65,12.25,12.6
RCEL,2013-01-24,12.1,12.35,12.1,12.35
RCEL,2013-01-25,12.75,12.75,12.4,12.4
RCEL,2013-01-28,12.75,12.75,12.75,12.75
RCEL,2013-01-29,12.75,12.75,12.75,12.75
RCEL,2013-01-30,12.75,13.0,12.7,12.95
RCEL,2013-01-31,13.25,13.25,13.25,13.25
RCEL,2013-02-01,13.25,13.25,13.25,13.25
RCEL,2013-02-04,12.7,12.8,12.7,12.8
RCEL,2013-02-05,12.65,13.05,12.35,12.55
RCEL,2013-02-06,13.0,13.0,13.0,13.0
RCEL,2013-02-07,13.0,13.0,13.0,13.0
RCEL,2013-02-08,13.0,13.0,13.0,13.0
RCEL,2013-02-11,14.15,14.4,13.4,14.4
RCEL,2013-02-12,14.7,14.75,14.7,14.7
RCEL,2013-02-13,14.75,14.75,14.7,14.75
RCEL,2013-02-14,15.25,15.25,15.15,15.25
RCEL,2013-02-15,15.8,15.8,15.8,15.8
RCEL,2013-02-19,15.8,15.8,15.8,15.8
RCEL,2013-02-20,15.8,15.8,15.25,15.25
RCEL,2013-02-21,15.1,15.5,14.65,14.95
RCEL,2013-02-22,14.75,14.8,14.65,14.65
RCEL,2013-02-25,14.65,14.65,14.5,14.5
RCEL,2013-02-26,14.2,14.2,13.5,14.15
RCEL,2013-02-27,13.85,13.85,13.85,13.85
RCEL,2013-02-28,13.55,13.55,13.1,13.35
RCEL,2013-03-01,12.8,12.8,12.35,12.5
RCEL,2013-03-04,13.0,13.2,12.35,13.2
RCEL,2013-03-05,13.2,13.2,13.2,13.2
RCEL,2013-03-06,13.2,13.2,13.0,13.15
RCEL,2013-03-07,13.15,13.15,13.15,13.15
RCEL,2013-03-08,13.15,13.15,13.15,13.15
RCEL,2013-03-11,13.45,13.45,13.3,13.3
RCEL,2013-03-12,13.3,13.3,13.3,13.3
RCEL,2013-03-13,13.5,13.5,13.5,13.5
RCEL,2013-03-14,13.75,13.75,12.7,12.7
RCEL,2013-03-15,12.7,12.7,12.7,12.7
RCEL,2013-03-18,12.7,12.7,12.7,12.7
RCEL,2013-03-19,13.0,13.0,13.0,13.0
RCEL,2013-03-20,13.0,13.0,13.0,13.0
RCEL,2013-03-21,13.0,13.0,13.0,13.0
RCEL,2013-03-22,12.8,12.8,12.1,12.1
RCEL,2013-03-25,12.4,12.5,12.4,12.5
RCEL,2013-03-26,12.35,12.35,12.35,12.35
RCEL,2013-03-27,12.2,12.2,12.15,12.15
RCEL,2013-03-28,12.5,12.5,12.5,12.5
RCEL,2013-04-01,12.5,12.5,12.4,12.4
RCEL,2013-04-02,12.5,12.65,12.5,12.65
RCEL,2013-04-03,12.75,12.75,12.45,12.45
RCEL,2013-04-04,12.25,12.3,12.25,12.3
RCEL,2013-04-05,12.0,12.1,11.85,12.1
RCEL,2013-04-08,12.0,12.0,12.0,12.0
RCEL,2013-04-09,12.05,12.3,11.75,12.3
RCEL,2013-04-10,12.4,12.4,11.9,11.9
RCEL,2013-04-11,11.9,11.9,11.9,11.9
RCEL,2013-04-12,12.25,12.25,11.9,12.05
RCEL,2013-04-15,11.7,11.7,11.5,11.5
RCEL,2013-04-16,11.1,11.2,11.0,11.2
RCEL,2013-04-17,10.55,10.85,9.55,9.7
RCEL,2013-04-18,9.55,10.7,9.55,9.8
RCEL,2013-04-19,9.65,9.95,9.65,9.75
RCEL,2013-04-22,9.75,9.75,9.35,9.35
RCEL,2013-04-23,10.0,10.0,9.75,9.9
RCEL,2013-04-24,10.5,10.5,10.2,10.2
RCEL,2013-04-25,10.2,10.2,10.2,10.2
RCEL,2013-04-26,10.55,11.0,10.5,10.75
RCEL,2013-04-29,9.4,10.5,9.4,10.0
RCEL,2013-04-30,10.0,10.0,10.0,10.0
RCEL,2013-05-01,9.8,9.8,9.75,9.75
RCEL,2013-05-02,9.85,9.85,9.85,9.85
RCEL,2013-05-03,9.85,9.85,9.85,9.85
RCEL,2013-05-06,10.1,10.7,10.0,10.65
RCEL,2013-05-07,10.45,10.5,10.35,10.35
RCEL,2013-05-08,10.5,10.7,10.35,10.45
RCEL,2013-05-09,10.4,10.45,10.4,10.45
RCEL,2013-05-10,10.45,10.45,10.45,10.45
RCEL,2013-05-13,10.5,10.6,10.5,10.6
RCEL,2013-05-14,10.25,10.25,9.8,9.9
RCEL,2013-05-15,9.8,9.8,9.8,9.8
RCEL,2013-05-16,9.8,9.8,9.8,9.8
RCEL,2013-05-17,9.8,10.35,9.8,10.05
