ticker,date,open,high,low,close
RDVT,2018-03-27,6.4,7.0,6.05,6.2
RDVT,2018-03-28,6.0,6.2,5.23,5.73
RDVT,2018-03-29,5.25,6.1,5.05,6.1
RDVT,2018-04-02,6.1,6.95,5.6701,6.95
RDVT,2018-04-03,6.95,7.2,6.81,7.11
RDVT,2018-04-04,7.07,7.68,7.07,7.6
RDVT,2018-04-05,7.27,7.5,7.15,7.24
RDVT,2018-04-06,6.99,8.05,6.87,7.88
RDVT,2018-04-09,7.89,9.77,7.89,9.51
RDVT,2018-04-10,9.05,9.45,8.3101,9.15
RDVT,2018-04-11,8.83,9.08,8.81,8.83
RDVT,2018-04-12,8.5,8.86,8.1,8.3
RDVT,2018-04-13,8.3,8.92,7.65,7.85
RDVT,2018-04-16,7.86,7.86,6.9345,7.11
RDVT,2018-04-17,7.12,7.49,7.09,7.17
RDVT,2018-04-18,7.19,7.815,7.1,7.67
RDVT,2018-04-19,7.73,8.2,7.53,7.8
RDVT,2018-04-20,7.59,8.18,7.47,7.61
RDVT,2018-04-23,7.59,7.6,7.1466,7.29
RDVT,2018-04-24,7.36,7.82,6.37,6.65
RDVT,2018-04-25,6.68,6.8,6.381,6.39
RDVT,2018-04-26,6.4,6.799,6.15,6.22
RDVT,2018-04-27,6.17,6.3,6.1,6.3
RDVT,2018-04-30,6.14,6.44,6.1001,6.3
RDVT,2018-05-01,6.26,6.26,6.0,6.09
RDVT,2018-05-02,5.8253,6.05,5.6178,5.95
RDVT,2018-05-03,5.91,5.9622,5.74,5.86
RDVT,2018-05-04,5.82,5.91,5.33,5.8
RDVT,2018-05-07,5.68,5.84,5.41,5.46
RDVT,2018-05-08,5.45,5.5,5.15,5.24
RDVT,2018-05-09,5.22,5.41,4.96,5.0
RDVT,2018-05-10,5.05,5.16,4.35,4.56
RDVT,2018-05-11,4.38,5.25,4.38,5.25
RDVT,2018-05-14,5.25,5.89,5.005,5.67
RDVT,2018-05-15,5.72,10.0499,5.667,9.94
RDVT,2018-05-16,8.71,9.5,7.65,7.8
RDVT,2018-05-17,7.84,9.06,7.2,7.51
RDVT,2018-05-18,7.73,8.88,7.5,7.71
RDVT,2018-05-21,7.6,8.0,7.12,7.53
RDVT,2018-05-22,7.59,8.38,7.38,7.85
RDVT,2018-05-23,7.86,8.27,7.81,8.09
RDVT,2018-05-24,8.13,8.15,7.4337,7.84
RDVT,2018-05-25,7.8,7.8,7.44,7.51
RDVT,2018-05-29,7.44,7.68,7.04,7.27
RDVT,2018-05-30,7.09,7.41,7.09,7.19
RDVT,2018-05-31,7.2,7.3,7.05,7.25
RDVT,2018-06-01,7.3,7.94,7.1954,7.91
RDVT,2018-06-04,8.0,8.4884,7.4786,7.62
RDVT,2018-06-05,7.68,7.82,7.53,7.63
RDVT,2018-06-06,7.64,7.94,7.465,7.74
