ticker,date,open,high,low,close
RELI,2018-10-09,36.75,93.9,36.3,91.35
RELI,2018-10-10,96.45,114.3,82.35,102.75
RELI,2018-10-11,102.15,104.25,76.5,104.25
RELI,2018-10-12,104.55,104.55,87.45,89.55
RELI,2018-10-15,87.75,135.0,87.75,115.2
RELI,2018-10-16,115.65,162.0,107.85,127.65
RELI,2018-10-17,147.15,159.45,76.95,88.65
RELI,2018-10-18,85.2,109.35,81.6,99.6
RELI,2018-10-19,103.8,109.35,92.55,104.1
RELI,2018-10-23,77.1,108.0,69.45,105.45
RELI,2018-10-24,97.65,101.25,79.65,89.4
RELI,2018-10-25,90.0,115.65,70.65,86.1
RELI,2018-10-31,83.55,103.5,73.35,96.45
RELI,2018-11-01,94.5,101.4,86.1,101.25
RELI,2018-11-02,95.7,100.2,90.0,99.0
RELI,2018-11-05,99.0,113.1,87.45,98.7
RELI,2018-11-06,98.7,104.1,90.15,91.35
RELI,2018-11-07,92.55,92.55,83.1,83.55
RELI,2018-11-08,85.65,102.9,77.1,94.5
RELI,2018-11-09,97.65,102.15,84.9,100.35
RELI,2018-11-12,100.35,109.35,90.45,109.35
RELI,2018-11-13,109.35,117.0,98.25,115.65
RELI,2018-11-14,146.55,231.45,119.55,226.35
RELI,2018-11-15,227.55,435.9,199.35,282.15
RELI,2018-11-16,276.45,360.0,231.45,321.45
RELI,2018-11-19,231.45,392.1,231.45,244.2
RELI,2018-11-20,269.85,289.2,226.5,231.45
RELI,2018-11-21,237.9,262.95,192.9,231.3
RELI,2018-11-23,244.2,257.1,218.7,252.6
RELI,2018-11-26,254.55,268.65,192.9,205.65
RELI,2018-11-27,167.1,205.65,144.6,183.9
RELI,2018-11-28,184.05,227.55,160.65,225.0
RELI,2018-11-29,218.55,321.45,192.9,289.2
RELI,2018-11-30,331.65,331.65,203.4,228.3
RELI,2018-12-03,215.7,308.55,215.7,284.1
RELI,2018-12-04,244.2,293.85,228.45,257.25
RELI,2018-12-06,257.1,257.1,193.8,202.5
RELI,2018-12-07,198.9,202.5,186.45,199.35
RELI,2018-12-10,202.5,202.5,165.9,198.0
RELI,2018-12-11,176.85,198.0,176.85,192.75
RELI,2018-12-12,192.6,270.0,165.9,237.75
RELI,2018-12-13,208.95,251.4,208.95,250.2
RELI,2018-12-14,249.75,257.1,235.2,247.2
RELI,2018-12-17,237.0,270.0,235.2,237.15
RELI,2018-12-18,268.65,289.2,165.9,237.9
RELI,2018-12-19,212.1,218.4,155.55,168.45
RELI,2018-12-20,174.45,174.45,104.1,135.0
RELI,2018-12-21,146.55,195.75,115.65,194.7
RELI,2018-12-24,192.9,203.1,174.15,194.1
RELI,2018-12-26,167.1,223.35,167.1,223.35
RELI,2018-12-27,225.0,243.0,217.2,231.45
RELI,2018-12-28,231.45,255.9,214.65,255.9
RELI,2018-12-31,232.65,235.05,205.2,225.0
RELI,2019-01-02,204.6,205.65,169.65,199.35
RELI,2019-01-03,199.35,204.15,180.15,204.15
RELI,2019-01-04,167.85,224.85,167.85,224.85
RELI,2019-01-07,221.55,225.0,199.35,208.35
RELI,2019-01-08,210.9,223.65,199.35,215.4
RELI,2019-01-09,207.3,231.45,199.35,225.0
RELI,2019-01-10,218.55,223.65,207.0,223.65
RELI,2019-01-11,218.55,257.1,218.25,256.95
RELI,2019-01-14,231.45,256.95,231.45,254.55
RELI,2019-01-15,236.55,249.75,205.65,218.55
RELI,2019-01-16,222.45,255.9,192.9,207.0
RELI,2019-01-17,181.2,303.15,181.2,276.45
RELI,2019-01-18,308.55,308.55,239.25,257.1
RELI,2019-01-22,257.1,270.0,239.1,254.55
RELI,2019-01-23,257.1,270.0,244.8,268.8
RELI,2019-01-24,244.2,268.5,237.9,250.5
RELI,2019-01-25,250.05,250.05,218.55,242.85
RELI,2019-01-28,250.65,250.65,213.45,236.25
RELI,2019-01-29,231.75,237.6,214.65,231.45
RELI,2019-01-30,213.9,263.55,213.9,258.9
RELI,2019-01-31,270.0,308.55,237.9,270.0
RELI,2019-02-01,268.05,270.0,231.45,257.7
RELI,2019-02-04,244.2,263.55,225.0,244.2
RELI,2019-02-05,228.9,228.9,192.9,224.7
RELI,2019-02-06,199.35,243.0,196.05,221.7
RELI,2019-02-07,257.1,257.1,186.6,243.0
RELI,2019-02-08,212.1,218.55,194.25,205.65
RELI,2019-02-11,204.9,215.7,192.9,203.55
RELI,2019-02-12,192.9,204.15,154.35,173.55
RELI,2019-02-13,185.1,204.15,174.9,185.7
RELI,2019-02-14,197.4,197.4,173.55,189.6
RELI,2019-02-15,176.1,186.45,167.1,170.25
RELI,2019-02-19,167.1,192.9,154.35,171.3
RELI,2019-02-20,171.3,178.65,154.35,177.45
RELI,2019-02-21,173.85,185.1,157.5,185.1
RELI,2019-02-22,174.0,183.15,157.65,182.4
RELI,2019-02-25,163.95,183.15,158.1,183.15
RELI,2019-02-26,176.1,190.35,163.35,190.35
RELI,2019-02-27,190.95,203.1,167.1,196.65
RELI,2019-02-28,196.65,219.15,177.3,217.2
RELI,2019-03-01,231.75,231.75,205.65,221.7
RELI,2019-03-04,225.0,257.1,217.2,236.1
RELI,2019-03-05,236.1,257.1,233.4,250.65
RELI,2019-03-06,250.65,282.9,250.65,269.55
RELI,2019-03-07,268.65,276.45,216.3,276.45
RELI,2019-03-08,231.6,257.1,231.45,254.55
RELI,2019-03-11,244.2,270.0,218.55,250.65
RELI,2019-03-12,252.6,270.0,249.75,249.75
RELI,2019-03-13,231.45,255.9,231.45,255.9
RELI,2019-03-14,250.65,253.2,225.0,249.45
RELI,2019-03-15,237.15,247.8,231.45,247.5
RELI,2019-03-18,226.05,244.5,194.1,218.55
RELI,2019-03-19,217.65,217.65,199.35,216.0
RELI,2019-03-20,205.65,250.65,205.65,236.55
RELI,2019-03-21,262.95,262.95,178.5,190.35
RELI,2019-03-22,184.95,190.35,184.95,190.35
RELI,2019-03-25,190.35,204.15,186.45,204.15
RELI,2019-03-26,203.1,206.4,192.9,206.4
RELI,2019-03-27,192.9,205.65,185.1,194.85
RELI,2019-03-28,185.1,210.9,169.2,210.9
RELI,2019-03-29,180.0,210.9,180.0,210.9
RELI,2019-04-01,192.9,204.45,181.35,200.55
RELI,2019-04-02,192.9,202.5,183.15,192.9
RELI,2019-04-03,192.9,209.55,182.55,209.55
RELI,2019-04-04,183.9,209.55,183.9,192.9
RELI,2019-04-05,192.9,205.65,186.45,204.75
RELI,2019-04-08,192.9,204.75,192.9,203.7
RELI,2019-04-09,199.8,209.4,190.35,205.65
RELI,2019-04-10,224.7,224.7,196.05,205.65
RELI,2019-04-11,192.9,209.4,186.45,192.9
RELI,2019-04-12,218.55,218.55,186.45,192.9
RELI,2019-04-15,199.35,199.35,160.65,176.1
RELI,2019-04-16,177.45,196.65,177.45,190.65
RELI,2019-04-17,189.15,189.15,141.45,177.3
RELI,2019-04-18,163.05,179.25,163.05,178.65
RELI,2019-04-22,163.05,170.25,147.9,166.65
RELI,2019-04-23,183.15,192.75,162.6,181.35
RELI,2019-04-24,205.65,205.65,157.05,179.85
RELI,2019-04-25,183.3,183.3,178.2,183.3
RELI,2019-04-26,151.65,192.75,151.65,189.0
RELI,2019-04-29,177.45,217.2,172.35,217.2
RELI,2019-04-30,214.65,230.1,205.65,225.9
RELI,2019-05-01,227.55,227.55,176.1,224.85
RELI,2019-05-02,182.1,199.2,178.2,196.65
RELI,2019-05-03,191.55,199.35,160.65,169.65
RELI,2019-05-06,197.25,197.25,193.8,193.8
RELI,2019-05-07,181.65,194.85,169.65,192.9
RELI,2019-05-08,192.9,216.45,173.55,205.65
RELI,2019-05-09,213.75,213.75,180.0,205.65
RELI,2019-05-10,239.1,239.1,168.45,191.55
RELI,2019-05-13,168.0,192.9,154.35,189.6
RELI,2019-05-14,234.0,234.0,167.1,180.0
RELI,2019-05-15,167.25,179.7,155.55,163.8
RELI,2019-05-16,199.35,199.35,173.55,189.6
RELI,2019-05-17,189.6,189.6,155.55,173.55
RELI,2019-05-20,163.35,185.1,163.35,185.1
RELI,2019-05-21,186.45,186.45,154.5,178.65
RELI,2019-05-22,179.25,179.25,154.35,169.8
RELI,2019-05-23,170.4,185.1,159.15,185.1
RELI,2019-05-24,185.1,185.1,167.1,180.0
RELI,2019-05-28,186.45,186.45,167.1,184.95
RELI,2019-05-29,183.3,183.3,165.9,183.3
RELI,2019-05-30,165.9,180.0,165.9,180.0
RELI,2019-05-31,185.1,185.1,158.85,179.55
RELI,2019-06-03,183.9,183.9,167.1,179.25
RELI,2019-06-04,177.0,178.05,167.1,177.3
RELI,2019-06-05,177.45,177.45,154.35,171.15
RELI,2019-06-06,167.1,173.55,161.85,173.55
RELI,2019-06-07,173.55,183.9,173.55,183.9
RELI,2019-06-10,183.9,183.9,173.55,180.0
RELI,2019-06-11,166.5,183.75,166.5,183.75
RELI,2019-06-12,186.3,198.0,180.0,192.9
RELI,2019-06-13,189.0,199.35,169.65,191.85
RELI,2019-06-14,192.9,192.9,177.15,177.15
RELI,2019-06-17,170.55,176.7,161.55,161.55
RELI,2019-06-18,161.55,175.95,161.55,161.85
RELI,2019-06-19,161.85,173.4,155.7,167.1
RELI,2019-06-20,155.55,161.4,131.85,159.45
RELI,2019-06-21,156.9,175.95,128.55,173.55
RELI,2019-06-24,174.9,179.7,160.65,177.75
RELI,2019-06-25,173.55,173.55,173.55,173.55
RELI,2019-06-26,171.9,173.55,157.5,172.35
RELI,2019-06-27,171.0,171.0,160.65,171.0
RELI,2019-06-28,168.75,168.75,168.75,168.75
RELI,2019-07-01,160.65,160.65,160.65,160.65
RELI,2019-07-02,160.65,168.75,160.65,168.75
RELI,2019-07-03,168.75,180.0,160.65,180.0
RELI,2019-07-05,180.75,180.75,160.05,160.05
RELI,2019-07-08,179.4,180.0,154.05,156.9
RELI,2019-07-09,160.65,180.0,160.65,180.0
RELI,2019-07-10,180.0,199.35,167.1,179.85
RELI,2019-07-11,173.55,225.0,173.55,208.5
RELI,2019-07-12,195.45,215.25,180.0,212.1
RELI,2019-07-15,214.05,214.05,214.05,214.05
RELI,2019-07-16,210.15,210.15,205.65,207.6
RELI,2019-07-17,208.8,220.5,192.9,218.55
RELI,2019-07-18,218.55,244.2,217.5,244.2
RELI,2019-07-19,244.2,250.5,209.7,222.45
RELI,2019-07-22,231.45,231.45,212.1,218.55
RELI,2019-07-23,205.8,218.55,199.65,218.55
RELI,2019-07-24,205.65,227.55,200.55,213.75
RELI,2019-07-25,225.0,225.0,225.0,225.0
RELI,2019-07-26,209.55,217.65,200.55,215.25
RELI,2019-07-29,221.7,221.7,221.7,221.7
RELI,2019-07-30,202.5,218.25,200.25,200.25
RELI,2019-07-31,199.8,224.85,199.8,212.1
RELI,2019-08-01,200.25,209.55,160.8,179.85
RELI,2019-08-02,207.3,210.45,195.45,205.65
RELI,2019-08-05,207.3,208.35,207.3,208.35
RELI,2019-08-06,210.6,210.6,198.6,198.6
RELI,2019-08-07,209.55,209.55,209.55,209.55
RELI,2019-08-08,192.9,192.9,167.1,192.9
RELI,2019-08-09,210.9,215.7,173.1,215.7
RELI,2019-08-12,215.7,215.7,178.8,190.35
RELI,2019-08-13,190.35,190.35,168.45,168.45
RELI,2019-08-14,189.0,200.85,175.5,200.85
RELI,2019-08-15,180.0,212.1,180.0,212.1
RELI,2019-08-16,180.0,208.95,177.75,208.95
RELI,2019-08-19,207.15,210.45,180.6,204.45
RELI,2019-08-20,192.75,222.45,192.75,222.3
RELI,2019-08-21,222.3,222.3,200.55,205.65
RELI,2019-08-22,193.05,219.9,193.05,207.15
RELI,2019-08-23,222.3,222.3,193.05,193.05
RELI,2019-08-26,231.45,231.45,212.1,225.0
RELI,2019-08-27,205.65,218.55,203.55,203.55
RELI,2019-08-28,205.65,205.65,199.35,205.65
RELI,2019-08-29,194.1,212.1,192.9,212.1
RELI,2019-08-30,212.1,225.0,212.1,223.5
RELI,2019-09-03,225.0,237.9,206.55,206.55
RELI,2019-09-04,228.15,250.65,214.95,218.55
RELI,2019-09-05,218.55,240.45,214.95,221.85
RELI,2019-09-06,219.45,237.75,218.1,237.6
RELI,2019-09-09,231.3,256.95,219.9,256.95
