ticker,date,open,high,low,close
ROP,1992-02-13,2.0,2.09,2.0,2.05
ROP,1992-02-14,2.06,2.28,2.06,2.25
ROP,1992-02-18,2.22,2.28,2.06,2.06
ROP,1992-02-19,2.09,2.16,2.03,2.16
ROP,1992-02-20,2.12,2.28,2.12,2.22
ROP,1992-02-21,2.22,2.28,2.22,2.28
ROP,1992-02-24,2.22,2.31,2.22,2.31
ROP,1992-02-25,2.27,2.31,2.25,2.28
ROP,1992-02-26,2.31,2.34,2.25,2.34
ROP,1992-02-27,2.28,2.44,2.28,2.41
ROP,1992-02-28,2.44,2.59,2.38,2.53
ROP,1992-03-02,2.59,2.61,2.47,2.56
ROP,1992-03-03,2.55,2.56,2.44,2.47
ROP,1992-03-04,2.47,2.53,2.44,2.44
ROP,1992-03-05,2.53,2.53,2.34,2.34
ROP,1992-03-06,2.39,2.44,2.34,2.34
ROP,1992-03-09,2.34,2.44,2.34,2.39
ROP,1992-03-10,2.34,2.44,2.34,2.44
ROP,1992-03-11,2.5,2.53,2.44,2.45
ROP,1992-03-12,2.44,2.53,2.44,2.44
ROP,1992-03-13,2.44,2.56,2.44,2.53
ROP,1992-03-16,2.5,2.56,2.5,2.56
ROP,1992-03-17,2.47,2.56,2.47,2.47
ROP,1992-03-18,2.47,2.47,2.47,2.47
ROP,1992-03-19,2.56,2.56,2.44,2.44
ROP,1992-03-20,2.44,2.53,2.44,2.53
ROP,1992-03-23,2.44,2.52,2.44,2.48
ROP,1992-03-24,2.47,2.52,2.44,2.44
ROP,1992-03-25,2.53,2.53,2.44,2.47
ROP,1992-03-26,2.41,2.42,2.41,2.41
ROP,1992-03-27,2.5,2.5,2.44,2.5
ROP,1992-03-30,2.44,2.5,2.44,2.47
ROP,1992-03-31,2.44,2.5,2.44,2.5
ROP,1992-04-01,2.44,2.5,2.41,2.44
ROP,1992-04-02,2.5,2.5,2.44,2.47
ROP,1992-04-03,2.44,2.5,2.44,2.47
ROP,1992-04-06,2.44,2.5,2.44,2.44
ROP,1992-04-07,2.44,2.56,2.44,2.5
ROP,1992-04-08,2.44,2.5,2.44,2.5
ROP,1992-04-09,2.44,2.53,2.44,2.47
ROP,1992-04-10,2.47,2.53,2.47,2.47
ROP,1992-04-13,2.47,2.53,2.47,2.47
ROP,1992-04-14,2.53,2.53,2.47,2.47
ROP,1992-04-15,2.47,2.5,2.44,2.44
ROP,1992-04-16,2.47,2.5,2.44,2.44
ROP,1992-04-20,2.41,2.41,2.38,2.38
ROP,1992-04-21,2.38,2.38,2.38,2.38
ROP,1992-04-22,2.38,2.47,2.38,2.47
ROP,1992-04-23,2.38,2.42,2.38,2.38
ROP,1992-04-24,2.38,2.44,2.34,2.41
ROP,1992-04-27,2.34,2.44,2.34,2.34
ROP,1992-04-28,2.31,2.34,2.25,2.25
ROP,1992-04-29,2.34,2.34,2.25,2.28
ROP,1992-04-30,2.34,2.34,2.25,2.25
ROP,1992-05-01,2.31,2.31,2.31,2.31
ROP,1992-05-04,2.25,2.31,2.25,2.31
ROP,1992-05-05,2.25,2.25,2.2,2.25
ROP,1992-05-06,2.19,2.25,2.19,2.19
ROP,1992-05-07,2.19,2.19,2.12,2.12
ROP,1992-05-08,2.12,2.25,2.12,2.16
ROP,1992-05-11,2.16,2.25,2.16,2.25
ROP,1992-05-12,2.16,2.34,2.16,2.22
ROP,1992-05-13,2.31,2.31,2.23,2.23
ROP,1992-05-14,2.22,2.23,2.22,2.22
ROP,1992-05-15,2.22,2.22,2.22,2.22
ROP,1992-05-18,2.22,2.22,2.22,2.22
ROP,1992-05-19,2.22,2.22,2.22,2.22
ROP,1992-05-20,2.19,2.25,2.16,2.16
ROP,1992-05-21,2.16,2.16,2.03,2.09
ROP,1992-05-22,2.09,2.09,2.03,2.06
ROP,1992-05-26,1.94,1.94,1.75,1.92
ROP,1992-05-27,1.88,2.0,1.88,1.97
ROP,1992-05-28,1.92,2.0,1.84,1.89
ROP,1992-05-29,1.91,1.91,1.86,1.88
ROP,1992-06-01,1.84,1.91,1.81,1.88
ROP,1992-06-02,1.91,1.91,1.81,1.86
ROP,1992-06-03,1.91,1.91,1.81,1.81
ROP,1992-06-04,1.81,1.88,1.81,1.88
ROP,1992-06-05,1.88,1.88,1.88,1.88
ROP,1992-06-08,1.91,1.91,1.91,1.91
ROP,1992-06-09,1.81,1.88,1.81,1.83
ROP,1992-06-10,1.88,1.88,1.81,1.81
ROP,1992-06-11,1.84,1.88,1.81,1.88
ROP,1992-06-12,1.88,1.88,1.81,1.81
ROP,1992-06-15,1.81,1.81,1.72,1.75
ROP,1992-06-16,1.78,1.78,1.72,1.78
ROP,1992-06-17,1.72,1.75,1.72,1.73
ROP,1992-06-18,1.69,1.7,1.66,1.69
ROP,1992-06-19,1.66,1.75,1.66,1.75
ROP,1992-06-22,1.75,1.75,1.69,1.69
ROP,1992-06-23,1.66,1.72,1.66,1.72
ROP,1992-06-24,1.7,1.7,1.66,1.67
ROP,1992-06-25,1.75,1.75,1.62,1.62
ROP,1992-06-26,1.59,1.66,1.47,1.56
ROP,1992-06-29,1.56,1.59,1.56,1.59
ROP,1992-06-30,1.59,1.59,1.47,1.58
ROP,1992-07-01,1.59,1.62,1.59,1.59
ROP,1992-07-02,1.69,1.69,1.59,1.62
ROP,1992-07-06,1.61,1.62,1.61,1.62
ROP,1992-07-07,1.69,1.69,1.56,1.56
ROP,1992-07-08,1.56,1.62,1.5,1.52
ROP,1992-07-09,1.47,1.62,1.47,1.53
ROP,1992-07-10,1.56,1.66,1.56,1.64
ROP,1992-07-13,1.66,1.66,1.55,1.58
ROP,1992-07-14,1.53,1.56,1.53,1.56
ROP,1992-07-15,1.61,1.66,1.59,1.64
ROP,1992-07-16,1.62,1.62,1.55,1.58
ROP,1992-07-17,1.5,1.5,1.44,1.48
ROP,1992-07-20,1.5,1.56,1.44,1.5
ROP,1992-07-21,1.53,1.53,1.53,1.53
ROP,1992-07-22,1.44,1.56,1.44,1.44
ROP,1992-07-23,1.56,1.56,1.44,1.53
ROP,1992-07-24,1.44,1.48,1.44,1.48
ROP,1992-07-27,1.44,1.53,1.44,1.53
ROP,1992-07-28,1.5,1.52,1.47,1.47
ROP,1992-07-29,1.47,1.53,1.47,1.53
ROP,1992-07-30,1.48,1.62,1.47,1.62
ROP,1992-07-31,1.62,1.62,1.56,1.56
ROP,1992-08-03,1.56,1.69,1.56,1.69
ROP,1992-08-04,1.62,1.67,1.62,1.62
ROP,1992-08-05,1.7,1.72,1.69,1.69
ROP,1992-08-06,1.62,1.7,1.62,1.7
ROP,1992-08-07,1.62,1.66,1.62,1.66
ROP,1992-08-10,1.72,1.72,1.7,1.7
ROP,1992-08-11,1.67,1.69,1.62,1.62
ROP,1992-08-12,1.75,1.75,1.56,1.62
ROP,1992-08-13,1.56,1.56,1.53,1.55
ROP,1992-08-14,1.59,1.59,1.59,1.59
ROP,1992-08-17,1.59,1.59,1.53,1.53
ROP,1992-08-18,1.59,1.59,1.53,1.55
ROP,1992-08-19,1.53,1.56,1.53,1.55
ROP,1992-08-20,1.55,1.55,1.55,1.55
ROP,1992-08-21,1.53,1.56,1.53,1.56
ROP,1992-08-24,1.47,1.59,1.47,1.59
ROP,1992-08-25,1.52,1.53,1.5,1.52
ROP,1992-08-26,1.47,1.56,1.47,1.52
ROP,1992-08-27,1.47,1.52,1.47,1.48
ROP,1992-08-28,1.53,1.53,1.53,1.53
ROP,1992-08-31,1.56,1.56,1.47,1.47
ROP,1992-09-01,1.47,1.55,1.47,1.5
ROP,1992-09-02,1.47,1.47,1.47,1.47
ROP,1992-09-03,1.56,1.59,1.5,1.56
ROP,1992-09-04,1.5,1.58,1.5,1.58
ROP,1992-09-08,1.55,1.56,1.5,1.52
ROP,1992-09-09,1.5,1.58,1.5,1.58
ROP,1992-09-10,1.53,1.62,1.53,1.53
ROP,1992-09-11,1.66,1.75,1.62,1.69
ROP,1992-09-14,1.81,2.25,1.81,1.91
ROP,1992-09-15,1.94,1.94,1.81,1.94
ROP,1992-09-16,1.88,2.19,1.88,2.14
ROP,1992-09-17,2.19,2.19,1.97,1.97
ROP,1992-09-18,2.03,2.03,2.0,2.0
ROP,1992-09-21,2.03,2.06,1.92,2.06
ROP,1992-09-22,1.95,2.06,1.95,2.02
ROP,1992-09-23,2.06,2.06,1.94,2.06
ROP,1992-09-24,2.06,2.06,1.94,2.03
ROP,1992-09-25,1.94,2.0,1.94,2.0
ROP,1992-09-28,1.94,2.03,1.94,1.95
ROP,1992-09-29,2.0,2.06,1.95,2.06
ROP,1992-09-30,1.94,1.94,1.94,1.94
ROP,1992-10-01,2.06,2.06,2.06,2.06
ROP,1992-10-02,2.06,2.08,2.03,2.06
ROP,1992-10-05,1.95,1.98,1.95,1.98
ROP,1992-10-06,1.94,2.03,1.94,1.94
ROP,1992-10-07,1.94,2.0,1.94,2.0
ROP,1992-10-08,2.0,2.03,1.94,2.03
ROP,1992-10-09,2.03,2.03,1.97,1.97
ROP,1992-10-12,2.03,2.03,1.94,1.94
ROP,1992-10-13,1.94,2.16,1.94,2.09
ROP,1992-10-14,2.06,2.11,2.06,2.11
ROP,1992-10-15,2.03,2.12,2.03,2.06
ROP,1992-10-16,2.03,2.12,2.03,2.12
ROP,1992-10-19,2.12,2.12,2.06,2.09
ROP,1992-10-20,2.12,2.16,2.06,2.11
ROP,1992-10-21,2.14,2.14,2.06,2.14
ROP,1992-10-22,2.06,2.14,2.06,2.06
ROP,1992-10-23,2.16,2.16,2.12,2.12
ROP,1992-10-26,2.09,2.19,2.09,2.16
ROP,1992-10-27,2.19,2.38,2.16,2.28
ROP,1992-10-28,2.38,2.38,2.25,2.38
ROP,1992-10-29,2.36,2.38,2.25,2.38
ROP,1992-10-30,2.25,2.41,2.25,2.25
ROP,1992-11-02,2.25,2.25,2.25,2.25
ROP,1992-11-03,2.25,2.31,2.25,2.31
ROP,1992-11-04,2.31,2.41,2.31,2.31
ROP,1992-11-05,2.41,2.41,2.31,2.31
ROP,1992-11-06,2.38,2.38,2.34,2.38
ROP,1992-11-09,2.38,2.44,2.31,2.34
ROP,1992-11-10,2.44,2.53,2.31,2.5
ROP,1992-11-11,2.44,2.53,2.44,2.53
ROP,1992-11-12,2.53,2.53,2.44,2.53
ROP,1992-11-13,2.44,2.5,2.28,2.28
ROP,1992-11-16,2.41,2.41,2.28,2.28
ROP,1992-11-17,2.33,2.36,2.12,2.12
ROP,1992-11-18,2.12,2.14,2.03,2.12
ROP,1992-11-19,2.12,2.19,2.09,2.16
ROP,1992-11-20,2.12,2.3,2.12,2.25
ROP,1992-11-23,2.25,2.25,2.25,2.25
ROP,1992-11-24,2.2,2.28,2.16,2.16
ROP,1992-11-25,2.27,2.34,2.25,2.34
ROP,1992-11-27,2.28,2.34,2.28,2.33
ROP,1992-11-30,2.25,2.34,2.25,2.25
ROP,1992-12-01,2.25,2.34,2.25,2.33
ROP,1992-12-02,2.25,2.34,2.25,2.33
ROP,1992-12-03,2.3,2.34,2.27,2.34
ROP,1992-12-04,2.25,2.34,2.25,2.34
ROP,1992-12-07,2.28,2.28,2.28,2.28
ROP,1992-12-08,2.28,2.34,2.28,2.34
ROP,1992-12-09,2.34,2.47,2.34,2.38
ROP,1992-12-10,2.44,2.47,2.34,2.34
ROP,1992-12-11,2.34,2.34,2.34,2.34
ROP,1992-12-14,2.34,2.34,2.34,2.34
ROP,1992-12-15,2.47,2.47,2.34,2.38
ROP,1992-12-16,2.34,2.41,2.22,2.22
ROP,1992-12-17,2.25,2.28,2.22,2.28
ROP,1992-12-18,2.28,2.28,2.25,2.28
ROP,1992-12-21,2.28,2.28,2.28,2.28
ROP,1992-12-22,2.25,2.28,2.22,2.25
ROP,1992-12-23,2.28,2.28,2.22,2.25
ROP,1992-12-24,2.28,2.28,2.28,2.28
ROP,1992-12-28,2.22,2.28,2.22,2.28
ROP,1992-12-29,2.22,2.25,2.22,2.25
ROP,1992-12-30,2.19,2.31,2.19,2.28
ROP,1992-12-31,2.22,2.28,2.2,2.25
ROP,1993-01-04,2.22,2.25,2.22,2.25
ROP,1993-01-05,2.25,2.38,2.25,2.38
ROP,1993-01-06,2.38,2.47,2.38,2.44
ROP,1993-01-07,2.44,2.5,2.41,2.48
ROP,1993-01-08,2.5,2.5,2.41,2.41
ROP,1993-01-11,2.44,2.47,2.41,2.47
ROP,1993-01-12,2.47,2.5,2.44,2.47
ROP,1993-01-13,2.41,2.5,2.41,2.5
ROP,1993-01-14,2.5,2.5,2.44,2.5
ROP,1993-01-15,2.5,2.78,2.41,2.78
ROP,1993-01-18,2.75,2.84,2.59,2.59
ROP,1993-01-19,2.59,2.75,2.59,2.67
ROP,1993-01-20,2.72,2.72,2.66,2.72
ROP,1993-01-21,2.75,2.75,2.62,2.69
ROP,1993-01-22,2.75,2.75,2.66,2.7
ROP,1993-01-25,2.75,2.84,2.72,2.84
ROP,1993-01-26,2.84,2.88,2.75,2.88
ROP,1993-01-27,2.88,2.88,2.78,2.88
ROP,1993-01-28,2.91,2.91,2.81,2.84
ROP,1993-01-29,2.88,3.16,2.88,3.12
ROP,1993-02-01,3.16,3.31,3.06,3.06
ROP,1993-02-02,3.12,3.16,3.06,3.16
ROP,1993-02-03,3.12,3.16,3.0,3.12
ROP,1993-02-04,3.09,3.25,3.06,3.09
ROP,1993-02-05,3.22,3.22,3.06,3.09
ROP,1993-02-08,3.16,3.22,3.12,3.22
ROP,1993-02-09,3.22,3.56,3.22,3.53
ROP,1993-02-10,3.44,3.56,3.28,3.38
ROP,1993-02-11,3.41,3.47,3.38,3.44
ROP,1993-02-12,3.56,3.59,3.47,3.47
ROP,1993-02-16,3.44,3.53,3.31,3.44
ROP,1993-02-17,3.34,3.44,3.22,3.38
ROP,1993-02-18,3.38,3.38,3.25,3.25
ROP,1993-02-19,3.31,3.31,3.25,3.31
ROP,1993-02-22,3.31,3.34,3.17,3.22
ROP,1993-02-23,3.19,3.25,3.09,3.16
ROP,1993-02-24,3.16,3.84,3.11,3.84
ROP,1993-02-25,3.78,3.91,3.78,3.78
ROP,1993-02-26,3.78,3.97,3.78,3.97
ROP,1993-03-01,3.97,4.25,3.84,4.12
ROP,1993-03-02,4.19,4.38,4.09,4.38
ROP,1993-03-03,4.38,4.41,4.19,4.31
ROP,1993-03-04,4.28,4.41,4.25,4.28
ROP,1993-03-05,4.41,4.5,4.28,4.5
ROP,1993-03-08,4.5,4.56,4.44,4.56
ROP,1993-03-09,4.47,4.88,4.47,4.72
ROP,1993-03-10,4.75,4.75,4.56,4.62
ROP,1993-03-11,4.62,4.69,4.44,4.5
ROP,1993-03-12,4.44,4.45,3.88,4.31
ROP,1993-03-15,4.31,4.31,4.12,4.23
ROP,1993-03-16,4.16,4.22,4.16,4.22
ROP,1993-03-17,4.22,4.28,4.17,4.28
ROP,1993-03-18,4.28,4.28,4.19,4.25
ROP,1993-03-19,4.28,4.28,4.19,4.28
ROP,1993-03-22,4.22,4.22,3.5,3.5
ROP,1993-03-23,3.53,3.75,3.5,3.66
ROP,1993-03-24,3.75,3.75,3.59,3.75
ROP,1993-03-25,3.75,3.98,3.59,3.84
ROP,1993-03-26,3.97,4.16,3.94,4.06
ROP,1993-03-29,4.03,4.03,3.88,4.0
ROP,1993-03-30,4.0,4.12,3.91,4.12
ROP,1993-03-31,4.12,4.12,3.94,4.12
ROP,1993-04-01,4.12,4.12,3.94,4.06
ROP,1993-04-02,4.03,4.06,3.88,4.0
ROP,1993-04-05,4.38,4.5,4.19,4.44
ROP,1993-04-06,4.5,4.5,4.28,4.38
ROP,1993-04-07,4.38,4.53,4.31,4.38
ROP,1993-04-08,4.38,4.53,4.38,4.5
ROP,1993-04-12,4.53,4.53,4.44,4.53
