ticker,date,open,high,low,close
RVSN,2022-03-31,25.12,25.12,19.6,24.72
RVSN,2022-04-01,20.88,22.32,19.6,21.76
RVSN,2022-04-04,20.72,20.72,17.3664,19.52
RVSN,2022-04-05,18.8,22.0,18.4,20.24
RVSN,2022-04-06,19.6,20.72,18.88,19.6
RVSN,2022-04-07,19.2,20.16,17.68,18.0
RVSN,2022-04-08,17.44,17.92,15.04,16.96
RVSN,2022-04-11,16.64,19.36,15.28,16.96
RVSN,2022-04-12,16.8,18.3192,16.08,16.8
RVSN,2022-04-13,16.4,17.3728,15.04,16.08
RVSN,2022-04-14,16.24,16.88,12.88,13.2
RVSN,2022-04-18,12.24,13.2,11.36,11.52
RVSN,2022-04-19,11.36,12.16,11.36,11.6
RVSN,2022-04-20,11.6,11.76,10.88,11.04
RVSN,2022-04-21,11.2,11.24,10.36,10.4
RVSN,2022-04-22,10.4,10.6224,9.5192,10.08
RVSN,2022-04-25,9.92,10.72,9.6,10.48
RVSN,2022-04-26,9.92,11.6,9.92,10.7992
RVSN,2022-04-27,10.8,12.72,10.24,10.72
RVSN,2022-04-28,10.08,10.64,9.72,10.16
RVSN,2022-04-29,9.9008,10.24,9.9008,9.92
RVSN,2022-05-02,9.44,10.48,9.44,10.32
RVSN,2022-05-03,10.2,11.44,9.76,10.8
RVSN,2022-05-04,18.16,20.4,16.0,17.28
RVSN,2022-05-05,15.28,16.48,12.88,16.08
RVSN,2022-05-06,15.44,15.6728,13.04,13.92
RVSN,2022-05-09,12.24,13.92,11.12,11.2
RVSN,2022-05-10,11.6,11.6832,9.6,10.08
RVSN,2022-05-11,9.28,9.84,8.56,8.8
RVSN,2022-05-12,7.68,11.52,7.68,10.72
RVSN,2022-05-13,10.56,10.96,10.24,10.56
RVSN,2022-05-16,10.4,10.56,9.44,9.44
RVSN,2022-05-17,9.52,10.9608,9.16,9.52
RVSN,2022-05-18,9.44,10.2264,9.2,9.84
RVSN,2022-05-19,9.76,9.9776,9.36,9.76
RVSN,2022-05-20,9.68,9.7432,8.88,8.88
RVSN,2022-05-23,8.88,9.12,8.88,9.12
RVSN,2022-05-24,8.96,8.9808,8.32,8.32
RVSN,2022-05-25,8.16,8.48,7.92,8.4
