ticker,date,open,high,low,close
RVYL,2010-04-05,0.72,0.72,0.72,0.72
RVYL,2010-04-06,1.5,1.5,1.5,1.5
RVYL,2010-04-07,1.5,1.5,1.5,1.5
RVYL,2010-04-08,0.72,0.72,0.72,0.72
RVYL,2010-04-09,0.72,0.72,0.72,0.72
RVYL,2010-04-12,0.72,0.72,0.72,0.72
RVYL,2010-04-13,0.72,0.72,0.72,0.72
RVYL,2010-04-14,0.72,0.72,0.72,0.72
RVYL,2010-04-15,0.72,0.72,0.72,0.72
RVYL,2010-04-16,0.72,0.72,0.72,0.72
RVYL,2010-04-19,0.72,0.72,0.72,0.72
RVYL,2010-04-20,0.9,0.9,0.9,0.9
RVYL,2010-04-21,0.9,0.9,0.9,0.9
RVYL,2010-04-22,0.9,0.9,0.9,0.9
RVYL,2010-04-23,0.9,0.9,0.9,0.9
RVYL,2010-04-26,0.9,0.9,0.9,0.9
RVYL,2010-04-27,0.9,0.9,0.9,0.9
RVYL,2010-04-28,0.9,0.9,0.9,0.9
RVYL,2010-04-29,0.9,0.9,0.9,0.9
RVYL,2010-04-30,0.9,0.9,0.9,0.9
RVYL,2010-05-03,0.48,0.48,0.48,0.48
RVYL,2010-05-04,0.48,0.48,0.48,0.48
RVYL,2010-05-05,0.48,0.48,0.48,0.48
RVYL,2010-05-06,0.48,0.48,0.48,0.48
RVYL,2010-05-07,0.48,0.48,0.48,0.48
RVYL,2010-05-10,0.48,0.48,0.48,0.48
RVYL,2010-05-11,0.48,0.48,0.48,0.48
RVYL,2010-05-12,0.48,0.48,0.48,0.48
RVYL,2010-05-13,0.48,0.48,0.48,0.48
RVYL,2010-05-14,0.48,0.48,0.48,0.48
RVYL,2010-05-17,0.48,0.48,0.48,0.48
RVYL,2010-05-18,0.48,0.48,0.48,0.48
RVYL,2010-05-19,0.48,0.48,0.48,0.48
RVYL,2010-05-20,0.48,0.48,0.48,0.48
RVYL,2010-05-21,0.48,0.48,0.48,0.48
RVYL,2010-05-24,0.48,0.48,0.48,0.48
RVYL,2010-05-25,0.48,0.48,0.48,0.48
RVYL,2010-05-26,0.48,0.48,0.48,0.48
RVYL,2010-05-27,0.48,0.48,0.48,0.48
RVYL,2010-05-28,0.48,0.48,0.48,0.48
RVYL,2010-06-01,0.48,0.48,0.48,0.48
RVYL,2010-06-02,0.48,0.48,0.48,0.48
RVYL,2010-06-03,0.48,0.48,0.48,0.48
RVYL,2010-06-04,0.48,0.48,0.48,0.48
RVYL,2010-06-07,0.48,0.48,0.48,0.48
RVYL,2010-06-08,0.36,0.36,0.36,0.36
RVYL,2010-06-09,0.6,0.6,0.6,0.6
RVYL,2010-06-10,0.6,1.08,0.6,1.08
RVYL,2010-06-11,0.3,0.3,0.3,0.3
RVYL,2010-06-14,0.3,0.3,0.3,0.3
RVYL,2010-06-15,0.3,0.3,0.3,0.3
RVYL,2010-06-16,0.3,0.3,0.3,0.3
RVYL,2010-06-17,0.3,0.3,0.3,0.3
RVYL,2010-06-18,0.3,0.3,0.3,0.3
RVYL,2010-06-21,0.3,0.3,0.3,0.3
RVYL,2010-06-22,0.3,0.3,0.3,0.3
RVYL,2010-06-23,0.3,0.3,0.3,0.3
RVYL,2010-06-24,0.3,0.3,0.3,0.3
RVYL,2010-06-25,0.3,0.3,0.3,0.3
RVYL,2010-06-28,0.3,0.3,0.3,0.3
RVYL,2010-06-29,0.48,0.48,0.48,0.48
RVYL,2010-06-30,0.48,0.48,0.48,0.48
RVYL,2010-07-01,0.48,0.48,0.48,0.48
RVYL,2010-07-02,0.48,0.48,0.48,0.48
RVYL,2010-07-06,0.48,0.48,0.48,0.48
RVYL,2010-07-07,0.48,0.48,0.48,0.48
RVYL,2010-07-08,0.48,0.48,0.48,0.48
RVYL,2010-07-09,0.48,0.48,0.48,0.48
RVYL,2010-07-12,0.48,0.48,0.48,0.48
RVYL,2010-07-13,0.48,0.48,0.48,0.48
RVYL,2010-07-14,0.48,0.48,0.48,0.48
RVYL,2010-07-15,0.48,0.48,0.48,0.48
RVYL,2010-07-16,0.48,0.48,0.48,0.48
RVYL,2010-07-19,0.48,0.48,0.48,0.48
RVYL,2010-07-20,0.48,0.48,0.48,0.48
RVYL,2010-07-21,0.48,0.48,0.48,0.48
RVYL,2010-07-22,0.54,0.54,0.54,0.54
RVYL,2010-07-23,0.54,0.54,0.54,0.54
RVYL,2010-07-26,0.54,0.54,0.54,0.54
RVYL,2010-07-27,0.54,0.54,0.54,0.54
RVYL,2010-07-28,0.54,0.54,0.54,0.54
RVYL,2010-07-29,0.54,0.54,0.54,0.54
RVYL,2010-07-30,0.54,0.54,0.54,0.54
RVYL,2010-08-02,0.54,0.54,0.54,0.54
RVYL,2010-08-03,0.9,0.9,0.9,0.9
RVYL,2010-08-04,0.9,0.9,0.9,0.9
RVYL,2010-08-05,0.9,0.9,0.9,0.9
RVYL,2010-08-06,0.9,0.9,0.9,0.9
RVYL,2010-08-09,0.9,0.9,0.9,0.9
RVYL,2010-08-10,0.9,0.9,0.9,0.9
RVYL,2010-08-11,0.12,0.6,0.12,0.6
RVYL,2010-08-12,0.6,0.6,0.6,0.6
RVYL,2010-08-13,0.6,0.6,0.6,0.6
RVYL,2010-08-16,0.6,0.6,0.6,0.6
RVYL,2010-08-17,0.6,0.6,0.6,0.6
RVYL,2010-08-18,0.6,0.6,0.6,0.6
RVYL,2010-08-19,0.6,0.6,0.6,0.6
RVYL,2010-08-20,0.6,0.6,0.6,0.6
RVYL,2010-08-23,0.6,0.6,0.6,0.6
RVYL,2010-08-24,0.6,0.6,0.6,0.6
RVYL,2010-08-25,0.6,0.6,0.6,0.6
RVYL,2010-08-26,0.6,0.6,0.6,0.6
RVYL,2010-08-27,0.6,0.6,0.6,0.6
RVYL,2010-08-30,0.6,0.6,0.6,0.6
RVYL,2010-08-31,0.6,0.6,0.6,0.6
RVYL,2010-09-01,0.6,0.6,0.6,0.6
RVYL,2010-09-02,0.6,0.6,0.6,0.6
RVYL,2010-09-03,0.6,0.6,0.6,0.6
RVYL,2010-09-07,0.6,0.6,0.6,0.6
RVYL,2010-09-08,0.18,0.18,0.18,0.18
RVYL,2010-09-09,0.18,0.18,0.18,0.18
RVYL,2010-09-10,0.18,0.18,0.18,0.18
RVYL,2010-09-13,0.18,0.18,0.18,0.18
RVYL,2010-09-14,0.18,0.18,0.18,0.18
RVYL,2010-09-15,0.18,0.18,0.18,0.18
RVYL,2010-09-16,0.3,0.3,0.3,0.3
RVYL,2010-09-17,0.3,0.3,0.3,0.3
RVYL,2010-09-20,0.3,0.3,0.3,0.3
RVYL,2010-09-21,0.3,0.3,0.3,0.3
RVYL,2010-09-22,0.3,0.3,0.3,0.3
RVYL,2010-09-23,0.3,0.3,0.3,0.3
RVYL,2010-09-24,0.3,0.3,0.3,0.3
RVYL,2010-09-27,0.36,0.36,0.36,0.36
RVYL,2010-09-28,0.36,0.36,0.36,0.36
RVYL,2010-09-29,0.36,0.36,0.36,0.36
RVYL,2010-09-30,0.36,0.36,0.36,0.36
RVYL,2010-10-01,0.36,0.36,0.36,0.36
RVYL,2010-10-04,0.36,0.36,0.36,0.36
RVYL,2010-10-05,0.36,0.36,0.36,0.36
RVYL,2010-10-06,0.36,0.36,0.36,0.36
RVYL,2010-10-07,0.36,0.36,0.36,0.36
RVYL,2010-10-08,0.36,0.36,0.36,0.36
RVYL,2010-10-11,0.36,0.36,0.36,0.36
RVYL,2010-10-12,0.36,0.36,0.36,0.36
RVYL,2010-10-13,0.36,0.36,0.36,0.36
RVYL,2010-10-14,0.36,0.36,0.36,0.36
RVYL,2010-10-15,0.36,0.36,0.36,0.36
RVYL,2010-10-18,0.36,0.36,0.36,0.36
RVYL,2010-10-19,0.36,0.36,0.36,0.36
RVYL,2010-10-20,0.36,0.36,0.36,0.36
RVYL,2010-10-21,0.36,0.36,0.36,0.36
RVYL,2010-10-22,0.36,0.36,0.36,0.36
RVYL,2010-10-25,0.36,0.36,0.36,0.36
RVYL,2010-10-26,0.36,0.36,0.36,0.36
RVYL,2010-10-27,0.36,0.36,0.36,0.36
RVYL,2010-10-28,0.36,0.36,0.36,0.36
RVYL,2010-10-29,0.36,0.36,0.36,0.36
RVYL,2010-11-01,0.36,0.36,0.36,0.36
RVYL,2010-11-02,0.36,0.36,0.36,0.36
RVYL,2010-11-03,0.36,0.36,0.36,0.36
RVYL,2010-11-04,0.36,0.36,0.36,0.36
RVYL,2010-11-05,0.36,0.36,0.36,0.36
RVYL,2010-11-08,0.24,0.24,0.24,0.24
RVYL,2010-11-09,0.24,0.24,0.24,0.24
RVYL,2010-11-10,0.24,0.24,0.24,0.24
RVYL,2010-11-11,0.24,0.24,0.24,0.24
RVYL,2010-11-12,0.24,0.24,0.24,0.24
RVYL,2010-11-15,0.24,0.24,0.24,0.24
RVYL,2010-11-16,0.24,0.24,0.24,0.24
RVYL,2010-11-17,0.24,0.24,0.24,0.24
RVYL,2010-11-18,0.24,0.24,0.24,0.24
RVYL,2010-11-19,0.24,0.24,0.24,0.24
RVYL,2010-11-22,0.24,0.24,0.24,0.24
RVYL,2010-11-23,0.24,0.24,0.24,0.24
RVYL,2010-11-24,0.24,0.24,0.24,0.24
RVYL,2010-11-26,0.24,0.24,0.24,0.24
RVYL,2010-11-29,0.24,0.24,0.24,0.24
RVYL,2010-11-30,0.24,0.24,0.24,0.24
