ticker,date,open,high,low,close
SATL,2021-03-26,9.9,9.9,9.9,9.9
SATL,2021-03-29,9.9,9.9,9.9,9.9
SATL,2021-03-30,9.862,9.862,9.862,9.862
SATL,2021-03-31,9.862,9.862,9.862,9.862
SATL,2021-04-01,9.862,9.862,9.862,9.862
SATL,2021-04-05,9.862,9.862,9.862,9.862
SATL,2021-04-06,9.9,9.95,9.9,9.95
SATL,2021-04-07,9.687,9.687,9.687,9.687
SATL,2021-04-08,9.771,9.8,9.771,9.8
SATL,2021-04-09,9.9,9.96,9.77,9.88
SATL,2021-04-12,9.887,9.9,9.85,9.9
SATL,2021-04-13,9.97,9.97,9.97,9.97
SATL,2021-04-14,9.99,10.0,9.87,9.87
SATL,2021-04-15,9.87,9.87,9.87,9.87
SATL,2021-04-16,9.87,9.87,9.87,9.87
SATL,2021-04-19,9.87,9.87,9.87,9.87
SATL,2021-04-20,9.87,9.87,9.87,9.87
SATL,2021-04-21,9.87,9.87,9.87,9.87
SATL,2021-04-22,9.8,9.8,9.8,9.8
SATL,2021-04-23,9.8,9.8,9.8,9.8
SATL,2021-04-26,9.8,9.8,9.8,9.8
SATL,2021-04-27,9.8,9.8,9.79,9.79
SATL,2021-04-28,9.79,9.8,9.76,9.8
SATL,2021-04-29,9.8,9.84,9.78,9.84
SATL,2021-04-30,9.78,9.98,9.78,9.85
SATL,2021-05-03,9.83,9.9,9.83,9.9
SATL,2021-05-04,9.82,9.83,9.76,9.76
SATL,2021-05-05,9.76,9.82,9.76,9.81
SATL,2021-05-06,9.81,9.94,9.8,9.84
SATL,2021-05-07,9.8,9.95,9.75,9.82
SATL,2021-05-10,9.83,9.84,9.82,9.83
SATL,2021-05-11,9.83,9.95,9.81,9.86
SATL,2021-05-12,9.86,9.9,9.83,9.85
SATL,2021-05-13,9.82,9.82,9.82,9.82
SATL,2021-05-14,9.79,9.8,9.79,9.8
SATL,2021-05-17,9.745,9.8,9.745,9.8
SATL,2021-05-18,9.75,9.75,9.75,9.75
SATL,2021-05-19,9.67,9.67,9.67,9.67
SATL,2021-05-20,9.76,9.76,9.76,9.76
SATL,2021-05-21,9.62,9.79,9.62,9.79
SATL,2021-05-24,9.79,9.79,9.79,9.79
SATL,2021-05-25,9.79,9.79,9.79,9.79
SATL,2021-05-26,9.743,9.79,9.7,9.7
SATL,2021-05-27,9.655,9.69,9.615,9.68
SATL,2021-05-28,9.63,9.67,9.6,9.67
SATL,2021-06-01,9.64,9.68,9.64,9.68
SATL,2021-06-02,9.62,9.675,9.61,9.65
SATL,2021-06-03,9.67,9.69,9.65,9.69
SATL,2021-06-04,9.73,9.74,9.73,9.74
SATL,2021-06-07,9.74,9.74,9.74,9.74
SATL,2021-06-08,9.73,9.73,9.69,9.72
SATL,2021-06-09,9.715,9.74,9.69,9.74
SATL,2021-06-10,9.74,9.74,9.74,9.74
SATL,2021-06-11,9.67,9.68,9.67,9.67
SATL,2021-06-14,9.68,9.72,9.658,9.72
SATL,2021-06-15,9.7,9.7,9.68,9.68
SATL,2021-06-16,9.68,9.7,9.68,9.7
SATL,2021-06-17,9.7,9.72,9.69,9.72
SATL,2021-06-18,9.71,9.72,9.71,9.72
SATL,2021-06-21,9.7,9.7,9.7,9.7
SATL,2021-06-22,9.71,9.94,9.71,9.94
SATL,2021-06-23,9.94,9.94,9.94,9.94
SATL,2021-06-24,9.94,9.94,9.94,9.94
SATL,2021-06-25,9.78,9.79,9.71,9.71
SATL,2021-06-28,9.815,9.88,9.79,9.81
SATL,2021-06-29,9.81,9.81,9.81,9.81
SATL,2021-06-30,9.871,9.871,9.871,9.871
SATL,2021-07-01,9.9,9.9,9.71,9.71
SATL,2021-07-02,9.78,9.78,9.715,9.715
SATL,2021-07-06,9.87,9.89,9.85,9.86
SATL,2021-07-07,9.89,9.89,9.85,9.86
SATL,2021-07-08,9.87,9.88,9.85,9.85
SATL,2021-07-09,9.88,9.88,9.84,9.86
SATL,2021-07-12,9.86,9.87,9.85,9.87
