ticker,date,open,high,low,close
SDM,2025-05-02,5.45,14.39,5.02,6.11
SDM,2025-05-05,5.1,5.23,4.42,4.56
SDM,2025-05-06,4.34,4.7699,4.1,4.3
SDM,2025-05-07,4.15,6.16,4.14,5.75
SDM,2025-05-08,5.41,6.3,5.1144,6.06
SDM,2025-05-09,6.27,6.3359,5.25,5.43
SDM,2025-05-12,5.65,5.65,4.5873,4.99
SDM,2025-05-13,5.0735,5.2969,5.03,5.03
SDM,2025-05-14,5.16,5.24,4.86,4.89
SDM,2025-05-15,4.88,4.88,4.6,4.6
SDM,2025-05-16,4.74,4.9,4.2101,4.34
SDM,2025-05-19,4.4,5.338,4.3133,4.72
SDM,2025-05-20,4.95,6.18,4.61,5.98
SDM,2025-05-21,6.18,8.81,6.0,6.05
SDM,2025-05-22,6.53,7.75,6.53,7.1
SDM,2025-05-23,6.97,6.97,6.11,6.33
SDM,2025-05-27,6.75,6.8,5.68,5.69
SDM,2025-05-28,5.96,6.44,5.96,6.03
SDM,2025-05-29,6.17,6.18,5.0001,5.32
SDM,2025-05-30,5.31,6.775,5.31,6.775
SDM,2025-06-02,6.8,7.445,6.33,7.4
SDM,2025-06-03,7.4,7.4,6.39,6.84
SDM,2025-06-04,7.3727,7.4199,7.0005,7.21
SDM,2025-06-05,7.24,7.4404,6.6,6.71
SDM,2025-06-06,6.81,7.57,6.11,7.0
SDM,2025-06-09,6.67,7.4,6.67,7.4
SDM,2025-06-10,7.4168,7.4168,7.1245,7.33
SDM,2025-06-11,7.55,7.55,7.2,7.48
SDM,2025-06-12,7.17,7.5695,7.0367,7.3
SDM,2025-06-13,7.22,7.27,6.66,7.08
SDM,2025-06-16,7.3,7.35,6.66,7.0
SDM,2025-06-17,6.96,7.34,6.9,6.97
SDM,2025-06-18,6.94,7.3315,6.7,6.92
SDM,2025-06-20,6.73,8.5,6.67,8.3
SDM,2025-06-23,8.91,11.8,8.5,10.31
SDM,2025-06-24,9.58,10.425,8.88,8.9
SDM,2025-06-25,9.29,9.34,8.0,8.3
SDM,2025-06-26,8.11,9.54,7.61,9.005
SDM,2025-06-27,8.77,9.0,7.78,8.02
SDM,2025-06-30,8.11,11.69,7.885,11.4
SDM,2025-07-01,11.6,14.23,9.69,11.0
SDM,2025-07-02,10.93,12.73,10.3364,10.66
SDM,2025-07-03,10.66,11.94,10.305,10.76
SDM,2025-07-07,11.3,12.95,11.01,12.12
SDM,2025-07-08,12.34,14.0,11.7,12.69
SDM,2025-07-09,12.47,13.05,12.1,12.2
SDM,2025-07-10,12.04,13.4245,11.51,12.73
SDM,2025-07-11,14.3,20.9,14.3,16.5
SDM,2025-07-14,14.91,16.43,14.16,14.97
SDM,2025-07-15,14.52,16.26,12.33,13.69
SDM,2025-07-16,12.96,20.0,12.96,19.01
SDM,2025-07-17,16.5,20.05,16.5,18.5
SDM,2025-07-18,18.51,20.8,16.3801,17.8
SDM,2025-07-21,19.89,21.1,18.0,19.8
SDM,2025-07-22,19.6,22.0,17.68,21.5
SDM,2025-07-23,23.65,24.1801,15.36,17.43
SDM,2025-07-24,17.44,20.1,17.15,17.74
SDM,2025-07-25,17.01,18.48,15.84,17.61
SDM,2025-07-28,17.61,29.4,17.61,25.23
SDM,2025-07-29,22.41,23.3,19.5,20.28
SDM,2025-07-30,22.0,27.8,21.5,26.0
SDM,2025-07-31,25.48,27.36,21.06,21.5
SDM,2025-08-01,21.98,23.49,18.35,21.15
SDM,2025-08-04,19.61,21.49,17.525,20.0
SDM,2025-08-05,20.46,21.3178,17.1,18.1
SDM,2025-08-06,17.71,20.0,8.01,10.68
SDM,2025-08-07,10.01,11.68,8.5201,10.4
SDM,2025-08-08,11.03,11.03,8.41,10.17
