ticker,date,open,high,low,close
SEZL,2023-08-17,22.65,81.08,21.93,81.08
SEZL,2023-09-14,21.87,36.555,15.4,15.81
SEZL,2023-09-15,15.85,15.85,13.34,13.42
SEZL,2023-09-18,12.68,16.17,11.3301,12.93
SEZL,2023-09-19,20.41,24.7,16.32,17.4
SEZL,2023-09-20,14.81,15.8,12.8001,14.39
SEZL,2023-09-21,12.86,14.65,11.9439,14.2
SEZL,2023-09-22,13.65,14.8,12.85,13.42
SEZL,2023-09-25,13.1627,14.5365,12.75,13.2601
SEZL,2023-09-26,12.99,13.585,12.49,13.25
SEZL,2023-09-27,12.66,13.8,12.66,13.15
SEZL,2023-09-28,12.6,14.37,12.59,13.25
SEZL,2023-09-29,13.28,13.69,12.8,13.12
SEZL,2023-10-02,13.22,13.6,12.55,12.9
SEZL,2023-10-03,12.9,12.9,11.75,12.25
SEZL,2023-10-04,11.0,12.0,10.0,11.51
SEZL,2023-10-05,11.35,11.889,11.07,11.32
SEZL,2023-10-06,11.65,12.05,10.895,11.3
SEZL,2023-10-09,11.55,11.6,11.04,11.14
SEZL,2023-10-10,10.56,11.03,10.56,10.7
SEZL,2023-10-11,10.4,12.0873,10.4,10.975
SEZL,2023-10-12,11.15,11.4449,10.56,10.61
SEZL,2023-10-13,10.78,10.78,10.4,10.4
SEZL,2023-10-16,10.49,11.04,10.07,10.9
SEZL,2023-10-17,11.135,11.98,10.615,10.64
SEZL,2023-10-18,10.65,11.82,10.65,10.8
SEZL,2023-10-19,11.25,11.274,10.5,11.274
SEZL,2023-10-20,11.27,11.27,11.27,11.27
SEZL,2023-10-23,11.0,11.0,10.42,10.42
SEZL,2023-10-24,10.42,10.57,9.65,10.0
SEZL,2023-10-25,10.271,10.4,9.76,9.9045
SEZL,2023-10-26,8.85,9.3854,7.15,8.3
SEZL,2023-10-27,7.9,9.25,7.405,8.145
SEZL,2023-10-30,8.15,9.695,8.0,9.1813
SEZL,2023-10-31,9.065,9.55,8.88,9.0
SEZL,2023-11-01,8.8,10.0,8.6045,9.5
SEZL,2023-11-02,8.84,9.6699,8.79,9.235
SEZL,2023-11-03,9.45,9.5,9.15,9.5
SEZL,2023-11-06,9.98,9.98,8.8,9.3
SEZL,2023-11-07,9.9178,9.9178,9.64,9.8
SEZL,2023-11-08,9.01,10.0,9.01,9.67
SEZL,2023-11-09,9.94,10.2,9.94,10.122
SEZL,2023-11-10,10.78,13.76,10.3001,10.75
SEZL,2023-11-13,10.0,10.9999,10.0,10.5
SEZL,2023-11-14,10.482,12.28,10.482,12.0
SEZL,2023-11-15,11.8,12.11,10.74,11.405
SEZL,2023-11-16,11.33,11.86,11.33,11.51
SEZL,2023-11-17,11.5,12.0348,11.1999,11.2
SEZL,2023-11-20,10.93,11.7,10.515,10.98
SEZL,2023-11-21,10.2197,10.63,9.93,10.2
SEZL,2023-11-22,10.0,11.48,9.9,10.66
SEZL,2023-11-24,10.66,10.66,10.0101,10.2
SEZL,2023-11-27,10.2,10.6925,9.7501,10.225
SEZL,2023-11-28,10.29,11.3655,10.27,10.4
SEZL,2023-11-29,10.5,10.78,10.0,10.13
SEZL,2023-11-30,10.13,10.4387,9.85,9.99
SEZL,2023-12-01,9.99,10.52,9.75,10.0
SEZL,2023-12-04,10.0,10.23,9.9288,10.1
SEZL,2023-12-05,9.95,10.3,9.94,10.1
SEZL,2023-12-06,10.5,11.24,10.48,10.7
SEZL,2023-12-07,10.88,11.24,10.7227,11.2
SEZL,2023-12-08,11.24,13.7999,11.16,12.45
SEZL,2023-12-11,12.09,12.5802,11.06,12.1655
SEZL,2023-12-12,12.33,13.0,12.31,12.4
SEZL,2023-12-13,12.4,13.9588,12.4,13.0
SEZL,2023-12-14,13.61,15.7954,12.93,13.65
SEZL,2023-12-15,13.81,16.0,13.3001,14.48
SEZL,2023-12-18,14.96,15.9257,14.27,14.9
SEZL,2023-12-19,14.8449,19.4499,14.83,19.0
SEZL,2023-12-20,18.56,19.0,16.52,17.0
SEZL,2023-12-21,16.8,18.0,15.0,17.47
SEZL,2023-12-22,18.82,27.4799,17.25,24.41
SEZL,2023-12-26,24.5,25.35,18.67,19.18
SEZL,2023-12-27,19.36,21.91,18.62,19.16
SEZL,2023-12-28,18.99,22.99,18.62,19.48
SEZL,2023-12-29,20.07,22.34,19.5,20.52
SEZL,2024-01-02,21.0,22.4453,20.44,21.4
SEZL,2024-01-03,21.4,21.5775,20.495,21.2
SEZL,2024-01-04,21.2,22.0872,20.2,20.2
SEZL,2024-01-05,19.5,19.98,18.4901,19.6
SEZL,2024-01-08,18.5,18.7612,17.01,18.69
SEZL,2024-01-09,18.5,18.5,16.32,16.84
SEZL,2024-01-10,16.5,17.3475,16.23,16.49
SEZL,2024-01-11,17.16,18.51,16.7,17.0
SEZL,2024-01-12,16.72,19.66,16.7,18.26
SEZL,2024-01-16,18.26,20.8899,18.23,20.75
SEZL,2024-01-17,22.14,24.9699,20.83,24.3
SEZL,2024-01-18,25.15,34.99,25.05,31.63
SEZL,2024-01-19,32.23,39.0,31.0101,36.86
SEZL,2024-01-22,39.09,42.0,35.439,36.81
SEZL,2024-01-23,36.5,37.1,31.82,33.38
SEZL,2024-01-24,33.37,33.78,31.27,31.27
SEZL,2024-01-25,30.78,35.2974,30.41,33.26
SEZL,2024-01-26,33.6,35.6143,33.0,34.74
SEZL,2024-01-29,35.43,42.1,35.0066,40.2
SEZL,2024-01-30,40.0,41.7099,37.01,38.96
SEZL,2024-01-31,38.9,39.33,36.56,37.99
SEZL,2024-02-01,37.51,48.99,37.47,44.0
SEZL,2024-02-02,45.12,45.8599,39.88,42.4
SEZL,2024-02-05,41.38,42.8195,38.505,38.81
SEZL,2024-02-06,38.49,42.0,37.61,39.0
SEZL,2024-02-07,39.0,41.7643,39.0,40.51
SEZL,2024-02-08,41.25,42.4499,40.25,42.34
SEZL,2024-02-09,42.5,44.994,40.5511,43.52
SEZL,2024-02-12,42.88,49.3,42.88,47.0
SEZL,2024-02-13,45.06,47.1199,45.052,45.65
SEZL,2024-02-14,46.85,52.06,46.25,48.95
SEZL,2024-02-15,48.95,51.49,48.25,48.5
SEZL,2024-02-16,50.15,50.75,49.02,49.78
SEZL,2024-02-20,50.19,58.0,49.0,50.94
SEZL,2024-02-21,52.0,52.3,40.9,46.39
SEZL,2024-02-22,45.49,49.0,38.22,38.26
SEZL,2024-02-23,38.51,44.49,38.51,42.68
SEZL,2024-02-26,43.18,49.855,43.18,48.25
SEZL,2024-02-27,55.01,59.5925,51.0,57.9
SEZL,2024-02-28,60.0,60.0,49.68,52.51
SEZL,2024-02-29,51.0,51.0,43.07,46.86
SEZL,2024-03-01,45.01,47.49,43.8,45.13
SEZL,2024-03-04,44.67,53.0,44.67,51.84
SEZL,2024-03-05,51.0,55.432,50.1,52.62
SEZL,2024-03-06,54.48,55.7762,53.66,55.57
SEZL,2024-03-07,55.57,67.9477,51.8001,65.52
SEZL,2024-03-08,67.45,69.98,59.225,60.73
SEZL,2024-03-11,60.0,62.01,53.24,53.75
SEZL,2024-03-12,52.5,60.745,50.2,58.89
SEZL,2024-03-13,57.08,59.7933,56.0,58.35
SEZL,2024-03-14,56.57,59.99,56.57,59.99
SEZL,2024-03-15,59.0,60.665,53.135,58.16
SEZL,2024-03-18,56.58,59.676,55.01,59.19
SEZL,2024-03-19,58.5,63.79,57.99,63.79
SEZL,2024-03-20,61.55,64.75,61.2021,64.49
SEZL,2024-03-21,62.81,65.64,62.81,65.64
SEZL,2024-03-22,67.19,77.365,66.295,75.01
SEZL,2024-03-25,73.75,80.8449,72.75,79.25
SEZL,2024-03-26,78.0,89.54,78.0,87.0
SEZL,2024-03-27,90.0,100.0,84.0883,92.5
SEZL,2024-03-28,92.0,92.0,77.0,84.49
SEZL,2024-04-01,82.75,82.75,60.51,68.26
SEZL,2024-04-02,67.64,67.64,61.0,65.46
SEZL,2024-04-03,65.2,77.1636,63.03,74.78
SEZL,2024-04-04,77.48,78.76,63.79,65.1
SEZL,2024-04-05,65.38,73.0,63.0,67.96
SEZL,2024-04-08,68.47,72.99,64.87,72.24
SEZL,2024-04-09,74.01,78.35,72.0,72.48
SEZL,2024-04-10,72.99,72.99,66.2933,68.7
SEZL,2024-04-11,67.1,71.06,66.7009,67.61
SEZL,2024-04-12,65.77,70.65,65.0,65.15
SEZL,2024-04-15,67.1,68.19,63.0,65.21
SEZL,2024-04-16,63.0,65.3,57.195,60.19
SEZL,2024-04-17,57.61,66.09,57.2,64.36
SEZL,2024-04-18,60.78,67.25,57.365,58.75
SEZL,2024-04-19,55.99,59.48,51.1,55.47
SEZL,2024-04-22,55.32,55.32,47.73,49.3
SEZL,2024-04-23,49.29,57.605,47.325,55.85
SEZL,2024-04-24,54.3,58.8,53.71,54.6
SEZL,2024-04-25,53.94,56.0,51.0,52.56
SEZL,2024-04-26,53.03,62.0,52.85,58.99
SEZL,2024-04-29,59.99,61.45,52.01,54.66
SEZL,2024-04-30,54.01,54.48,49.66,50.63
SEZL,2024-05-01,49.84,51.475,43.91,49.65
SEZL,2024-05-02,50.12,51.8421,47.96,51.71
SEZL,2024-05-03,52.99,54.94,49.535,50.48
SEZL,2024-05-06,49.78,52.9,48.71,50.63
SEZL,2024-05-07,51.41,51.41,43.04,43.85
SEZL,2024-05-08,43.01,46.0299,40.39,44.74
SEZL,2024-05-09,65.0,83.99,62.77,78.59
SEZL,2024-05-10,77.0,84.5875,74.5,83.74
SEZL,2024-05-13,81.23,84.54,77.4,78.1
SEZL,2024-05-14,82.38,82.38,67.27,70.6
SEZL,2024-05-15,70.6,73.95,66.5,71.84
SEZL,2024-05-16,72.5,75.3621,68.06,68.73
SEZL,2024-05-17,68.04,71.02,64.14,66.91
SEZL,2024-05-20,66.91,74.99,66.8,74.18
SEZL,2024-05-21,74.5,77.02,73.41,76.67
SEZL,2024-05-22,75.18,75.18,66.5,68.04
SEZL,2024-05-23,70.0,70.0,65.0,68.235
SEZL,2024-05-24,67.01,70.0,64.555,69.22
SEZL,2024-05-28,70.0,72.67,67.215,69.16
SEZL,2024-05-29,68.25,78.8,67.925,78.8
SEZL,2024-05-30,77.01,83.56,77.01,81.17
SEZL,2024-05-31,79.83,82.0,76.0,80.18
SEZL,2024-06-03,80.0,81.3215,73.59,77.68
SEZL,2024-06-04,78.66,83.7844,76.785,80.07
SEZL,2024-06-05,78.81,90.82,78.81,89.86
SEZL,2024-06-06,89.1,95.0,87.7253,93.5
SEZL,2024-06-07,88.35,90.1299,85.0,85.65
SEZL,2024-06-10,83.78,85.0,79.0,79.01
SEZL,2024-06-11,78.22,79.61,70.2901,72.05
SEZL,2024-06-12,73.45,76.63,69.01,70.85
SEZL,2024-06-13,70.83,75.99,70.0,75.91
SEZL,2024-06-14,77.95,83.99,77.49,81.26
SEZL,2024-06-17,79.98,83.855,78.41,80.5
SEZL,2024-06-18,80.5,85.29,79.755,82.85
SEZL,2024-06-20,84.0,88.17,81.5739,85.3
SEZL,2024-06-21,84.5,84.5,75.05,81.06
SEZL,2024-06-24,77.01,80.5,72.01,78.855
SEZL,2024-06-25,77.11,83.17,76.24,80.69
SEZL,2024-06-26,85.6,87.04,80.3,82.0
SEZL,2024-06-27,81.5,89.5299,81.33,87.93
SEZL,2024-06-28,85.74,89.365,84.35,88.22
SEZL,2024-07-01,86.76,91.063,83.0,88.95
SEZL,2024-07-02,87.0,88.95,80.69,88.89
SEZL,2024-07-03,88.0,91.04,87.38,90.89
SEZL,2024-07-05,91.5,92.3693,87.0,89.545
SEZL,2024-07-08,90.28,91.05,85.01,89.21
SEZL,2024-07-09,89.31,98.32,89.1,95.24
SEZL,2024-07-10,96.65,97.0,81.0,81.98
SEZL,2024-07-11,77.76,84.2,74.56,81.98
SEZL,2024-07-12,83.26,88.305,80.86,86.61
SEZL,2024-07-15,87.58,89.0,82.68,85.245
SEZL,2024-07-16,88.0,91.5,85.23,91.35
SEZL,2024-07-17,90.81,92.15,86.75,90.17
SEZL,2024-07-18,89.82,91.0,84.0538,84.33
SEZL,2024-07-19,87.59,87.59,82.89,82.97
SEZL,2024-07-22,83.0,86.43,82.23,85.46
SEZL,2024-07-23,85.4,87.9,85.28,87.59
SEZL,2024-07-24,87.19,87.19,83.0,83.64
SEZL,2024-07-25,83.31,84.87,79.3,82.245
SEZL,2024-07-26,84.75,86.44,82.86,84.26
SEZL,2024-07-29,84.77,89.5,81.71,81.77
SEZL,2024-07-30,82.57,84.26,78.2509,79.74
SEZL,2024-07-31,81.59,87.69,81.41,87.67
SEZL,2024-08-01,85.935,87.74,77.01,77.02
SEZL,2024-08-02,76.11,77.5,70.0001,77.04
SEZL,2024-08-05,71.03,76.5799,70.95,73.48
SEZL,2024-08-06,75.0,79.94,72.0,78.07
SEZL,2024-08-07,76.9,82.78,76.9,78.82
SEZL,2024-08-08,93.0,107.49,86.67,105.865
SEZL,2024-08-09,104.0,117.0,97.66,116.41
SEZL,2024-08-12,108.81,126.04,108.05,118.36
SEZL,2024-08-13,118.5,127.0,116.55,126.47
SEZL,2024-08-14,125.0,128.0,119.0,121.14
SEZL,2024-08-15,121.09,124.88,118.0,123.99
SEZL,2024-08-16,124.38,127.1,120.01,123.82
SEZL,2024-08-19,122.6,132.19,122.6,129.99
SEZL,2024-08-20,130.98,134.8,126.06,127.61
SEZL,2024-08-21,127.98,136.5,127.98,130.49
SEZL,2024-08-22,131.0,134.25,126.3,126.3
SEZL,2024-08-23,127.31,132.87,126.09,127.93
SEZL,2024-08-26,128.26,128.4,119.35,121.6
SEZL,2024-08-27,120.97,133.49,120.97,132.0
SEZL,2024-08-28,130.0,131.96,124.19,129.97
SEZL,2024-08-29,131.41,140.36,129.32,133.45
SEZL,2024-08-30,135.44,136.0,131.389,135.87
SEZL,2024-09-03,136.474,136.474,124.45,130.87
SEZL,2024-09-04,130.0,139.12,128.9,134.35
SEZL,2024-09-05,134.84,138.86,132.85,138.23
SEZL,2024-09-06,138.0,138.0,126.24,126.49
SEZL,2024-09-09,129.99,137.39,127.57,132.72
SEZL,2024-09-10,133.31,133.31,128.96,133.31
SEZL,2024-09-11,133.33,142.48,129.5,140.3
SEZL,2024-09-12,141.8,151.0,140.817,149.25
SEZL,2024-09-13,149.91,154.77,146.23,150.31
SEZL,2024-09-16,151.07,153.24,147.23,152.23
SEZL,2024-09-17,154.0,154.0,145.0,148.78
SEZL,2024-09-18,149.635,149.77,140.475,148.63
SEZL,2024-09-19,154.0,166.025,150.0,160.36
SEZL,2024-09-20,160.15,165.32,157.3,163.64
SEZL,2024-09-23,165.02,167.94,161.5,164.01
SEZL,2024-09-24,167.89,179.99,165.05,177.36
SEZL,2024-09-25,177.5,185.178,170.465,173.93
SEZL,2024-09-26,177.64,181.09,176.5,176.85
