ticker,date,open,high,low,close
SKYE,2024-04-11,13.5,13.7128,11.04,12.3001
SKYE,2024-04-12,12.83,13.3788,12.3801,12.91
SKYE,2024-04-15,12.91,13.0,12.48,13.0
SKYE,2024-04-16,13.0,16.43,12.97,16.25
SKYE,2024-04-17,16.95,17.4772,16.4,17.36
SKYE,2024-04-18,17.37,17.6473,16.26,16.97
SKYE,2024-04-19,16.22,17.4,14.2376,16.2
SKYE,2024-04-22,15.67,16.01,14.005,14.81
SKYE,2024-04-23,15.5,15.5994,13.65,14.03
SKYE,2024-04-24,13.65,14.1,12.5003,12.85
SKYE,2024-04-25,13.0,13.2,12.6,12.85
SKYE,2024-04-26,13.0,13.46,12.68,13.0
SKYE,2024-04-29,13.51,13.51,12.92,13.0
SKYE,2024-04-30,13.0,13.01,12.52,12.93
SKYE,2024-05-01,13.2,13.26,12.52,12.79
SKYE,2024-05-02,13.0,13.05,12.72,12.99
SKYE,2024-05-03,12.99,13.1,12.8901,13.02
SKYE,2024-05-06,13.2,13.51,12.79,12.92
SKYE,2024-05-07,12.6,12.78,12.3001,12.73
SKYE,2024-05-08,13.49,13.49,12.32,12.5
SKYE,2024-05-09,12.99,12.99,11.835,12.07
SKYE,2024-05-10,12.58,12.9,10.85,11.32
SKYE,2024-05-13,11.1,11.55,11.1,11.41
SKYE,2024-05-14,11.55,12.8642,11.2401,12.15
SKYE,2024-05-15,12.17,12.68,12.17,12.68
SKYE,2024-05-16,13.44,13.44,12.15,12.25
SKYE,2024-05-17,12.05,12.525,12.0,12.05
SKYE,2024-05-20,12.77,12.77,11.9228,12.0
SKYE,2024-05-21,11.85,12.065,11.8,12.01
SKYE,2024-05-22,11.6417,12.32,11.58,11.98
SKYE,2024-05-23,12.6,12.6,11.78,11.96
SKYE,2024-05-24,11.88,12.09,11.56,12.06
SKYE,2024-05-28,12.21,12.39,11.65,12.3
SKYE,2024-05-29,12.45,12.45,11.9,12.0
SKYE,2024-05-30,11.825,11.85,11.6,11.65
SKYE,2024-05-31,11.88,11.93,10.79,11.61
SKYE,2024-06-03,11.67,12.105,11.4501,11.96
SKYE,2024-06-04,11.74,12.06,11.56,11.74
SKYE,2024-06-05,11.915,11.94,11.12,11.57
SKYE,2024-06-06,11.41,11.89,10.5,11.32
SKYE,2024-06-07,11.0,11.2,10.7,10.94
SKYE,2024-06-10,9.5,10.06,8.475,9.98
SKYE,2024-06-11,9.49,10.23,9.49,10.23
SKYE,2024-06-12,10.01,10.42,9.75,10.19
SKYE,2024-06-13,9.66,11.1564,9.66,10.78
SKYE,2024-06-14,10.66,11.07,10.1454,10.48
SKYE,2024-06-17,10.21,11.1,10.21,10.86
SKYE,2024-06-18,10.79,10.95,8.36,9.51
SKYE,2024-06-20,9.02,9.73,8.35,8.81
SKYE,2024-06-21,8.99,8.99,7.295,7.8
SKYE,2024-06-24,7.47,8.44,7.0,8.4
SKYE,2024-06-25,8.01,8.37,7.79,7.88
SKYE,2024-06-26,7.73,8.12,7.1,7.69
SKYE,2024-06-27,7.62,8.44,7.26,7.26
SKYE,2024-06-28,7.0,8.36,7.0,8.03
SKYE,2024-07-01,7.23,8.13,7.23,8.06
SKYE,2024-07-02,7.92,8.26,7.48,7.56
SKYE,2024-07-03,7.5,7.6,6.975,7.46
SKYE,2024-07-05,7.01,7.35,5.25,5.51
SKYE,2024-07-08,5.42,6.39,5.42,6.15
SKYE,2024-07-09,6.35,6.93,5.58,5.58
SKYE,2024-07-10,5.67,6.33,5.48,6.09
SKYE,2024-07-11,6.19,6.53,5.855,6.5
SKYE,2024-07-12,6.705,6.83,6.27,6.455
SKYE,2024-07-15,6.6,6.7624,5.95,6.31
SKYE,2024-07-16,6.36,6.72,6.27,6.64
SKYE,2024-07-17,6.67,6.68,6.13,6.31
SKYE,2024-07-18,6.23,6.42,5.92,5.94
SKYE,2024-07-19,6.02,6.175,5.77,5.89
SKYE,2024-07-22,5.88,6.11,5.88,6.1
SKYE,2024-07-23,6.05,6.16,5.96,6.06
SKYE,2024-07-24,6.02,6.04,5.76,5.96
SKYE,2024-07-25,5.9476,6.0399,5.9,5.9
SKYE,2024-07-26,5.99,6.22,5.91,6.15
SKYE,2024-07-29,6.17,6.17,5.73,5.97
SKYE,2024-07-30,5.98,5.98,5.435,5.45
SKYE,2024-07-31,5.42,5.52,4.63,5.14
SKYE,2024-08-01,5.18,5.65,5.0101,5.49
SKYE,2024-08-02,5.32,5.56,5.15,5.4
SKYE,2024-08-05,5.18,5.945,5.1001,5.57
SKYE,2024-08-06,5.5247,5.66,5.35,5.61
SKYE,2024-08-07,5.73,5.73,5.08,5.14
SKYE,2024-08-08,5.12,5.36,4.91,5.02
SKYE,2024-08-09,5.02,5.16,4.52,4.52
SKYE,2024-08-12,4.4,4.9899,4.4,4.6
SKYE,2024-08-13,4.58,4.71,3.9,4.15
SKYE,2024-08-14,4.36,4.57,4.18,4.5
SKYE,2024-08-15,4.6,5.19,4.55,5.04
SKYE,2024-08-16,5.04,5.1,4.61,4.66
SKYE,2024-08-19,4.72,5.0071,4.59,4.88
SKYE,2024-08-20,4.84,5.32,4.73,5.26
SKYE,2024-08-21,5.25,5.63,5.04,5.49
SKYE,2024-08-22,5.63,5.75,4.845,5.3
SKYE,2024-08-23,5.27,5.99,5.27,5.95
