ticker,date,open,high,low,close
SNBR,1998-12-04,13.33,13.67,13.0,13.58
SNBR,1998-12-07,13.42,13.79,13.33,13.42
SNBR,1998-12-08,13.42,13.71,13.33,13.33
SNBR,1998-12-09,13.33,13.46,13.29,13.42
SNBR,1998-12-10,13.46,13.46,13.33,13.33
SNBR,1998-12-11,13.42,13.46,13.33,13.33
SNBR,1998-12-14,13.33,13.46,13.08,13.08
SNBR,1998-12-15,13.25,13.33,13.17,13.29
SNBR,1998-12-16,13.42,13.42,13.25,13.25
SNBR,1998-12-17,13.25,13.5,13.25,13.5
SNBR,1998-12-18,13.25,13.83,13.25,13.83
SNBR,1998-12-21,14.0,15.83,13.83,15.83
SNBR,1998-12-22,15.92,16.5,15.5,15.58
SNBR,1998-12-23,15.75,15.75,15.5,15.58
SNBR,1998-12-24,15.92,15.92,15.58,15.58
SNBR,1998-12-28,15.75,15.75,15.67,15.75
SNBR,1998-12-29,15.75,15.75,15.67,15.75
SNBR,1998-12-30,16.17,19.46,16.0,18.46
SNBR,1998-12-31,18.67,19.08,17.17,17.62
SNBR,1999-01-04,17.67,18.08,17.33,17.42
SNBR,1999-01-05,17.5,17.83,17.17,17.5
SNBR,1999-01-06,17.92,20.25,17.5,20.08
SNBR,1999-01-07,20.17,20.17,18.92,18.92
SNBR,1999-01-08,18.92,23.5,18.92,22.67
SNBR,1999-01-11,22.67,22.67,20.33,20.33
SNBR,1999-01-12,20.33,20.75,18.5,18.83
SNBR,1999-01-13,18.33,19.0,18.33,18.83
SNBR,1999-01-14,18.92,18.92,18.75,18.92
SNBR,1999-01-15,18.92,19.42,18.75,19.42
SNBR,1999-01-19,19.42,19.5,19.25,19.25
SNBR,1999-01-20,19.42,19.42,19.25,19.25
SNBR,1999-01-21,19.33,19.42,19.25,19.25
SNBR,1999-01-22,19.42,19.42,18.67,19.08
SNBR,1999-01-25,18.67,18.83,16.67,17.58
SNBR,1999-01-26,17.67,20.42,17.67,20.0
SNBR,1999-01-27,19.58,20.0,19.5,19.58
SNBR,1999-01-28,19.58,20.0,19.5,19.67
SNBR,1999-01-29,19.42,19.67,19.33,19.42
SNBR,1999-02-01,19.08,19.33,19.0,19.17
SNBR,1999-02-02,19.08,19.17,18.92,19.08
SNBR,1999-02-03,19.08,19.25,18.67,18.67
SNBR,1999-02-04,18.67,18.83,18.42,18.58
SNBR,1999-02-05,18.42,18.83,18.08,18.33
SNBR,1999-02-08,18.08,18.25,18.08,18.12
SNBR,1999-02-09,18.12,18.21,17.33,17.33
SNBR,1999-02-10,17.33,17.5,17.25,17.25
SNBR,1999-02-11,17.33,17.33,17.17,17.25
SNBR,1999-02-12,16.67,16.71,16.0,16.17
SNBR,1999-02-16,16.0,16.33,15.83,15.83
SNBR,1999-02-17,15.67,15.67,14.5,14.67
SNBR,1999-02-18,14.83,15.42,14.83,15.33
SNBR,1999-02-19,15.08,15.33,14.83,15.25
SNBR,1999-02-22,15.25,15.58,14.83,15.58
SNBR,1999-02-23,15.58,16.33,15.0,16.33
SNBR,1999-02-24,16.33,16.5,16.17,16.25
SNBR,1999-02-25,16.42,16.5,16.08,16.42
SNBR,1999-02-26,16.21,16.33,15.92,15.92
SNBR,1999-03-01,15.92,16.0,15.75,15.83
SNBR,1999-03-02,15.83,15.92,15.67,15.67
SNBR,1999-03-03,15.92,15.92,15.75,15.88
SNBR,1999-03-04,15.67,15.75,15.42,15.5
SNBR,1999-03-05,15.5,16.12,15.42,15.83
SNBR,1999-03-08,15.83,16.42,15.83,16.17
SNBR,1999-03-09,16.42,16.42,16.0,16.21
SNBR,1999-03-10,16.25,16.42,16.0,16.33
SNBR,1999-03-11,16.12,16.38,16.0,16.38
SNBR,1999-03-12,16.17,16.42,16.17,16.25
SNBR,1999-03-15,16.08,16.08,15.5,15.54
SNBR,1999-03-16,15.67,15.92,15.58,15.92
SNBR,1999-03-17,15.67,15.75,15.42,15.67
SNBR,1999-03-18,15.58,15.83,15.58,15.83
SNBR,1999-03-19,15.67,16.0,15.67,15.67
SNBR,1999-03-22,15.67,15.83,15.17,15.17
SNBR,1999-03-23,15.17,15.25,15.0,15.0
SNBR,1999-03-24,15.0,15.0,13.75,13.75
SNBR,1999-03-25,13.83,16.0,13.67,15.5
SNBR,1999-03-26,15.67,15.67,15.42,15.46
SNBR,1999-03-29,15.5,16.29,15.42,16.25
SNBR,1999-03-30,16.0,16.75,16.0,16.75
SNBR,1999-03-31,16.62,19.08,16.58,18.58
SNBR,1999-04-01,18.25,18.25,17.21,17.21
SNBR,1999-04-05,17.08,17.08,16.92,17.04
SNBR,1999-04-06,17.08,17.67,16.92,17.33
SNBR,1999-04-07,17.83,18.33,17.67,18.25
SNBR,1999-04-08,18.33,18.42,18.0,18.25
SNBR,1999-04-09,18.33,18.33,18.21,18.25
SNBR,1999-04-12,18.33,18.33,17.42,17.46
SNBR,1999-04-13,17.38,17.67,17.38,17.67
SNBR,1999-04-14,17.5,18.58,17.5,18.12
SNBR,1999-04-15,18.08,18.08,17.5,18.0
SNBR,1999-04-16,18.17,18.17,17.83,18.0
SNBR,1999-04-19,17.83,18.33,17.83,18.25
SNBR,1999-04-20,18.42,19.33,18.33,18.79
SNBR,1999-04-21,19.0,19.92,18.92,19.58
SNBR,1999-04-22,19.75,19.75,14.25,14.5
SNBR,1999-04-23,15.42,16.17,12.67,14.67
SNBR,1999-04-26,14.67,15.17,14.58,14.96
SNBR,1999-04-27,15.0,15.08,14.42,14.5
SNBR,1999-04-28,14.17,14.33,12.5,13.17
SNBR,1999-04-29,13.25,13.25,11.83,11.92
SNBR,1999-04-30,12.17,12.17,10.75,10.79
SNBR,1999-05-03,11.0,11.12,10.5,10.75
SNBR,1999-05-04,10.58,10.58,9.92,10.0
SNBR,1999-05-05,10.08,10.62,9.58,10.58
SNBR,1999-05-06,10.58,10.67,9.92,10.54
SNBR,1999-05-07,10.75,11.42,10.62,11.29
SNBR,1999-05-10,11.42,11.42,9.0,9.33
SNBR,1999-05-11,10.08,10.08,8.0,8.17
SNBR,1999-05-12,8.67,10.25,8.67,10.17
SNBR,1999-05-13,10.33,10.42,9.92,9.96
SNBR,1999-05-14,9.67,10.08,9.33,9.92
SNBR,1999-05-17,10.08,10.29,10.0,10.25
SNBR,1999-05-18,10.25,10.58,10.17,10.5
SNBR,1999-05-19,10.58,10.67,10.42,10.5
SNBR,1999-05-20,10.67,10.67,10.5,10.67
SNBR,1999-05-21,10.75,10.75,10.58,10.67
SNBR,1999-05-24,10.83,10.83,10.58,10.58
SNBR,1999-05-25,10.67,10.67,10.33,10.33
SNBR,1999-05-26,10.54,10.58,10.42,10.5
SNBR,1999-05-27,10.58,10.58,10.0,10.08
SNBR,1999-05-28,10.12,10.17,9.33,9.88
SNBR,1999-06-01,10.0,10.08,9.83,10.08
SNBR,1999-06-02,10.0,10.0,9.25,9.29
SNBR,1999-06-03,9.33,9.75,9.0,9.29
SNBR,1999-06-04,9.33,9.42,9.17,9.33
SNBR,1999-06-07,9.33,9.33,8.75,8.75
SNBR,1999-06-08,5.0,5.75,4.67,4.96
SNBR,1999-06-09,4.96,5.0,4.67,4.79
SNBR,1999-06-10,4.77,5.08,4.67,4.98
SNBR,1999-06-11,5.04,5.08,4.83,4.85
SNBR,1999-06-14,4.85,5.0,4.33,4.42
SNBR,1999-06-15,4.58,4.62,4.25,4.46
SNBR,1999-06-16,4.47,4.85,4.44,4.62
SNBR,1999-06-17,4.83,5.0,4.67,4.96
SNBR,1999-06-18,4.94,5.25,4.89,5.04
SNBR,1999-06-21,5.17,5.17,4.75,5.0
SNBR,1999-06-22,5.04,5.12,4.92,4.92
SNBR,1999-06-23,5.0,5.12,4.92,5.12
SNBR,1999-06-24,5.12,5.17,5.08,5.12
SNBR,1999-06-25,5.17,5.33,5.12,5.17
SNBR,1999-06-28,5.15,5.42,5.08,5.38
SNBR,1999-06-29,5.33,5.67,5.33,5.58
SNBR,1999-06-30,5.58,5.96,5.46,5.96
SNBR,1999-07-01,5.95,6.0,5.67,6.0
SNBR,1999-07-02,6.0,6.08,5.88,6.04
SNBR,1999-07-06,6.08,6.12,6.0,6.04
SNBR,1999-07-07,6.06,6.08,5.71,5.75
SNBR,1999-07-08,5.67,5.67,5.08,5.33
SNBR,1999-07-09,5.32,5.33,5.0,5.0
SNBR,1999-07-12,5.19,5.33,5.0,5.21
SNBR,1999-07-13,5.27,5.33,5.0,5.08
SNBR,1999-07-14,5.33,5.42,5.12,5.33
SNBR,1999-07-15,5.31,5.42,5.17,5.38
SNBR,1999-07-16,5.33,5.33,5.17,5.21
SNBR,1999-07-19,5.17,5.29,4.98,5.04
SNBR,1999-07-20,5.0,5.04,4.5,4.88
SNBR,1999-07-21,4.92,4.92,4.71,4.79
SNBR,1999-07-22,4.83,4.83,4.62,4.71
SNBR,1999-07-23,4.67,4.85,4.67,4.79
SNBR,1999-07-26,4.85,4.85,4.67,4.71
SNBR,1999-07-27,4.67,4.79,4.67,4.75
SNBR,1999-07-28,4.88,5.12,4.83,5.12
SNBR,1999-07-29,5.12,5.33,5.0,5.33
SNBR,1999-07-30,5.33,5.33,5.21,5.25
SNBR,1999-08-02,5.21,5.25,4.92,4.92
SNBR,1999-08-03,4.89,4.96,4.62,4.71
SNBR,1999-08-04,4.67,4.71,4.5,4.62
SNBR,1999-08-05,4.5,4.67,4.29,4.29
SNBR,1999-08-06,4.33,4.42,4.33,4.38
SNBR,1999-08-09,4.46,4.5,4.33,4.5
SNBR,1999-08-10,4.5,4.5,4.33,4.38
SNBR,1999-08-11,4.42,4.42,4.17,4.38
SNBR,1999-08-12,4.4,4.42,4.17,4.25
SNBR,1999-08-13,4.29,4.79,4.25,4.75
SNBR,1999-08-16,4.71,4.73,4.54,4.65
SNBR,1999-08-17,4.67,4.67,4.58,4.62
SNBR,1999-08-18,4.62,4.62,4.38,4.38
SNBR,1999-08-19,4.5,4.67,4.38,4.58
SNBR,1999-08-20,4.58,4.62,4.54,4.58
