ticker,date,open,high,low,close
SNDX,2016-03-02,12.0,12.0,12.0,12.0
SNDX,2016-03-03,12.11,12.79,11.75,12.01
SNDX,2016-03-04,12.06,12.2,11.85,11.85
SNDX,2016-03-07,11.65,11.68,10.85,11.0
SNDX,2016-03-08,10.81,14.4,10.6,13.55
SNDX,2016-03-09,13.5,16.3,13.0999,14.83
SNDX,2016-03-10,15.0,16.19,12.55,13.31
SNDX,2016-03-11,13.45,13.45,12.38,12.73
SNDX,2016-03-14,12.9,12.904,11.52,12.0
SNDX,2016-03-15,11.75,12.572,11.75,12.29
SNDX,2016-03-16,12.08,12.35,11.0901,11.72
SNDX,2016-03-17,11.78,12.2899,11.13,11.24
SNDX,2016-03-18,11.71,11.9,11.01,11.52
SNDX,2016-03-21,11.85,12.03,11.06,11.91
SNDX,2016-03-22,12.12,13.46,11.5199,13.31
SNDX,2016-03-23,13.24,13.9499,12.11,12.79
SNDX,2016-03-24,13.17,13.19,12.02,12.62
SNDX,2016-03-28,12.95,13.8702,12.8,13.56
SNDX,2016-03-29,13.94,14.2374,12.7,13.24
SNDX,2016-03-30,13.3,13.68,12.225,12.59
SNDX,2016-03-31,12.8211,13.9503,12.71,13.32
SNDX,2016-04-01,13.53,13.53,13.1,13.11
SNDX,2016-04-04,13.1,14.18,13.09,14.09
SNDX,2016-04-05,14.02,15.57,13.935,15.28
SNDX,2016-04-06,15.43,17.49,14.73,16.6
SNDX,2016-04-07,17.04,17.04,15.25,16.42
SNDX,2016-04-08,16.49,16.49,14.031,15.13
SNDX,2016-04-11,15.1,15.6198,14.52,15.18
SNDX,2016-04-12,15.21,15.8,14.685,15.3
SNDX,2016-04-13,15.77,16.1899,15.0,15.87
SNDX,2016-04-14,16.258,16.258,15.08,15.62
SNDX,2016-04-15,15.69,16.1,15.0,15.74
SNDX,2016-04-18,15.67,16.04,15.4601,15.55
SNDX,2016-04-19,15.41,15.89,14.85,15.87
SNDX,2016-04-20,15.9,15.95,15.069,15.86
SNDX,2016-04-21,15.4764,16.0,15.25,15.72
SNDX,2016-04-22,15.66,15.96,15.66,15.8
SNDX,2016-04-25,15.89,15.9,15.0,15.16
SNDX,2016-04-26,15.29,15.55,14.5001,15.41
SNDX,2016-04-27,14.9,15.36,14.15,14.41
SNDX,2016-04-28,14.24,14.4824,13.7,13.79
SNDX,2016-04-29,13.78,14.0,13.6601,13.69
SNDX,2016-05-02,14.1041,15.07,13.729,14.85
SNDX,2016-05-03,14.7,15.24,13.75,14.83
SNDX,2016-05-04,14.24,14.75,14.04,14.04
SNDX,2016-05-05,14.211,14.72,13.95,14.01
SNDX,2016-05-06,14.0,14.69,14.0,14.5
SNDX,2016-05-09,14.69,14.69,14.2332,14.32
SNDX,2016-05-10,14.46,14.46,13.7601,13.81
SNDX,2016-05-11,13.71,14.0301,13.59,13.8
SNDX,2016-05-12,13.59,13.595,12.5,13.41
SNDX,2016-05-13,13.36,13.36,12.01,12.75
SNDX,2016-05-16,12.62,14.015,12.62,12.89
SNDX,2016-05-17,12.71,12.7399,12.2,12.47
SNDX,2016-05-18,12.69,12.95,12.34,12.83
SNDX,2016-05-19,12.8001,13.39,12.51,13.39
SNDX,2016-05-20,13.73,15.0,12.9501,13.25
SNDX,2016-05-23,13.7,14.3,12.79,14.3
SNDX,2016-05-24,14.3,14.63,14.15,14.29
SNDX,2016-05-25,14.16,14.19,13.23,13.72
SNDX,2016-05-26,13.54,14.15,13.16,14.08
SNDX,2016-05-27,14.27,14.8,13.76,13.89
SNDX,2016-05-31,13.8,13.82,13.37,13.74
SNDX,2016-06-01,13.65,13.81,13.27,13.52
SNDX,2016-06-02,13.8,13.8,13.3,13.64
SNDX,2016-06-03,13.06,13.71,13.0,13.2
SNDX,2016-06-06,13.73,14.0,13.35,13.8
SNDX,2016-06-07,14.12,14.75,14.12,14.23
SNDX,2016-06-08,14.72,14.8,14.0984,14.24
SNDX,2016-06-09,14.11,14.5,13.45,13.58
SNDX,2016-06-10,13.56,13.7204,13.05,13.17
SNDX,2016-06-13,14.49,14.49,12.71,12.98
SNDX,2016-06-14,13.71,13.74,12.3081,12.65
SNDX,2016-06-15,13.09,13.09,12.3,12.63
SNDX,2016-06-16,12.99,12.99,12.44,12.61
SNDX,2016-06-17,12.14,12.77,12.14,12.32
SNDX,2016-06-20,13.0799,13.08,12.33,12.55
SNDX,2016-06-21,12.57,12.58,11.1121,11.63
SNDX,2016-06-22,11.6,11.92,11.23,11.37
SNDX,2016-06-23,11.515,11.62,11.05,11.52
SNDX,2016-06-24,11.31,11.5,10.4,10.68
SNDX,2016-06-27,10.46,10.51,8.9701,9.06
SNDX,2016-06-28,9.43,9.845,9.12,9.67
SNDX,2016-06-29,9.72,9.93,9.23,9.79
SNDX,2016-06-30,9.85,10.9794,9.62,9.85
SNDX,2016-07-01,9.98,10.37,9.7,9.92
SNDX,2016-07-05,10.03,10.65,9.6,9.8
SNDX,2016-07-06,9.9,10.36,9.6581,10.17
SNDX,2016-07-07,10.16,10.37,9.87,10.31
SNDX,2016-07-08,10.347,10.96,10.347,10.82
SNDX,2016-07-11,10.97,11.24,10.55,10.57
SNDX,2016-07-12,11.05,11.69,10.74,11.4
SNDX,2016-07-13,11.47,11.76,11.2,11.39
SNDX,2016-07-14,11.58,11.62,11.077,11.26
SNDX,2016-07-15,11.26,11.99,11.16,11.89
SNDX,2016-07-18,11.78,12.13,11.54,11.86
SNDX,2016-07-19,11.985,12.57,11.79,11.85
SNDX,2016-07-20,12.24,12.24,11.886,12.04
SNDX,2016-07-21,12.02,12.22,11.76,12.14
SNDX,2016-07-22,12.2,12.4899,11.98,12.45
SNDX,2016-07-25,12.45,12.45,12.11,12.15
SNDX,2016-07-26,12.35,12.35,11.97,12.06
SNDX,2016-07-27,12.1,12.35,12.03,12.26
SNDX,2016-07-28,12.31,12.43,12.01,12.17
SNDX,2016-07-29,12.18,12.43,12.01,12.42
SNDX,2016-08-01,12.44,12.8299,12.21,12.22
SNDX,2016-08-02,12.3,12.61,12.3,12.46
SNDX,2016-08-03,12.6297,12.6297,12.47,12.62
SNDX,2016-08-04,12.62,12.9,12.54,12.54
SNDX,2016-08-05,12.63,12.75,12.52,12.61
SNDX,2016-08-08,12.59,13.3,12.57,13.299
SNDX,2016-08-09,13.24,14.5,13.24,14.2
SNDX,2016-08-10,14.28,14.28,13.2,14.03
SNDX,2016-08-11,14.12,14.12,13.83,14.07
SNDX,2016-08-12,13.97,14.5,13.95,14.01
SNDX,2016-08-15,14.0,14.46,13.6783,14.08
SNDX,2016-08-16,14.21,14.24,13.92,14.01
SNDX,2016-08-17,13.8,14.29,13.8,14.06
SNDX,2016-08-18,14.19,14.19,13.85,13.92
SNDX,2016-08-19,13.93,14.07,13.8,13.85
SNDX,2016-08-22,14.26,14.94,13.92,14.94
SNDX,2016-08-23,15.0,18.03,14.95,17.13
SNDX,2016-08-24,17.25,17.445,14.67,14.81
SNDX,2016-08-25,14.78,15.1801,13.35,13.69
SNDX,2016-08-26,13.59,14.4,13.5487,14.15
SNDX,2016-08-29,14.2,14.42,14.07,14.42
SNDX,2016-08-30,14.39,14.6799,14.14,14.19
SNDX,2016-08-31,14.15,14.33,14.15,14.18
SNDX,2016-09-01,14.22,14.61,13.77,13.94
SNDX,2016-09-02,14.01,14.3,13.71,14.01
SNDX,2016-09-06,14.51,14.73,14.08,14.14
SNDX,2016-09-07,14.12,14.5,13.92,14.19
SNDX,2016-09-08,13.95,14.68,13.37,13.69
SNDX,2016-09-09,13.73,13.96,13.2,13.38
SNDX,2016-09-12,13.27,14.11,13.16,13.56
SNDX,2016-09-13,13.98,13.98,12.5731,13.26
SNDX,2016-09-14,13.48,14.24,13.47,14.08
SNDX,2016-09-15,14.44,15.17,14.23,14.88
SNDX,2016-09-16,14.79,15.27,14.79,15.01
SNDX,2016-09-19,15.2221,15.2221,13.71,13.7625
SNDX,2016-09-20,14.09,14.57,13.47,14.06
SNDX,2016-09-21,14.04,14.1294,13.52,14.04
SNDX,2016-09-22,13.92,14.3,13.56,13.63
SNDX,2016-09-23,13.9,13.9,13.16,13.3
SNDX,2016-09-26,13.3,13.415,12.76,13.07
SNDX,2016-09-27,13.21,13.66,12.22,12.92
SNDX,2016-09-28,12.8,14.44,12.69,14.3
SNDX,2016-09-29,14.53,15.05,14.19,14.91
SNDX,2016-09-30,15.04,15.6172,14.79,15.16
SNDX,2016-10-03,15.03,15.58,14.935,15.49
SNDX,2016-10-04,15.23,15.95,15.23,15.7
SNDX,2016-10-05,15.7999,16.3999,15.7999,16.07
SNDX,2016-10-06,16.07,16.07,15.42,15.78
SNDX,2016-10-07,16.12,16.12,15.05,15.2
SNDX,2016-10-10,15.16,15.7,15.16,15.32
SNDX,2016-10-11,15.3,15.455,14.53,15.16
SNDX,2016-10-12,15.17,15.17,13.84,14.42
SNDX,2016-10-13,14.16,14.66,13.79,14.61
SNDX,2016-10-14,14.72,14.72,13.82,14.28
SNDX,2016-10-17,14.31,14.64,14.13,14.52
SNDX,2016-10-18,14.69,14.8841,14.43,14.77
SNDX,2016-10-19,14.95,15.1699,14.0,15.02
SNDX,2016-10-20,14.633,15.16,14.633,15.12
SNDX,2016-10-21,15.0,15.0,14.17,14.47
SNDX,2016-10-24,14.44,14.74,14.26,14.5
SNDX,2016-10-25,14.4386,14.54,13.76,13.83
SNDX,2016-10-26,13.51,13.9499,12.73,12.84
SNDX,2016-10-27,12.96,13.0199,11.89,11.96
SNDX,2016-10-28,11.811,12.34,11.811,11.92
SNDX,2016-10-31,11.41,12.285,11.41,11.81
