ticker,date,open,high,low,close
SRRK,2018-05-24,14.25,16.0,14.0,15.5
SRRK,2018-05-25,15.21,15.725,14.7,15.0
SRRK,2018-05-29,14.94,16.73,14.78,16.12
SRRK,2018-05-30,16.0,16.57,15.8154,16.5
SRRK,2018-05-31,16.61,17.8,16.55,17.49
SRRK,2018-06-01,17.63,19.95,17.284,19.65
SRRK,2018-06-04,19.94,19.94,16.8,17.5
SRRK,2018-06-05,17.25,17.9984,17.0,17.25
SRRK,2018-06-06,17.45,17.96,16.84,17.44
SRRK,2018-06-07,16.53,19.3,16.51,19.3
SRRK,2018-06-08,19.0,19.17,18.05,18.76
SRRK,2018-06-11,18.74,19.87,17.04,17.31
SRRK,2018-06-12,17.52,18.7363,17.4,17.61
SRRK,2018-06-13,17.98,19.205,17.4,18.92
SRRK,2018-06-14,17.82,19.7,17.82,18.7
SRRK,2018-06-15,18.7,19.0,18.0456,18.8
SRRK,2018-06-18,18.13,22.39,18.06,21.43
SRRK,2018-06-19,21.35,27.02,21.35,25.6
SRRK,2018-06-20,25.35,26.48,21.4,22.55
SRRK,2018-06-21,22.29,25.01,21.5,23.17
SRRK,2018-06-22,23.88,24.57,21.5,21.62
SRRK,2018-06-25,21.49,21.72,18.5,19.75
SRRK,2018-06-26,19.89,22.53,18.61,21.76
SRRK,2018-06-27,21.64,21.8259,18.0,18.48
SRRK,2018-06-28,18.34,19.2939,15.62,15.8
SRRK,2018-06-29,15.92,17.8401,15.6,15.6
SRRK,2018-07-02,15.69,17.65,14.13,14.83
SRRK,2018-07-03,14.86,15.63,14.7972,15.0
SRRK,2018-07-05,15.1,15.9,14.79,15.01
SRRK,2018-07-06,15.46,15.98,15.0,15.11
SRRK,2018-07-09,15.225,15.792,14.5562,14.805
SRRK,2018-07-10,14.88,16.59,14.81,15.39
SRRK,2018-07-11,15.25,16.18,15.035,15.66
SRRK,2018-07-12,15.66,16.78,15.255,15.95
SRRK,2018-07-13,15.94,17.7,15.475,15.78
SRRK,2018-07-16,15.79,16.9459,15.21,15.3
SRRK,2018-07-17,15.46,15.8,15.05,15.2
SRRK,2018-07-18,15.23,15.59,15.05,15.25
SRRK,2018-07-19,15.2,15.94,15.0501,15.4
SRRK,2018-07-20,15.32,15.7499,15.235,15.41
SRRK,2018-07-23,15.43,15.73,15.0,15.0
SRRK,2018-07-24,15.09,15.5,15.05,15.13
SRRK,2018-07-25,15.15,15.6185,15.15,15.4
SRRK,2018-07-26,15.86,15.9,15.25,15.54
SRRK,2018-07-27,16.0,16.0,15.6,15.6
SRRK,2018-07-30,15.65,15.849,15.44,15.7
SRRK,2018-07-31,15.92,17.11,15.7,16.24
SRRK,2018-08-01,16.5,16.78,16.02,16.64
SRRK,2018-08-02,16.5,16.5,14.03,15.65
SRRK,2018-08-03,15.705,15.705,15.1,15.3
SRRK,2018-08-06,15.14,15.7,15.0,15.15
SRRK,2018-08-07,15.25,16.15,14.9,15.2
SRRK,2018-08-08,15.19,15.99,14.31,15.48
SRRK,2018-08-09,14.9,14.9,13.55,14.18
SRRK,2018-08-10,13.86,15.08,13.5833,14.38
SRRK,2018-08-13,14.35,14.39,13.09,13.39
SRRK,2018-08-14,13.37,14.26,13.37,13.9
SRRK,2018-08-15,13.82,14.65,13.23,14.02
SRRK,2018-08-16,14.0,15.11,13.84,14.85
SRRK,2018-08-17,14.85,15.4,14.275,15.03
SRRK,2018-08-20,15.0,16.19,14.165,16.15
SRRK,2018-08-21,16.22,17.88,15.65,17.88
SRRK,2018-08-22,17.8901,19.97,17.8901,19.85
SRRK,2018-08-23,19.46,21.274,19.24,19.87
SRRK,2018-08-24,19.9,20.9317,19.26,19.69
SRRK,2018-08-27,20.22,20.22,18.42,18.8
SRRK,2018-08-28,18.73,20.05,18.73,19.92
SRRK,2018-08-29,20.0,20.25,18.83,18.84
SRRK,2018-08-30,18.56,18.66,16.2,17.15
SRRK,2018-08-31,17.19,17.68,15.55,17.01
SRRK,2018-09-04,17.12,20.51,17.0235,20.0
SRRK,2018-09-05,20.0,20.52,18.211,19.91
SRRK,2018-09-06,19.96,20.5,18.8,20.16
SRRK,2018-09-07,20.05,23.0,20.05,22.95
SRRK,2018-09-10,23.01,26.44,23.01,25.39
SRRK,2018-09-11,24.68,26.54,22.1967,25.44
SRRK,2018-09-12,25.34,26.9899,22.1886,25.63
SRRK,2018-09-13,26.25,26.3,24.965,26.25
