ticker,date,open,high,low,close
SVRE,2022-06-03,3.5,3.5,2.22,2.56
SVRE,2022-06-06,2.8,2.8,2.41,2.75
SVRE,2022-06-07,2.71,2.83,2.49,2.76
SVRE,2022-06-08,2.86,2.95,2.72,2.95
SVRE,2022-06-09,2.88,2.8899,2.8,2.8
SVRE,2022-06-10,2.88,2.88,2.64,2.72
SVRE,2022-06-13,2.53,2.54,2.31,2.43
SVRE,2022-06-14,2.31,2.49,2.1,2.47
SVRE,2022-06-15,2.25,2.48,2.22,2.47
SVRE,2022-06-16,2.4,2.4,2.02,2.34
SVRE,2022-06-17,2.23,2.52,2.23,2.4
SVRE,2022-06-21,2.44,2.58,2.4,2.49
SVRE,2022-06-22,2.45,2.5,2.4,2.41
SVRE,2022-06-23,2.4,2.6,2.3,2.53
SVRE,2022-06-24,2.66,2.66,2.31,2.49
SVRE,2022-06-27,2.47,2.47,2.2924,2.3916
SVRE,2022-06-28,2.3507,2.5,2.08,2.22
SVRE,2022-06-29,2.27,2.43,2.22,2.4
SVRE,2022-06-30,2.41,2.41,2.305,2.305
SVRE,2022-07-01,2.37,2.4,2.3,2.305
SVRE,2022-07-05,2.28,2.35,2.13,2.1899
SVRE,2022-07-06,2.25,2.31,1.81,1.98
SVRE,2022-07-07,2.0,2.08,1.98,1.98
SVRE,2022-07-08,1.95,2.21,1.85,2.19
SVRE,2022-07-11,2.0586,2.68,1.91,2.28
SVRE,2022-07-12,2.35,3.87,2.1628,2.5
SVRE,2022-07-13,2.56,3.15,2.5127,2.89
SVRE,2022-07-14,2.99,4.17,2.84,2.87
SVRE,2022-07-15,2.7,2.82,2.2,2.65
SVRE,2022-07-18,2.9,2.94,2.51,2.71
SVRE,2022-07-19,2.63,2.63,2.33,2.38
SVRE,2022-07-20,2.341,2.4799,2.1762,2.4
SVRE,2022-07-21,2.35,2.39,2.21,2.35
SVRE,2022-07-22,2.34,2.78,2.27,2.56
SVRE,2022-07-25,2.43,2.6,2.32,2.39
SVRE,2022-07-26,2.35,2.6719,2.28,2.51
SVRE,2022-07-27,2.51,2.73,2.4301,2.5999
SVRE,2022-07-28,2.46,2.9499,2.46,2.75
SVRE,2022-07-29,2.71,2.95,2.53,2.68
SVRE,2022-08-01,2.55,3.38,2.54,2.98
SVRE,2022-08-02,2.93,3.1599,2.71,2.79
