ticker,date,open,high,low,close
SWIM,2021-04-23,24.7,27.7699,23.58,27.25
SWIM,2021-04-26,27.45,27.69,25.05,27.6
SWIM,2021-04-27,26.83,28.57,25.85,27.5
SWIM,2021-04-28,26.94,28.795,26.11,28.31
SWIM,2021-04-29,28.63,28.98,26.55,26.88
SWIM,2021-04-30,26.23,26.78,25.99,26.0
SWIM,2021-05-03,26.0,26.52,24.99,26.01
SWIM,2021-05-04,25.79,26.34,25.0,25.14
SWIM,2021-05-05,25.74,26.29,25.05,25.93
SWIM,2021-05-06,25.73,26.98,25.5,26.33
SWIM,2021-05-07,26.41,29.26,26.1423,28.91
SWIM,2021-05-10,28.88,30.26,28.1,29.62
SWIM,2021-05-11,29.24,30.5,28.24,29.95
SWIM,2021-05-12,29.79,30.0738,28.215,28.66
SWIM,2021-05-13,28.74,29.75,28.5,29.63
SWIM,2021-05-14,30.08,31.98,29.45,31.81
SWIM,2021-05-17,31.81,33.26,31.53,32.7
SWIM,2021-05-18,32.89,34.73,31.61,31.69
SWIM,2021-05-19,31.2,31.73,29.02,31.62
SWIM,2021-05-20,31.89,32.43,29.51,29.71
SWIM,2021-05-21,30.05,30.2586,28.49,29.68
SWIM,2021-05-24,30.25,30.88,29.01,29.59
SWIM,2021-05-25,29.74,30.48,29.61,29.9
SWIM,2021-05-26,29.98,30.72,29.4,30.2
SWIM,2021-05-27,30.12,30.17,29.04,29.92
SWIM,2021-05-28,30.06,31.19,29.51,31.06
SWIM,2021-06-01,31.24,31.8099,30.42,31.06
SWIM,2021-06-02,31.39,31.61,29.66,30.68
SWIM,2021-06-03,30.62,30.62,28.66,29.64
SWIM,2021-06-04,29.9,30.2799,28.49,28.97
SWIM,2021-06-07,28.98,29.43,27.05,27.89
SWIM,2021-06-08,28.0,28.39,27.74,27.92
SWIM,2021-06-09,27.86,28.19,27.26,27.44
SWIM,2021-06-10,27.38,27.84,27.12,27.53
SWIM,2021-06-11,27.68,28.01,27.38,27.81
SWIM,2021-06-14,27.87,28.62,27.64,28.49
SWIM,2021-06-15,28.48,28.9609,28.11,28.16
SWIM,2021-06-16,28.31,29.145,28.01,28.94
SWIM,2021-06-17,28.94,29.82,28.4,28.76
SWIM,2021-06-18,28.29,29.668,28.29,29.48
SWIM,2021-06-21,29.6,31.19,29.6,30.38
SWIM,2021-06-22,30.25,30.66,29.7,29.99
SWIM,2021-06-23,30.21,31.04,29.775,30.8
SWIM,2021-06-24,30.95,31.59,30.66,31.05
SWIM,2021-06-25,31.27,31.7,30.17,30.39
SWIM,2021-06-28,30.39,32.0,29.87,31.24
SWIM,2021-06-29,31.42,32.18,30.98,31.94
SWIM,2021-06-30,32.19,32.58,31.43,31.96
SWIM,2021-07-01,32.18,32.3,31.05,31.91
SWIM,2021-07-02,32.0,32.1,31.06,31.18
SWIM,2021-07-06,31.45,31.45,29.08,30.37
SWIM,2021-07-07,30.24,31.34,29.8012,30.85
SWIM,2021-07-08,30.54,31.26,29.5,30.97
SWIM,2021-07-09,31.31,31.85,30.05,30.33
SWIM,2021-07-12,30.68,30.73,29.76,30.28
SWIM,2021-07-13,29.91,30.69,29.68,29.8
SWIM,2021-07-14,30.11,30.11,28.61,28.81
SWIM,2021-07-15,28.79,29.4,28.51,28.7
SWIM,2021-07-16,28.87,29.4,26.92,27.04
SWIM,2021-07-19,26.51,27.67,25.74,27.65
SWIM,2021-07-20,27.85,28.67,27.39,28.18
SWIM,2021-07-21,28.24,28.655,27.765,28.29
SWIM,2021-07-22,28.21,28.57,27.27,27.76
SWIM,2021-07-23,27.71,28.57,27.2115,28.31
SWIM,2021-07-26,28.4,28.57,27.68,28.24
SWIM,2021-07-27,28.26,28.75,27.8,28.7
SWIM,2021-07-28,28.77,28.96,27.86,28.36
SWIM,2021-07-29,28.46,28.76,28.12,28.6
SWIM,2021-07-30,28.69,28.9,27.15,27.28
SWIM,2021-08-02,27.54,28.16,26.53,26.83
SWIM,2021-08-03,26.9,28.04,25.94,26.5
SWIM,2021-08-04,26.34,26.99,26.21,26.39
SWIM,2021-08-05,25.35,26.11,21.31,21.62
SWIM,2021-08-06,22.01,22.41,19.895,20.47
SWIM,2021-08-09,20.49,20.91,19.461,19.81
SWIM,2021-08-10,19.85,20.63,19.81,20.15
SWIM,2021-08-11,19.86,21.23,19.51,20.8
SWIM,2021-08-12,20.7,22.05,20.55,21.77
SWIM,2021-08-13,21.72,22.54,20.88,22.08
SWIM,2021-08-16,22.08,23.0,21.895,22.12
SWIM,2021-08-17,22.1,22.55,21.56,22.34
SWIM,2021-08-18,22.37,22.495,21.18,21.21
SWIM,2021-08-19,21.04,21.8,20.75,21.0
SWIM,2021-08-20,20.96,21.9,20.5472,21.74
SWIM,2021-08-23,21.94,22.4899,21.36,21.57
SWIM,2021-08-24,21.5,21.97,21.09,21.92
SWIM,2021-08-25,21.96,22.09,21.4,21.65
SWIM,2021-08-26,21.64,22.33,21.32,21.65
SWIM,2021-08-27,21.7,22.58,21.62,22.12
SWIM,2021-08-30,22.06,22.65,21.68,22.15
SWIM,2021-08-31,22.06,22.27,21.66,21.97
SWIM,2021-09-01,22.18,22.53,21.97,22.36
SWIM,2021-09-02,22.25,22.52,22.0,22.36
SWIM,2021-09-03,22.31,22.63,22.09,22.2
SWIM,2021-09-07,22.21,22.28,21.43,21.55
SWIM,2021-09-08,21.45,21.66,20.03,20.44
SWIM,2021-09-09,20.54,20.99,20.3034,20.49
SWIM,2021-09-10,20.53,20.53,18.2,18.2
SWIM,2021-09-13,18.44,18.61,17.51,17.6
SWIM,2021-09-14,17.5,18.41,17.32,17.83
SWIM,2021-09-15,17.81,18.5,17.59,17.9
SWIM,2021-09-16,17.74,17.9,17.43,17.72
SWIM,2021-09-17,17.72,18.18,17.11,17.97
SWIM,2021-09-20,17.74,18.09,17.36,17.56
SWIM,2021-09-21,17.84,17.95,17.276,17.55
SWIM,2021-09-22,17.59,17.99,17.18,17.44
SWIM,2021-09-23,17.48,18.19,17.22,17.8
SWIM,2021-09-24,17.69,17.8908,17.32,17.84
SWIM,2021-09-27,17.88,18.3,16.55,16.9
SWIM,2021-09-28,16.84,16.96,16.17,16.76
SWIM,2021-09-29,16.82,17.42,16.62,17.07
SWIM,2021-09-30,17.07,17.07,16.29,16.4
SWIM,2021-10-01,16.4,16.83,15.27,15.34
SWIM,2021-10-04,15.21,15.69,14.35,14.62
SWIM,2021-10-05,14.61,15.32,14.32,14.35
SWIM,2021-10-06,14.17,14.8499,13.85,13.91
SWIM,2021-10-07,13.94,14.34,13.55,13.6
SWIM,2021-10-08,13.56,14.32,12.97,13.1
SWIM,2021-10-11,13.08,13.66,12.81,12.89
SWIM,2021-10-12,13.05,13.27,12.69,13.18
SWIM,2021-10-13,13.18,13.66,12.87,13.2
SWIM,2021-10-14,13.66,13.99,13.31,13.46
SWIM,2021-10-15,13.56,13.87,13.01,13.19
SWIM,2021-10-18,13.09,14.2,13.09,13.69
SWIM,2021-10-19,14.11,14.11,13.21,13.55
SWIM,2021-10-20,13.79,14.43,13.4346,14.41
SWIM,2021-10-21,14.3,15.1,14.2602,14.9
SWIM,2021-10-22,14.71,15.6112,14.68,15.38
SWIM,2021-10-25,15.36,16.02,15.23,15.88
SWIM,2021-10-26,16.0,16.17,15.49,15.91
SWIM,2021-10-27,15.92,16.26,14.92,15.15
SWIM,2021-10-28,15.3,15.76,15.175,15.37
SWIM,2021-10-29,15.36,15.9135,14.92,15.4
SWIM,2021-11-01,15.36,16.105,14.96,15.71
SWIM,2021-11-02,15.67,15.91,14.91,15.54
SWIM,2021-11-03,15.54,15.8,15.18,15.61
SWIM,2021-11-04,15.9,15.9,15.28,15.66
SWIM,2021-11-05,15.8,16.155,15.65,16.05
SWIM,2021-11-08,16.19,16.72,15.68,15.9
SWIM,2021-11-09,15.86,16.6,15.68,16.56
SWIM,2021-11-10,16.59,22.04,16.59,20.02
SWIM,2021-11-11,20.8,22.93,20.39,21.8
SWIM,2021-11-12,22.34,23.78,22.24,23.44
SWIM,2021-11-15,23.33,24.27,22.35,22.57
SWIM,2021-11-16,22.53,23.58,21.79,22.21
SWIM,2021-11-17,22.32,22.66,21.19,22.36
SWIM,2021-11-18,22.17,22.62,21.701,21.93
SWIM,2021-11-19,21.92,23.12,21.04,22.48
SWIM,2021-11-22,21.955,22.96,21.955,22.86
SWIM,2021-11-23,22.66,23.79,22.66,23.01
SWIM,2021-11-24,22.49,23.34,21.43,23.26
SWIM,2021-11-26,22.92,23.44,22.42,23.12
SWIM,2021-11-29,23.55,23.91,23.145,23.45
SWIM,2021-11-30,23.62,25.93,22.3,25.77
SWIM,2021-12-01,26.18,26.99,25.2101,26.13
SWIM,2021-12-02,26.28,26.7,24.72,25.9
SWIM,2021-12-03,26.18,26.4217,24.42,25.1
SWIM,2021-12-06,24.68,25.584,23.65,23.74
SWIM,2021-12-07,24.02,25.88,24.02,25.78
SWIM,2021-12-08,25.86,26.24,24.85,25.56
SWIM,2021-12-09,25.75,26.0799,24.52,24.66
SWIM,2021-12-10,24.62,25.25,24.255,25.2
SWIM,2021-12-13,24.88,26.15,24.0,24.5
SWIM,2021-12-14,23.76,25.56,23.76,25.2
SWIM,2021-12-15,25.16,25.58,24.04,25.29
SWIM,2021-12-16,25.22,27.2489,22.66,22.91
SWIM,2021-12-17,22.39,23.14,21.6,22.17
SWIM,2021-12-20,22.24,22.54,21.0,21.52
SWIM,2021-12-21,21.85,22.98,21.6674,22.52
SWIM,2021-12-22,22.3,24.32,21.615,24.14
SWIM,2021-12-23,24.12,24.65,23.8554,24.56
SWIM,2021-12-27,24.81,25.96,24.36,24.97
SWIM,2021-12-28,24.94,24.94,23.98,24.35
SWIM,2021-12-29,24.32,24.54,23.39,24.44
SWIM,2021-12-30,24.9,25.508,24.13,24.81
SWIM,2021-12-31,24.94,25.49,24.3,25.03
SWIM,2022-01-03,25.24,26.0621,24.7,25.19
SWIM,2022-01-04,24.9989,25.35,23.14,23.63
SWIM,2022-01-05,21.85,21.85,20.37,20.96
SWIM,2022-01-06,20.75,21.2554,19.745,20.03
SWIM,2022-01-07,19.75,20.65,19.27,20.37
SWIM,2022-01-10,19.702,20.49,19.11,19.45
SWIM,2022-01-11,19.35,20.0783,19.0676,19.83
SWIM,2022-01-12,19.99,20.55,19.62,20.25
SWIM,2022-01-13,20.26,20.66,19.58,19.95
SWIM,2022-01-14,19.45,19.98,18.66,19.92
SWIM,2022-01-18,19.45,19.53,18.385,18.79
SWIM,2022-01-19,18.97,19.085,18.16,18.51
SWIM,2022-01-20,18.78,18.83,16.39,16.78
SWIM,2022-01-21,16.57,16.92,16.1,16.235
SWIM,2022-01-24,15.79,16.15,14.64,15.94
SWIM,2022-01-25,15.48,15.89,14.89,15.0
SWIM,2022-01-26,15.45,16.12,15.004,15.24
SWIM,2022-01-27,15.33,15.45,14.37,14.4
SWIM,2022-01-28,14.4,15.19,13.54,15.17
SWIM,2022-01-31,15.17,16.93,15.17,16.68
SWIM,2022-02-01,16.7,17.185,16.18,17.01
SWIM,2022-02-02,17.01,17.05,16.38,16.97
SWIM,2022-02-03,16.5,16.55,15.69,15.8
SWIM,2022-02-04,15.83,16.73,15.52,16.64
SWIM,2022-02-07,16.7,17.37,16.345,16.74
SWIM,2022-02-08,16.58,17.2,16.33,17.08
SWIM,2022-02-09,17.34,18.1,17.15,17.8
SWIM,2022-02-10,17.17,18.195,16.96,17.41
SWIM,2022-02-11,17.5,17.64,16.56,17.05
SWIM,2022-02-14,16.92,17.44,16.68,16.89
SWIM,2022-02-15,17.14,17.51,16.84,17.04
SWIM,2022-02-16,16.94,17.695,16.82,17.57
SWIM,2022-02-17,17.39,17.78,16.75,16.86
SWIM,2022-02-18,16.78,17.09,16.5,16.92
SWIM,2022-02-22,16.94,17.93,16.79,17.24
SWIM,2022-02-23,17.38,17.53,15.25,15.36
SWIM,2022-02-24,14.52,16.46,14.5199,16.43
SWIM,2022-02-25,16.24,16.95,16.1007,16.94
SWIM,2022-02-28,17.0,17.72,16.9,17.49
SWIM,2022-03-01,17.14,17.76,16.78,17.09
SWIM,2022-03-02,17.21,17.53,16.68,17.18
SWIM,2022-03-03,16.97,17.58,15.265,15.69
SWIM,2022-03-04,15.28,15.84,14.6459,15.05
SWIM,2022-03-07,14.84,15.2,13.59,13.63
SWIM,2022-03-08,13.5,14.305,12.905,13.95
SWIM,2022-03-09,14.42,15.21,14.38,14.43
SWIM,2022-03-10,15.68,17.5,14.79,16.1
SWIM,2022-03-11,16.72,17.09,14.76,14.8
SWIM,2022-03-14,14.76,15.4135,13.96,13.98
SWIM,2022-03-15,13.99,14.47,13.131,13.48
SWIM,2022-03-16,13.76,14.79,13.76,14.53
SWIM,2022-03-17,14.33,15.31,14.2,15.25
SWIM,2022-03-18,15.14,16.25,14.75,15.41
SWIM,2022-03-21,15.21,15.61,14.73,14.93
SWIM,2022-03-22,14.96,15.515,14.96,15.13
SWIM,2022-03-23,14.81,15.26,14.22,14.52
