ticker,date,open,high,low,close
SYRE,2016-04-07,250.0,268.0,240.25,244.25
SYRE,2016-04-08,250.0,318.75,250.0,299.75
SYRE,2016-04-11,296.75,301.125,257.5,260.5
SYRE,2016-04-12,261.0,268.625,235.5,241.25
SYRE,2016-04-13,248.5,271.5,246.252,251.75
SYRE,2016-04-14,254.25,261.0,243.75,244.0
SYRE,2016-04-15,253.75,256.0,245.75,249.0
SYRE,2016-04-18,251.75,252.0,241.25,242.75
SYRE,2016-04-19,250.0,250.0,209.0,212.25
SYRE,2016-04-20,218.25,221.95,210.0,213.5
SYRE,2016-04-21,220.0,220.0,212.5,214.75
SYRE,2016-04-22,224.0,236.25,212.75,229.75
SYRE,2016-04-25,235.25,256.25,230.5,242.5
SYRE,2016-04-26,245.0,253.748,229.5,245.5
SYRE,2016-04-27,239.75,246.25,232.75,238.0
SYRE,2016-04-28,238.0,244.375,223.25,229.75
SYRE,2016-04-29,230.0,232.975,213.75,219.0
SYRE,2016-05-02,224.75,250.0,221.95,244.0
SYRE,2016-05-03,250.0,251.25,232.5,235.0
SYRE,2016-05-04,241.25,247.25,215.0,227.5
SYRE,2016-05-05,225.5,231.248,214.25,215.375
SYRE,2016-05-06,217.75,231.25,215.002,217.75
SYRE,2016-05-09,218.0,231.25,218.0,220.25
SYRE,2016-05-10,221.5,223.375,215.278,219.25
SYRE,2016-05-11,215.5,222.5,202.0,204.25
SYRE,2016-05-12,202.5,216.5,182.5,186.5
SYRE,2016-05-13,179.75,186.0,167.0,179.25
SYRE,2016-05-16,183.5,212.5,178.75,180.75
SYRE,2016-05-17,175.5,187.998,170.25,179.25
SYRE,2016-05-18,175.0,200.0,175.0,185.25
SYRE,2016-05-19,175.5,193.748,175.5,184.0
SYRE,2016-05-20,185.0,190.0,179.25,186.5
SYRE,2016-05-23,186.75,193.75,176.752,182.75
SYRE,2016-05-24,200.0,206.0,177.5,182.75
SYRE,2016-05-25,180.5,187.0,179.75,184.5
SYRE,2016-05-26,181.75,187.25,177.75,186.25
SYRE,2016-05-27,182.75,184.998,171.25,181.0
SYRE,2016-05-31,181.25,190.0,171.252,190.0
SYRE,2016-06-01,187.5,192.5,182.5,184.5
SYRE,2016-06-02,182.0,192.0,182.0,192.0
SYRE,2016-06-03,192.0,192.0,183.625,190.0
SYRE,2016-06-06,190.0,190.375,181.832,189.75
SYRE,2016-06-07,182.75,187.25,177.8,183.75
SYRE,2016-06-08,179.75,189.75,179.75,181.5
SYRE,2016-06-09,181.25,190.0,171.75,181.25
SYRE,2016-06-10,179.5,179.5,146.25,154.0
SYRE,2016-06-13,155.25,162.75,151.0,154.25
SYRE,2016-06-14,154.0,163.5,132.75,147.25
SYRE,2016-06-15,147.25,156.75,125.25,134.0
SYRE,2016-06-16,134.0,146.25,126.25,130.0
SYRE,2016-06-17,135.0,137.25,109.75,111.5
SYRE,2016-06-20,115.25,121.5,107.25,111.75
SYRE,2016-06-21,114.0,116.89,107.612,109.0
SYRE,2016-06-22,110.25,117.575,102.5,111.375
SYRE,2016-06-23,114.5,128.25,112.25,120.0
SYRE,2016-06-24,124.75,135.5,118.375,134.0
SYRE,2016-06-27,134.0,149.25,134.0,136.25
SYRE,2016-06-28,133.75,149.5,130.25,135.998
SYRE,2016-06-29,145.75,145.75,125.5,130.75
SYRE,2016-06-30,125.0,128.748,118.0,125.0
SYRE,2016-07-01,145.112,145.112,116.25,121.25
SYRE,2016-07-05,123.25,123.25,110.75,114.5
SYRE,2016-07-06,114.75,117.247,106.25,114.0
SYRE,2016-07-07,112.25,112.25,97.25,99.0
SYRE,2016-07-08,99.0,108.19,99.0,105.25
SYRE,2016-07-11,107.45,107.5,101.25,103.0
SYRE,2016-07-12,103.25,109.498,101.69,105.0
SYRE,2016-07-13,104.75,119.0,104.75,116.25
SYRE,2016-07-14,117.5,122.0,116.25,117.0
SYRE,2016-07-15,114.965,116.95,109.25,113.0
SYRE,2016-07-18,117.655,117.655,106.25,112.0
SYRE,2016-07-19,110.0,118.725,110.0,116.0
SYRE,2016-07-20,118.25,118.25,113.75,114.25
SYRE,2016-07-21,114.25,115.272,110.0,110.5
SYRE,2016-07-22,110.0,116.5,110.0,116.25
SYRE,2016-07-25,117.5,117.5,112.0,112.75
SYRE,2016-07-26,114.648,118.25,112.5,117.5
SYRE,2016-07-27,117.5,126.168,115.25,117.5
SYRE,2016-07-28,119.0,123.378,118.0,120.25
SYRE,2016-07-29,119.5,124.917,116.25,120.002
SYRE,2016-08-01,118.75,123.05,118.0,119.003
SYRE,2016-08-02,117.5,120.0,112.5,114.5
SYRE,2016-08-03,119.135,119.135,115.0,115.5
SYRE,2016-08-04,116.502,123.25,116.502,119.75
SYRE,2016-08-05,117.5,117.5,116.5,117.25
SYRE,2016-08-08,116.75,122.25,115.0,115.0
SYRE,2016-08-09,114.75,120.5,114.75,118.5
SYRE,2016-08-10,119.5,119.5,113.75,114.99
SYRE,2016-08-11,115.0,115.0,113.75,114.75
SYRE,2016-08-12,116.617,117.077,114.475,115.003
SYRE,2016-08-15,117.15,117.25,112.5,117.25
SYRE,2016-08-16,117.0,130.0,116.25,130.0
SYRE,2016-08-17,130.0,150.0,130.0,147.5
SYRE,2016-08-18,147.5,149.998,138.25,147.0
SYRE,2016-08-19,141.54,142.75,125.25,129.0
SYRE,2016-08-22,131.25,141.75,131.25,141.0
SYRE,2016-08-23,139.5,142.25,136.0,139.25
SYRE,2016-08-24,137.502,148.998,137.5,144.75
SYRE,2016-08-25,134.5,147.5,125.525,146.75
SYRE,2016-08-26,142.75,147.5,142.525,147.375
SYRE,2016-08-29,145.25,147.5,139.25,146.0
SYRE,2016-08-30,145.5,145.5,143.375,144.75
SYRE,2016-08-31,144.25,144.25,137.0,141.0
SYRE,2016-09-01,140.0,147.5,140.0,144.625
SYRE,2016-09-02,147.498,159.25,145.79,156.25
SYRE,2016-09-06,157.5,174.25,157.25,174.25
SYRE,2016-09-07,175.0,175.0,167.0,174.498
SYRE,2016-09-08,173.775,183.25,173.775,183.25
SYRE,2016-09-09,182.0,188.5,170.0,173.75
SYRE,2016-09-12,172.0,188.0,172.0,186.25
SYRE,2016-09-13,189.5,196.0,186.002,194.25
