ticker,date,open,high,low,close
TARA,2014-10-22,452.0,480.0,400.0,401.2
TARA,2014-10-23,400.0,414.4,400.0,400.0
TARA,2014-10-24,400.0,404.0,400.0,400.0
TARA,2014-10-27,400.0,403.6,400.0,400.0
TARA,2014-10-28,400.8,403.2,400.0,400.0
TARA,2014-10-29,400.0,403.6,400.0,400.4
TARA,2014-10-30,402.8,404.44,400.0,400.0
TARA,2014-10-31,404.0,417.6,400.0,400.0
TARA,2014-11-03,402.0,415.6,400.8,408.0
TARA,2014-11-04,416.0,416.0,404.0,410.0
TARA,2014-11-05,420.0,424.8,406.0,409.6
TARA,2014-11-06,418.8,418.8,406.0,409.6
TARA,2014-11-07,404.0,416.4,400.0,406.0
TARA,2014-11-10,400.0,407.6,400.0,403.6
TARA,2014-11-11,402.0,410.0,400.0,404.0
TARA,2014-11-12,400.4,404.0,400.0,401.6
TARA,2014-11-13,400.4,404.0,400.0,400.0
TARA,2014-11-14,400.84,409.64,400.4,403.92
TARA,2014-11-17,408.4,418.0,400.4,414.4
TARA,2014-11-18,424.0,425.6,402.4,412.4
TARA,2014-11-19,414.4,414.8,408.0,411.2
TARA,2014-11-20,408.0,410.0,406.0,408.8
TARA,2014-11-21,406.0,413.6,402.4,413.6
TARA,2014-11-24,410.4,419.6,402.0,418.0
TARA,2014-11-25,412.4,426.0,402.8,416.4
TARA,2014-11-26,422.8,426.0,408.8,425.6
TARA,2014-11-28,426.4,426.4,414.84,421.68
TARA,2014-12-01,420.8,424.0,408.8,416.4
TARA,2014-12-02,410.8,413.6,402.0,402.0
TARA,2014-12-03,402.44,403.44,344.8,360.4
TARA,2014-12-04,360.0,390.8,350.4,362.0
TARA,2014-12-05,370.4,370.4,344.8,350.8
TARA,2014-12-08,350.0,377.2,342.8,358.0
TARA,2014-12-09,363.6,414.0,363.6,410.4
TARA,2014-12-10,414.0,423.6,400.4,410.8
TARA,2014-12-11,395.6,425.6,384.12,394.4
TARA,2014-12-12,391.2,409.6,360.0,391.6
TARA,2014-12-15,380.4,413.6,352.0,403.6
TARA,2014-12-16,374.0,412.4,372.8,411.2
TARA,2014-12-17,413.6,414.0,396.8,402.8
TARA,2014-12-18,400.8,408.4,390.8,407.6
TARA,2014-12-19,390.0,408.8,390.0,407.6
TARA,2014-12-22,402.8,422.8,402.4,420.0
TARA,2014-12-23,419.6,419.6,396.0,409.2
TARA,2014-12-24,416.8,416.8,416.0,416.0
TARA,2014-12-26,398.0,415.6,392.8,392.8
TARA,2014-12-29,398.4,411.6,393.2,402.8
TARA,2014-12-30,406.0,414.4,398.0,411.6
TARA,2014-12-31,402.24,416.0,402.24,416.0
TARA,2015-01-02,422.8,424.0,395.2,424.0
TARA,2015-01-05,403.2,425.2,402.0,425.2
TARA,2015-01-06,426.0,426.0,416.4,426.0
TARA,2015-01-07,424.4,426.0,420.0,424.4
TARA,2015-01-08,424.0,426.0,414.4,424.8
TARA,2015-01-09,436.0,506.0,432.0,469.6
TARA,2015-01-12,484.4,487.6,470.0,480.0
TARA,2015-01-13,478.8,494.0,456.4,494.0
TARA,2015-01-14,490.0,490.0,458.0,474.4
TARA,2015-01-15,455.12,478.36,455.12,459.6
TARA,2015-01-16,441.6,487.08,441.6,453.6
TARA,2015-01-20,439.72,468.52,439.6,458.8
TARA,2015-01-21,440.4,446.0,424.4,434.4
TARA,2015-01-22,433.2,479.6,403.6,461.6
TARA,2015-01-23,437.6,437.6,434.0,434.0
TARA,2015-01-26,455.6,455.6,416.0,429.2
TARA,2015-01-27,432.0,432.0,431.6,431.6
TARA,2015-01-28,442.4,442.4,418.0,426.4
TARA,2015-01-29,439.2,439.4,420.4,420.4
TARA,2015-01-30,430.0,431.6,420.0,420.0
TARA,2015-02-02,432.0,442.0,416.4,416.4
TARA,2015-02-03,448.4,448.4,416.0,418.4
TARA,2015-02-04,418.0,466.4,412.4,444.4
TARA,2015-02-05,448.4,468.0,440.4,441.2
TARA,2015-02-06,446.8,458.92,434.0,442.0
TARA,2015-02-09,463.12,463.12,420.0,420.0
TARA,2015-02-10,440.0,444.0,422.0,422.4
TARA,2015-02-11,436.8,436.8,420.0,420.0
TARA,2015-02-12,418.0,426.0,418.0,418.0
TARA,2015-02-13,418.8,421.6,418.0,418.0
TARA,2015-02-17,428.8,428.8,416.4,420.0
TARA,2015-02-18,432.8,432.8,416.4,421.2
TARA,2015-02-19,426.4,451.2,424.4,432.0
TARA,2015-02-20,430.0,447.2,422.4,422.4
TARA,2015-02-23,421.2,441.6,420.8,422.0
TARA,2015-02-24,424.4,432.8,424.0,432.0
TARA,2015-02-25,431.6,432.64,424.8,425.2
TARA,2015-02-26,428.8,432.0,426.0,426.0
TARA,2015-02-27,430.4,432.4,427.2,432.4
TARA,2015-03-02,432.8,447.2,426.0,427.6
TARA,2015-03-03,426.4,426.4,414.4,415.2
TARA,2015-03-04,416.8,424.0,412.0,423.6
TARA,2015-03-05,423.2,424.0,415.2,415.6
TARA,2015-03-06,418.4,420.0,415.6,419.6
TARA,2015-03-09,424.0,424.0,416.8,416.8
TARA,2015-03-10,415.6,426.0,410.0,420.8
TARA,2015-03-11,422.4,444.4,422.4,436.8
TARA,2015-03-12,445.2,464.0,437.2,450.4
TARA,2015-03-13,442.8,453.6,435.6,450.0
TARA,2015-03-16,440.8,463.2,440.8,452.8
TARA,2015-03-17,460.8,466.0,452.8,462.0
TARA,2015-03-18,455.2,466.0,455.2,465.6
TARA,2015-03-19,465.6,480.0,462.0,464.8
TARA,2015-03-20,466.8,480.0,462.8,466.4
TARA,2015-03-23,473.2,480.0,440.0,465.6
TARA,2015-03-24,454.0,464.8,447.6,463.6
TARA,2015-03-25,450.4,464.8,409.2,460.0
TARA,2015-03-26,422.8,436.0,416.8,436.0
TARA,2015-03-27,476.4,476.4,452.0,470.0
TARA,2015-03-30,464.0,475.6,453.6,458.4
TARA,2015-03-31,476.4,476.4,458.8,465.2
TARA,2015-04-01,464.0,472.0,440.0,455.2
TARA,2015-04-02,459.2,479.6,446.0,471.2
TARA,2015-04-06,476.0,508.8,474.4,498.0
TARA,2015-04-07,500.0,500.0,462.8,464.8
TARA,2015-04-08,494.0,539.6,483.6,533.6
TARA,2015-04-09,530.0,579.6,520.0,570.4
TARA,2015-04-10,566.8,638.4,545.2,618.8
TARA,2015-04-13,640.8,659.6,630.0,653.6
TARA,2015-04-14,654.0,690.4,634.4,674.0
TARA,2015-04-15,642.4,681.68,623.2,631.6
TARA,2015-04-16,625.2,652.8,625.2,646.8
TARA,2015-04-17,627.6,630.0,590.0,625.2
TARA,2015-04-20,631.6,631.6,541.2,551.2
TARA,2015-04-21,544.0,544.0,480.4,489.2
TARA,2015-04-22,480.8,507.32,480.8,486.0
TARA,2015-04-23,484.4,509.2,480.8,491.6
TARA,2015-04-24,492.8,504.0,482.8,492.0
TARA,2015-04-27,488.8,491.2,475.2,480.0
TARA,2015-04-28,478.8,492.8,478.0,485.6
TARA,2015-04-29,485.2,485.2,472.0,484.0
TARA,2015-04-30,481.6,490.8,474.4,482.4
TARA,2015-05-01,482.4,515.6,480.0,512.0
TARA,2015-05-04,506.8,555.6,506.8,555.2
TARA,2015-05-05,548.4,594.8,548.4,590.0
TARA,2015-05-06,595.6,600.0,563.6,598.8
TARA,2015-05-07,588.4,658.0,586.0,654.8
TARA,2015-05-08,650.0,680.0,646.4,679.6
TARA,2015-05-11,672.8,672.8,625.2,645.2
TARA,2015-05-12,614.0,671.6,594.8,664.8
TARA,2015-05-13,660.4,662.0,613.6,640.0
TARA,2015-05-14,639.2,639.2,560.4,561.6
