ticker,date,open,high,low,close
TCMD,2016-07-28,10.35,11.88,10.0,11.08
TCMD,2016-07-29,11.0,11.91,10.26,11.26
TCMD,2016-08-01,11.6,12.07,11.02,12.07
TCMD,2016-08-02,11.88,13.2,11.88,13.16
TCMD,2016-08-03,13.2,13.7499,13.2,13.65
TCMD,2016-08-04,13.85,13.85,12.8,13.53
TCMD,2016-08-05,13.2,14.52,13.2,14.08
TCMD,2016-08-08,14.5,14.85,13.22,13.82
TCMD,2016-08-09,13.925,14.22,13.265,14.09
TCMD,2016-08-10,13.93,14.1,13.346,14.09
TCMD,2016-08-11,14.0,14.18,13.5,14.0
TCMD,2016-08-12,14.2,14.2,13.5,13.88
TCMD,2016-08-15,14.02,14.1399,13.31,13.67
TCMD,2016-08-16,13.41,14.5,12.17,13.64
TCMD,2016-08-17,13.645,13.6995,12.72,13.325
TCMD,2016-08-18,13.436,13.5,13.06,13.25
TCMD,2016-08-19,13.44,13.53,13.01,13.23
TCMD,2016-08-22,13.05,13.062,12.7,12.85
TCMD,2016-08-23,12.9,13.44,12.9,13.2
TCMD,2016-08-24,13.17,13.87,13.1301,13.59
TCMD,2016-08-25,13.83,13.83,13.35,13.6
TCMD,2016-08-26,13.6,13.7995,13.295,13.57
TCMD,2016-08-29,13.75,13.94,13.5,13.77
TCMD,2016-08-30,13.6992,13.795,13.5,13.71
TCMD,2016-08-31,13.36,14.85,13.36,14.5275
TCMD,2016-09-01,14.52,15.41,14.395,15.02
TCMD,2016-09-02,15.39,16.4412,14.81,14.87
TCMD,2016-09-06,14.75,15.439,14.5211,15.075
TCMD,2016-09-07,15.65,16.26,15.6,15.86
TCMD,2016-09-08,16.33,16.33,15.76,16.1
TCMD,2016-09-09,16.2,16.2,15.75,15.95
TCMD,2016-09-12,15.91,15.91,15.42,15.66
TCMD,2016-09-13,15.62,16.9813,15.5,16.55
TCMD,2016-09-14,16.36,18.39,16.0,18.1
TCMD,2016-09-15,18.25,19.26,17.65,18.66
TCMD,2016-09-16,18.9,20.05,18.74,19.52
TCMD,2016-09-19,19.72,21.2,17.48,17.98
TCMD,2016-09-20,17.8,19.29,17.8,19.25
TCMD,2016-09-21,19.39,19.39,18.76,19.12
TCMD,2016-09-22,19.09,19.59,18.08,19.59
TCMD,2016-09-23,19.6,20.55,19.02,20.18
TCMD,2016-09-26,20.17,22.29,19.75,19.95
TCMD,2016-09-27,20.09,20.9795,18.642,18.94
TCMD,2016-09-28,19.07,19.5,18.5825,19.14
TCMD,2016-09-29,19.24,19.4,17.26,17.5
TCMD,2016-09-30,17.5,19.64,17.5,18.7
TCMD,2016-10-03,19.0,19.0,17.99,18.45
TCMD,2016-10-04,18.67,18.67,18.07,18.14
TCMD,2016-10-05,18.35,19.59,18.11,19.03
TCMD,2016-10-06,18.95,19.0,18.65,18.84
TCMD,2016-10-07,18.91,20.25,18.6516,19.87
TCMD,2016-10-10,19.83,20.14,19.42,19.59
TCMD,2016-10-11,19.29,19.29,17.6166,19.02
TCMD,2016-10-12,18.92,18.92,18.04,18.45
TCMD,2016-10-13,18.33,19.1804,18.32,19.03
TCMD,2016-10-14,19.46,19.46,18.0,18.3
TCMD,2016-10-17,18.61,19.3899,18.565,19.12
TCMD,2016-10-18,19.33,19.33,18.34,19.03
TCMD,2016-10-19,19.0201,19.339,18.955,19.19
TCMD,2016-10-20,19.11,19.16,18.483,18.99
TCMD,2016-10-21,18.85,19.14,18.18,18.83
TCMD,2016-10-24,18.81,19.5708,18.3,19.33
TCMD,2016-10-25,19.44,19.695,19.365,19.5
TCMD,2016-10-26,19.7,19.7,18.65,18.71
TCMD,2016-10-27,18.93,19.03,17.24,17.5
TCMD,2016-10-28,17.64,18.8739,17.0001,17.46
TCMD,2016-10-31,17.54,17.88,17.2701,17.765
TCMD,2016-11-01,17.74,17.85,17.13,17.34
TCMD,2016-11-02,18.25,18.25,17.04,17.57
TCMD,2016-11-03,17.71,17.79,16.74,16.86
TCMD,2016-11-04,17.04,17.7,17.04,17.35
TCMD,2016-11-07,17.49,18.205,17.47,17.57
TCMD,2016-11-08,17.5,17.53,16.83,16.95
TCMD,2016-11-09,17.35,17.58,15.711,17.18
TCMD,2016-11-10,17.95,18.59,17.33,18.28
TCMD,2016-11-11,19.25,19.25,18.37,18.37
TCMD,2016-11-14,18.62,18.62,17.28,17.35
TCMD,2016-11-15,17.3,17.65,17.0,17.54
TCMD,2016-11-16,17.4,18.14,16.15,17.86
TCMD,2016-11-17,18.4742,19.0,17.46,18.81
TCMD,2016-11-18,18.64,19.23,18.21,18.31
TCMD,2016-11-21,18.899,18.9,18.1,18.34
TCMD,2016-11-22,18.4,18.68,17.75,18.11
TCMD,2016-11-23,17.52,17.61,16.8,16.88
TCMD,2016-11-25,17.07,17.07,16.56,16.7
TCMD,2016-11-28,16.82,16.82,16.01,16.01
TCMD,2016-11-29,16.02,16.79,15.67,16.41
TCMD,2016-11-30,16.07,16.99,16.01,16.33
TCMD,2016-12-01,16.3,17.745,15.75,15.98
TCMD,2016-12-02,15.85,16.2,14.9,15.07
TCMD,2016-12-05,15.65,16.0,14.701,14.98
TCMD,2016-12-06,15.03,15.71,14.92,14.95
TCMD,2016-12-07,15.67,15.735,14.94,15.18
TCMD,2016-12-08,15.65,15.94,15.28,15.92
TCMD,2016-12-09,15.3311,16.0,14.98,15.28
TCMD,2016-12-12,15.4,15.77,15.05,15.31
TCMD,2016-12-13,15.29,16.26,15.29,15.98
TCMD,2016-12-14,15.55,16.4,15.55,15.89
TCMD,2016-12-15,16.0109,16.09,15.46,15.77
TCMD,2016-12-16,15.89,15.96,15.4,15.73
TCMD,2016-12-19,15.71,16.6752,15.59,15.94
TCMD,2016-12-20,16.02,16.3454,15.5,16.0
TCMD,2016-12-21,16.205,16.4562,15.75,15.82
TCMD,2016-12-22,15.84,16.115,15.84,16.0
TCMD,2016-12-23,16.0774,16.39,15.75,16.26
TCMD,2016-12-27,16.34,16.68,15.85,16.2
TCMD,2016-12-28,16.1,16.7445,16.0,16.25
TCMD,2016-12-29,16.32,16.72,16.12,16.47
TCMD,2016-12-30,16.5,16.7762,16.25,16.41
TCMD,2017-01-03,16.28,16.56,15.41,15.7
TCMD,2017-01-04,15.73,16.2,15.73,16.0
TCMD,2017-01-05,16.0,16.3,15.8,15.89
TCMD,2017-01-06,16.06,16.418,15.18,15.21
TCMD,2017-01-09,15.43,15.8,15.24,15.46
TCMD,2017-01-10,15.64,15.78,15.25,15.5
TCMD,2017-01-11,15.39,15.79,15.35,15.44
TCMD,2017-01-12,15.49,15.49,14.95,15.0
TCMD,2017-01-13,15.0908,15.18,15.0,15.17
TCMD,2017-01-17,15.2,15.499,15.015,15.17
TCMD,2017-01-18,15.25,15.59,15.0,15.35
TCMD,2017-01-19,15.46,16.1,15.28,15.47
TCMD,2017-01-20,15.43,16.5,15.42,16.34
TCMD,2017-01-23,16.29,16.66,16.05,16.48
TCMD,2017-01-24,16.08,16.235,15.19,16.1
TCMD,2017-01-25,16.175,16.5,15.48,15.89
TCMD,2017-01-26,16.0,16.3445,15.75,15.88
TCMD,2017-01-27,15.88,15.88,14.42,14.8
TCMD,2017-01-30,14.84,15.5,14.37,14.92
TCMD,2017-01-31,14.92,15.5,14.71,15.41
TCMD,2017-02-01,15.26,15.99,15.1,15.61
TCMD,2017-02-02,15.47,15.98,15.11,15.86
TCMD,2017-02-03,15.92,16.25,15.65,16.08
TCMD,2017-02-06,16.2,16.2,15.92,16.07
TCMD,2017-02-07,16.0353,16.5,15.92,16.0
TCMD,2017-02-08,15.96,16.065,15.095,15.83
TCMD,2017-02-09,15.75,16.1,15.658,15.9
TCMD,2017-02-10,15.92,16.18,15.15,15.32
TCMD,2017-02-13,15.72,15.92,15.05,15.13
TCMD,2017-02-14,15.0,15.64,14.9808,15.48
TCMD,2017-02-15,15.36,15.82,15.3001,15.76
TCMD,2017-02-16,15.8257,16.2,15.4101,15.86
TCMD,2017-02-17,15.95,16.14,15.92,16.0
TCMD,2017-02-21,16.12,16.5,16.1,16.5
TCMD,2017-02-22,16.5,16.51,16.2,16.43
TCMD,2017-02-23,16.4947,17.21,16.19,17.09
TCMD,2017-02-24,17.19,17.24,16.74,17.2
TCMD,2017-02-27,17.25,17.64,16.9,17.27
TCMD,2017-02-28,18.35,20.41,17.97,20.23
TCMD,2017-03-01,20.23,21.06,19.785,20.33
TCMD,2017-03-02,20.11,20.11,18.27,18.5
TCMD,2017-03-03,17.94,19.33,17.94,18.95
TCMD,2017-03-06,19.05,19.175,18.7,19.0
TCMD,2017-03-07,18.77,19.73,18.3676,19.55
TCMD,2017-03-08,19.73,20.37,19.06,19.86
TCMD,2017-03-09,19.99,20.75,19.63,20.69
TCMD,2017-03-10,20.92,20.96,20.15,20.66
TCMD,2017-03-13,20.6,20.8,19.6,19.99
TCMD,2017-03-14,19.9,19.9,18.22,18.56
TCMD,2017-03-15,18.56,18.56,17.97,18.2
TCMD,2017-03-16,18.59,18.83,17.7721,17.97
TCMD,2017-03-17,17.91,18.24,17.6663,17.94
TCMD,2017-03-20,18.06,18.91,17.3961,18.8
TCMD,2017-03-21,18.79,19.08,18.165,18.86
TCMD,2017-03-22,18.8,18.9,17.77,17.86
TCMD,2017-03-23,17.76,18.33,17.5,18.0
TCMD,2017-03-24,17.92,18.76,17.86,18.14
TCMD,2017-03-27,18.0,18.495,17.83,18.18
TCMD,2017-03-28,18.1,18.53,17.64,18.0
TCMD,2017-03-29,17.91,18.5,17.91,18.23
TCMD,2017-03-30,18.72,18.72,17.88,18.48
TCMD,2017-03-31,18.4,19.13,18.16,18.95
TCMD,2017-04-03,18.95,19.41,18.34,18.73
TCMD,2017-04-04,18.72,18.72,18.0,18.15
TCMD,2017-04-05,18.05,18.55,18.01,18.27
TCMD,2017-04-06,18.2197,19.11,18.12,18.75
TCMD,2017-04-07,18.75,19.86,18.42,19.86
TCMD,2017-04-10,19.7877,20.0,19.0,19.0
TCMD,2017-04-11,19.09,19.19,17.75,17.95
TCMD,2017-04-12,18.03,18.03,16.69,17.11
TCMD,2017-04-13,17.04,17.4,16.98,17.35
TCMD,2017-04-17,17.43,17.66,17.26,17.61
TCMD,2017-04-18,17.45,17.54,16.9,17.11
TCMD,2017-04-19,17.22,17.96,17.22,17.93
TCMD,2017-04-20,17.99,18.74,17.87,18.19
TCMD,2017-04-21,18.26,18.55,17.958,18.45
TCMD,2017-04-24,18.58,19.12,18.58,19.07
TCMD,2017-04-25,19.3204,19.88,18.91,19.02
TCMD,2017-04-26,19.0994,19.42,18.87,19.04
TCMD,2017-04-27,18.7575,19.3,18.7575,19.09
TCMD,2017-04-28,19.1,19.1,18.3844,18.85
TCMD,2017-05-01,18.9,19.18,18.73,19.11
TCMD,2017-05-02,19.08,19.56,18.76,18.9
TCMD,2017-05-03,18.62,18.92,18.25,18.49
TCMD,2017-05-04,18.55,19.18,18.355,19.15
TCMD,2017-05-05,19.05,19.15,18.54,19.03
TCMD,2017-05-08,19.06,19.6,18.75,19.36
TCMD,2017-05-09,20.5,22.744,19.85,21.68
TCMD,2017-05-10,21.41,22.46,21.22,21.85
TCMD,2017-05-11,21.74,22.0,21.25,21.88
TCMD,2017-05-12,21.92,23.71,21.7927,23.23
TCMD,2017-05-15,23.12,23.44,22.324,23.17
TCMD,2017-05-16,23.0,23.58,21.0001,23.14
TCMD,2017-05-17,22.92,23.475,22.31,22.89
TCMD,2017-05-18,23.02,24.47,22.2,24.15
TCMD,2017-05-19,24.5,25.15,22.56,24.65
TCMD,2017-05-22,24.6,24.69,23.3801,23.88
TCMD,2017-05-23,23.96,23.97,23.3,23.8
TCMD,2017-05-24,23.77,23.97,23.5,23.72
TCMD,2017-05-25,23.71,23.71,22.72,23.0
TCMD,2017-05-26,22.84,23.45,22.66,23.23
TCMD,2017-05-30,23.23,23.7633,22.81,23.31
TCMD,2017-05-31,23.24,24.66,22.4474,24.33
TCMD,2017-06-01,24.3,26.95,24.12,25.76
TCMD,2017-06-02,25.57,26.75,25.57,26.5
TCMD,2017-06-05,26.32,26.9899,26.27,26.51
TCMD,2017-06-06,26.42,26.7,25.01,25.22
TCMD,2017-06-07,25.0,25.7,24.42,24.94
TCMD,2017-06-08,24.83,25.69,24.4,25.16
TCMD,2017-06-09,25.47,25.7,25.11,25.47
TCMD,2017-06-12,25.25,26.205,24.78,25.69
