ticker,date,open,high,low,close
TEAD,2025-06-11,2.64,2.83,2.64,2.7
TEAD,2025-06-12,2.69,2.7,2.57,2.6
TEAD,2025-06-13,2.55,2.6,2.465,2.48
TEAD,2025-06-16,2.5,2.64,2.49,2.6
TEAD,2025-06-17,2.58,2.62,2.53,2.54
TEAD,2025-06-18,2.52,2.6,2.49,2.53
TEAD,2025-06-20,2.56,2.59,2.42,2.42
TEAD,2025-06-23,2.39,2.5014,2.34,2.37
TEAD,2025-06-24,2.4,2.44,2.35,2.41
TEAD,2025-06-25,2.43,2.4657,2.37,2.38
TEAD,2025-06-26,2.37,2.39,2.32,2.38
TEAD,2025-06-27,2.38,2.47,2.38,2.46
TEAD,2025-06-30,2.48,2.53,2.47,2.485
TEAD,2025-07-01,2.47,2.63,2.47,2.56
TEAD,2025-07-02,2.57,2.71,2.56,2.69
TEAD,2025-07-03,2.68,2.72,2.655,2.68
TEAD,2025-07-07,2.65,2.65,2.48,2.49
TEAD,2025-07-08,2.5,2.69,2.49,2.68
TEAD,2025-07-09,2.7,2.725,2.605,2.7
TEAD,2025-07-10,2.68,2.691,2.575,2.59
TEAD,2025-07-11,2.55,2.55,2.52,2.55
TEAD,2025-07-14,2.55,2.62,2.47,2.5
TEAD,2025-07-15,2.51,2.545,2.4,2.4
TEAD,2025-07-16,2.42,2.55,2.42,2.54
TEAD,2025-07-17,2.54,2.75,2.54,2.71
TEAD,2025-07-18,2.74,2.74,2.625,2.66
TEAD,2025-07-21,2.66,3.045,2.66,2.99
TEAD,2025-07-22,2.93,2.995,2.83,2.88
TEAD,2025-07-23,2.92,3.12,2.87,3.11
TEAD,2025-07-24,3.11,3.13,2.935,2.94
TEAD,2025-07-25,2.94,3.025,2.915,2.95
TEAD,2025-07-28,2.92,3.015,2.92,2.99
TEAD,2025-07-29,2.98,3.0,2.72,2.72
TEAD,2025-07-30,2.73,2.77,2.56,2.59
TEAD,2025-07-31,2.55,2.6373,2.49,2.53
TEAD,2025-08-01,2.45,2.52,2.45,2.455
TEAD,2025-08-04,2.49,2.595,2.46,2.58
TEAD,2025-08-05,2.66,2.73,2.505,2.55
TEAD,2025-08-06,2.53,2.63,2.53,2.58
TEAD,2025-08-07,2.32,2.37,1.93,1.945
TEAD,2025-08-08,1.97,2.0,1.73,1.73
TEAD,2025-08-11,1.76,1.878,1.655,1.71
TEAD,2025-08-12,1.82,1.95,1.67,1.92
TEAD,2025-08-13,1.97,1.99,1.86,1.88
TEAD,2025-08-14,1.96,1.96,1.8,1.84
TEAD,2025-08-15,1.85,1.965,1.85,1.89
TEAD,2025-08-18,1.9,1.94,1.81,1.82
TEAD,2025-08-19,1.8,1.86,1.74,1.75
TEAD,2025-08-20,1.74,1.75,1.695,1.72
TEAD,2025-08-21,1.71,1.75,1.7,1.74
TEAD,2025-08-22,1.74,1.94,1.74,1.94
TEAD,2025-08-25,1.92,1.93,1.835,1.9
TEAD,2025-08-26,1.91,1.91,1.74,1.76
TEAD,2025-08-27,1.77,1.82,1.74,1.79
TEAD,2025-08-28,1.8,1.8,1.725,1.75
TEAD,2025-08-29,1.79,1.8,1.75,1.75
TEAD,2025-09-02,1.71,1.74,1.66,1.66
TEAD,2025-09-03,1.67,1.71,1.62,1.625
TEAD,2025-09-04,1.63,1.67,1.595,1.67
TEAD,2025-09-05,1.67,1.72,1.625,1.63
TEAD,2025-09-08,1.62,1.68,1.575,1.66
TEAD,2025-09-09,1.69,1.72,1.605,1.62
TEAD,2025-09-10,1.6,1.64,1.565,1.57
TEAD,2025-09-11,1.55,1.69,1.55,1.675
TEAD,2025-09-12,1.67,1.7387,1.62,1.72
TEAD,2025-09-15,1.73,1.8,1.6,1.64
TEAD,2025-09-16,1.65,1.75,1.62,1.75
TEAD,2025-09-17,1.75,1.81,1.635,1.7
TEAD,2025-09-18,1.72,1.765,1.695,1.735
TEAD,2025-09-19,1.73,1.74,1.675,1.68
TEAD,2025-09-22,1.66,1.73,1.655,1.72
TEAD,2025-09-23,1.71,1.77,1.66,1.67
TEAD,2025-09-24,1.69,1.75,1.69,1.73
TEAD,2025-09-25,1.72,1.72,1.65,1.66
TEAD,2025-09-26,1.66,1.69,1.6512,1.69
TEAD,2025-09-29,1.69,1.72,1.665,1.68
TEAD,2025-09-30,1.67,1.68,1.615,1.65
TEAD,2025-10-01,1.65,1.66,1.61,1.63
