ticker,date,open,high,low,close
TKLF,2022-01-18,40.99,43.0,13.0,32.0
TKLF,2022-01-19,29.75,32.8,22.015,32.75
TKLF,2022-01-20,25.55,30.8,25.55,29.53
TKLF,2022-01-21,28.56,31.3,27.63,29.52
TKLF,2022-01-24,28.05,30.39,4.5,4.69
TKLF,2022-01-25,5.1373,6.5,3.85,3.92
TKLF,2022-01-26,3.93,3.96,3.11,3.26
TKLF,2022-01-27,3.1,3.1899,2.53,2.55
TKLF,2022-01-28,2.5,3.72,2.5,3.4
TKLF,2022-01-31,3.75,4.56,3.45,4.2
TKLF,2022-02-01,3.9401,4.03,3.45,3.57
TKLF,2022-02-02,3.5,4.09,3.31,3.55
TKLF,2022-02-03,3.43,3.61,3.31,3.42
TKLF,2022-02-04,3.35,3.4,3.21,3.27
TKLF,2022-02-07,3.27,3.45,3.06,3.14
TKLF,2022-02-08,3.09,3.49,3.07,3.32
TKLF,2022-02-09,3.25,3.55,3.2,3.25
TKLF,2022-02-10,3.24,3.33,3.08,3.09
TKLF,2022-02-11,3.18,3.44,2.95,3.11
TKLF,2022-02-14,3.04,3.09,2.9,2.9
TKLF,2022-02-15,2.93,3.06,2.9,2.96
TKLF,2022-02-16,3.02,3.2,2.93,3.02
TKLF,2022-02-17,2.94,2.97,2.71,2.78
TKLF,2022-02-18,2.76,2.82,2.61,2.67
TKLF,2022-02-22,2.46,2.5797,2.38,2.44
TKLF,2022-02-23,2.5,2.664,2.21,2.22
TKLF,2022-02-24,1.99,2.4,1.99,2.3
TKLF,2022-02-25,2.379,2.38,2.23,2.3
TKLF,2022-02-28,2.17,2.3,2.15,2.27
TKLF,2022-03-01,2.23,2.31,2.18,2.25
TKLF,2022-03-02,2.21,2.21,2.03,2.08
TKLF,2022-03-03,2.1,2.16,1.96,1.96
TKLF,2022-03-04,1.96,1.98,1.86,1.89
TKLF,2022-03-07,1.9,2.27,1.8432,2.13
TKLF,2022-03-08,2.09,2.14,1.92,1.95
TKLF,2022-03-09,2.09,2.19,1.98,2.12
TKLF,2022-03-10,2.1,2.16,2.05,2.13
TKLF,2022-03-11,2.06,2.51,1.9514,2.29
TKLF,2022-03-14,2.15,2.2,1.93,1.95
TKLF,2022-03-15,1.99,2.0999,1.9504,2.05
TKLF,2022-03-16,2.09,2.2384,2.0707,2.15
TKLF,2022-03-17,2.1,2.37,2.1,2.3301
TKLF,2022-03-18,2.3,2.69,2.3,2.58
TKLF,2022-03-21,2.66,2.72,2.46,2.47
TKLF,2022-03-22,2.45,2.67,2.45,2.67
TKLF,2022-03-23,2.62,2.67,2.53,2.55
TKLF,2022-03-24,2.65,3.25,2.5599,3.2
TKLF,2022-03-25,3.2,3.25,2.87,3.02
TKLF,2022-03-28,3.08,3.08,2.79,2.9
TKLF,2022-03-29,2.89,2.99,2.52,2.69
TKLF,2022-03-30,2.65,2.7,2.46,2.47
TKLF,2022-03-31,2.43,2.45,2.0801,2.12
TKLF,2022-04-01,2.14,2.34,2.08,2.22
TKLF,2022-04-04,2.36,2.36,2.25,2.29
TKLF,2022-04-05,2.31,2.35,2.2001,2.28
TKLF,2022-04-06,2.24,2.258,2.15,2.19
TKLF,2022-04-07,2.21,2.3268,2.11,2.22
TKLF,2022-04-08,2.2,2.26,2.145,2.18
TKLF,2022-04-11,2.11,2.1991,2.037,2.14
TKLF,2022-04-12,2.19,2.19,2.1,2.12
TKLF,2022-04-13,2.14,2.14,2.07,2.07
TKLF,2022-04-14,2.21,2.21,2.07,2.08
TKLF,2022-04-18,2.03,2.15,1.96,1.99
TKLF,2022-04-19,2.07,2.2299,1.99,2.18
TKLF,2022-04-20,2.18,2.18,2.06,2.13
TKLF,2022-04-21,2.13,2.13,2.0,2.0181
TKLF,2022-04-22,2.05,2.0783,1.97,2.0
TKLF,2022-04-25,2.0,2.0165,1.92,1.98
TKLF,2022-04-26,2.01,2.01,1.9,1.93
TKLF,2022-04-27,1.91,2.26,1.9,2.01
TKLF,2022-04-28,1.96,2.145,1.91,2.02
TKLF,2022-04-29,2.0095,2.0599,1.9,1.92
TKLF,2022-05-02,1.92,1.94,1.84,1.87
TKLF,2022-05-03,1.9,1.95,1.78,1.87
TKLF,2022-05-04,1.85,1.9484,1.81,1.9
TKLF,2022-05-05,1.83,1.92,1.77,1.79
TKLF,2022-05-06,1.76,1.85,1.63,1.7
TKLF,2022-05-09,1.63,1.72,1.47,1.48
TKLF,2022-05-10,1.5,1.58,1.45,1.5
TKLF,2022-05-11,1.48,1.58,1.45,1.45
TKLF,2022-05-12,1.41,1.54,1.4,1.47
TKLF,2022-05-13,1.53,1.5499,1.44,1.49
TKLF,2022-05-16,1.47,1.51,1.42,1.42
TKLF,2022-05-17,1.44,1.58,1.44,1.53
TKLF,2022-05-18,1.5,1.65,1.44,1.45
TKLF,2022-05-19,1.45,1.65,1.42,1.53
TKLF,2022-05-20,1.58,1.585,1.46,1.49
TKLF,2022-05-23,1.47,1.5,1.41,1.44
TKLF,2022-05-24,1.455,1.46,1.272,1.42
TKLF,2022-05-25,1.4,1.4781,1.33,1.4201
TKLF,2022-05-26,1.445,1.47,1.4,1.45
TKLF,2022-05-27,1.46,1.48,1.41,1.43
TKLF,2022-05-31,1.41,1.48,1.41,1.46
TKLF,2022-06-01,1.44,1.47,1.36,1.37
TKLF,2022-06-02,1.34,1.4288,1.3347,1.4
TKLF,2022-06-03,1.4,1.42,1.34,1.36
TKLF,2022-06-06,1.41,1.42,1.33,1.38
TKLF,2022-06-07,1.36,1.4,1.33,1.37
TKLF,2022-06-08,1.38,1.52,1.38,1.47
TKLF,2022-06-09,1.45,1.4899,1.38,1.44
TKLF,2022-06-10,1.4,1.41,1.33,1.37
TKLF,2022-06-13,1.35,1.35,1.2,1.255
TKLF,2022-06-14,1.27,1.3,1.22,1.23
TKLF,2022-06-15,1.24,1.34,1.14,1.33
TKLF,2022-06-16,1.33,1.33,1.2,1.23
TKLF,2022-06-17,1.3099,1.31,1.22,1.24
TKLF,2022-06-21,1.27,1.28,1.16,1.18
TKLF,2022-06-22,1.17,1.23,1.1,1.16
TKLF,2022-06-23,1.19,1.23,1.16,1.22
TKLF,2022-06-24,1.3,1.3,1.18,1.26
TKLF,2022-06-27,1.35,1.35,1.21,1.27
TKLF,2022-06-28,1.25,1.3499,1.25,1.33
TKLF,2022-06-29,1.28,1.32,1.22,1.24
TKLF,2022-06-30,1.28,2.05,1.2,1.69
TKLF,2022-07-01,1.63,1.7,1.32,1.39
TKLF,2022-07-05,1.33,1.3899,1.27,1.35
TKLF,2022-07-06,1.31,1.46,1.31,1.36
TKLF,2022-07-07,1.32,1.43,1.3,1.39
TKLF,2022-07-08,1.36,1.44,1.34,1.43
TKLF,2022-07-11,1.45,1.45,1.34,1.44
TKLF,2022-07-12,1.46,1.47,1.39,1.44
TKLF,2022-07-13,1.405,1.57,1.405,1.51
TKLF,2022-07-14,1.515,1.62,1.48,1.51
TKLF,2022-07-15,1.52,1.52,1.43,1.46
TKLF,2022-07-18,1.4381,1.52,1.43,1.5
TKLF,2022-07-19,1.5,1.63,1.485,1.56
TKLF,2022-07-20,1.57,1.58,1.5101,1.56
TKLF,2022-07-21,1.53,1.58,1.53,1.57
TKLF,2022-07-22,2.39,2.78,2.09,2.3
TKLF,2022-07-25,2.23,2.28,1.38,1.62
TKLF,2022-07-26,1.52,1.75,1.4501,1.58
TKLF,2022-07-27,1.56,1.67,1.56,1.64
TKLF,2022-07-28,1.64,1.67,1.55,1.65
TKLF,2022-07-29,1.61,1.8,1.5793,1.75
TKLF,2022-08-01,1.71,1.8,1.6106,1.63
TKLF,2022-08-02,1.57,1.69,1.57,1.66
TKLF,2022-08-03,1.7,1.9,1.63,1.84
TKLF,2022-08-04,1.82,1.98,1.82,1.97
TKLF,2022-08-05,1.88,1.955,1.85,1.91
TKLF,2022-08-08,1.91,2.08,1.82,1.93
TKLF,2022-08-09,1.92,1.9394,1.78,1.82
TKLF,2022-08-10,1.83,1.84,1.7714,1.81
TKLF,2022-08-11,1.8,1.94,1.8,1.92
TKLF,2022-08-12,1.91,2.06,1.9,2.03
TKLF,2022-08-15,1.89,1.93,1.76,1.82
TKLF,2022-08-16,1.82,1.95,1.81,1.83
TKLF,2022-08-17,1.76,1.81,1.71,1.77
TKLF,2022-08-18,1.77,1.77,1.66,1.7
TKLF,2022-08-19,1.68,1.68,1.56,1.59
TKLF,2022-08-22,1.69,1.69,1.5601,1.59
TKLF,2022-08-23,1.59,1.65,1.59,1.64
TKLF,2022-08-24,1.61,1.65,1.5604,1.64
TKLF,2022-08-25,1.69,1.7,1.62,1.67
TKLF,2022-08-26,1.71,2.35,1.55,1.65
TKLF,2022-08-29,1.62,1.64,1.53,1.6
TKLF,2022-08-30,1.5606,1.59,1.53,1.55
TKLF,2022-08-31,1.555,1.56,1.5,1.51
TKLF,2022-09-01,1.49,1.6,1.46,1.6
TKLF,2022-09-02,1.67,1.67,1.55,1.64
TKLF,2022-09-06,1.57,1.74,1.52,1.73
TKLF,2022-09-07,1.63,1.68,1.48,1.49
TKLF,2022-09-08,1.5,1.6794,1.5,1.65
TKLF,2022-09-09,1.73,1.83,1.54,1.68
TKLF,2022-09-12,1.61,1.726,1.6,1.64
TKLF,2022-09-13,1.62,1.69,1.61,1.63
TKLF,2022-09-14,1.65,1.67,1.56,1.64
TKLF,2022-09-15,1.66,1.71,1.6,1.65
TKLF,2022-09-16,1.63,1.65,1.6,1.63
TKLF,2022-09-19,1.6,1.635,1.55,1.61
TKLF,2022-09-20,1.5973,1.64,1.57,1.62
TKLF,2022-09-21,1.6,1.64,1.52,1.59
TKLF,2022-09-22,1.59,1.59,1.51,1.53
