ticker,date,open,high,low,close
TTEC,1996-08-01,16.25,18.0,15.5,16.88
TTEC,1996-08-02,17.0,18.5,17.0,18.5
TTEC,1996-08-05,18.0,20.5,18.0,19.5
TTEC,1996-08-06,20.0,20.0,18.5,19.0
TTEC,1996-08-07,19.0,19.5,19.0,19.25
TTEC,1996-08-08,19.5,19.5,18.75,19.12
TTEC,1996-08-09,18.75,19.5,18.75,19.25
TTEC,1996-08-12,19.0,19.5,19.0,19.5
TTEC,1996-08-13,19.5,19.5,18.25,19.0
TTEC,1996-08-14,19.0,19.0,18.0,18.38
TTEC,1996-08-15,18.0,18.5,18.0,18.0
TTEC,1996-08-16,18.25,20.75,18.0,20.75
TTEC,1996-08-19,21.0,21.5,20.0,20.0
TTEC,1996-08-20,20.0,20.5,19.5,20.38
TTEC,1996-08-21,20.5,20.5,19.75,20.0
TTEC,1996-08-22,20.25,23.0,19.75,22.75
TTEC,1996-08-23,23.0,26.0,22.38,25.88
TTEC,1996-08-26,26.0,27.75,25.25,25.25
TTEC,1996-08-27,25.88,25.88,23.25,24.0
TTEC,1996-08-28,25.25,25.75,24.62,25.0
TTEC,1996-08-29,25.25,27.25,25.0,27.0
TTEC,1996-08-30,27.0,27.0,26.25,26.38
TTEC,1996-09-03,25.62,27.0,24.88,26.88
TTEC,1996-09-04,27.25,27.25,25.25,26.25
TTEC,1996-09-05,26.5,26.75,25.75,26.5
TTEC,1996-09-06,26.75,26.75,26.0,26.0
TTEC,1996-09-09,25.88,27.25,25.88,27.12
TTEC,1996-09-10,27.25,29.0,26.5,29.0
TTEC,1996-09-11,29.0,29.25,28.5,29.0
TTEC,1996-09-12,29.0,29.25,28.5,29.25
TTEC,1996-09-13,29.25,31.88,28.75,31.62
TTEC,1996-09-16,31.5,33.5,31.38,32.88
TTEC,1996-09-17,33.62,33.62,31.75,33.0
TTEC,1996-09-18,33.38,35.25,33.0,35.0
TTEC,1996-09-19,35.5,40.38,35.12,38.0
TTEC,1996-09-20,38.75,40.0,32.12,34.0
TTEC,1996-09-23,34.12,34.75,30.25,30.5
TTEC,1996-09-24,28.75,31.25,28.25,31.12
TTEC,1996-09-25,31.25,31.25,30.5,30.62
TTEC,1996-09-26,31.0,31.0,30.62,31.0
TTEC,1996-09-27,31.75,35.75,31.25,35.12
TTEC,1996-09-30,35.5,38.0,35.0,36.5
TTEC,1996-10-01,35.75,36.0,33.75,34.88
TTEC,1996-10-02,35.25,35.25,34.5,35.25
TTEC,1996-10-03,35.25,36.75,34.25,36.12
TTEC,1996-10-04,37.0,38.0,36.5,36.5
TTEC,1996-10-07,37.25,37.25,34.5,35.88
TTEC,1996-10-08,35.75,36.62,34.62,34.62
TTEC,1996-10-09,35.25,35.25,31.75,32.75
TTEC,1996-10-10,33.0,33.25,30.0,30.25
TTEC,1996-10-11,30.62,31.0,28.25,28.75
TTEC,1996-10-14,28.25,31.0,28.25,31.0
TTEC,1996-10-15,32.0,33.0,31.75,32.88
TTEC,1996-10-16,32.88,33.0,32.25,32.5
TTEC,1996-10-17,32.5,32.5,31.75,32.12
TTEC,1996-10-18,32.5,34.25,31.75,34.0
TTEC,1996-10-21,33.5,34.25,33.5,33.5
TTEC,1996-10-22,34.0,34.0,32.25,32.5
TTEC,1996-10-23,32.25,32.75,31.0,31.5
TTEC,1996-10-24,31.75,31.75,30.62,30.62
TTEC,1996-10-25,31.0,32.5,30.75,31.75
TTEC,1996-10-28,32.5,32.5,31.75,32.0
TTEC,1996-10-29,32.25,33.0,32.0,33.0
TTEC,1996-10-30,32.0,32.75,31.5,32.12
TTEC,1996-10-31,31.88,32.0,30.5,32.0
TTEC,1996-11-01,31.38,32.25,31.0,31.25
TTEC,1996-11-04,31.5,31.75,31.12,31.19
TTEC,1996-11-05,31.12,31.75,31.0,31.25
TTEC,1996-11-06,31.25,35.12,31.25,33.75
TTEC,1996-11-07,33.25,34.0,32.75,33.75
TTEC,1996-11-08,33.0,33.75,32.25,32.25
TTEC,1996-11-11,32.25,33.75,32.25,33.75
TTEC,1996-11-12,33.75,33.75,33.0,33.25
TTEC,1996-11-13,33.5,35.25,33.5,34.88
TTEC,1996-11-14,35.25,37.0,34.75,36.12
TTEC,1996-11-15,36.25,36.25,35.0,35.25
TTEC,1996-11-18,35.25,35.5,31.5,32.0
TTEC,1996-11-19,32.0,32.5,31.75,31.75
TTEC,1996-11-20,31.75,32.0,26.0,27.25
TTEC,1996-11-21,27.0,30.25,27.0,30.0
TTEC,1996-11-22,30.25,31.25,29.25,30.38
TTEC,1996-11-25,30.75,31.75,30.75,31.75
TTEC,1996-11-26,31.0,31.75,31.0,31.25
TTEC,1996-11-27,31.75,31.75,31.25,31.25
TTEC,1996-11-29,31.25,32.25,31.25,31.5
TTEC,1996-12-02,31.5,33.75,31.5,33.0
TTEC,1996-12-03,34.5,35.25,34.25,34.56
TTEC,1996-12-04,34.38,34.75,33.0,33.25
TTEC,1996-12-05,33.25,33.75,33.25,33.25
TTEC,1996-12-06,31.5,33.25,31.25,32.5
TTEC,1996-12-09,32.75,32.75,32.0,32.12
TTEC,1996-12-10,32.75,33.75,32.06,33.75
TTEC,1996-12-11,32.0,33.25,31.5,33.25
TTEC,1996-12-12,33.75,35.0,33.0,34.12
TTEC,1996-12-13,33.88,34.25,33.0,33.12
TTEC,1996-12-16,33.12,34.75,33.12,34.5
TTEC,1996-12-17,33.38,33.38,29.5,29.75
TTEC,1996-12-18,30.0,31.5,29.88,30.38
TTEC,1996-12-19,30.5,30.5,24.12,28.25
TTEC,1996-12-20,28.75,29.0,25.75,26.5
TTEC,1996-12-23,26.75,26.75,25.88,26.0
TTEC,1996-12-24,26.25,27.0,26.0,26.25
TTEC,1996-12-26,27.0,27.88,26.5,27.0
TTEC,1996-12-27,27.25,27.25,25.62,25.62
TTEC,1996-12-30,25.5,26.25,25.0,25.0
TTEC,1996-12-31,25.5,26.25,25.02,26.0
TTEC,1997-01-02,26.25,27.62,25.75,27.0
TTEC,1997-01-03,28.0,29.0,27.5,29.0
TTEC,1997-01-06,29.0,32.0,28.5,30.5
TTEC,1997-01-07,30.25,33.0,30.25,32.5
TTEC,1997-01-08,32.75,34.25,32.5,34.0
TTEC,1997-01-09,34.25,34.25,31.75,31.75
TTEC,1997-01-10,30.75,31.75,29.88,31.38
TTEC,1997-01-13,31.75,32.0,30.19,30.19
TTEC,1997-01-14,29.88,31.0,29.25,29.25
TTEC,1997-01-15,29.75,29.75,28.38,29.0
TTEC,1997-01-16,29.0,29.12,28.0,28.5
TTEC,1997-01-17,28.75,30.25,28.5,30.0
TTEC,1997-01-20,30.25,30.62,29.5,29.75
TTEC,1997-01-21,30.25,30.25,29.25,29.38
TTEC,1997-01-22,29.75,29.75,28.5,28.62
TTEC,1997-01-23,28.75,28.75,25.5,26.75
TTEC,1997-01-24,27.25,28.25,26.75,28.0
TTEC,1997-01-27,28.12,30.25,27.5,30.0
TTEC,1997-01-28,29.5,30.0,28.0,28.25
TTEC,1997-01-29,28.25,29.0,27.75,28.0
TTEC,1997-01-30,28.25,28.75,27.75,28.38
TTEC,1997-01-31,28.75,28.75,27.75,28.5
TTEC,1997-02-03,28.0,28.0,27.0,27.5
TTEC,1997-02-04,28.0,28.0,26.0,27.25
TTEC,1997-02-05,27.25,28.38,27.0,27.75
TTEC,1997-02-06,28.75,29.0,27.5,28.12
TTEC,1997-02-07,28.12,28.12,26.25,27.0
TTEC,1997-02-10,26.38,26.75,23.5,23.75
TTEC,1997-02-11,25.25,26.0,22.75,24.0
TTEC,1997-02-12,25.38,26.0,24.75,25.5
TTEC,1997-02-13,25.5,26.38,25.38,25.88
TTEC,1997-02-14,26.25,26.5,25.88,26.12
TTEC,1997-02-18,26.25,27.75,26.25,27.0
TTEC,1997-02-19,27.75,27.75,26.5,26.5
TTEC,1997-02-20,26.62,27.5,26.38,27.5
TTEC,1997-02-21,27.5,27.5,25.0,25.5
TTEC,1997-02-24,24.0,26.75,24.0,26.0
TTEC,1997-02-25,26.75,28.0,26.0,26.5
TTEC,1997-02-26,26.75,26.75,25.5,25.62
TTEC,1997-02-27,25.62,25.62,25.25,25.25
TTEC,1997-02-28,25.25,25.25,24.38,24.44
TTEC,1997-03-03,25.12,25.12,22.75,22.75
TTEC,1997-03-04,23.38,23.5,22.0,22.88
TTEC,1997-03-05,23.12,24.25,22.5,23.88
TTEC,1997-03-06,24.0,26.25,23.62,25.5
TTEC,1997-03-07,26.38,26.38,23.5,24.25
TTEC,1997-03-10,24.25,24.5,21.5,21.88
TTEC,1997-03-11,21.0,21.62,20.25,21.12
TTEC,1997-03-12,20.5,21.25,20.12,21.0
TTEC,1997-03-13,21.25,21.25,20.62,20.88
TTEC,1997-03-14,20.5,21.12,19.75,19.81
TTEC,1997-03-17,19.75,20.12,19.5,19.75
TTEC,1997-03-18,19.5,20.0,19.12,19.12
TTEC,1997-03-19,19.0,19.62,17.25,17.5
TTEC,1997-03-20,18.38,18.75,17.25,18.0
TTEC,1997-03-21,18.5,20.25,17.88,20.0
TTEC,1997-03-24,20.0,20.0,17.25,18.25
TTEC,1997-03-25,18.62,19.0,17.5,17.88
TTEC,1997-03-26,18.75,20.0,17.75,20.0
TTEC,1997-03-27,20.0,21.75,19.88,20.25
TTEC,1997-03-31,21.12,21.12,19.75,19.75
TTEC,1997-04-01,19.75,20.25,19.62,20.12
TTEC,1997-04-02,20.12,20.12,19.25,19.25
TTEC,1997-04-03,19.88,19.88,19.0,19.25
TTEC,1997-04-04,18.88,21.62,18.88,21.12
TTEC,1997-04-07,21.75,24.25,21.0,23.5
TTEC,1997-04-08,25.0,26.0,23.0,23.38
TTEC,1997-04-09,23.75,23.75,21.75,22.88
TTEC,1997-04-10,23.0,23.38,22.38,23.0
TTEC,1997-04-11,22.5,23.75,21.75,22.62
TTEC,1997-04-14,22.75,22.75,21.25,22.25
TTEC,1997-04-15,22.75,23.5,22.5,22.88
TTEC,1997-04-16,22.25,23.75,22.25,23.5
TTEC,1997-04-17,23.25,23.62,22.5,22.88
TTEC,1997-04-18,22.75,23.25,21.62,22.25
TTEC,1997-04-21,20.0,20.12,18.0,18.25
TTEC,1997-04-22,18.62,18.88,17.0,17.25
TTEC,1997-04-23,17.88,18.12,17.25,17.38
TTEC,1997-04-24,17.88,18.12,17.0,17.25
TTEC,1997-04-25,16.88,17.75,16.88,17.25
TTEC,1997-04-28,17.38,17.38,16.62,17.0
TTEC,1997-04-29,17.0,17.5,16.75,17.25
TTEC,1997-04-30,17.0,17.88,17.0,17.75
TTEC,1997-05-01,17.75,19.75,17.5,18.62
TTEC,1997-05-02,19.25,20.62,18.88,19.88
TTEC,1997-05-05,20.5,22.5,20.38,21.88
TTEC,1997-05-06,22.12,22.62,21.12,21.75
TTEC,1997-05-07,21.5,22.75,21.0,22.5
